Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
A & P,Apr 2002,NZ Memories,,35/62,,"[Hdg]A&PShows...PhotographsfromtheGoreA&PShows1892-1910...Itwasalsoanopportunityforthenewspaperreportertoexhibithisbeststockoffloridprose,astheseexcerptsfromtheearlyyearsoftheGoreA&PShowdemonstrate.",
A & P,2000,Kokopu Dreams,BAKER,59,,NowitwasfencedandgrazedandsmokerosefromakitchenbuiltontoahallonceusedforA&Pshows.,
A & P,Feb 2001,Growing Today,,66,,"ThesedaysalotofkidsgrowupnotevenknowingwhattheA&Pstandsfor-it'sAgriculturalandPastoral-andthinktheEasterShowisjustaboutdodgems,ferriswheelsandcandyfloss.",
A & P,"Jun 7, 1932",Oamaru Mail,,8,,ItwasresolvedtosuggesttotheA.andP.Associationthatashelterbeltoftreesbeplantedonthesouthsideoftheshowgrounds.,
A & P,1889,Canterbury (NZ): its resources and progress,,10,,THECANTERBURYA.&P.ASSOCIATIONThisAssociationwasfoundedintheyear1863...,
A & P,1943,Pure Gold,HISLOP,33,,Mr.--hadwonwithhiscattleandhorsesinvariousAandP.ShowsintheSouthIsland.,
A & P,1948,"Cunninghams, The",BALLANTYNE,68,,He...mentionedthelittlegirlwhowaslostattheA&Pshowoneyearandwasfounddeadinaswamp;...,
A & P,1948,"Run, Estate and Farm",SCOTTER,25,,...fromthefirstshowoftheA.&P.Associationin1863hewasamemberofthecommitteeandgainedprizesinbothmerinoandlongwoolclasses.,
A & P,1951,Canterbury Tales,CRESSWELL,82,,"Althoughthisreportlessenedpublicdissatisfaction,theA.&P.Associationsseemeddeterminedtohavetheschoolundertheirmanagement,...",
A & P,1962,Country Occasions,SHARPE,92,,Toacountryworker...theA.&P.showisalwaysalittlebewildering.,
A & P,1966,"Encyclopaedia of New Zealand, An",,I : 17,,AnannualconferenceofA.andP.Associations...isheldundertheauspicesoftheRoyalAgriculturalSociety.,
A & P,1968,Remembered Trails,TOMLINSON,33,,MycousinArthurtookmetoparties[inGisbornec1909]andtheA.&P.Show.,
A & P,1972,"Half-Gallon Quarter-Acre Pavlova Paradise, The",MITCHELL,44,,"Voluntaryactivityrunsall,fromchurchgroupstothosehighpointsoftheyear,theracesandtheA.andP.shows.",
A & P,1980,"Personal Kiwi-Yankee Dictionary, A",LELAND,7,,A&PShow:TheAgriculturalandPastoralShow.LocalequivalentofaSTATEFAIR.Themajoreventineveryregionandnearlyallbusinesses...etc.closedownfor`ShowDay'.,
A & P,1986,"Matriarch, The",IHIMAERA,42,,YoutookustotheAandPShowattheShowgrounds.,
A & P,1966,"Encyclopaedia of New Zealand, An",,I:16,,"TheAucklandAgriculturalandPastoralAssociation,foundedin1843,wasthefirsttobeorganised;...",
A & P,1989,Awekotuku Tahuri,,103,,AandPShow:AgriculturalandPastoralShowb.AgriculturalandPastoral.,
A & P,1976,How to Get Lost & Found in NZ,McDERMOTT,108,,"...wewerejustintimetoseewhatwewouldcallaCountyFair,theHawkesBayAgriculturalandPastoralShow.",
A & P,1981,Straight from the Shoulder,KENNERDY,33,,"NewZealand's100AgriculturalandPastoral(A&P)shows,beginningwithWhakataneinOctoberandendinginAucklandoverEaster,havebeenunderincreasingpressure...",
A & P,1951,Canterbury Tales,CRESSWELL,117,,JobOsbornewasoneofthreebrotherswhoarrivedintheProvinceinthelatefiftiesandthefamilyhavelongbeengoodsupportersofthe`A.&P.',
A & P,"Feb 10, 1986",National Business Review,,32,,[headline]A&Psincrisis:Doldrumsorprofitablerazzmatazz?InthefaceofmountinglossestheHawke'sBayAgriculturalandPastoralSocietychangeditsattitude...otherA&Psocietiesaredoinglikewise.,
A & P,1987,Oracles and Miracles,ELDRED-GRIGG,71,,...ImustoflookedlikesomethingfromasideshowattheA&P.,
A and P Association,1948,"Run, Estate and Farm",SCOTTER,25,,FromthefirstshowoftheA&PAssociationin1863hewasamemberofthecommittee.,
A and P Association,1987,Showtime 100,ADSETT,100/9,,Showtime100wasasplendidclimaxtoacenturyofendeavourbytheManawatuandWestCoastA&PAssociation.,
