Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
B Ech.,1970,On the Ball,SLATTER,136,,"Heisreallygettingonmynervesashenattersonandon,alotofnonsenseaboutgettingoutofBEchandbackintothesharpendwiththeboys.Plentyofroomattheotherendofthepaddock.AbunchofD-DayDodgersandifthey'regoingtohangaroundintheirownhalf...theymightaswell...haveabrew-up.",
B Ech.,1946,Johnny Enzed in Italy,,Glossary,,contractionforB-Echelon--reservesectionofaunit--LotusEaters,
b/couta,1970,Nomenclature of NZ Fish,SORENSON,11,,"<i>BARRACOUTA</i>(a)Scientificname:<i>Thyrsitesatun.</i>(b)Suggestedcommercialname[s]:SeaPike;Couta;Snoek;BarraFillets.(c)Othercommonnames:B/couta;Bait.(d)Principallocalitieswheretaken:Gisborne,Motueka,Nelson,Timaru,PortChalmers.",
B&B,Oct 1999,NZWords,,2(2): 2,,"Examples[ofacronyms]include<i>B&B</i>,whichstandsfor<i>braceandbit</i>,rhymingslangfor<i>fit</i>,drug-users'slangforahypodermicsyringeandneedle.",
b-bows,1989,NZ English Newsletter,,3/21,,b-bows:Handshears.,Wallace Shearing Glossary
B-listers,"Dec 5, 2004",Sunday Star Times,,C2,,"NoA-listapplicantswerehousedinMangerelastmonth-theaveragewaitingtimeforMangereB-listersis86days,andforC-listers364",
B-train,"Sep 10, 2002",Independent Herald (Wellington),,1,,Asouth-boundB-train(articulatedtruckandtrailerunit)bouncedoffthehillontheleftsideoftheroadandturnedacrossthreelanesofrush-hourtrafficandsmashedthroughthecentralarmcobarrier.,
B.B.,1970,Nomenclature of NZ Fish,SORENSON,42,,"SHARK,SCHOOL(a)Scientificname:Galeorhinusaustralis(principally).(b)Suggestedcommercialname[s]:FlakeFillets.(c)Othercommonnames:B.B.,BigBoys;Soupfin;GreyBoys;TopeorTopi.",
B.D.,"May 25, 1870",Early Northern Otago Runs,PINNEY,,1981,"On25may,B.D.startedonBenmore;boilingdown,likeotherunpleasantthings,wasusuallyknownbyitsinitials.",[1870 May 25 Benmore diary] in 1981 Pinney Early Northern Otago Runs
B.M.,1923,Small Sawmills,MALFROY,38,,"B.M...Boardmeasure-atermexpressingtheboardfootcontentofroundormanufacturedtimber,andforexpressingthevolumeoflogs,trees,orstandsintermsoftheestimatedamountoftimberwhichmaybecuttherefrom.`Boardfoot'isaunitofmeasurementrepresentedbyaboard1ft.long,1ft.wide,and1in.inthickness,oritsequivalent",
babaco,1988,Lexicographical & Linguistic Studies,BURCHFIELD,192,,"babaco/b|bku/.N.Z.&Austral.[S.Amer.Sp.(Ecuador).]Abrightyellowmarrow-likefruit,C<i>aricaheilborniipentagona</i>,usu.about30cm.long,withafacetedexteriorandwithatexturelikethatofacoarsemelon.",
babaco,1921,Arkiv for Botanik,,XVII. XII.4,,<i>Caricapentagona</i>iscalled`babaco'bythenativesandisregardedasagreatdelicacy.,O. HEILBORN
babaco,1924,Contr. National Herbarium (US),,XXV. V. 126,,"Becauseofitslargefruits..andbecauseofitshabitofproducngseedlessfruits,the<i>babaco</i>isworthyofattentioninothercountries.",W. POPENOE
babaco,1976,Tanaka's Cycl. Edible Fruits,T. TANAKA,135,,"<i>Caricapentagona</i>..,`Babaco'.Thefleshoffruitsarenearlywhite,acid;eatencooked,preservedorusedinsauce.Ecuador&adj.territory.",
babaco,1981,Southern Horticulture (N.Z.),,Spring 16/1,,"Groupthree:Blueberries,feijoas,avocado,tamarillos,cherries,babaco,persimmon,Asianpears,macadamias,pepinoetc.",
