Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
C and A Act,"Feb 3, 1908",Letter,,,,[LetterfromFowldstoJ.Leggett][There]isgrowingunrestamongsttheLabourpeoplewhoinrecentyears...pinnedtheirfaithtothe...C&AActandhavenowcometotheconclusionthatithasnotgreatlyimprovedtheireconomiccondition.,"1908 Feb 3 in 1980 Rogers The Fowlds Papers - Politics 8 1908, 3rd Feb -"
C and A Act,"Oct 20, 1911",Maoriland Worker,,33/17/1,,"Iwanttobelongtosomethingthathasgritandcanfightboldlyforitsrights,notaLab-Lib.,Lib-Lab.,half-and-halfconcernthatallowsitselftobetiedupboundhandandfootbytheemployers'C.andA.Act.",
c'mon,"May 24, 1986",Listener (New Zealand Listener),,21,,"Butthedogwillsay,'C'<i>mon</i>,let'sgo.",
c'mon,"Apr 19, 1986",Listener (New Zealand Listener),,28,,"...theyarenomoreculturallyusthanjoggingor""C'mon,Kiwi.c'mon""(rememberthenameofthatAucklandlass?",
C-lister,"Dec 5, 2004",Sunday Star Times,,C2,,"NoA-listapplicantswerehousedinMangerelastmonth-theaveragewaitingtimeforMangereB-listersis86days,andforC-listers364.",
C-oner,"Apr 29, 1925",NZ Tit-Bits,,6,,,[see quot jigga jig]
C.C.,"Oct 19, 1862",Journal and Letters (Walker),Walker,,,ThereistobeaballinC.C.tomorrownightandanAgriculturalShowonWednesday.,
C.C.,"Oct 19, 1862",Journal and Letters (Walker),WALKER,,,"...wetookadvantageofaliftintoC.C.Thecartwasdrivenbyacooley,[20]wecouldnotunderstandhimandhecouldnotunderstand",
C.F.A.,1966,"Encyclopaedia of New Zealand, An",McLINTOCK,3/235,,"Theewes,whicharebredonthefarm,passintothebreedingflock,wheretheyremainforfourorfiveyears.Theythenleavethefarmintheautumnandappearintheewefairstobeboughtbyfat-lambbreedersas`castforage`(or`C.F.A.')ewes.",
C.F.A.,1974,NZ Journal of Agriculture,,59,,"Theproductsfromthistypeoffarmarewool,somestorelambs,afewfatwetherlambs,someculledhoggets,storecattle,varyingnumbersofstoreorfatwethers,andadraftof`cast-for-age'(c.f.a.)ewes.",
C.O.,1919,Armageddon or Calvary,HOLLAND,,,'TheC.O.'s'[apoem],1917 July 26 in 1919 Holland`Armageddon or Calvary
C2,"Jul 10, 1919",Quick March,,33,,"Sa-eedaAhmed,Akers,arrak,/Bints,Bomonti.backsheech,barrak;/CentipedesandCleopatra,/Dustanddesert,djinnsandFatima;/`Eggs-cook,anamiskeen,'/Fever,flies,andfelaheen;/Gehenam,Galabeyah,gods,/Harems,hooshters,heatandhods;/`Igriwallah,imshiY'allah.'/Jackos,jackals,`galagala';/Khamseen,kankan,talahena,/Liceandlocusts,loveandLena;/Mirage,Mahomet,mosquistoe,/Niggers,T.A.B.andC2;/Olivesoranges,askarie./",
CAB,1974,Sugarbag Years,SIMPSON,55,,"...therewasagreatdealofshame[duringtheDepression]inthemindsofworkingmen...whohadtogowithanorderfromtheCharitableAidBoardforgroceriesuptothelocalSelfHelp.IfIrememberrightly,myparentsusedtospelloutC.A.B.sothatIwouldn'tknowwhatitmeant...IknewthatweweregoingwithaC.A.B.chittogetgroceries...",[c1931]
