Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
D,1981,Foreskin's Lament,McGEE,69,,"He'll do well in the
force, he's got the
same look as all
those C.I.B. Dees -
hard, cold, dead, as
if what those eyes
have looked at, or
for, in people, has
killed the light in
them.",
D,2001,Stonedogs,MARRINER,338,,"He wonders how much
longer before the Ds
lay more cards on
the table.",
D,"Feb 15, 1913",NZ Observer,,7,,"The new helmets worn
by the police cost
9s 3d each. Nine
""Roberts"" and three
coppers, not to
speak of a quarter
of a dozen ""D's.""",
D,"Aug 16, 1913",NZ Observer,,17,,"Every ""D"" of any
note in New Zealand
has been ""made"" by
the man with the
pencil.",
D,"Sep 27, 1913",NZ Observer,,11,,"Why do the ""D's"" go
to such trouble to
catch deserters from
H.M. New Zealand?",
D,"Jan 25, 1997",Listener (New Zealand Listener),,19,,"Known to students as
""The Big D"" (as in D
for detective) he
and his trusty
dowelling set about
bringing the school
into line.",
D,1992,Fence Around the Cuckoo,PARK,119,,"Occasionally he was
raided, noisy
stormings by bulky
gentlemen referred
toas The D's.",
D & B,"May 2, 1874",Diary,J.G.WILSON,,,"I believe this would
be the cheapest
fence of all ...; a
Ditch and Bank in a
mile covers
exactlyan acre of
ground, but the D. &
B. is an excellent
drain ... when the
ground ... is apt to
be wet ... D. and B.
is the best fence
...",1874 May 2 Diary in 1973 Wierzbicka Wilson Family 187
D & D,1989,Visitors,CRANNA,18,,"`Drunk and
disorderly, eh,
Jim?' ... Tom
scowled. `Haven't
been D and D for
years, smart-arse.'",
D Block,"May 12, 1985",NZ Times,,4,,"Nor was D Block
reserved for men
convicted of
extremely violent,
shocking offences.
Because every block
had total security
status, this measure
was unnecessary.
Instead, D Block
housed Paremoremo's
most disruptive or
revolutionary
elements.",
D Block,"Aug 8, 1987",Listener (New Zealand Listener),,24,,"The longest-serving
survivor
ofParemoremo's D
Block, the only man
toever briefly
escape from this
electronicfortress.",
D,"Aug 30, 2004",Dominion Post,,,,"""Our D is very good,
but we have to do
our share of
attack."" ... ""It was
good D, but I don't
think we are going
to want to make a
habit of defending
for that long over
the next couple of
weeks.""",
D-Day Dodger,1970,On the Ball,SLATTER,136,,"He is really geting
on my nerves as he
natters on and on, a
lot of nonsense
about getting out of
B Ech and back into
the sharp end with
the boys. Plenty of
room at the other
end of the paddock.
A bunch of D-Day
Dodgers and if
they're going to
hang around in their
own half ... they
might as well ...
have a brew-up.",Transf. to rugby union.
D-up,"Apr 13, 1997",Sunday Star Times,,B2,,"We had to D up and
get our hands on the
ball.",
D-up,"Sep 3, 2001",Dominion,,26,,"You have to 'D' up
for 80 minutes and
we didn't do that.",
D.C. Day,Jun 2003,NZ Memories,,No. 42/41,,"Monday the 10th of
July 1967 is a
significant date in
New Zealand history,
as this was the day
New Zealand
officially changed
from GBP. s. d., to
a decimal currency.
[42] In the build-up
to 'D.C.Day' as it
was called, the
Government ran an
extensive publicity
campaign to prepare,
inform, educate and
reassure the public.",
dab,"Jan 15, 1770",Journal,PARKINSON,114,,"All the coves of
this bay teem with
fish of various
kinds, such as
cuttle-fish, large
breams, ... small
grey breams, small
and large
barracootas, flying
gurnards,
horse-mackarel,
dog-fish, soles,
dabs, mullets,
drums, scorpenas or
rock-fish,
cole-fish, the
beautiful fish
called chimera, and
shags.",
dab,"Jul 30, 1910",NZ Truth,,266/7/2,,"`The position is
scandalous,' said
Mr.Coltman, J.P., at
the Auckland
Magistrate's Court a
few days ago, when a
fish inspector
candidly confessed
that he did not know
the difference
between a dab and a
flounder, adding
that he did not
pretend to know
anything about fish,
...",
dab,1936,"Handbook for New Zealand, The",,72,,"<i>Rhombosolea
plebeia</i>: Dab or
`sand flounder.'",
dab,1956,NZ Fishes: An Identification Guide,,191,2nd ed.,"NEW ZEALAND
SAND-FLOUNDER
(PATIKI)
<i>Rhombosolea
plebeia</i>
(Richardson) ... The
common Sand-flounder
is known from one
end of New Zealand
to the other,
sometimes by other
names in different
localities. In
Auckland it is known
as the Dab.",
dab,1966,Sea Anglers' Guide,DOOGUE & MORELAND,216,,"SAND FLOUNDER ...
Other names:
<i>Rhombosolea
plebeia</i>;
diamond, tinplate,
dab, square; patiki
(Maori).",
dab,1967,Marine Fishes,MORELAND,32,,"SAND FLOUNDER
[<i>Rhombosolea
plebeia</i>] ...
Other names are dab,
diamond, tinplate,
and square. The
Maori name patiki,
originally generic,
is now loosely used
for most flounders.",
dab,1970,Nomenclature of NZ Fish,SORENSON,24,,"FLOUNDER (four
species) (a)
Scientific name: (i)
<i>Rhombosolea
plebeia(ii)
Rhombosolea retiaria
(iii) Rhombosolea
tapirina (iv)
Rhombosolea
leporina.</i> (b)
Suggested commercial
name[s]: (i)
Flounder (ii)
Freshwater Flounder
(iii) Flounder (iv)
Yellowbelly
Flounder. (c) Other
common names: (i)
Square, Dab, Plaice,
Diamond or
Diamond-back,
Tin-plate, Three
Corners. (ii)
Blacks, Black
Flounder (iii)
Greenback [25 `Not
common but
occasionally taken
in southernwaters.']
(iv) Yellow
Flounder.",
dab,1981,Fisherman's Bible,WILSON,71,,"FLOUNDER, SAND ...
Other names are
`dab', tinplate,
square flounder. The
Maori name `patiki'
is used for all
flounder except the
sole which is the
`patiki rori'.",
dab,"Dec 8, 1982",Evening Post,,37,,"Many people claim
that the flesh of
the sand flounder is
the best and
sweetest of all
flatfish ...
Otherwise known as
the diamond or dab
flounder, it is
easily distinguished
by its diamond
shaped body ...",
