Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
e hoa ma,"May 19, 2006",Whakatane Beacon,,10,,Wehaveconcernsehoama.,
e hoa ma,1881,Poenamo,CAMPBELL,Bk2/3/71,,"Ehoama,Cookie,whydoyoufrown?[fn]Ehoama,myfriend.Ibid.4/6/297`Ehoama'-Friendofmine-`thatiswhatIwantmypigstodoforme.Ihaveplentyoffern-roottoo.'",
EA,"Sep 13, 1997",Dominion,,1,,Thepaper[byAucklandprofessorKerrInkson]comparedNewZealanderswhowentonOE-andfoundtheirownjobswhiletheywereaway-withthosewhoweresentbytheiremployersforanexpatriateassignment(EA).,
EAB,"May 12, 2001",Listener (New Zealand Listener),,19,,"There'sanEAB[ExternalAssessmentsBureau]report,whichbasicallyhasthesamematerialinitasthestuffthatcameoutofDefence.",
eagle,"Jul 31, 2003",Contact (Wgtn),,4,,Sarah..hadalready..checkedoutviamatesandfriendsofmatesexactlywhatshe'dneedshouldtheeaglelandbeforesendinginherentry.,
eagle,1976,Pallet on the Floor,MORRIESON,29,,"`Ifthat'sonthecards,let'sgetfewflagons,'saidEntwhistlequickly.`Afteralltheeagleshitstomorrow'Thiswasfreezingworkers'slangforpay-day.<i>Ibid.</i>119HerewasthesidingtothesprawlingempireoftheFreezingWorks,the`Eagle'asthemencalledit-...",
eagle ray,"Jan 1, 1908",Otago Witness,,76,,"Authoritiesstateitsnomenclatureastheeagleray,orseadevil,anditissometimescalledthe""devilfish.""",
eaglewist,1951,High Country,McLEOD,44,,"Inspiteoftheirlifethey[musterers]areusuallyignorantofnaturalhistory;thealpineplantsallroundthemtheyseldomknowbyname;eventhesnowyeidelweiss[sic]theyknow,ifatall,as`eaglewist.'",
ear shell,"Oct 11, 1769",Cook's Journals,,1/574,,"Itswholelengthdoesnotexceedtwofeet,endingintherepresentationofaface,whichisapieceofcarvingexhibitingamostpreposterousgroupoffeatures-twolargeSaucer-eyesformedofbroadringsofEar-shell...[Footnote:theshellofa`seaear',thepaua.]",W.B. MonkhouseCheck whether date ll or 6.
ear shell,"Apr 9, 1773","Resolution Journal of J.R. Forster, The",FORSTER,2/250,,Welanded&collectedvastnumbersofEar-ShellsofaverylargeSizeontheShorebetweentheStones.,
ear shell,1777,Voyage Round the World,FORSTER,1/132,,"[Thecanoe]hadacarvedhead...witheyesmadeofroundpiecesofear-shell,whichsomewhatresembledmotherofpearl.",
ear shell,"Nov 29, 1791",Journal of the 'Chatham',,,,"Inthecentreofthiscircle[onChathamIsland]wasthemarkofafireplace,andagreatnumberofFishShellslayabout,particularlytheEarshell.",in 1908McNab Historical Records 2/505
ear shell,Nov 1791,Journal of Voyage in HMS 'Chatham',,60,,"...agreatnumberofFishShellslayabout[theChathamIslandsfireplace],particularlytheEarshells-",1791 Nov E.Bell Journal of Voyage in H.M.S. `Chatham' (Vancouver expedition) (MS ATB)
ear shell,"Oct 24, 1795",Journal,MURRY,,,"...theFallsaboutFacillHarbourbeingdry,IwenttoEarshellCove,andfill'dthecasks...",in 1908 McNab Historical Records 2/526
ear shell,1807,New Zealand (various authors/titles),SAVAGE,58,,"Thehooksareformedoftheouterrimoftheear-shell,wellpolished,andbarbedattheextremity.",
ear shell,1856,Natural History of Canterbury,TANCRED,16,,"Shell,calledfromitsshapetheear-shell...Theyaresoughtforthemother-of-pearlwithwhichtheyarelinedunderthenameofpaua-shells.",
ear shell,1872,TrNZI,,367,,Theear-shellwasusedbytheMaorisinthemanufactureoffish-hooks.,Kirk
ear-piece,"May 17, 1951",Personal Communication,,,,"[Thechopperalsoscalpsthemwhichgetstakenoffastheear-piece,andgoesdowntothepie-house,ontothepie-heapwhereitrotsandispluckedbythepie-pickers.",Feilding Freezing Works terms p.c. Colin Gordon
earbash,1957,"God Boy, The",CROSS,81,,Wewentonear-bashingeachotherlikethatforthenexthourorso.,
earbash,1963,Half-Gallon Jar,McCALLUM,17,,`HowtoMakeFriendsWithoutEar-bashingThem.'...[25]...Foronceinherlifeshedon't[sic]earbashme.,
earbash,1962,Australian & NZ English [TS],SYDER & HODGETTS,302,,"Totalkconstantly,totheextentofwearyingthelistener..in4;`IcouldseepoorHenrysufferinginsilence.Jimwasearbashinghimnearlyalltheevening-Jimnevergivestheotherfellowachancetoopenhismouth,youcan'tgetawordinedgeways.'",
earbash,1964,Johnny Rapana,FRANCES,183,,"`Now,afterearbashingyoulikethat,theleastIcandoistakeyououttolunch.'",
earbash,1986,NZ Pocket Oxford Dictionary,,235,,ear-bashv.NZ&Austral.sl.talkinordinately(to);ear-bashern.,[nf. 1982 Collins Concise Eng. Dict.; 1985 Collins NZ Compact Dict. 152]
earbash,1988,"Dictionary of Kiwi Slang, A",McGILL,42,,"earbashtotalk,perhapstoharangue;eg`Givehimhalfachanceandhe'llearbashyouallnight.'NZA.",
earbashing,1973,Islands,,6/385,,the[sic]physedteachercomplainsthatawholeperiodofear-bashing...cannotmake14yroldboysdancewithgirls.,Body (Diary of a School Music Teacher)
earbashing,1976,Soldier,LEE,3,,I'mtooweaktostanduptotheearbashing.,
earbashing,1980,"Personal Kiwi-Yankee Dictionary, A",LELAND,36,,EarBashing.Talkingtoexcess.,
earina,1908,AJHR,COCKAYNE,C-14,,<i>Earinaautumnalis</i>fragrantearina.,Botanical Survey Waipoua Kauri Forest
earina,1906,Plants of NZ,LAING & BLACKWELL,,,<i>Earinasuaveoleus</i>...<i>Earinamucronata</i>,
earina,1908,AJHR,,C-14,,<i>Earinamucronata</i>pointed-leavedorchid.,Report on a Botanical Survey of Waipoua Kauri Forest
earina,1909,AJHR,COCKAYNE,,,"<i>Earinaautumnalis</i>sweet-scentedearina,",Report on a Botanical Survey of Stewart Island
earina,1966,"Encyclopaedia of New Zealand, An",McLINTOCK,3/705-12,,"FragrantEarina-raupeka,<i>Earinaautumnalis</i>",
earina,1885,NZ Country Journal,,,,<i>Leucogenesgrandiceps</i>,Vol I 1877-XXII 1898 (And) (Canterbury A & P Ass.)
early,1952,My Yesteryears,BLAKISTON,9,,...IhadknowntheOrariGorgeStationsince1869andsomanyoftheoldhandsandearlydaydoings.,[f. c1869]
early bird,1999,Where Giants Dwell:,EVANS,38,,Thereweremanythatwouldnotmixwiththe'earlybirds'asthescabsweresometimescalled.,
Early Childhood Centre,"May 29, 2002",Norwester,,8,,"StBarnabasreverendMontyBlacksaysitisnotthechurch'sintentiontoforcethecrechetoclose,butthatthechurchneedsthebuildingback,toopenafull-timeEarlyChildhoodCentrenextyear.",
Early Childhood Council,"Oct 29, 2005",Listener (New Zealand Listener),,7,,"TheEarlyChildhoodCouncil(ECC)publishedareport,""PuttingChildrenFirst"",whereitmadeclearthatthisdecisionthreatenedtheveryexistenceofprivate,for-profitsettings.",
early closing,"Aug 20, 1924",NZ Journal of Agriculture,,126,,"Veryearlyclosingmeansahigherproportionofgrasstoclover,whereaslateclosingmeansthereverse..Byshuttingupearlythefarmerisenabledtogetthehaycropcutearly...[shuttingup]",
early country,1940,Te Waimate,STUDHOLME,96,,Climate-isyourcountryearlyorlate?,
early cup,"Feb 22, 1875",Thames Journals,LUST,159,1975,"Feltinclinedtohaveanextrahour'srestinbed,buttherecollectionthattheservantmightsoonbebringingtheearlycupofteamademehurryup-...The`earlycup'cameasIhadexpectedathalfpastsix.",
early lamber,1958,"Sheep.  Part 1, Sheep husbandry",STEVENS,49,,"..astheirtimeapproachesandtheearlylambershavebecomereducedtoasmallmob,thetwolotscanbeboxedandthrroutinecontinued.",
early lamber,Jan 1977,NZ Journal of Agriculture,,30,,Thiscountrystillgrowsappreciableamountsofgrassinwinter..andthisisputtogoodusebytheearlylambers.,
early morning tea,1935,"Little Country, The",GUTHRIE,108,,"Shewasalwayscrosswhenwakenedearly,evenifitwasforherearly[109]morningcupoftea.",
early morning tea,1961,Long Night,BOOTH,104,,"Hewasundertheshower[atthehotel]whentheearly-morningteacamein...Itwastheoldstuff,tepidwithsoggybiscuits.",
early morning tea,1966,"English Language in Aust. & NZ, The",TURNER,149,,"Thedairyfarmerbeginsthedaywithearlymorningteaaboutthreehoursbeforebreakfast.Hegetsthecowsin,ormusters,formorningmilking.",
early morning tea,1986,Te Kaihau,HULME,38,,"Setnetswerestrangers,andthejoysofveryearlymorningteainatinshackonariver-sidealsounknown.",King Bait
early opener,"Feb 14, 1988",Dominion Sunday Times,,19,,"Ifthey[sc.vagrantalcoholics]haveadogtiedupsomewhere,thatmeanstheyowesomeoneintheplacemoney.Whentheygotobedfullydressedthat's`marchingorders'andtheir`dawnparade'willbeheldatanearlyopener",
early settler,"Apr 22, 1843",Daily Southern Cross,,4,,"ThecountryatsomedistancefromPortNicholsonisperhapsasgoodasintheneighbourhoodofAuckland,butitiscoveredwithtreesofsuchenormoussizeastomaketheexpenseofclearingnotonlyagreatdrawback,butalmostadifficultyscarcelytobesurmountedbyanearlysettler.",
early settler,"Sep 13, 1851",Lyttelton Times,,5,,"Itisnotinvanitythatwedwellonthesepassingevidencesofthesocialprogressofoursettlement,andthegrowthoftheformsandfashionsofcivilization,-itisratherthatthesenoticesmaytellourfriendsinEngland-friendswhoarewatchingourstepswithanxioushope,thatthetrialsanddifficultiesoftheearlysettler'slife,havenotdiminishedourtasteorcapacityforenjoyment,norwhollydeprivedusofmeansofobtainingit.",
