Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
F69,"May 18, 2005",Capital Times,,2,18 - 24 May,"F69willbesunkoffthesouthcoastofWellingtoninNovember,creatinganartificialreeffordivers.",
fa'a Samoa,"Sep 26, 2005",Dominion Post,,A5,,"TherealsoseemstobeembarrassmentthatsomeSamoansweresuggestingthatfa'aSamoa,Samoanculture,requiredreciprocityforfavoursdone.",
fa'a Samoa,1928,Coming of Age in Samoa,MEAD,x. 133,1929,"Achildwillusethetermfa`aSamoa,in`inSamoanfashion'.",
fa'a Samoa,1934,Modern Samoa,KEESING,i.21,,"YettheoldSamoanways,fa`aSamoa,..stillappeartopredominate.",
fa'a Samoa,1962,Western Samoa,FOX & CUMBERLAND,viii. 184,,Ceremonyisanintegralpartoffa`aSamoa.,
fa'a Samoa,1979,Leaves of Banyan Tree,WENDT,I.v. 37,,"Ourwayoflife,ourpreciousfaa-Samoa,ischanging-somesayfortheworse,somesayforthebetter.",
fa'a Samoa,"Apr 24, 1983",New York Times,,VI. 48/1,,"InapparentretaliationforgoingoutsidethefaaSamoa,orSamoanway,TariuTuivaiti'shousewasburned.",
fa'a Samoa,May 1987,Metro,,112,,"ItwasdeliberatelyestablishedherebythechurchesasanenduringexpressionoffaaSamoaamongtheuncertaintywhichconfronts...anynewlyarrivedimmigrantgroup.FaasamoaisacarefullyorderedlivingsystemofrulesandobligationswhichinAuckland,particularly,findsexpressionthroughthechurches;...",
fa'a Samoa,1988,Lexicographical & Linguistic Studies,BURCHFIELD,194,,"faa-Samoa/|faasa:moa/.Alsofa`a-Samoaandwithouthyphen.[Samoanfa`a-Samoa.]TheSamoanwayoflife;thelanguage,customs,etc.,ofSamoa.",
fa'a Samoa,"Aug 2, 2003",Listener (New Zealand Listener),,58,,"Satoaissteepedinfa'aSamoa-thetraditionalSamoanway-andalthoughtherelativelynewChristianreligionisinitsascendency,theoldgodsstillcastlongshadows.",
fa'a Samoa,"Jan 31, 2004",Listener (New Zealand Listener),,47,,OnadrivearoundSavai'iyouencounter<i>fa'aSamoa</i>-theSamoanway.,
fa'a Samoa,"Jun 12, 1982",Listener (New Zealand Listener),,23,,"""Theyusuallystayedhomeduringschooltripsanddidn'thaveholidays.""That'snotpartofthefa'a-Samoa.""",
fa'a Samoa,"Oct 9, 2004",Listener (New Zealand Listener),,54,,NewZealandSamoanscontinuetokeepfa'aSamoa-Samoanways-eventhoughtodayoverhalftheNewZealandcommunityisbornhere.,
fa'aaloalo,"Mar 30, 2005",Dominion Post,,B7,,"Pacificculturehassomewonderfulqualities:alofa(generosityandlove),tautua(serviceandhardwork)andfa'aaloalo(respect),whichcanbeintertwinedintotheworldinwhichweliveandwork.",
fa'afafine,2006,Purple Heart,Fiu,169,,"Sometimes,boysintheislandschoosetostartbeingfafafinesbecausetheyareawashwithfemininemannerisms.",
fa'afafine,"Aug 27, 2003",Dominion Post,,B7,,"Short,pithyandsuccinctjokesandstoriesthatcoversuchtopicsasSamoanweddings,Fafafine,hischildhoodinbothSamoaandNewZealand,andhisvisitstoAmerica,producedwaveafterwaveoflaughterrollingthroughtheaudience.",
fa'afafine,"Oct 19, 1996",Listener (New Zealand Listener),,40,,"<i>AFrigateBirdSings</i>followsthestruggleofafa'afafine..tryingtounderstandandredefinehercontributiontoherSamoanfamily,nowlivinginNewZealand.""It'sanextremelydelicatesubject..particularlyamongolderPolynesians,becauseinNewZealandthefa'afafinearepartofthegayscene;they'vebecomemuchmorevisibleandupfrontaboutsomethingthatinSamoaisanacceptedpartoftheirculture.IthinksomePolynesiansfeelthatthefa'afafinehavebecomeanembarrassmenttowhoweare.""",
fa'afafine,"Nov 7, 2004",Sunday Star Times,,C12,,TheyareincensedthatNewZealandhaveaquasi-fa'afafineplayingatsecondfive...,
fa'afafine,"Jun 7, 2001",City Voice,,5,,"BoyswillbegirlsinSamoa.That'sthethemeof<i>ParadiseBent</i>,adocumentaryaboutfa'afafineshowingthisweekendattheOuttakesFilmFestival...""Mostofthefamiliesconsiderhavingafa'afafineinthehouseanasset,becauseintheplantationstheyaremenandinthehometheyareveryuseful.Theydothesewing,theironingandthecookingandtheylookafterpeople,""saysoneofthewomen.Thenthereisthenextgenerationoffa'afafinewhoareseenmoreasdragqueens.",
fa'afafine,"Sep 24, 2005",Listener (New Zealand Listener),,12,,"LindahLepouhasmanytitles-Fa'afafineExtrordinaire,FirstFa'afafineofSoul.",
fa'afafine,"Oct 22, 2001",Evening Post,,14,,Afa'afafinehasbeenjailedfor15monthsforpushingaglassintoawoman'schinataPoriruaclub.,
fa'afafine,"Feb 3, 2002",Sunday Star Times,,C13,,"Darylaiswhatisknownasafa'afafineorfeminineman...Thetraditionoffa'afafines,whichliterallymeans""likeawoman"",isuniquetoSamoanandTongaculture.Afa'afafinedressesinwomen'sclothes,hasawoman'snameandtalksandwalkslikeawoman.Theypreferstraightmen...Myunderstandingofthefa'afafinetraditionwasthatinSamoanculture,ifafamilyhadnodaughters,thentheyoungestboysistreatedasagirlandkeptathometohelpthemother.Theseboysthengrowuptobefa'afafines.",
fa'afafine,"Oct 16, 2004",Listener (New Zealand Listener),,70,,"""Thefatfa'afafineissinging!""",
fa'afafine,"Jul 20, 2001",Western News,,8,,"Pinotnoir,pinotblanc,andpinotgris..allhangunderthesamenamebecausetheirbunchesclusterinneatlypackedshapessimilartopinecones,'pinot'toLatins.Therelationshipdoesn'tendthere;undertheskinallarepartofoneofthegrapeworld'smostgeneticallyunstablefamilies;thefafafiniofthegrapeworld.",
fa'afafine,"Sep 21, 2004",Dominion Post,,A12,,"MissTuttuFruttiisSamoa'squeenoftransvestites,crownedinapageantthatraucouslycelebratesthefa'afafine,ortransvestite,lifestyle.",
fa'afafine,"Oct 26, 1996",Listener (New Zealand Listener),,37,,"""Isthatataroinyourpocketorareyouafa'afafine?""...""Ididn'trealisewewerewritingaplayaboutfa'afafinesuntilwesawtheplay.IthoughtIwroteaboutadrunkenfather.Nextminutethere'sallthesehomosexualsrunningaround!",
fa'afafine,"Dec 6, 2007",NZ Herald,,A7,,"ButthePresidentoftheSamoaFa'afafineAssociation,RogerStanley,haswarnedsome[fa'afafine]aretemptingfatebygettingtattoosthataretraditionallywornonlybywomen.",
fa'afafine,"Jul 19, 2003",Dominion Post,,F7,,Ilikethethinkofthepinotfamilyasthefa'afafinesofthegrapeworld.,
fa'afafine,"Jan 12, 2006",NZ Herald,,A10,,Recentlyfa'afafineperformerLindahLepouwasgivenanapologyforherremovalfromthestageattheAucklandPasificaFestivalbecauseitwasfearedshewouldoffendChristiansintheaudience.,
fa'afafine,"Nov 24, 2004",Capital Times,,10,,"""HewantedtoseehowIdidthefa'afine,""saysEte.",
fa'amafu,1934,Modern Samoa,,iv. 239,,"Nativehome-brew,fa`amafu,flowsexceedinglyfreely.",
fa'amafu,1961,Samoan Medley,MARSACK,xvii. 168,,Themakingoffa`amafumaywellatpresentbeconsideredamajorSamoanindustry.,
fa'amafu,"May 5, 1973",Province (Vancouver),,58,,"Thenativesbrewtheirown`beer',calledFaamafu,outofpotatopeelings,maltandsugar.",
fa'amafu,1979,Leaves of Banyan Tree,,II. 208,,Thefaamafuthatcoststwoshillingsabottle.<i>Ibid</i>.274Themataicouncilruthlesslysuppressedallfaamafu-brewing.<i>Ibid</i>.275Therestofthematai..tookfurtivetripstotheApiafaamafudens.,
fa'amafu,1988,Lexicographical & Linguistic Studies,BURCHFIELD,194,,"faamafu/|faamafu/.AlsoFa`amafu.[Samoanfa`amafu.]Home-brewedliquor.Alsoattrib.orasadj.;alsoComb.,asfaamafu-brewing.",
face,1947,Bright Fine Gold,HEINZ,200,,"Face:Theendofatunnel,oredgeofaterracebeingsluiced.",(Glossary of Mining Terms)
face,1967,West Coast Gold Rushes,MAY,526,1962,"FACE:theendofatunneloradrive;thewall,cheekorsideofaterraceorareef.",
face,1895,NZ Alpine Journal,,2/7/22,,"Whenthesedifficultiesareconsideredandwhen[they?]weretaken`onaface'(asthediggerssay),thetimesmadebythesetwo[climbers]areverygood.",
face as long as a crowbar,1927,Me and Gus,ANTHONY,82,(1977 Gus Tomlins ed Sturm),"Gushadbeenmopingaboutwithafaceaslongasacrow-barfornearlyaweek,andthemotor-bikewasgettingaspell,...",
face check,1987,Woodturning in New Zealand,MASSEY,93,,FacecheckAdryingsplitonthefacesofboardsandflitches.,
face cover,"Oct 15, 1962",NZ Journal of Agriculture,,366,,SystematicworkonfacecoveronRomneysheephasbeencarriedoutatMasseyCollegeoverthelastsixyears...,
face cut,1874,Edward Crewe,BAINES,180,,"Supposeapieceoftimber-aflitchnineinchesbytwenty-fourandsixteenfeetlong-isonthecarriage,andthatweintendcuttingninebythree-quarterboards.Aftertakingoffa`face'cut,settingthegaugerrollers,andplacingtheflitchinposition,themanattheheadstartsthemachinery.`Kreash,'saysthesaw.andintwelvesecondssheisoutattheotherend.Themanatthe`tail'atthatinstantreversesthemotionofthetable,whichgigsback.",
face cut,1950,My First 80 Years,WILSON,105,,"Sofarwehadaskedfor`facecuts',thefirstslicesoffthelogswiththebarkadhering...",[c1890-1900]
face cut,1955,Land of My Children,WILSON,28,,ThereweregoodboardsamongthesefacecutswhichtodaywouldbeclassedasO.B.,
face doesn't fit,"Aug 26, 2004",Radio NZ / National Radio,,,,Let'stakeaface-doesn't-fitsituation.,Nine to Noon
face doesn't fit,"May 19, 2002",Sunday Star Times,,C9,,MPswhohadbuiltfortressesaroundtheirelectorates-BrianNeesonandWarrenKyd-wereoverthrownunderthenew'facedoesn'tfit'clause.,
face doesn't fit,"Jul 4, 2001",Evening Post,,,,"WithinthreedaysoftheGovernmenttakingpower,StateServiceshonchoMichaelWintringhamhadsentalettertohisnewMinisterwiththewords""facedoesn'tfit""inanattachednote...""Facedoesn'tfit""isatermusedtodescribedclauseswhichhavebeenincludedinsomepublicservicecontracts,creatingprovisionforterminationofthejobifthereareirreconcilabledifferencesbetweentwoparties.",
face doesn't fit,"Jul 15, 2001",Sunday Star Times,,A9,,"Theircareersaresurelyjeopardisedbecausetheystoodbyher,especiallyifwearetohavegovernmentthat'schurnedovereachtimeanewgovernmentiselected,eachtimeabureaucrat'sfacedoesn'tfit.",
face doesn't fit,"Apr 28, 2001",Listener (New Zealand Listener),,17,,"It'sequallylikely,though,thatherproblemisherbruterefusaltoacceptpoliticalreality.Sometimes,inpubliclife,it'snomorecomplicatedthatthatyourfacedoesn'tfit.",
face doesn't fit,"Aug 2, 2001",Dominion,,2,,Wehaveseentheargumenttakingplacewhereministerswanttobeabletosackchiefexecutiveswhosefacedoesn'tfit.,
face doesn't fit,"Aug 3, 2001",Dominion,,6,,"""Otherseniorfiguresinthestatesectorwillnowwonderwhowillbenextforthe'Rankintreatment'whenHelenClarkandhercolleaguesdecidedthefacedoesn'tfitanymore,""DrNewmansaid.",
