Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
F69,,noun,,a decommissioned navy frigate sunk off Wellington,[none],,,[none],,[none],,,
fa'a Samoa,,phrase,,the Samoan way,[none],,,[none],,[none],,-,
fa'aaloalo,,noun,,respect,,,,[none],,[none],,,
fa'afafine,,noun,,Samoan transvestite or cross-dresser,Samoan,,,[none],,[none],,,
fa'amafu,,noun,,Samoan home brew,Samoan,,,[none],,[none],,,
face,1,noun,,"[An extended mining use (cf. OED2 20 b. end of a tunnel or stope at which work is progressing) transf. to bushfalling and gumdigging.] of a tunnel, slope, at which work is progressing'; perhaps influenced by mining",,,,[none],,[none],,,
face as long as a crowbar,,phrase,,a long face,[none],,,[none],,[none],,,
face check,,noun,,,[none],,,[none],,[none],,,
face cover,,noun,1,the extent to which sheep have wool growing around eyes and head.,[none],,,Rural,Farm Words,[none],,,
face cut,,noun,,The first piece of timber sawn from a log on the breaking-down bench.,[none],,,[none],,[none],,,Forestry. Transf. use of face = surface. Recorded earliest in NZ.
face doesn't fit,,phrase,,,,,,[none],,[none],,,"Can't identify positively the original clause which provoked this description but the nearest is the clause in the State Sector Act of 1988 which refers to the dismissal of a Chief Executive: The [Commissioner] may, with the agreement of the Governor-General in Council, for just cause or excuse, remove the Chief Executive of a Department from office. [<i>NZ Statutes</i>, 1988, 1(20) 244 or <i>Revised Statutes</i>. 33 (1995) : 73.]"
face,1,noun,,"take (?difficulties) on a face, to face up to (difficulties) [? a pun on miners' use of face.]",,,,[none],,[none],,,
face,,noun,,"If this does not refer to the edge of the area of bush being cut, it is n2 below, how to manage felling a steep face with bush on it.",[none],,,[none],,[none],,,
face,2,noun,,,,,,[none],,[none],,,cf facing; sidling.
face,,noun,,"with modifiers describing the composition or its aspect to the sun: esp. dark, shady, sunny.",[none],,,[none],,[none],,,
face,,noun,,,,,,[none],,[none],,,
face,,noun,1,[mustering and hunting] an exposed slope near the top of a hill or mountain.,[none],,,Rural,Farm Words,[none],,,
face fart,,verb,,to belch,,,,[none],,[none],,,
face louse,,noun,1,a type of sheep louse.,[none],,,Rural,Farm Words,[none],,,
face plant,,noun,,falling on your face,[none],,,[none],,[none],,,also face-plant verb (2005 below)
face-brand,,verb,,,,,,[none],,[none],,,(? obs farming)
face-grease,,noun,,face-cream,,,,[none],,[none],,,
face-moko,,noun,,traditional facial tattoo,[none],,,[none],,[none],cf. moko,,
facial eczema,,noun,1,"a stock disease caused by a toxic fungus Pithomyces chartarum [first mentioned in 1882, although not officially recorded until 1898.]",[none],,,Rural,Farm Words,[none],,,
facial eczema,,noun,,,[none],,,[none],,[none],,,
facial eczema,,noun,,a fungus-induced contagious disease of sheep.,[none],,,[none],,[none],,,
facing,,noun,,,,,,[none],,[none],,,
facing,,noun,1,"a broad, steep hillside rising from a river gorge or deep valley.",[none],,,Rural,Farm Words,[none],,,
facing-up table,,noun,,,[none],,,[none],,[none],,,Post Office.
factory,,noun,,"In NZ very often a dairy factory manufacturing cheese, butter, and other dairy products. Compare creamery; and contrast the meat industry's works.",,,,[none],,[none],,,"Shortened form of ""dairy factory"", ""cheese factory"", ""butter factory"""
factory bach,,noun,,accommodation provided for dairy factory hands,[none],,,[none],,[none],,,
factory butter,,noun,,,[none],,,[none],,[none],,,
factory hand,,noun,,,[none],,,[none],,[none],,,(dairy)
factory lorry,,noun,,,[none],,,[none],,[none],,,
factory wire,,noun,,The thin wire used to bind the old double-pack octagonal wooden cheese crates was known in Taranaki as factory wire and served the needs of those needing a more flexible No. 8 around the farm.,[none],,,[none],,[none],,,Known from at least the 1930s.
factory-supply,,adjective,1,[of dairy herds] producing milk for dairy factory processing [rather than town milk supply.],[none],,,Rural,Farm Words,[none],,,
fade,,verb,,to blend colours (in graffiti),[none],,,[none],,[none],,,
fade-it,,noun,,,,,,[none],,[none],,,(marble term)
fadge,,noun,,"an unpressed part-bale of wool, sewn up as it stands, weighing less than 100 kg",[none],,,Rural,,[none],,,Farming
fadge,,noun,,the bag into which wool is baled,,,,[none],,[none],,,
fadge holder,,noun,,,[none],,,Rural,,[none],,,"Google search 11/2006: NZ 364, Austral. 10 hits."
fafa,,noun,,a Samoan transvestite or cross-dresser,abbreviation,,,[none],,[none],,,abbreviation of fa'afafine
fag,,noun,1,a younger stag in a pair of feral red deer that is trained by the older one to take risks for the couple.,[none],,,Rural,Farm Words,[none],,,
fag bag,,noun,,,[none],,,[none],,[none],,,
fagus,,noun,,,,,,[none],,[none],,,
fail to flatter,,phrase,,perform badly,[none],,,Sport,,[none],,,esp. horseracing. Australia and New Zealand
failing mouth,,noun,,,[none],,,[none],,[none],,,
failing subject,,noun,,,[none],,,[none],,[none],,,(secondary schools')
failing-mouth,,noun,1,an aged ewe with no teeth.,[none],,,Rural,Farm Words,[none],,,
failing-mouthed,,adjective,1,[of sheep] losing teeth.,[none],,,Rural,Farm Words,[none],,,
fair,,noun,1,a sale of livestock.,[none],,,Rural,Farm Words,[none],,,
fair buck,,noun,,"a fair deal, a fair spin",[none],,,[none],,[none],,,ca1935 Havelock schoolchildren e.g. He didn't get a fair buck from the teacher.
fair buck,,exclamation,,"expressing disbelief, incredulity, or an appeal for fair play or a fair hearing",[none],,,[none],,[none],,,"ca1935 Havelock 1951 14 M 14 St Bede's, Chch 5 FAIR BUCK"
fair burl,,exclamation,,fair spin! (of pennies) (phs the orig. meaning: this is the earliest recorded use in a two-up or pitch-n-toss context).,[none],,,[none],,[none],,,
fair burl,,exclamation,2,"used like fair spin! fair do! fair go! as an (esp. children's) exclam. inviting belief, or with query tone, indicating disbelief.",[none],,,[none],,[none],,,
fair cow,,noun,,,[none],,,[none],,[none],cow,,"1960 17C M B6 St Bede's, Chch 3 COW (A FAIR COW)"
fair cow,,noun,1,"an annoying task, event or impediment to work.",[none],,,Rural,Farm Words,[none],,,
fair crack of the whip,,noun,,a fair go,[none],,,[none],,[none],,,
fair die,,noun,,an assertion (or question) of a doubtful truth; (? fair do + dinky-die qv).,[none],,,[none],,[none],,,(children's) -->ca1935
fair dinkum,,exclamation,,,[none],,,[none],,[none],,,
fair dinkum,,adjective,,"genuine, real",[none],,,[none],,[none],straight dinkum,,straight dinkum 1940 citation is of intensifying adverb (truly)
fair dos,,exclamation,,indicating a request for fair play; or ironically) doubt at an exaggeration.,[none],,,[none],,[none],also fair go,,"[Spec. or extended sense of fair equitable, reasonable. cf OED2 aj 10.]"
fair,,adverb,,completely; thoroughly; unequivocally; forcefully. (compare real adv.),[none],,,[none],,[none],,,
fair,,adjective,1,"absolute, complete, thoroughgoing; `real'.",[none],,,[none],,[none],"fair cow, fair dinkum.",,
fair go,,exclamation,,give me a break,[none],,,[none],,[none],,,
fair go,,noun,,,[none],,,[none],,[none],also fair go exclamation,,
fair go,,noun,,,[none],,,[none],,[none],,,
fair go,,exclamation,,"An interjection, occas. a mere intensifier `be fair, reasonable!', do you mean it?, expressing: (a) an assertion of the the serious truth, genuineness, honesty etc. of the speaker's statement, suggestion, or general attitude; (b) sometimes, according to the tone used, an ironical questioning of the truth etc. of another's statement etc., or as a protest against some action or command felt to be unjust, severe etc.",[none],,,[none],,[none],,,"[It is popular with children. I heard it first used in 1941 when I came to the North Island to secondary school, and thought it a strange expression, as fair do! was the main form in Havelock. fair go! has a much wider current popular use, as slang or colloq, than any of its counterparts: fair buck, do, (spin) etc.]"
Fair Go,,noun,,a long-running TV consumer programme,[none],,,[none],,[none],,,
fair spin,,noun,,variant of fair go,[none],,,[none],,[none],,,
fair suck of the sauce bottle,,phrase,,"usu. (and in Aust.) 'a fair go' (cf. fair suck of the sav), but in cit. below more like '(more than) a fair share'",[none],,,[none],,[none],,,
fair suck of the sav,,phrase,,variant of fair go,[none],,,[none],,[none],,,
Fairlie Flyer,,noun,,"a South Island train, now the Kingston Flyer",[none],,,[none],,[none],,,
fairy,,noun,,a nickname for a fair-headed girl,,,,[none],,[none],,,(Obsolesc..).
fairy bread,,noun,,"a children's treat, ? buttered bread with cream and hundreds and thousands",[none],,,[none],,[none],,,
fairy cake,,noun,,,[none],,,[none],,[none],,,
fairy club,,noun,,a toadstool,[none],,,[none],,[none],,,
fairy dove petrel,,noun,,,[none],,,[none],,[none],,,
fairy,,noun,2,see cit.,[none],,,[none],,[none],,,
fairy flax,,noun,,<i>Astelia</i> spp.,[none],,,[none],,[none],,,
fairy floss,,noun,,"spun sugar, candy floss.",[none],,,[none],,[none],,,1940 ?Centennial Exhibition had a Fairy Floss stand
fairy lantern,,noun,,the plant <i>Thismia rodwayi</i>,[none],,,[none],,[none],,,
fairy prion,,noun,,,[none],,,[none],,[none],,,
Fairy Scout,,noun,,,[none],,,[none],,[none],,,
fairy tern,,noun,,an endangered native bird.,[none],,,Environment,,[none],,,
fairy trumpet,,noun,,a foxglove,[none],,,[none],,[none],,,
fairy's closet,,noun,,basket fungus,[none],,,[none],,[none],,,"[a1927] Ver.= Vernacular names heard by J.C. Andersen from sawyers, settlers, etc. (And)"
fakaalofa,,verb,,to love [Niuean],[none],,,[none],,[none],,,also Fakaalofa nahi atu: love towards you.
fakalalofa,,verb,,,Samoan,,,[none],,[none],,,
fake down,,verb,,to trick; shake down; lamb down.,,,,[none],,[none],,,(obs criminals')
fake flounder,,noun,,megrim or witch,[none],,,[none],,[none],,,
fakie,,verb,,,[none],,,[none],,[none],,,skateboarders
falcon,,noun,,"<i>Falco novaeseelandiae</i> any of various birds of prey, such as the hawk or kestrel, often used to hunt other birds or game;",[none],,,[none],,[none],"karearea, hawk, sparrowhawk.",,
fale,,noun,,,,,,[none],,[none],,,
fall,,noun,1,a short unplaited leather strip to which the cracker of a stockwhip is attached.,[none],,,Rural,Farm Words,[none],,,
fall,,verb,,to fell (trees),[none],,,[none],,[none],,,[1819 see cit falling axe-->.]
fall,,verb,,,[none],,,[none],,[none],,,
fall,,verb,2,to clear (land) by falling (trees),[none],,,[none],,[none],,,
fall,,noun,,the process of felling trees; also the trees or timber cut down,[none],,,[none],,[none],,,
fall,,noun,,see cit. 1933.,[none],,,[none],,[none],also stockwhip,,also stockwhip (station)
fall,,noun,,a strip or wedge of ground split off in one piece by undermining the working face of an excavation in gum-bearing soil.,[none],,,[none],,[none],,,(gumdigging)
fall,,noun,,(mining) in phrase run out of fall: to have insufficient (?slope ?pitch ?gradient) to allow a tail-race to operate from the lower level of a mine.,[none],,,[none],,[none],,,
fall muster,,noun,,autumn muster,[none],,,[none],,[none],,,SI Farming.
fall muster,,noun,1,an autumn muster [when stock are brought down from the high country to pasture that is safe from snowfall.],[none],,,Rural,Farm Words,[none],,,
fall off the edge,,phrase,,to die,[none],,,[none],,[none],,,
fall out of one's tree,,noun,,to become excited,[none],,,[none],,[none],-,,cf. 1984 16 M E76 Pakuranga Coll. 33 GET OUT OF YOUR TREE -
Falla's tuna,,noun,,,[none],,,[none],,[none],,,
falled,,adjective,,felled.,[none],,,[none],,[none],,,(of trees or timber)
fallen,,adjective,,"of trees or timber, cut down",[none],,,[none],,[none],,,
faller,,noun,,bush faller.,,,,[none],,[none],,,No NZ cits as yet: bushfaller--> 1864.
falling,,noun,,tree-felling,[none],,,[none],,[none],also bush-falling,,
falling axe,,noun,,,[none],,,[none],,[none],,,
faloose,,noun,,"money, pay money: coll among soliders with services where Arabic is spoken: 20C.:",,,,[none],,[none],,,"(WW1 and WW2, Egypt) ca1942 L. Cleveland"
false,,adjective,,"as a distinguishing epithet in names of plants, see beech; biddybid; snowgrass; pennyroyal; Spaniard.",[none],,,[none],,[none],,,
false alarm,,noun,,arm,[none],,,[none],,[none],,,rhyming slang
false beech,,noun,,"<i>Gaultheria antipoda</i>, bush snowberry",[none],,,[none],,[none],cf. wild birch,,
false bottom,,noun,,,[none],,,[none],Geology,[none],,,goldmining
false rush,,noun,,see cit.,[none],,,[none],,[none],,,
false Spaniard,,noun,,Celmisia lyallii,[none],,,[none],,[none],,,
family allowance,,noun,,,[none],,,[none],,[none],,,
family benefit,,noun,,,[none],,,[none],,[none],,,
family block,,noun,1,a single farm property owned jointly by family members.,[none],,,Rural,Farm Words,[none],,,
Family Court,,noun,,a division of a District Court which administers family law.,[none],,,[none],,[none],,,Not in OED; seems to have originated in US (see W3)
family farm,,noun,1,a farm owned and farmed by several family members through several generations.,[none],,,Rural,Farm Words,[none],,,
family farmer,,noun,,a member of a family actively involved in farming.,[none],,,Rural,,[none],,,
family farming,,noun,1,the farming of a single property by many family members or through generations.,[none],,,Rural,Farm Words,[none],,,
family group conference,,noun,,"a formal meeting of family members to make proposals and plans for dealing with children and young persons in need of care and protection, or who have committed offences.",[none],,,[none],,[none],,,Jim Cameron writes : Introduced by the Children Young Persons and their Families Act 1989 as part of the procedure for the care and protection of young people.
family home,,noun,,,[none],,,[none],,[none],joint family home,,
family protection,,noun,,a scheme whereby certain close relatives of a deceased person may apply to the court for a larger share of the estate than the will or the rules of intestate succesion give them,[none],,,[none],,[none],,,"Jim Cameron writes : A NZ innovation dating from 1900 (known originally as testators' family maintenance). See Family Protection Act 1908, and now Family Protection Act 1955. A similar scheme in England, introduced in 1926, is known as <i>family provision</i>. (I suspect that in recent popular usage, <i>family protection</i> may relate rather to the protection against violence that is the purpose of the Domestic Violence Act.)"
family services,,noun,,"abbreviation of Department of Child, Youth & Family Services (CYFS)?",[none],,,[none],,[none],,,
family shirker,,noun,,,[none],obsolete,,[none],,[none],,,WW1
family trust,,noun,,,,,,[none],,[none],,,
