Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
G,Feb 1981,Avondale College Slang Words in Use,,,,G's:inexperiencedworkers,
G truck,1940,"Man & His Wife, A",SARGESON,,1944,?Ahorsefloat;lorryorrailwaywagonforcarrying(race-)horses(?f.GG-truck).,
G truck,1946,That Summer,SARGESON,32,,We'dgoinaGtruckwiththehorses.,`Pair of Socks'
G truck,1964,Collected Stories,SARGESON,300,,Gtruck:railwaytruckfortransportinghorses.,Pearson Glossary
g'way,1981,Loughnan Glossary,LOUGHNAN,38,,G'way:initialcommandtosetadogonitsrun.,
G.A.,"Jul 22, 1854",Richmond-Atkinson Papers,,1/150,1960,IseeyouareaveryprominentfigureintheG.A.IexpecttoseetheintenseprovincialismofyouAucklandersagooddealsofteneddown.,"(C.W.Richmond) [to T.S.Forsaith, Auckland]"
G.B.,1966,"English Language in Aust. & NZ, The",,120,,"AsteephillonthebushtracktotheWellingtonstudent'strampingclubhutis(orusedtobe)knownastheG.B.orgutsbuster,andthenameisusedforotherhillsbytrampers.",
G.G.,"Feb 21, 1933",Na To Hoa Aroha,,3/64,,TheG.G.isvisitingSamoaandsomeoftheislandsoftheCookgroup...,Ngata
G.G.,1941,NZ Slang,BAKER,62,,ThetermsHisEx.ortheG.G.forourGovernor-Generalshavelongsincepassedintocolloquialspeech.,
G.G.,1968,NZ Contemp. Dict. Suppl. (Collins),,9,,"G.G.,then.theGovernorGeneral.SeealsoHisEx.",
G.G.,"Dec 14, 1985",Evening Post,,4,,[Hdg]SamoanlosespleatoG-Gtostayhere,
G.G.,"Jun 27, 2002",Evening Post,,17,,"G-GfearsforSA[headline]TheGovernor-General,SirPaulReeves,fearsthattheopportunitiesforanegotiated...settlementofthetensioninSouthAfricaaredisappearing.",
G.G.,"Oct 13, 1986",Evening Post,,2,,[Hdg]G-GwillrepeatMaorisleep-in,
G.G.,"Dec 14, 1986",Dominion,,8,,TheGovernor-General...hasstatedthat`NewZealandersmuststudytheTreatyofWaitangi...'...IstheG-GnotoutsidehisbriefintellingmeI`must'dosomething?,
G.G.,1988,Through the Looking Glass,DUDER,37,,"Itwasthetwilightofdebballs,thatfemaleriteofpassage...nolongertotheG-GatG-H,buttothetheBishopofAuckland...",
G.G.,2009,NZ Memories,,77/25,,Someonehadgotthetimingswrong-sowhatonearthwasItodowiththeGG?,
GABA,"Dec 15, 2005",Internet - see Notes,,,,WelcometoGabaTheGayAucklandBusinessAssociationwasstartedin1984asanorganisationofgaymenandlesbianwomeninbusinessandtheprofessions.,http://www.gaba.org.nz/
GABA,2008,Internet - see Notes,,,,<b>GABA</b>TheGayAucklandBusinessAssociationwasstartedin1984asanorganisationofgaymenandlesbianwomeninbusinessandtheprofessions.It's[sic]basicaimsare:topromoteandstrengthenthebusinessandprofessionalinterestsofourmembers;tobuildagayandlesbianbusinesscommunity;toprovideopportunitiesforinteractionamongstgaymenandwomenintheprofessionsandinbusiness;andtoprovidefundingandassistancetothegaycommunitythroughrequests[sic]totheGABACharitableTrust.Forfurtherinformationvisitwww.gaba.co.nz,http://www.heroicgardens.org.nz/sponsors.php
GABA,"Nov 16, 2005",Express (Gay & Lesbian Express),,24,,"OneofthemaineventsoftheGABAandtheAucklandGayandLesbiancommunityyearissettogoaswepreparefortheFantastic,FabulousandFullofFunXmasAuction.",
GABA,"May 21, 2008",Express (Gay & Lesbian Express),,9,,Don'tforgetthatweareonthehuntforoldgabaphotosthatwecanputonthenewwebsite(whichisjustweeksaway).,
gaff,"Sep 11, 1890",Otago Witness,,28,,"Insomepartstheeelswere""bobbed""or""gaffed""outbythehundredweight.",
gaff,"Sep 11, 1890",Otago Witness,,28,,"Insomepartstheeelswere""bobbed""or""gaffed""outbythehundredweight.",
gaff,"Jul 21, 1906",NZ Truth,,57/1/7,,"HastyMrHastie,anew`Tabernacle'parson,ofDunedin,hasbeensayingthingsaboutDunedin'snotoriousdrunkennessandsomeDunediniteswinceunderthegaff.",
gaff,"Jun 21, 2003",Dominion Post,,F6,,"Now,Idoremember,askids,somebrazenHawke'sBaybratsatthecreekarmedwithsuchaninstrumentandagaff-anasty-lookingstickwithabigfish-hookboundtoit.",
gaffer,1958,I'll Soldier No More,JOSEPH,237,,,get cit.
gaffer-taped,"Dec 5, 2004",Sunday (Sunday Star Times Magazine),,p23,,"Orthis:asneeringbadboyfromagoodhomeinashreddedSexPistolsT-shirt,pantscutfromasheetofblackpolyurethane,thengaffer-tapedaroundhislegs.",
gaffing,"Sep 11, 1890",Otago Witness,,28,,"Iwent""gaffing""inasmallstreamwhichranintotheWanaka,andgot14.",
gaffing joint,"Oct 13, 1906",NZ Truth,,69/1/5,,"Hesampledagaffingjointenroute,butwasfiredintothenightasbeingtoodrunk,anddayhadbrokenerehereachedahaven..",
gafu,1951,Brave Company,WILSON,48,,"`IrememberthatasfastasIgotasquadonitsfeettomove,itwasshotdownagain.'...`Whatagafu!'exclaimsCorry.<i>Ibid.</i>146Abloodygafuagain;silentnightadvance...hell!",
gafu,1988,"Dictionary of Kiwi Slang, A",McGILL,48,,"GAFUGodAlmightyfuck-up;theWWIINZSecondExpeditionaryForcevariationoftheRAF'sSNAFU(SituationNormalAllFuckedUp),usuallyareferencetodecisionsthatlandedfightingmeninimpossiblesituations.[JimHenderson]",WWII
"gag, the",1981,History of Children's Play,SUTTON-SMITH,231,,"Therearegamesrecordedinthisperiodforwhichthereisnorecordbefore1900thoughtheymaywellhaveexistedunderothernames....Canterbury:PoorOldTom,RatsandRabbitsandRips,Steps,SkintheSnake,StealaPeg,Toodle-em-Buck,TheGag.",
gaga,1988,Point of Departure,DEVANNY,7,,"Mostdelectableofthesewasthegagaorkiekie,theflowerofatoughgreatvine.",Quoted from c1900
gahnia,1969,Standard Common Names for Weeds,,28,,<i>gahnia[s]Gahnia</i>,
gahnia,1981,Weeds of Roadsides,TAYLOR,59,,GAHNIA(<i>Gahnia</i>spp.)Nativeperennialresemblingtoetoebutdroopingmore.Widespreadinforestandonsteepsroadside.,
gahnia,1982,Stewart Island Plants,WILSON,368,,<i>Gahniaprocera</i>GAHNIA...Largegreentussocksupto1mtall.,
gahnia,1996,Hunting for DOC,,16,,"Ienteredaworldof..gahnia,thatmostdespisedofrazor-sharpweeds.",
gahnia,1919,NZ Plants & Their Story,COCKAYNE,,,<i>Gahniaxanthocarpa</i>,
gahnia,1909,AJHR,COCKAYNE,,,<i>Gahniaprocera.</i>,Report on a Botanical Survey of Stewart Island
gain the bottom wire of the fence,1981,Sunrise on Hikurangi,SUTHERLAND & TAYLOR,58,,'Yououghttograbher.Thatwayyou'dgainthebottomwireofthefence.''Howdoyoumean?'She'stheboss'sdaughterandhe'stakenquiteashinetohimself...',
gain the bottom wire of the fence,"Nov 3, 2002",Dominion,,C6,,"Ifawhareboy(singleshepherd)islucky,hemightgainthebottomwireofthefence(marrythefarmer'sdaughter).",??Dominion Nov 33 C6
