Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
G,,noun,,an inexperienced worker,[none],,,[none],,[none],,,
G,,abbreviation,,the drug GHB,[none],,,[none],,[none],,,Heard on Radio NZ 24/09/02
G truck,,noun,,,,,,[none],,[none],,,
g'way,,exclamation,1,a command to a sheep-dog to set out on a run.,[none],,,Rural,Farm Words,[none],,,
G.A.,,abbreviation,,The General Assembly (building).,,,,[none],,[none],,,Constr. the GA. obs.
G.A.,,abbreviation,,"The General Assembly Library, now part of the National Library.",,,,[none],,[none],,,
G.B.,,abbreviation,,guts buster,[none],,,[none],,[none],-,,(trampers')
G.G.,,abbreviation,,Governor-General,[none],,,[none],,[none],,,"also G-G, GG; compare His Ex"
GABA,,abbreviation,,Gay Auckland Business Association,acronym,,,[none],,[none],,,GABA started 1984
gadoa,,noun,,,,,,[none],,[none],katoa,,
gadoobrey,,noun,,"anything, doodacky",,,,[none],,[none],,,ca1953 H.S. Gajadhar Wellington
gaff,,verb,,,[none],,,[none],,[none],,,
gaff,1,verb,,"to land fish, esp. eels, using a stick with an iron hook",,,,[none],,[none],,,
gaff,3,noun,,Severe criticism.,,,,[none],,[none],,,
gaff,1,noun,2,"a stick with an iron hook for landing fish, esp. eels",,,,[none],,[none],,,
gaffer,,noun,,An officer of the Armed Services.,,,,[none],,[none],,,
gaffer-taped,,verb,,affixed with gaffer tape,,,,[none],,[none],,,
gaffing,,noun,,,[none],,,[none],,[none],,,
gaffing joint,,noun,,a gambling den.,[none],,,[none],,[none],,,
gafu,,noun,,a God-almighty fuck-up; a blunder or mess-up,acronym,,,[none],,[none],"cf. safu, tafu.",,
"gag, the",,noun,,,[none],,,[none],,[none],,,(children's)
gaga,,noun,,kiekie,[none],,,[none],,[none],,,see kiekie
gahnia,,noun,,"<i>Gahnia (?)sieberiana</i>, saw edge. A tall sharp-leaved adventive grass associated with kauri forests in Northland.",,,,[none],,[none],,,"Jim writes: No entry in OED or other general dictionaries, but mentioned e.,g. in <i>Readers Digest Gardeners' Encyclopedia of Plants and Flowers</i>. Its commonness and invasive status in parts of NZ may justify regarding it as distinctive NZE?"
gahnia,,noun,2,<i>Gahnia xanthocarpa. </i>,,,,[none],,[none],,,
gahnia,,noun,2,<i>Gahnia procera. </i>,[none],,,[none],,[none],,,
gain the bottom wire of the fence,,phrase,,to marry the daughter of the boss; to become a member of a farmer's family.,[none],,,Rural,Farm Words,[none],,,
gaiting,,noun,1,"[used earlier elsewhere, but sp. in New Zealand for flax drying] the forming of gaits, stacks or wigwams of flax fibres to enhance drying in drying paddocks.",[none],,,Rural,Farm Words,[none],,,
Gal Blacks,,noun,,a short-lived proposed name for the women's rugby union team that was given the name Black Ferns,[none],,,[none],,[none],,,
Gala,,noun,,Variety of apple,,,,[none],,[none],,,
galah,,noun,,a fool,,,,[none],,[none],,,[??OMIT as Wilson's folly??]
galatea,,noun,,A blue-striped cotton material; esp. galatea shirt,,,,[none],,[none],,,
galaxias,,noun,,"The generic name for various small freshwater fish; see also cockabully, inanga, koaro, kokopu, (mountain) trout.",,,,[none],,[none],,,
galaxias,,noun,2,,,,,[none],,[none],,,
galaxias,,noun,2,,,,,[none],,[none],,,
galaxias,,noun,2,,,,,[none],,[none],,,
galaxias,,noun,2,,,,,[none],,[none],,,
galaxias,,noun,2,,,,,[none],,[none],,,
galaxias,,noun,2,,,,,[none],,[none],,,
galaxias,,noun,2,,,,,[none],,[none],,,
galaxias,,noun,2,"Lowland Galaxias - taiwharu, <i>Galaxias brevipinnis </i>",,,,[none],,[none],,,
galaxias,,noun,2,,,,,[none],,[none],"mudfish, Canterbury.",,
galaxias,,noun,2,,,,,[none],,[none],,,
galaxiid,,noun,,,[none],,,Marine,,[none],,,
galinsoga,,noun,,,,,,[none],,[none],,,
Gallagher,,noun,,"let her go, Gallagher, cf. they're off, Mr Cutts.",[none],,,[none],,[none],,,
gallant soldier,,noun,,galinsoga (pop. etym.),[none],,,[none],,[none],,,
gallery-man,,noun,,A reporter attached to the Parliamentary Press gallery. [OED2 press-gallery 1897.],,,,[none],,[none],,,
galley,,noun,,a prison kitchen.,,,,[none],,[none],,,nautical use
galley fly,,noun,,,[none],,,[none],,[none],,,
galley-side,,noun,1,a piece of canvas used to form the wall of a tent.,[none],,,Rural,Farm Words,[none],,,
Gallipoli,,noun,,As a name symbolic of the whole of the Gallipoli peninsula and operation.,,,,[none],,[none],,,
Gallipoli,,noun,2,"Attrib. or in combin., esp. Gallipoli Day, an early ephemeral name for Anzac day.",[none],,,[none],,[none],,,
Gallipoli,,noun,3,,,,,[none],,[none],,,
Gallipoli rose,,noun,,,[none],,,[none],,[none],,,
galloper,,noun,,,,,,[none],,[none],,,
galloping,,noun,,thoroughbred horse racing,[none],,,[none],,[none],,,
gallops,,noun,,,,,,[none],,[none],,,
gallows,,noun,,"A wooden frame, usu. of two uprights and a crosspiece, on which carcases are hung to be dressed. See also Spanish gallows.",[none],,,[none],,[none],,,(farmers') also as meat gallows
gallows,,noun,2,,,,,[none],,[none],,,
gally,,verb,,"To frighten; to daze. Often as a pa ppl aj gallied (spg galeyed, gallid), occas. transf. to humans.",,,,[none],,[none],,,Whaling Hist.
gamble,,noun,,A `spreader' (phs the more usual term of butchers and farmers) for keeping the hocks of hung carcases apart.,[none],,,[none],,[none],,,
gambrel,,noun,,,,,,[none],,[none],gamble,,
game as Ned Kelly,,phrase,,,[none],,,[none],,[none],,,
Game Industry Board,,noun,1,a promotion and marketing board for deer velvet and venison.,[none],,,Rural,Farm Words,[none],GIB,,
game of two halves,,phrase,,,[none],,,[none],,[none],,,
game-recovery,,noun,,,[none],,,[none],,[none],,,
gamebreaker,,noun,,,,,,[none],,[none],,,
gang,,noun,,"In NZ, as elsewhere (OED 1627), the main word for a `team of workmen, a working team' associated here mainly with shearers, watersiders, road-workers, railway-workers; in children's use for a close-knit group with a leader and usu. a meeting-place; and more recently with bikie and other groups: hence, in attrib. use or combin. gang-bang (OED2 1953), gang-bash, gangie, gang-shag (OED2 1927), gang-slash, gang-splash, gangster.",,,,[none],,[none],,,"Also shearing gang, contract gang etc."
gang grubbing,,noun,1,the using of gangs of grubbers to eradicate nassella tussock.,[none],,,Rural,Farm Words,[none],,,
gang patch,,noun,,,[none],,,[none],,[none],,,
