Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
H-bug,"Mar 28, 1957",Hawke's Bay Herald,,6,,[Hdg]ForcedventilationtocheckH-Bugsuggested...itwasaparticularlyvirulentbreedofstaphylococcusthatwasdevelopingthemostmarkedresistancetoantibiotics.,
H.B.,"May 14, 1906",Chudleigh Diary,,432,1950,"Alargenumberofsheepinforsale15000iamtold....382withdrawnat13/6bestlotofH.Bs.<i>ibid.</i>437.79RomneyRams,33MerinoVermont,andH.B.Rams.",
H.P.R.,1981,Station Years,CRAWFORD,,,"Althoughmanyrunholderscametoregardthelandtheyleasedastheirown,theiroccupancywasintendedtobeonlyatemporaryusingofwastelanduntilitwasrequiredforclosersettlement.Anyone-therunholderincluded-couldbuythefreeholdofalloranypartofarunatanytimetoestablishafarm.However,someprotectionforrunholderswasessential,fortheycouldnotbeexpectedtoimprovetheirrunsifthelandandimprovementswereindangerofbeingfreeholdedwithoutwarningbyanoutsidebuyer.RunholderswereabletoregisterwiththeProvincialCouncilimprovementssuchasbuildings,plantations,fencing,andyards,forwhichtheyweregranted[246]animprovementpre-emptiveright(i.P.R.)coveringfiftyacresoflandsurroundingtheimprovement.Ahomesteadpre-emptiveright(H.P.R.),whichaffordedprotectionfor250acres,couldalsoberegistered....OneH.P.R.couldbetakenoutforeachpropertyanditwasonlybusinesslikethateachrunholdershouldusethisrighttosecure250acresaroundhishomesteadagainstpurchasebyanoutsider.AnH.P.R.wasinitiallyintendedtocovertheowner'sormanager'shome,but,inthecaseofrunsofover5,000acres,couldbeextendedtocoveranoutstation.",[ca1878]
H.P.R.,"May 4, 1907",NZ Truth,,98/2/3,,"Theterm`hack'asunderstoodinthiscountryisnotatalltobeconflictedwiththesametermasappliedelsewheretohorseracingunderthatcategory.AhackinNewZealandisahorsethathasnotwonacertainamountofmoneys[sic],andsoitisquitepossiblefortheDerbyfavoriteoftheyear,ortheNewZealandCupfavoritetobeahack.",(hist.)
H.R.,1989,NZ English Newsletter,,3/25,,H.R.:HeadRousie.,(Wallace Shearing Glossary)
H1,"Oct 1, 2008",Dominion Post,,B4,,"MorerecentlyigotdrunkinWellingtonwithpoliticalpeople.OneofthemreferredinahushedandreverentialvoicetoH1.""Who""isaid.""H1,""hesaid.""Helen.AsopposedtoH2.""""H2?""isaid.""Heatherhesaid.""HeatherSimpson.Herpoliticaladviser.""",
H2,"Aug 20, 2008",Dominion Post,,B5,,"""ShedoesnottrustthoseoutsidethesmallcircleinLabourandherchiefofstaff,HeatherSimpson,isknownasthesecondmostpowerfulpersoninNewZealand(knownasH2).""",
H2,"Nov 12, 2008",NZ Herald,,A5,,"H2likelytofollowherleaderoutofParliament.(hdg).Askedifshewouldcarryonwithhim,newLabourleaderPhilGoffsaidhebelievedtheoutgoingPrimeMinister'schief-of-staff,knownas""H2"",""willhavethingsshewishestodo"".",
H2,"Oct 1, 2008",Dominion Post,,B4,,"MorerecentlyigotdrunkinWellingtonwithpoliticalpeople.OneofthemreferredinahushedandreverentialvoicetoH1.""Who?""isaid.""H1,""hesaid.""Helen.AsopposedtoH2.""""H2?""isaid.""Heather,""hesaid.""HeatherSimpson.Herpoliticaladviser.""",
H2,"Oct 25, 2009",Sunday Star Times,,A5,,"HeatherSimpson,thelong-termassistantofformerprimeministerHelenClarkewhowasonceknownasH2,hasreturnedfromNewYorktomarryherpartner,SueVeart,inWellington.",
H2,"Sep 25, 2009",Sunday Star Times,,A5,,"HEATHERSiMPSON,thelong-termassistentofformerprimeministerHelenClarkwhowasonceknownasH2,hasreturnedfromNewYorktomarryherpartner,SueVeart,inWellington.",
Haast kiwi,"Aug 7, 1999",Listener (New Zealand Listener),,24,,LittleisyetknownabouttheHaastkiwiandthefirstresearchintothatspeciesisnowunderway.,
Haast kiwi,1897,TrNZi,,29/203,,"<i>Apteryxhaasti,</i>Potts.(Haast'sKiwi.)",(Buller)
Haast schist,Jul 1967,Geological Society of NZ Newsletter,,23/8,,"Ofconsiderablegeneralinterestistheplottingofthemineral-bearinglodesintheHaastSchistGroup,althoughitisdisconcertingtofindinthelegendthateffectivelyidenticalsymbolsareusedforquartzreefsandigneousdikes.",
Haast schist,Nov 1968,Geological Society of NZ Newsletter,,Vol 26,,"incontrasttotheTorlesseGrouptheHaastSchistisrepresentedwithconsiderablestructuraldetail,mainlyderivedfromGrindley(1963).",No page numbers in Newsletter 26
Haast tokoeka,Jan 2000,NZ Geographic,,No. 45/92,,"TheHaasttokoekaisouronlyalpinekiwi,andnumbersnomorethan250birds.",
Haast's buttercup,Nov 2002,Forest & Bird,,306/2,,Haast'sbuttercupgrowsonscreesfromtheKaikouraRangessouth.,
Haast's eagle,"Jan 6, 2005",Dominion Post,,A6,,"DNAresearchhasshedfascinatinglightonNewZealand'senormousHaast'seagle,whichoncestalkedthegiantmoathroughtheforests.",
Haast's eagle,"Oct 18, 2005",Listener (New Zealand Listener),,70,,"[Thedocumentary]thenbouncedbackandforwardbetweenGondwanaland(anonymousfootageoflavaflowsandvolcaniceruptions),theNewZealandof80millionyearsago(CGidinosaurs,Haaast'seagle,nativebush)andearlypolynesians.",
Haast's eagle,"Sep 4, 1992",Dominion,,1,,"Thenowextinctbird-knownashaast'seagleandtotheMaorispouakai,oroldglutton-wasonshowatWellingtonZooyesterday.",
haastia,1906,Plants of NZ,LAiNG & BLACKWELL,,,(And),
habilitation centre,Jan 1999,NZWords,,2,,"Anotheroldword-habilitation-wasdustedoffafewyearsagoandisusedinthecompoundhabilitationcentre,aresidentialcentreoperatingprogrammestoroffenders.ThismaybeadistinctivelyNewZealandterm.",
habitual,1980,While We Have Prisons,MacKENZiE,10,,"infactmosthabitualcriminalswereverywellbehavedinprison,preciselybecausetheywerehabitualsandknewtheropes.",
Habitual Criminal,1945,in Prison,BURTON,133,,"Thisisanindeterminatesentence,andcanonlybegiventoamanwhohasbeendeclaredanHabitualCriminal....Unlessthe`Act'isliftedfromhimbyajudgeoftheSupremeCourtitwillcontinueinforcefortherestofhislife.Amongconvictsthisparticularsentenceisisknownasthe`dogcollar'forobviousreasons.",
