Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
I'll go he,1959,"Gun in My Hand, A",SLATTER,45,,"`Ididn'tknowyoureadpoetry,Willie.WellI'llgohe.Isthatfairdinkum?'",
I'll go he,"Feb 5, 1983",Listener (New Zealand Listener),,72,,"ListeningtheotherdaytoaBCNZtalk,Icameacrossanotherinstanceofachildhoodphrase,thistimesurvivingintoadultspeech.ThespeakerwasanelderlymanrecountinghismemoriesoftheDepression.Recallingthosegrimdays,hesaid`Ifthisisn'tpoverty,I'llgohe!'",[I.A. Gordon]
I'll go he,1983,"Dictionary of Kiwi Slang, A",McGILL,55,,"he,phr.I'llgoheexclamationofsurprise;believedbyPartridgefromchildren'sgamewherechildblindfoldedorotherwisedisadvantaged;eg`Ifthat'snotanotornis,I'llgohe.'c.1920.",
I'll see you right,1988,"Dictionary of Kiwi Slang, A",,61,,"I'llseeyourighttypicallymateypromisetolookaftersomeoneintroubleorneed;eg`Don'tworry,mate,I'llseeyourightformoney.'[JimHenderson]",
I'm not having any,1934,By Pacific Waters,BLAIR,76,,`WouldittakeyoutoPaue-kiricrest?'`ItwouldbutIamnothavingany.',
I've got a carbunkle on me pollywonkle,1988,"Dictionary of Kiwi Slang, A",,61,,"I'vegotacarbunkleonmypollywonklefacetiousreplytoenquiryaboutwhat'swrong,usuallyfromaquestion-happykid.",
IA,"Aug 4, 2001",Listener (New Zealand Listener),,20,,"TobuildBritomarttheyneed$91.5mfromabodycalledInfrastructureAuckland(IA),formedwhenitwasdecided,
uncharacteristically,nottogiveeachAucklanderashareofthespoilsfromsellingthecity'sassets,buttokeepmoneytobuythelittlethingsthatmakelifebetter,liketransport.IAismeetingtodaytodecidewhetheritwillhandoverthecash.",
IB,"Oct 9, 2004",Listener (New Zealand Listener),,24,,AlotofpeoplecomeontoSBwhenthey'refirstdiagnosedwithanillnesssuchascancer...TheywillgoontotheIBwhenitbecomesapparentthatthismaynothappen.,
IC and A,1984,Blackball 08,BEARDSLEY,27,,"...theycouldgoonstrike.AndoldJohnFoster,theunionpresident,wasaghast.Whyhesaid,that'dbreachtheI.C.andA.<i>Ibid.</i>244I.C.andA.IndustrialConciliationandArbitrationAct",
ICANZ,"Jun 11, 1990",Listener (New Zealand Listener),,24,,HisstatementswillbewelcomedbyanorganisationcalledInter-CountryAdoptionNewZealand(Icanz)setuplastDecember..tolobbyfortherelaxationinpolicyheisaskingCabinettoapprove.,
ice,"Oct 5, 2003",Sunday Star Times,,A7,,"Policeandcustomsagentsfightingskyrocketingincreasesinimportedmethamphetamineandecstasyarebracingforthemorepotentandaddictivedrug""Ice"".",
ice block,Jul 2000,Internet - see Notes,,,,iceblock:popsicle,From <i>N.Z. English to U.S. English Dictionary</i> at http://nz.com/NZ/Culture/NZDic.html
ice block,Jan 1989,Pacific Way,,10,,"Americanchildren,bytheway,eatpopsicles.Aniceblocktothemissomethingapolarbearstandson.",Sharp New Zildish
ice block,2007,Get on the Waka,ed. Ihimaera,16,,Otherswereoffattheshopsgettingiceblocksorsquizzingattheboatsdownatthewharf.,(Lindsay Charman-Love)
ice cave,1975,Footprints on a Frozen Continent,McPHERSON,45,1979,"SpectacularicecavesarelocatedonRossIslandwithinafewminutes'walkingdistanceofScottBase.Theseconsistoftunnels,cavernsandhallwaysdeepinsidetheice,andwereproducedbythecurlingofasnowfieldcorniceontoitself.",
ice cave,"Apr 18, 1952",Evening Post,,10,,Bothweredazedbythefallandmadeforanicecavetoseekprotectionfromtheprevailingsnowstorm.,
ice cave,"Sep 28, 2002",Dominion Post,,F12,,"Suddenly,theideaofspendinganightinasnowcaveisdisturbinglyappealing...Snowcavesarewindproof,soundproofandmaintainaninsidetemperatureofjustabove0C.",
ice cave,1940,"Canterbury Mountaineer, The",,IX/83,,"Itseemsthereisquitealottobesaidforacamponhighsnow,butprobablyicecavesandiglooscanbestillmoresatisfactorytothe
ever-increasingnumberofCanterburyclimberswhoseeknottheordinaryway.",
ice,1980,While We Have Prisons,MACKENZIE,97,,icediamonds,(Lag's Lexicon)
ice,1986,NZ Pocket Oxford Dictionary,,370,,iceblockNZkindofwater-iceonstick.,nf. 1982 Collins Concise Eng. Dict.; 1985 Collins NZ Compact Dict. 243
ice training,Jul 1997,Geological Society of NZ Newsletter,,113/90,,"ThestudentwillthengotoBAS,Cambridge,haveafewweeksoncurrentcollectionofLatadyfaunas,undertakeicetrainingandthenjointhe1998-9fieldpartyinAntarticaforadetailedstudyofsectionsandcollectingoffurthersamples.",
"Ice, the",2001,Gateway to the Ice,PHILLIPS,Title page,,[Title]GatewaytotheIce:ChristchurchInternationalAirport-AntarcticLinksfrom1955.,
"Ice, the",1948,Port Chalmers,BOWMAN,78,,"ThefirstexpeditionactuallytousethewharvesinthePortwasthatofSirGeorgeNewnes..whoseshipthe<i>SouthernCross</i>..returnedtoPostChalmersfromtheAntarcticinMarchof1889,afterhavingleftapartyofscientistsontheice.",
"Ice, the",Jul 1997,Geological Society of NZ Newsletter,,113/90,,Aseasonontheicemayberequired.,
"Ice, the","Nov 7, 2004",Sunday Star Times,,C6,,AnextraordinarynumberofNewZealandersknowsomeonewhohasbeendowntotheice.,
"Ice, the","Dec 12, 2003",Dominion Post,,A3,,ButtheUSandNZgovernment-fundedagenciesontheicehavedeclinedhisrequest.,
"Ice, the","Jul 19, 2003",Listener (New Zealand Listener),,26,,"""Duke"",asheisknowntoallontheice,laughsatthedescription,abroadgrincreasinghisclippedsergeant-majorfeatures.",
"Ice, the","Nov 30, 2004",Dominion Post,,B4,,"ForeignAffairsandTradeMinisterPhilGoff,inAntarcticathisweekwithSirEdHillary,recalledwithashudderhisfirstvisittotheice.",
"Ice, the",1983,Personal Communication,,,,"TheIce,Antarctica,f.c1960.`They'rewinteringoverontheIce.'","Tony Deverson, Christchurch"
"Ice, the",1997,"Year On Ice, A",,22,,JanandScottyarelucky:theygettotaketomorrow'sflightinaC-5Galaxy-thelargestofalltheaircraftthatflytotheice.,
"Ice, the",1995,"Tip of the Iceberg, The",HARROWFIELD,35,,"In1990whentheC-5weighing380tonnesleftfortheice,therewerethreeUSAFcolonelsandayoungpilotaboard.",
"Ice, the",1975,"Nothing Venture, Nothing Win",HILLARY,159,,[Hdg]WinterontheIce,
"Ice, the",1997,Last Port to Antarctica,CHURCH,108,,"On28December[1[59],wordwasreceivedthatwewereagainneededonstationandwehustleddownsouthtoassistanRD-4onitstriptotheice.",
"Ice, the",1962,One Foot at the Pole,HENDERSON,25,,"""Thechapnextdoorshowedmealotofcolourslides,'saystheBlueStartaxi-driverofCarNumber9.'He'sbeenthere,downtotheice.""<i>Ibid.</i>41Saturday,1.45p.m.Headingsouth-'DowntotheIce',astheyallsay-sincetake-offatChristchurchat11a.m.",
ice-bird,"Nov 23, 1850",Journal of Edward Ward,,69,1957,,
ice-bird,1851,Biscuit and Butter,,62,1973,Yesterdaywecaught7largeicebirdswithafishhook.[fn63]Large`icebirds'mayhavebeenAntarcticfulmarsratherthansnowpetrels.,Kennaway Journal
ice-bird,1888,Far South,DOUGALL,19,,"Thepenguins,mollyhawks,andice-birds,makethe[Bounty]islandstheirbreedingplace...[20]Theice-birdisaveryprettycreatureaboutthesizeofapigeon,abeautifulpaleblueincolour,brightandclear.",
ice-plant,1888,TrNZI,,20:,,<i>Mesembryanthemumaustrale</i>,
ice-plant,1898,Austral English,MORRIS,209,,"<i>Ice-plant</i>...Tasmaniannamefor<i>Tetragoniaimplexicoma,</i>Hook.,N.O.<i>Ficoidea</i>,B.F1.Variousspeciesof<i>Tetragoniaarecultivatedas<i>Spinach</i>(q.v.).[1889]",
ice-plant,1907,Plants of NZ,LAING & BLACKWELL,160,1940 ed. p. 167,"<i>Mesembryanthemumaustrale(TheSouthernMesembryanthemum)</i>...Calledbythecolonists,<i>pigs'facesorice-plant.</i>",
ice-plant,1907,AJHR,COCKAYNE,C-8,,<i>Mesembryanthemumaustrale</i>,Report on Botanical Survey of Kapiti Island
ice-plant,1909,AJHR,COCKAYNE,C-12,,<i>Mesembryanthemumaustrale</i>,Botanical Survey Stewart Island
ice-plant,1910,NZ Plants,COCKAYNE,63,,"Theice-plant
(<i>Mesembryanthemumaustrale</i>,pig's-face,horokaka),whichsofrequentlydrapesthecoastalcliffs",
ice-plant,1919,NZ Plants & Their Story,COCKAYNE,,,<i>Mesembryanthemumaustrale</i>,
ice-plant,1924,"Cultivation of NZ Plants, The",COCKAYNE,,,<i>Mesembryanthemumaustrale</i>,
ice-plant,1952,Chatham Islands,RICHARDS,27,,<i>MESEMBRYANTHEMUM...australe...IcePlant.HORO-KAKA,
ice-plant,1957,Dictionary of the Maori Language,WILLIAMS,61,,"<i>Horokaka,...Disphymaaustrale,ice-plant.</i>",
ice-plant,1958,Whitcombe's Modern Junior Dictionary (8th edn),,204,8th ed.,"ice-plantTheTasmaniannameforaplantalliedto`NewZealandspinach',andtothemesembryanthemumor`pig-face'.2.=?<i>Carpobrotusedulis.</i>",
ice-plant,"Jul 12, 2003",Dominion Post,,F9,,"Benpacesaheadofme,quarteringthedunesforscent,hisnoseonlycentimetresfromthesandandpatchesoficeplantwherethefeathersofgullshavecaughtbetweenthicksucculentleavesandinthedeadheadsoftheiryellowflowers.",
ice-plant,1969,Standard Common Names for Weeds,,39,,"<i>iceplant[=]wildportulaca[s]</i>...<i>iceplant,[s]Carpobrotusedulis</i>(L.)Bolus",
ice-plant,1899,Students' Flora,KIRK,,,<i>Tetragonatrigyna</i>,
ice-plant,1867,"Handbook for New Zealand, The",HOOKER,765,,"Ice-plant,native,<i>Tetragoniaexpansa</i>and<i>Mesembryanthemumaustrale</i>.",(List of Names)
ice-plant,1982,Stewart Island Plants,WILSON,146,,<i>Disphymaaustrale</i>HOROKAKA...Nativeiceplant...Succulent...Leavespeg-like...Flowerspink.,
ice-plant,1988,Forest Vines to Snow Tussocks,DAWSON,155,,"Inthemostexposedsituationslowgrowingsucculentplantspredominate,includingthenativeiceplant<i>Disphymaaustrale,</i>theglasswort<i>Sarcocorniaquinqueflora</i>,Apiumprostratum</i>and<i>Seneciolautus.</i>",
ice-plant,1867,Handbook NZ Flora (List of Names),HOOKER,,,<i>Tetragoniaexpansa</i>nativeice-plant,
ice-plant,1910,NZ Plants & Their Story,COCKAYNE,,,<i>Mesembryanthemumaustrale</i>,
ice-plant,1919,NZ Plants & Their Story,COCKAYNE,,2nd,<i>Mesembryanthemumaustrale</i>2n,
ice-plant,1969,Standard Common Names for Weeds,,39,,<i>iceplantNewZealand[s]Disphymaaustrale</i>(Ait.)<i>Ibid.</i>53<i>NewZealandiceplant[s]Disphymaaustrale</i>(Ait.),
ice-plant,1981,NZ Medicinal Plants,,BROOKER et al.,54,"<i>Disphymaaustrale</i>(Sol.)J.M.BlackCommonnames:<i>NewZealandiceplant,round-leavedpigface</i>Maorinames:<i>Horokaka,ruerueke</i>...Thisplant,generallyknownas<i>Mesembryanthemumaustrale</i>,isacommonseashoreiceplantinNewZealand,Australia,",
ice-rafted,Nov 1974,Geological Society of NZ Newsletter,,38/18,,"Inseparatepapers,BarrettandKempdemonstratedthatAntarcticawasextensivelyice-coveredbylateOligocenetime,whenthefirstice-rafteddebrisappearsinRossSeasequences.",
iceberg,1966,NZ Contemp. Dict. (Aust.-NZ Suppl.),,617,,icebergn.onewhoswimsorsurfsregularlyhroughoutthewinter.[?Austcontrast?NZPolarBear],
icecream tree,"Aug 10, 2002",Dominion Post,,F14,,"Conservationistscallthefuchsiaan""icecreamtree""becausepossumsfavouritaboveallelse,butherewhatlookslikeravagingpestdamageisjustwhathealthyfuchsiasdo.",
Icehouse,"Jan 10, 2006",NZ Herald,,C4,,InquiriesaboutTheIcehousejumpedabout30percentlastyearbuttheAucklandUniversitybasedbusinessincubatorwasstillnotrunningatcapacity...TheIcehouse(IcemeansInternationalCentreforEntrepreneurship)wassetupin2001bytheuniversity'sbusinessschoolandagroupofleadingcorporates...,
ickem,1988,"Dictionary of Kiwi Slang, A",McGILL,60,,"ickemsoftsheeporcowshit,notthehardblackhailordried-outvariety,butthestuffinwhichyoucanstampoutanindeliblefootprint.[Shepard]",
icon species,Apr 2005,National Waterways Project,,18/1,,"Theinvertebratesandfishincludemostofthe""iconspecies"",wellknownbecausethey'relargeenoughtobeeasilyseenwithouttheaidofamicroscope...",
identity,1934,Journalese,HYDE,225,,"Thesonofoneofthewealthiesttownidentities...usedtodrivehisspankingequipagehere,...",
identity,1937,Dictionary of Slang,PARTRIDGE,419,,"Identity.Aperson,esp.ofsome-gen.ratherquaint-importance.Chieflyinphrase,anoldidentity:coll.:orig.(1862)NewZealand;then(-1879)Australia.ExatopicalsongbyR.Thatcher.Morris.",
identity,1949,Dictionary of Slang Addenda,PARTRIDGE,1082,,"Identity.`Itwascurrentbefore[1862]...TheanonymouswriterofOtago,ItsGoldfieldsandResources,of1862,declaresthat`theexclusivespiritoftheoldidentity'waspartofthecurseofDunedin,'Baker(1941),whoindicatesitsprob.originin`theearlysettlersshouldendeavourtopreservetheiroldidentity'.",
identity,1956,Life & Work at Canterbury Agricultural College,BLAIR,25,,"`Paddlor'Graywasthefirstofthelong-servingstaff`identities'knownandreveredbyhundredsofstudents<i>Ibid.</i>74BothJ.LintonSenr.andW.StreetbecameCollegeidentities.<i>Ibid.</i>139ThatidentityoftheHouseofthosedays,J.A.Lee,LabourmemberforGreyLynn",
identity,"Aug 11, 1980",Dominion,,3/4-5,,"POETDenisGlover,whodiedonSaturday,wasasmuchathometalkingfootballandboatswithhard-case,down-to-earthfolksashewastalkingcraftwiththemostfastidiousliteraryidentity.",
identity,1982,Master of Big Jingles,MARSHALL,66,,"[anoldorlongtimeresident]`Wallyknowseverybodyaroundhere,'saidKen.`He'salocalidentity.'",
identity,"Jul 13, 1986",Sunday News,,3,,TheAucklandDistrictLawSocietyandsomeofitsleadingidentitiesarealsoexpectedtobeinforafewshockswhenMrRyandishesoutbroadsidesontheStewartRoyalCommission.,
identity,1986,NZ Pocket Oxford Dictionary,,371,,identity...oldidentityNZ&Austral.personlongresidentorwell-knowninaplace.,nf 1982 Collins Concise Eng. Dict.; 1985 Collins NZ Compact Dict. 244
identity,1866,NZ & Australian Songster,SMALL,26,1970,"AnymanbutaScotwouldbesoonsenttopot,/ForDunedinwasthenan`Identity'shop.",
identity,1898,Contributions to the Early History of New Zealand,HOCKEN,33,,"...thewhalingstationinPreservationInlet,foundedin1829,andbelongingtoCaptainPeterWilliams-anoldOtagoidentity,betterknownas`BillyWilliams',whodiedinDunedininJune,1868.",
identity,"Sep 23, 1905",NZ Truth,,14/5/54,,[Caption]ThreeAucklandIdentities.,
identity,1914,"Diggers' Story, The",PFAFF,117,,"Thepolice-oldNelsonidentities-werequiteunpreparedforanysuchemergency,...",
identity,1926,"Lost Tribute, The",BLACKWELL,,,[Blurb]Anotherwell-knownTaranakiidentityisintroduced.,
identity,"Oct 16, 1952",Evening Post,,16,,"[Caption]UnionIdentitiesDiffer,Compromise.MrJamesRoberts,manytimesUnionadvocate...andformerunionsecretary....",
identity,1980,"Personal Kiwi-Yankee Dictionary, A",LELAND,72,,identity:someonewho'sbeenaroundalongtime.`AnoldWellingtonidentity'.,
"identity, the",1887,History of the Early Gold Discoveries  in Otago,PYKE,2,,[Thefirstdiggerimmigrants]alightedonagoldencountry-acircumstancewhichsomeof`theIdentity'-aphrasefirstbroughtintousebyMrEdwardCargill-stillprofesstoregardinthelightofacalamity.,
Idlealong,"Sep 26, 1935",Dominion,,11,,"Rulesforthe""IdleAlong""classChampionshipsofNewZealandwereapprovedbytheWellingtonProvincialYachtandMotor-BoatAssociationatitsmeetinglastnight.",
Idlealong,1991,Ebb & Flow,HARRISON,63,,"Itwasdecidedtoleavethe
IdlealongchampionshipinthehandsofA.T.Round.",Quoted from 1935
Idlealong,1991,Ebb & Flow,HARRISON,77,,InSeptember1948theClubappointedmeasurerstothedinghyracingclassesasfollows:PeterLambtotheIClass(Idlealong).,
Idlealong,1948,Little Ships: NZ's Yachting Fleet,CARTER,13,,"LessthantenyearsagoMr.AlfHarvey,ofWellington,conductedaseriesofexperimentsinanefforttoevolveasuitablesmallclassracer,andtheresultsofhiseffortsareseentodayintheever-increasingfleetofIdleAlongcraft...Theboatsareofarestrictedtypeandmeasure12.8feetoverall,andhaveabeamofapproximately6feet.Theyarebuiltonthesquarechineprinciple,withagoodriseinfloorforwardofamidships,whichflattensouttoabroadtuckstern.Theoriginalmodelwasgunterrigged,butitwasfound..theboatsperformbetterwithaBermudianrig.",
Idlealong,1964,Give a Man a Boat,MANDER & O'NEILL,21,,"AchapcalledAlfHarvey,fromPetone,camealongintheearly1930sandbuiltaboathenamedIdleAlongwhich,becauseofitsbeamandstabilityandroominess,appealedtoagreatnumberofpeople.Herewasthemiddleman'sboat.Ibid.62TheIdleAlongwashard-chinedliketheZclassandmuchbiggerthanthetwoinchesdifferenceinlengthwouldleadonetoimagine.",
Idlealong,1978,Little Ships of NZ,TICHENER,72,,"TheIdleAlongclassthrivedinthelate1940sand1950s,butincommonwithotherclassessuchastheZandX,thechangetoplywoodconstructionwaslefttoolate.Theclassslowlydeclinedandfinallydiedinthelate1960s.",
Idlealong,Sep 1966,Yachting the NZ Way,DYSON,159,,TheIdleAlongwasdesignedbeforeWordWarIItosuittheblusteryconditionsofWellington.,
idler-pulley,1923,Small Sawmills,MALFROY,39,,Jockeypulley..Apulleywhichisusedtopressonthebelttotightenuptheslackandthuspreventslipping.Itissometimescalledan`idler-pulley.',
if your brains was barbed wire...,1988,"Dictionary of Kiwi Slang, A",McGILL,60,,"ifyourbrainswasbarbedwire,youcouldn'tfenceadunnyyouarestupid;StevanEldred-Grigg'sOraclesandMiracles,1987,ofpre-1939era.",
IFINZ,"Jan 27, 2003",Dominion Post,,C1,,"MrHockingisexecutivedirectorofoneofNewZealand'snewestindustrybodies,theInstituteofFinanceProfessionalsofNewZealand...""WehaveanongoingneedtobuildtheIFINZbrand...""",
ifoga,Apr 2002,Wel-com (Wellington),,20,,"Theyincludethepenitentialritesknownasifoga,whichrepresentsthetraditionalwayofsayingsorry.",
ifoga,"Jul 29, 2000",Evening Post,,4,,"Doyouthink,inyourrightminds,theycouldgiveifoga(forgiveness)tothepeoplewhodidthistothem?",
ifoga,"Sep 1, 2001",Listener (New Zealand Listener),,58,,"Ifoga,whichlterallymeans""tobow"""",isthetraditionalSamoanpracticeofaritualisedformalofferofanapologybyanoffenderafteranactofviolenceortransgression.",
iggery,"Sep 20, 1943",NZEF Times,,III/117 : 10,,TwentyJapbattleshipssunk..tenverylikelies-finishwar-issuemedals-iggery.,
iggri,"Jan 26, 1942",NZEF Times,,I/31 : 6,,ThentaketheRacingWriters(takethelotofthemandtakethemigri).,
iggri,"Mar 9, 1942",NZEF Times,,I/37 : 5,,"""Egri,George,Bab-el-Louk.""",
iggri,1970,On the Ball,SLATTER,138,,NowWalesarehackingtheballthroughandgivingtheKiwisabitofigributFredAllenvolunteerstocomein...,
iggry,1987,After Z-Hour,KNOX,84,,"Fromtheflooravoicesaid,'Helockeditsohecouldiggryoffandburythebody.'",
ignimbrite,1932,NZ Journal of Science & Technology,,13/200,,"Thetypeofrocksformedinthiswayvariesgreatly,butitissuggestedthattheyshouldallbeincludedinaseparategroup,forwhichthenameIgnimbriteseemssatisfactory.",Marshall
ignimbrite,Apr 1985,Geological Society of NZ Newsletter,,67/40,,"MyfirstchoicehereisPatrickMarshall'spioneerworkonignimbrites,therecognitionofwhichopenedupwholenewvistasinvolcanologyandconceptsofacidmagmagenesis.",
ignimbrite,Apr 1985,Geological Society of NZ Newsletter,,67/43,,IgnimbritesrepresentoneofanumberofaspectsofNewZealandgeologywhichprovedsufficientlyunusualbytraditionalworldstandardsastodemandnovelideasanddiscoveries.,
