Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
J class,Jun 2004,North & South,,84,,JclasslocomotiveswerelighterweightandlesscoalhungrythanthepowerfulKsandcouldrunonlighterregionallines.,
J-Force,"May 7, 1947",NZ Observer,,9,,NewZealand'sJ-Forceistobecutfrom4200to2400men.,
J-Force,1984,Red Coat to Jungle Green,BARBER,127,,"[Freyberg]recommendedthattheNewZealandJayforceshouldbebasicallyvoluntaryincompositionbutwiththegapsfilledbyconcripts...Jayforcewasreducedto4000allranks-tobemainlymilitary,withanartillery,engineer,medical,ordinance,signalsandprovostsupport.",
J-Force,"Dec 2, 1953",NZ Truth,,19,,[Hdg]Kayforce&Jayforce.,
J-Force,"Oct 9, 1945",Documents Relating to the Second World War,,2/445,,"Jayforceiscomingintobeingonorabout15Octoberanditwillbebuiltupandorganisedinthecourseoftwomonths....InviewofyourdesireforleavetoEnglandforJayforcepersonnel,wearearrangingtosend....",1945 Oct 9 Freyberg to Prime Minister in 1951 Documents
J-Force,Mar 1951,Here & Now,,9,,"TheNewZealandcontingentinKoreaisnotlarge.Itwasspokenofasa`token'force.Andifitweremainlyserving,asJ-Forcedid,asoccupationandpolicetroops,itwouldnotmattermuchtous...",
J-Force,1984,Red Coat to Jungle Green,BARBER,126,,BeforethecloseofAugust1945theNewZealandGovernmenttocontributetotheCommonwealth[occupation]force...ThiswastobeJayforce.,
J-Force,1986,"WAAC Story, The",LATHAM,44,,ThirtysixWAACpostedto6GHwenttoJapanwith`J'Forceon15December1945aspartoftheOccupationalForcethere.<i>Ibid.</i>188SomeoftheSistersandNursesfromtherecameonwithustoFlorencewhereJayForcewasformed.,
J-Force,"Jun 20, 1947",Dominion,,8,,The2NZEFAssociationinhistownhadstatedthatitwouldacceptJ-ForcesoldiersasmembersbecausetheR.S.A.wouldnot.,
J-Force,"Jun 20, 1947",Dominion,,8,,J-Force..sufferedfromaninferioritycomplexbecauseitsmembersfelttheydidnothavethebackingtheyshould.,
J-Force,"Jun 20, 1947",Dominion,,8,,The2NZEFAssociationinhistownhadstatedthatitwouldacceptJ-ForcesoldiersasmembersbecausetheR.S.A.wouldnot.,
jabarama,"Oct 22, 2005",Dominion Post,,A1,,[heading]Jabaramastogetteensvaccinated,
jabber and jaw,1984,Blackball 08,BEARDSLEY,244,,jabberandjawchatterandidletalk,Glossary
jabber yabber,1916,"Wowser, The",THORNTON,39,,Ican'tstandanymoreofthisjabberyabber.,
jabberjockey,"Jan 25, 1993",Dominion,,8,,"Thisfollowspartlyfromtheelevationofthejabberjockeystothestatusof""personalities"",whomustwoo,thenmassagetheirpublics.",
jack,"Dec 13, 2003",Dominion Post,,E10,,"Icastasmalldryflytoitandittookhungrilybeforetracingaweekarcthroughthepoolandstoppedatmyfeet,adarkslabbyjack,alljawandhead,withaskinnytaperingbody.Afishatdeath'sdoor,spentwiththetrialsofspawning.",
Jack and Jill,1946,There Was Gold,MILLER,31,,...andheneverupwentthehill.ItwasalwaysuptheJackandJill.,[ca1932]
Jack and Jill,1982,"Big Huey, The",NEWBOLD,249,,JACKANDJILLS(n)Pills.,glossary
jack diver,"Sep 3, 1910",Otago Daily Times,,14,,"Theseabirdsknowntothekeepersas""jackdivers""is[sic]alittleblack-plumagedbird,withremarkablepowersofdiving.",
jack,1988,Tales of Pioneer Women,,211,,Thejointwashungonajackandwaskeptturningwhilethefatwascaughtinapanbelow.,Writing of 1940
jack,1974,Australian & NZ English [TS],SYDER & HODGETTS,584,(1962-63),"[?notusedinNewZealand]Tobeawareofthe`snags'orhiddenpitfalls..in4;`Thegearsslip,outitdidn'tworryme.AfterI'ddrivenitawhileIwasjacktothat.'",
jack,1982,MAF Agricultural Glossary,,48,,Stag(orJack):Adultmaleturkey.,
jack,"Oct 7, 1963",Evening Post,,14/1-3,,"Thesetwowell-fleshedbrowntrout,male(jack)ontherightandfemale(hen)ontheleft,couldnothavebeenpayingattentiontothehazardsoftheHuttRiver.OEDsb'30;W34a(4)ayoungmalefish).",
jack,"Oct 17, 1972",NZ Truth,,7/1,,"Lookatyourdivorces,mostofwhicharetheresultofthewomangettinginvolvedwithsomeotherguy,orthejackgetssickoffishinginthesamepond.",
jack,1977,NZ Short Stories,,192,,"Here-fedthebarrelsandmarched,jauntywiththebigjack'slong,black-tippedearstrailingbehindhim...Hefelttheweightofthebigjackashewalked....[193]Roylaiddownthegunandthebigjackhare,...",Mincher (Lazy Sunday)
jack,1937,Dictionary of Slang,PARTRIDGE,432,,"Jacks,the.Militarypolice:AustralianandNewZealandmilitary,1914-18.(Veryrareinsingular.)SeeJack,n.,c.senses.-2.Hence,inNewZealandc.(-1932),thepolice.",
jack,1949,Dictionary of the Underworld,PARTRIDGE,359,1961,"Thepolice:NewZealand:sinceca.1910NelsonBaylis,privateletterof1932.Cf.John,6.-->P8:606JACK...apoliceman(ca1865Br)f.genAuss.ca1910[??]",
jack,"Apr 2, 1938","Press, The",,18,,"[Inlocalcriminalslang]...`thejacks'arepolicemen,...",McNab NZ Slang
jack,1964,Collected Stories,SARGESON,301,,"jacks,johns:police.",1964 Pearson Glossary to 1964 Sargeson Collected Stories 1935-1963
jack,1946,That Summer,SARGESON,102,,Acrowdofjacksinplainclothes.,
jack,1974,Maori Woman,HILLIARD,35,,Youtakepresentsfromanyoneelseandit'llbeyourneckthatgetsscrewed...Especiallyfromjacks.,
jack,1982,"Big Huey, The",NEWBOLD,249,,JACK(n)1.Detective.,
jack,1926,Transport Workers' Song Book,,30,,"Quick,onwithyourcoats-here'sthe`John'.",
jack,2001,Huia 4: Contemp. Maori Fiction,,125,,"Yeah,Mumsayswhensheseesthecarsuphereshe'sgottacomeupandhaveajack.",
jack,1976,Loosehead Len's Bumper Thump Book,GIFFORD,7,,...theBokfullbackBuchlertakesajackatthepill...,
jack,1984,Outside In,BEATON,74,,GINNY:Lookwho'stalkin'.Yousshouldhaveajackatherdiary.ibid.Glossary110haveajackat:totakealookat.,
jack,1988,"Dictionary of Kiwi Slang, A",McGILL,62,,"jackalook;eg`Let'stakeajackatthisnewbowler,eh?'-toorganiseorprepare;eg`I'llleaveyoutojackthiscrew,Jill,andI'lltaketherest.'-jackofridoforwearyof;eg`WouldIliketobejackofthoselittletwerps!'c.1890.NZA.-jackuptofixorrenovate;eg`Canyoujackupbillets?'-topropup;fromacarjack;eg`Ifwecanjackupthisfenceitmightlastafewmoreyears.'NZA.-toraise,asinpricesandwages;eg`Iseethisbloodygovernment'sjackeduptaxesagain.'NZA.-tobeframedorputintroubleordeceived;fromdouble-headedpennyknownasa`jack'inthegameoftwo-up;eg`It'sprettyobviousit'sajackupbetweenthetwoleaders.'",
jack,1999,Shooting from the Lip,HUGHES,26,,"Theterm'jack'hadmanyapplicationsinarmy-speak.Themostall-encompassingdefinitionofthewordisthatitdescribed'mildtreachery'.Onecould'gojack'onsomeonebyrefusingtoagreetoareasonablerequest,orapersoncould'bejack'justbybeinguntrustworthyorselfish.",
jack,Dec 1998,Medjugorge News (NZ),,11,,WeeventuallymadeourrespectivewaysbacktoStJames'church..andwewalkedabout[Mejugorge]moreorlesssight-seeingandjustbeing'jack'(nosy).,
jack,Feb 2003,NZ Memories,,No. 40/8,,TheStandardJackliftedmetalfencestandardsoutofthegroundinaquarteroftheusualtime.,
jack,1884,Rambles on the Golden Coast,REID,29,,Thiswasnotso...withamoreattractivelittlebird-`acrow'ora`jack'.,
jack,1982,"Big Huey, The",NEWBOLD,249,,JACK(n)...2.Prisoners'homebrew.,Glossary
jack,1907,Plants of NZ,LAING & BLACKWELL,63,1940 p. 64,"The[kauri]logsarehoistedontothisroadbymeansof`jacks,'ordraggedbyateamof[64]bullocks,anyhow,overandthroughthebush,breakingdownthethickundergrowthastheypass.",
jack,1974,Australian & NZ English [TS],SYDER & HODGETTS,285,,">tobecompletelydisgustedwithapersonorsituationandbreaktheconnection..in4;`Iwasjackofthat.Heatandfliesallthetimeandexpectedtoworkwithabouthalfthetoolsyoushouldhave.Iwasthereamonth,thenIgavenotice.'",
Jack,1922,"NZ Wars, The",COWAN,1/209,,"Agood-naturedsoldier...hearinghimmoaningsomethingwhichsoundedlike`wai'(water),wastryingtomakehimdrink...saying,`Here,Jack,here'swaiforyou.'ThesoldiersalwaysaddressedtheMaorisas`Jack',andtheMaoristhesoldiersas`Tiaki'also.",
Jack,1957,Strip Jack Naked,WILSON,15,,"'..can'tstandajoke,'hesaid.`Can'tstandabito'funatall,youLimeyJackscan't.'",
jack,1901,NZ Illustrated Magazine,,V/374,,Atrackhastobeformedoverwhichlogscanbejackedordragged.,
Jack Johnson,"Jul 9, 1910",NZ Truth,,263/4/4,,"Now,however,thattheponycrazeisverymuchoffintheDominion,nowthatthebookmakerlooksasifheisgoingtobe`JackJohnsoned'outofexistence,theexodusfromthiscountryofcriminalsisalarming-accordingtothepoliceoftheAustralianStates.",
Jack Johnson,"May 12, 1915",New Zealander's Diary,WILLIAMS,116,,"Onedaywhilstwewereworkingonthebeach,wehadourfirstexperienceofa`JackJohnson'....Suddenly,aswithawhirrofwings...,thethingdroppedfromthecliffbehindus.Thencameadeafeningcrash,atreeofyellow-blacksmoke...",1915 May 12-19 Williams New Zealander's Diary (c1922) 116
jack jumper,"Mar 16, 1922",Auckland Weekly News,,15,,Whenhewasaboyhismatesandheknewmembersofthatbeetle's[sc.anativeelator]familyasJackJumpers.,
jack mackerel,"Aug 18, 2002",Sunday Star Times,,B8,,"Probablythemostusefulbaitfishisthejackmackerel,alsocalledyellowtail,orkoherualthoughkoheruareadifferentbutsimilarlookingfish.",
jack mackerel,1982,Collins Guide,AYLING,217,1984,"<i>JACKMACKEREL</i>(Horsemackerel)<i>Trachurusdeclivis...</i>TheotherNewZealandmackerel<i>Trachurusnovaezelandiae</i>whichisindistinguishablefromthejackmackerelunlessexaminedclosely,hasbeenreportedfromsouth-eastAsiaandJapanaswell.",
jack mackerel,1970,Nomenclature of NZ Fish,SORENSON,34,,"<i>MACKEREL</i>(twospecies)(a)Scientificname:(i)<i>Scomberaustralasicus</i>(ii)<i>Trachurusdeclivis</i>.(b)Suggestedcommercialname[s]:(i)BlueMackerel(ii)Jackmackerel.(c)Othercommonnames:(i)CommonMackerel,Frigatemackerel,Englishmackerel(ii)HorseMackerel.(d)Principallocalitieswheretaken:(both)Gisborne,Nelson,Picton...",
jack mackerel,1982,Two Hundred Years of NZ Food & Cookery,BURTON,77,,"SeveralspeciesofjackmackerelarecommonallaroundtheNewZealandcoast,exceptinthesouthduringwintermonths.",
jack mackerel,"Jul 23, 1986",Codes for Species in NZ Waters,,,,"[speciesname]jackmackerel..[scientificname]<i>Trachurusdeclivis</i>t.NZ...[othername(s)]horsemackerel,horsies,mackerelscads",
jack mackerel,1986,NZ Fishes: An Identification Guide,PAUL,90,,"Jackmackerels<i>Trachurusnovaezelandiae,T.declivis</i>...Commonlycalledhorsemackerel.Thenamejackmackerelismoreappropriateandisappliedtoanumberofrelatedspeciesof<i>Trachurus</i>throughouttheworld.",
Jack Maori,1864,Letters & Journals,ASHWELL,IV/487,,TheSoldierssaidwellJackMaorihowdoyoudo.,(obs. military)
Jack Nohi,2001,Stonedogs,MARRINER,55,,"'Dunno,bro.ButI'msureashellgonnatakeaJackNohi.'",
Jack Nohi,2003,Huia 5: Contemp. Maori Fiction,,249,,"Mumsaid,'Working?'first.Youhavetosaythatjustincasesomebodyonthepartylinemightbetalking.Ifyoudon'tsaythatandpeoplearetalking,they'llthinkyou'relisteninginandthey'lltellyouoffforbeingaJackNohi.",SS by Fay Williams called Uncle's Coming Home
Jack Nohi,"Feb 24, 2001","Press, The",,B19,,"WorkingwhitemaleNewZealand[sic]leansintothebreezeforajacknohiattwoMaoriwearingthreadbare,blackfisherman's-knitjerseys,DirtyDogwraparounds,eruptionsofsun-bleachedhair,BeagleBoypatchesovertheirshoulders.",
Jack Nohi,1988,"Dictionary of Kiwi Slang, A",McGILL,76,,"nohinoseyperson,oftenJacknohi;fromMaori`kanohi',theface;eg`Youbloodynohi,whydon'tyougetonwithyourownworkandleavemetodomineinpeaceandquiet.'",
Jack penguin,1957,Mr Explorer Douglas,PASCOE,286,,"Theretwovarietiesofthispre-adamitelookingbird,thekingorcrestedpenguinwhichisthelargest,andthejackwhichismuchsmallerandformorenumerous....Thejacksarecapturedinhundredsbythesealerswhosaltthemdown.[1957f.n.]CrestedPenguin(<i>Eudyptespachyrhyncus</i>).Thename`KingPenguin'isnotcorrectlyusedhere.`JackPenguin'=BluePenguin(<i>Eudyptulaminor</i>)",ca 1899 C Douglas Birds of Sth Westland in 1957 Pascoe MED
jack rations,1999,Shooting from the Lip,HUGHES,25,,"Asasafetyprecaution,thearmypermittedsoldierstocarrytheirownfoodtoaddtotherationpacks.Thesewerecolloquiallyknownas'jackrations.'",
jack stud/jack rafter,1979,SANZ Glossary Building Terminology,,65,,Jackstudorrafter-Astudorraftershorterthanfulllength,
jack test/Talobre jack test,Dec 1964,Geological Society of NZ Newsletter,,15/4,,"About9rock-jackingtestshavesofarbeenmadeatBenmore....HeexpressedtheopinionthatTalobrejacktests,ortheequivalenttests,willcertainlybecomecompulsoryonmajorhydroelectricsites.",
jack up,"Apr 19, 1943",NZEF Times,,II/95 : 6,,Theydidanationalserviceinjackingthisracingup.,
jack up,"May 10, 1943",NZEF Times,,II/98 : 5,,"Thefootballerexcells[sic]atthecakecounteronFridaynightswhenaveryfairscrumisoften,inArmylanguage,""jackedup.""",
