Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
K engine,"May 4, 1938",Auckland Weekly News,,10,,itisapityyoudidnothaveaKengine.,
K,"Jan 14, 1899",Sydney Bulletin,,(Red Page),,"(Letterfrom<i>Loafer</i>,Tauranga)[BillPearson]Followingareotherlocalmoney-names...5s.piece-<i>caserK</i>or<i>bull...</i>",
K Gorge,1996,NZ Whitewater,,pp 174,,"Withitshugebouldersmidriver,K'Gorgeisunlikemanywaterwaysinthenorth,providingnotonlyinterestingwhitewater,butalsoaplaygroundforpractisingeddyturnsandotherstuff!",Karangahake Gorge is located south of Auckland and about 10 minutes before you reach Waihi. K Gorge has some of the North Island's best rock climbing...(from the net)
K Road,"Jun 1, 2002",Listener (New Zealand Listener),,56,,"Auckland'sKRdFridaynight-lifewanderedintoStKevin'sArcade-thevenuefor<i>PolishedUp!</i>-nottotarnishperformance,buttoadddimension.","also as K-Road/Rd, K'Road/Rd"
K Road,"Jun 22, 2002",Listener (New Zealand Listener),,47,,Alcohol-theeffectsthereof-issomethingofathemeontheKRdSundaywalk.,
K Road,"Dec 16, 2000",Listener (New Zealand Listener),,57,,"Theyhadstumbled,intheirdroves,rightoutofthenightclubsofK'Rdandthecity.",
K Road,"Jan 22, 2000",Listener (New Zealand Listener),,44,,"There'sasoftamberglowwaftingoutofAlleluyacafe,tuckedawayandoutofsightonAuckland'sseedystrip,'K'Road.",
K Road,"Jun 3, 1986",Campus News,,20,,"Breakingmorethansleep/itcameyellow,notgold/slimasaKRoadwalker'sskinnylegs/equallydiscomforting/touswholiealive/inpeace.","(Deborah Stone) (?K Road walker, a prostitute.)"
K Road,May 1987,Metro,,88,,YoucanbuybothbatandballfromSamoaHouseinKRoad...,
K Road,1987,Metro Fiction,,88,,TheyweredifferentfromtheusualKRoadpeople.,
