Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
L&P,"Dec 30, 2004",Dominion Post,,C2,,Theland'sownersoonbeganbottlingthewaterandaversionwithlemonaddedcalledPaeroaandLemon.NowbrandedasL&PandmadeinAuckland.,
L&P,"Feb 24, 2007","Press, The",,D2,,"L&Pisthefifthlargest-sellingcarbonatedsoft-drinkbrandinNewZealand,andtheequivalentof18million600mlbottlesofL&Paresoldeveryyear.",
L&P,1985,G'day Country,McGILL,50,,"TheguyacrossfrommehadablanketoverhimandhisblueAddidasespokingoutintheaisle.HedrainedanL&P,flickedthroughathrowaway,killedhislight.",
L&P,"Aug 1, 2006",NZ Herald,,E5,,"Ilovethebusesthatcomelate,thebrightnessofthecrispgreyskyonendlessrainydays,andcoldL&PattheViaductontheoccasionalsunnyone.",
L&P,"Mar 13, 1982",Listener (New Zealand Listener),,78,,"Thenit'stheL&P""sponsoredmentionedtheme""andovertotheL&Pboatontheharbour.",
L.O.B.,1951,Brave Company,WILSON,49,,Ourcompanionsarenotreallydead.Theyare-whatisthetermmostsuitable?Roundthecorner?No.L.O.B.Thatisit-L.O.B.LeftOutofBattle.,
la(la),1988,"Dictionary of Kiwi Slang, A",,68,,la/lalatoilet;euphemisticallyshortforlavatory,
la-la,"Sep 19, 1999",Sunday Star Times,,A10,,"NewZealandFirstistheonlyrealcentreparty,whichwouldnottakegladlytotheextremeofeitherthelooselyleftla-lasoftheAllianceortheun-rightaciddriesofACT.",
La-Z-Boy,"Dec 20, 2001",Evening Post,,6,,"""Christmas!Whoneedsit!"",IbarkedatGav,dumpingthelastofmyWarehouseshoppingbagsandparkingticketsontheLa-Z-Boy.",
Labor,"Aug 20, 1910",NZ Truth,,269/4/3,,"ThepresenceinParliamentofaLaborPartywillhaveasteadyinginfluenceonthosepoliticianswhohavesofarchieflysoughttouseLabor,andwhoseadministrativeactshaveinthemainonlycrippledandmaimedtrades[sic]unionism.",
Labor,1971,Speeches & Documents,,301,,,(1919) 1971 Speeches and Documents 301 quoting Maoriland Worker 3 Dec This seems the contemporary house style:? from the IWW literature.
Labor,"Jun 2, 1911",Maoriland Worker,,13/2/3,,"Thismoveisrepresentedprimarilybytwoschoolsofthought,somefindingexpressionintheNewZealandFederationofLaborandtheTradesandLaborCouncils.Theformermaybesaidtorepresenttheinternationalandrevolutionarysection;thelattertheparochialandadvancedLiberal,thoughcallingitselfLabor.",
Labor,"Nov 16, 1933",Evening Post,,14,,LABOURDAY/CHANGEDESIRED/NOVEMBERSUGGESTED,
Labour,"Aug 27, 1910",NZ Truth,,270/1/2,,"Theworkoforganisationisfarfromcomplete,butthegreatestsuccesssofarachievedwastheadoptionattheannualconferenceoftheTradesandLaborCouncils,atAuckland,oftheLaborobjectiveandplatform.",
Labour,"Jun 2, 1911",Maoriland Worker,,13/2/3,,"Thismoveisrepresentedprimarilybytwoschoolsofthought,somefindingexpressionintheNewZealandFederationofLaborandtheTradesandLaborCouncils.Theformermaybesaidtorepresenttheinternationalandrevolutionarysection;thelattertheparochialandadvancedLiberal,thoughcallingitselfLabor.",
Labour Day,1910,NZ Statutes,,1 Geo.V. 71/363,,"WhereinanyAct..referenceismade-(a)ToLabourDay,suchreferenceshallhereinafterbedeemedtobetothefourthMondayinOctober,andnottothesecondWednesdayinOctober.",
Labour Day,1898,NZ Statutes,,63 Vict. 17/50,,"AnActtoconstituteaPublicHolidaytobeknownasLabourDay...ThesecondWednesdayinthemonthofOctoberineachyearshallbeknownas""LabourDay"".",
Labour Day,1899,NZ Parliamentary Debates,,110/455,,"WehaveaLabourDayestablished,wehaveitgazetted,andwehaveeverythingalmostexceptthepartofmakingituniversal,asweproposetodointhisBill...IknowLabourDayisfixedlocallybythedistricts...IbelieveachangeisneededinordertodoawaywiththeinconveniencecausedbyhavingdifferentdaysindifferentpartsoftheColonyforthesameevent.",
Labour Day,1908,NZ Consolidated Statutes,,III 93/222,,ThesecondWednesdayinthemonthofOctoberineachyearshallbeknownasLabourDay.,
Labour Day,1899,NZ Parliamentary Debates,,110/449,,MrGuinness..askedthePremierwhetherheintended..tomoveitsadjournment..toenablememberstoattendtheLabourDayDemonstration.,
Labour Day,"Aug 21, 1940",Evening Post,,8,,LABOURDAY/HOLIDAYASUSUAL,
Labour Day,"Nov 10, 1947",Evening Post,,8/8,,REMITPROPOSED/LABOURDAYCHANGE...theWellingtonLabourDayCommitteehasagaindiscussedthedesirabilityofhavingthisstatutoryholidaychangedtoamoreseasonabletimeoftheyear.,
Labour Day,"Oct 22, 1951",Evening Post,,8,,LABOURDAYTRUETOFORMAGAINWellington'sfirstLabourweekendsoftballtournamentwasabandonedthismorning...,
Labour Day,1986,NZ Pocket Oxford Dictionary,,417,,"LabourDaypublicholiday,inNZthefourthMondayinOctober.",
Labour Day,1962,"Pound of Saffron, A",JOSEPH,31,,"...waitingtobeloadedwithgear,liquorandgrocerieshewouldneedforthelongweek-endholiday.ForMondaywouldbeLabourDay...",
Labour Day,1988,Awful Childhoods,MACRAE,49,,ButitwasstillLabourday.,
Labour Day,"Oct 20, 1945",Evening Post,,12,,LABOURDAYMEETINGS,
Labour Day,"Oct 28, 1947",Evening Post,,8,,OtherseverelosseswerethegatetakingsatNewtownPark.TheLabourDayCommitteenowfacesfurthertroubleinarrangingtorunofftheeventsatsomeothervenue...,
Labour Day,"Nov 10, 1947",Evening Post,,8/8,,REMITPROPOSED/LABOURDAYCHANGE...theWellingtonLabourDayCommitteehasagaindiscussedthedesirabilityofhavingthisstatutoryholidaychangedtoamoreseasonabletimeoftheyear.,
Labour Day,"Oct 24, 1935",Evening Post,,17,,LABOURDAYORIGINANDGROWTHTheLabourDayholidayonthefourthMondayinOctoberistakenforgranted...,
