Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
M-Day,1980,"Personal Kiwi-Yankee Dictionary, A",LELAND,64,,"<i>metrication:</i>theprocessofshiftingfrommeasuringinimperialunits...tometricunits...NewZealandbuiltuptothisslowly,butM-daycameitwasdrastic.",
m.a.,"Mar 9, 2000",Taranaki Daily News,,,,17m.a.ewes$15-$27.50,
maania,Nov 2003,NZ Geographic,,No. 66/40,,"Maorinamesfortussockvariedfromregiontoregion.Inonesoutherndialect,<i>wi</i>wasusedforsilvertussock(furhernorththesamewordwasappliedtorushes)and<i>patiti</i>seemedtobeageneraltermfortalltussocks,with<i>maania</i>analternativeorthewordforredtussockinparticular.TheManiatoto(<i>maania</i>=blood,<i>toto</i>=plain)wasformerlycoveredinredtussock.",
MAANZ,"Jun 26, 2001",Contact (Wgtn),,5,,"MAANZ,theMaritimeArchaeologicalAssociationofNewZealand,willbeshowingoffitsbrandnewconservationlaboratory...OnSaturdaytheconservationlabwillhaveanexhibitionoftheworkofMAANZvolunteers.",
Mabel Island lily,1919,NZ Plants & Their Story,COCKAYNE,,,<i>Arthropodiumcirratum</i>MabelIslandlily,(And)
Mabel Island lily,1954,Personal Communication,R MASON,,,"<i>MabelIslandlily(Arthropodiumcirrhatum).</i>NameusedsometimesinWellingtonandMarlborough.TheplantgrowsonMabelIslandnearPictonbutisnotknowntogrowelsewherenearPicton.Itisthe<i>renga-lily,rocklily</i>etc.ofAuckland.[cf?1830<i>Lycopodiumramulosum</i>T.Kirk]",
Mabel Island lily,"Dec 3, 1885",Marlborough Express,,2,,"MrH.G.Clarke'sChathamIslandLily,ofonlyfivemonth'sgrowth-andMrsFildes'MabelIslandLily(whichbelongs,webelieve,totheorchidfamily),weremuchremarkedupon.",
Mabel Island lily,"Dec 5, 1884",Marlborough Express,,2,,"Alobelia,growingsnuglyinthetrunkofatreefern;anorchidinflower,betterknownas""TheMabelIslandLily,""butgreatlyimprovedbydomestication;andanewZealandfuchsiawereallhorticulturalgems.",
Mabel Island lily,"Jan 12, 1899",Otago Witness,,31,,"Onit[MabelIsland]Ifoundover20speciesofnativeflora,thechiefofwhichisthecelebratedlily,bestknownastheMabelIslandlily;butletthebotanistgothereandseeforhimself.",
mac/macca,"Oct 23, 2010",Wairarapa Times-Age,,17,,"DryMacca,thisyears[sic]burning.$75m3,or$2604m3truckload.",
MACCAH,"Aug 17, 2002",Listener (New Zealand Listener),,36,,"Twoyearsago,attheinstigationoftheGreens,HealthMinisterAnnetteKingannouncedtheestablishmentofaMinisterialAdvisoryCommitteeonComplementaryandAlternativeHealth(acronym:Maccah).",
Maccas,"Sep 28, 2004",Independent Herald (Wellington),,13,,IrefertothecurrenttelevisionadwhereacarwithfoggedwindowspullsupatMaccas.,
Maccas,"Oct 5, 1998",Salient,,7,,AnightattheOperawithacandlelitdinnerontheharbourisjustaslikelytoturnsomeoneoffassuggestingacomboatMackers.,
Maccas,"Nov 14, 1999",Sunday Star Times,,C10,,"ThenIwantedhimtohaveacoffeewithme,ormaybegogetsomeMacca's[sic],becausehelovedcheeseburgers.",
Maccas,"Mar 31, 2003",Salient,,No. 5/54,,LikewhensomeonespillsathickshakeinMacca's.,
Maccas,"Mar 26, 1997",Evening Post,,1,,ItoldPhilIfeltlikesomeMackers[McDonald's]andhesaidhewouldtryandgetmeoutby10pmbeforetheyclosed.,
Maccas,"May 19, 1997",Salient,,24,,Ican'tpassbyMaccers.,
Maccas,"May 28, 2003",Dominion Post,,C6,,"Stoppinginfora""Macca's"",asAustraliansliketosay,takesonanewmeaningwhenyouhavetoshoulderMrBell'sresponsibilities.",
Maccas,"Jul 8, 2008",Dominion Post,,C1,,IsthistheonlyplaceyoucaneatyourMaccasinsideanoldplane?,
macchiato,"Jan 22, 1994",Listener (New Zealand Listener),,57,,"Macchiato...InNewZealand,itisusuallyalongblackwithatinyamountoffrothedmilkadded.InItalyandMelbourne,andsometimeshere,itisdemitasse-sized.",
machine,"Mar 8, 1908",NZ Truth,,2,,"Itwasawinforracingclubsingeneraltoknowtherewasa""scaler""amongstthebookmakersatPahiatua,asitwillhavetheeffectofdrivingmoneyintothemachinewherethepuntersknowtheywillgetpaid.",Check whether February or March
machine,1950,Farm & Station Verse,WOODHOUSE,22,,Whatalot[ofmoney]youleftbehindinthe`machine',[1889] Reeves in 1950 A.E. Woodhouse Farm and Station Verse 22
