Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
N-type sheep,"Nov 9, 2000",Massey,,21,,"He [Dr Dry] was a very good geneticist, working with what were called 'N-type' sheep..they were mutations from the Romney flock. They were hairy, the rams had horns.",
N.Zd,1820,Journals and Correspondence,BUTLER,"97, 252, 365",,[consistently],
N.Zd,1841,Letters & Journals,HASWELL,1/62,,N.Zd Co's Settlements [isolated use],
N.Zealand,1820,Journal,McCRAE,9,1928,NOTES ON N. ZEALAND BY AN OFFICER.,
N.Zealand,1836,Letters & Journals,HASWELL,1/13 et pass.,,In true N.Zealand style,"[Consistently used (11 times in vol. I) but also N. Testament: - 1841 uses `N Zd Co.', and `N.Z.'; 1849-55 N.Zealand]"
N.Zealand,"Feb 2, 1853",Traveller under Concern,MACKIE,74,1973,The N. Zealand flax - Phormium tenax -was growing abundantly by the road side - excellentrope is made from it ...,
N.Zealand,1843,Journal,WEEKES,42,,[G.A. N.Zealand was Selwyn's usual signature],ALSO 1843 Selwyn Journal 97 (et pass.)
N.Zealand,1851,Richmond-Atkinson Papers,,,1960,"uses (Feb 7, 1/76 and Aug 13, 1/103) N.Zealand 1862-8 Ashwell Letters and Journals 3/412 pass [uses N.Zealand consistently]",J.C. Richmond
N.Zeeland,"Mar 25, 1773","Resolution Journal of J.R. Forster, The",FORSTER,2/237,,"The Land was seen N.E. by E. ...so we probably off West Cape, on the South part of N. Zeeland or Tavai poenamoo[e dieresis]. Feb 25 Anderson Journal in Cook's Journals (1967) 3/818 Not being sufficiently acquainted with the Language of N.Zeeland to converse with the natives ...",
na te whanau,"Jan 17, 2006",Whakatane Beacon,,10,,"Followed by a church service at Te Paroa UrupaNau mai, haere maiNa te whanau",
naati,2000,Glossary,Salisbury,2,,naati: brumby-type hack.,
naati,1961,"Hang on a Minute, Mate",CRUMP,54,,Here's how we're going to catch ourselves some of those long-haired tussock-eating ngatis.,
naati,2001,Questionnaire Respondents (DB),,,,naati: a horse.,
naati,"Jan 6, 2002",Sunday Star Times,,D12,,"Waka Huia: A story about a hardy breed of horse, Hoiho Naati, unique to Tologa Bay[sic]/Ruatoria. [ngati; naaiti]",
nab rate,"Dec 12, 2000",Evening Post,,5,,[Hdg] Speed cameras reset for nab rate rise.,
nabu,1994,Troop Target,FULLARTON,38,,"There are three words in the Middle East soldier's vocabulary describing the normal maladministration of an army. A Tabu, an acrostic word, is `typical army ball-up', a Sabu is self-adjusting ball-up, while a Nabu is a non-adjustable ball-up: eg be on the receiving end of a Tabu.",
