Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
N-type sheep,,noun,1,"a mutation of the Romney breed of sheep, used for experimental breeding.",[none],,,Rural,Farm Words,[none],,,
N.Zd,,abbreviation,,New Zealand,[none],,,[none],,[none],,,"fairly rare, probably idiosyncratic"
N.Zealand,,noun,,New Zealand,abbreviation,,,[none],,[none],,,"Also 1792 Vancouver's Expedition in McNab Historical Records 1/144 1820 S.Marsden in McNab op.cit 1/478 ; 1838 Polack New Zealand - A Narrative; 1839 T.M. Partridge in Revans to Chapman Letters 13; 1840-44 Colenso M.S. Memoranda; [Consistently uses N.Zealand (and N.Zealanders); 1846 J. White M.S. of Journal 20 [only occasionally used, with NZ and NZld.]"
"N.Zeald, N.Zld, N.Zd",,noun,,"New Zealand (rare, ?idiosyncratic)",abbreviation,,,[none],,[none],,,"See 1838 Cunningham in Colenso Correspondence IV/6 N.Zeald [4 times] ;1840 Mar 16 E.J. Wakefield MS Diary NZd ;1850 John White MZ Journal N.Zld [1846 New Zld, New Z'l'ds] ; 1859 E.W. Stafford's usual abbrev. in Richmond-Atk. Papers eg. 17 Aug 1/481-482"
N.Zeeland,,noun,,New Zealand,abbreviation,,,[none],,[none],,,
na te whanau,,phrase,,"na (through), te (the), whanau (family)",Maori,,,[none],,[none],,,http://translator.kedri.info/index.html
naati,,noun,1,"a hardy breed of horse used as a saddle horse or station hack [ spec. to East Coast, North Island.]",[none],,,Rural,Farm Words,[none],,,
nab rate,,noun,,catch rate,[none],informal,,[none],,[none],,,
nabu,,noun,,a non-adjustable balls-up,[none],,,[none],,[none],"cf. sabu, tabu",,WWII
NAC,,abbreviation,,National Airways Corporation,acronym,historical,,[none],,[none],,,
naerere,,noun,,"W.216 <i>Na[a]ereere ... Scleranthus biflorus</i>, a herbaceous plant.: the spg here French.",,,,[none],,[none],,,
nafa,,noun,,an aftershock (acronym of not another f***ing aftershock),acronym,,,[none],,[none],,,(February 2011) word modelled on Jafa q.v.
NAFTA,,abbreviation,,"New Zealand, Australia Free Trade Agreement.",acronym,,,[none],,[none],,,
nafu,,noun,,non-adjusting fuck-up,acronym,,,[none],,[none],"cf. nabu, safu",,WW2 (Army)
nag,,verb,,talk,,,,[none],,[none],,,?=mag
nahinahi,,noun,,"W.217 <i>nahinahi ... Calystegia sepium</i>, a creeping plant.:",,,,[none],,[none],,,
nahui,,noun,,"W.217 <i>nahui ... Alternathera sessilis (denticulata)</i>, a plant.:",,,,[none],,[none],,,
nail,,noun,2,,,,,[none],,[none],,,shearers' rhyming slang
nail in the boot,,phrase,,(of an animal) lame,[none],,,Rural,Farm Words,[none],,,
nailrod,,noun,,A dark tobacco in a tight nail-like roll.,,,,[none],,[none],,,(obs)
nailrod,,noun,2,,,,,[none],,[none],,,
NAIT,,noun,,[acronym for] National Animal Identification and Tracing,acronym,,,Rural,,[none],,,
Nakahi,,noun,,Old Testament- based religion developed by Hone Heke,[none],,,[none],,[none],,,
Naki,,adjective,,of Taranaki,[none],informal,,[none],,[none],Naki noun,,
"Naki ('Naki, the Naki)",,noun,,Taranaki,abbreviation,informal,,[none],,[none],,,
Nakiwood,,noun,,Taranaki (after Tom Cruise),,,,[none],,[none],,,
namu,,noun,,"The sandfly [Maori.] W.217 Namu ... Austrosimulium spp., sandfly.",[none],,,[none],,[none],,,"nammoo, ngamu; interesting that there are no newspaper citations and none found on checking Papers Past."
namu pounamu,,noun,,the blue fish <i>Girella cyanea</i>,,,,[none],,[none],,,
namua,,noun,,,,,,[none],,[none],moki,,Also called red moki
nana,,verb,,,[none],,,[none],,[none],,,
nana-nap,,noun,,?,[none],,,[none],,[none],,,
nancra,,noun,,,,,,[none],,[none],,,
Nandorian,,adjective,,"from Green Party MP, Nandor Tanczos",[none],,,[none],,[none],,,
nangers,,noun,,testicles,[none],,,[none],,[none],,,
nani,,noun,,"W.218 <i>Nani[i] (ii) ... Brassica campetris, wild cabbage, wild turnip.</i> (mod.):",,,,[none],,[none],,,
nanny goat,,noun,,"The nanny goat, the tote.",[none],,,[none],,[none],,,prisoners' rhyming slang
nanny state,,noun,,,[none],,,[none],,[none],,,
nannygai,,noun,,,,,,[none],,[none],,,
nanti palaver,,phrase,,,[none],,,[none],,[none],,,circus argot
Nantucket sleigh-ride,,noun,,,[none],,,[none],,[none],,,
nanua,,noun,,W.218 <i>Nanua ... Chironemus spectabilis</i> ... = maratea -->[poss. a mishearing of e nanua pounamu],[none],,,[none],,[none],,,no newspaper citations found
nao,,noun,,"W.218 <i>Nao (iii) ... Linum monogynum</i>, a plant. (The name so given by d'Urville.)",,,,[none],,[none],,,
nap,,noun,,nappy,[none],,,[none],,[none],,,
nap,2,noun,,"?Usu. pl abbrev. of nappie, baby's napkin.",,,,[none],,[none],,,ca1940 Heard Dunedin by R Mason
nap the slap,,phrase,,,[none],,,[none],,[none],,,circus argot
napia,,noun,,"W.218 <i>Napia ... Heptatretus cirrhatus, blind eel</i>. =hagfish.",,,,[none],,[none],,,
Napier lunch cake,,noun,,,[none],,,[none],,[none],,,
Napier's boys,,noun,,,,,,[none],,[none],,,OBS.
Napierness,,noun,,,,,,[none],,[none],,,
Napoleon boots,,noun,,,[none],,,[none],,[none],,,
napoo,,adjective,,,,,,[none],,[none],,,
nappy valley,,noun,,Of various places: ? play on Happy Valley: in Wellington usu. Wainuiomata; and occasionally other places.,[none],,,[none],,[none],,,(There is an official Happy Valley in Wellington.)
napuka,,noun,,the indigenous flowering plant Hebe speciosa,[none],,,Environment,,[none],,,
narangie,,noun,,,,,,[none],,[none],,,
nardoo,,noun,,"<i>Gaultheria rupestris</i>, snowberry.",,,,[none],,[none],,,
Narg,,noun,,an Indian,[none],offensive,,[none],,[none],,,
