Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
O for awesome,"Apr 9, 2011",Dominion Post,,B1,,,
O for awesome,"Apr 9, 2011",Dominion Post,,B1,,"Askedtochooseavowel,hepausedforamomentbeforeaskingforan""Oforawesome"".",
O'Briens,1981,Loughnan Glossary,LOUGHNAN,56,,O'Briens:seeunderPannellsandRandGs.Allaretermsforboots.,
O'Briens,"Feb 11, 1977","Press, The",,19,,"""O'Briensand""Pannells""alsohaveaplaceasdistinctivebootswornbycountryfolk,andparticularlythosemusteringsheep.",
O'Briens,1994,From Caithness to Southland,SINCLAIR & TROTTER,17,,"IwasluckyIwaswellshod,O'Brienmusteringbootson,mysaddletweedtrouserstieddown,soIwasdryascouldbe.",
O'Leary,1981,History of Children's Play,SUTTON-SMITH,231,,"Therearegamesrecordedinthisperiodforwhichthereisnorecordbefore1900thoughtheymaywellhaveexistedunderothernames.WestCoast:DunkandDavey,SpangWeazling;Wellington:WhoGoesRoundMyStoneWall,Bego'MyNeighbor,Bellahonie,RunaMile,OnandOfftheBridge,HereComeTwoNuns,Colours,IsaacandRebecca.Scrag,Diabolo,BumblePuppy,Homai,Fives;Auckland:MyFairYoungLady,RushesandReeds,SurrendertheTower,Walls,BallHopscotch,ballgames,SolomonSays;HawkesBay:WolfWolfGoHome,Homai;Canterbury:PoorOldTom,RatsandRabbitsandRips,Steps,SkintheSnake,StealaPeg,Toodle-em-Buck,TheGag;GoldenBay:Who'sThatWalkingRoundMyHouseTonight,I'veCometoSeePoorMaryJane,StepsandStairs,Creeping,Branding,O'Leary;Otago:SirRogerdeCoverley,Who'sThatKnockingatMyDoor.<i>Ibid.</i>273Ball-bouncinggameshavecomeintotheirownontheasphaltplaygroundsofmodernschoolsandareplayedinmanyschoolsthroughoutthecountry.Thereisnoevidenceofsuchgamesbefore1900,butanumberofinstancesbetween1900and1920arerecorded.ThegameswereknownasFives,Tens,Sevens,andWallsandhavebeenrecordedmoreoftensinceunderthenamesO'LearyorSevens.Before1920thereisonlyonereportofthegamebeingplayedwitharhyme,andthiswasarhymemoreoftenusedinskipping.",
O.B.,1955,Land of My Children,WILSON,28,,ThereweregoodboardsamongthesefacecutswhichtodaywouldbeclassedasO.B.,
O.M.,1856,McLean Papers,,3/10,,Nolessthanadozennativeletterswerereceivedbyyesterday'sO.M.,J.Webster
O.P. whisky,1960,Back-Country Tales,MASTERS,168,,"Goodswouldhavetobedeliveredatvariousplacesalongtheroute,andoftenamongthegoodswouldbedemijohnsofO.P.whisky.",
O.P. whisky,1953,Musterer on Molesworth,STRONACH,16,,"Fourteenmusterers,twopackmen,onecook(oldWattie),tworabbiters,onerouseabout,threegallonsofO.P.whisky,oneaccordion...[sic]mixwell-andtheresultwillsurpriseyou!",
O.P.S.O.,"Jun 9, 1887",Marlborough Express,,3,,"Foldupyourform,placeitinanenvelope,addressittotheRegistrarofElectorsforWairau,orPicton,asthecasemaybe,atthetopoftheenvelopewrite,""O.P.S.O.-ClaimtoVote,""whichrendersapostagestampunecessary,anddroptheletterintothenearestPostOfficebox.",
O.P.S.O.,"May 4, 1905",Evening Post,,4,,"Itis..safetoassumethatifanyofthehappyLiberalsofthisdistrict..receivefromtheirPresidentthemessage,""O.P.S.O.-Memo.,urgent-takeprecedence-AttendwithoutfailatMassey'smeeting,andgivehimtheworstturnheeverhad"",itwillbeaccompaniedbythepolicereminderthatnoteventhebackofthetelegramshouldbeusedasthevehicleforthequestionsthataretoshatterthereputationofthechampionof""theselfishfew"".",
O.P.S.O.,"Nov 18, 1905",Evening Post,,4,,"ThePremierhimselfcouldhardlyhavemadeabetterjobofthattelegram,yetitdoesnotappeartohavebeensentO.P.S.O.-Memo,Urgent-TakePrecedence.""",
O.Pip,1936,Recollections of an Amateur Soldier,TREADWELL,110,,"...thesoldierswereusingthespireasanO.Pip,orobservationpost....ThecorporalwhohadbeenusingthisO.P.precededmeupthespire.",
oak,1835,New Zealand (various authors/titles),YATE,,,,get quot.
oak,1840,NZ Journal,,1/11/139,,"Puriri,whichhasbeencalledtheOakofthePacific,andtheNewZealandOak.",
oak,1843,Travels in NZ,DIEFFENBACH,1/431,,"<i>OfVervenaceae</i>(sameorderastheteak),theVitexlittoralisisthePuririofthenativesandtheNewZealandoakofthecolonists.",
oak,1867,New Zealand (Hochstetter),HOCHSTETTER,,,<i>Vitexlucens</i>,(list of trees from Taylor 1848)
oak,1889,Forest Flora,KIRK,,,<i>Vitexlucens</i>,
oak,1906,Plants of NZ,LAING & BLACKWELL,,,<i>Vitexlucens</i>,
oak,1892,Frontier Life,BROOKES,174,,ThepuririiscalledtheNewZealandoak.,
oak,1907,Plants of NZ,LAING & BLACKWELL,350,1940 p. 372,"<i>Vitexlucens(ThePuriri)</i>.Afinetree,from50ft.to60ft.inheight,oftencalledtheNewZealandOak,onaccountofthestrengthanddurabilityofitstimber.",
oak,1915,Reminiscences of Earliest Canterbury,HAY,,,<i>Vitexlucens</i>,
oak,1943,"NZ Gardening Dictionary, The",MATTHEWS,128,,"<i>N.Z.Oak(Puriri)</i>,see<i>Vitexlucens</i>",
