Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
O for awesome,,phrase,,,[none],,,[none],,[none],,,Boxer David Tua's famous request on Wheel of Fortune 1992
O'Briens,,noun,1,"distinctive farm boots, particularly for mustering [orig. trade name.]",[none],,,Rural,Farm Words,[none],,,
O'Leary,,noun,,,[none],,,[none],,[none],,,
O.B.,,abbreviation,,ordinary building,[none],,,[none],,[none],,,sawmillers' term meaning 'ordinary building' (rimu) as contrasted with heart wood
O.M.,,abbreviation,,the overland mail (as distinct from that carried by sea) in the North Island,[none],,,[none],,[none],,,
O.P. whisky,,noun,,over-proof whisky,[none],,,[none],,[none],,,
O.P.S.O.,,abbreviation,,"On Public Service Only, used on mail from Government Departments sent overseas from 1891 - 1906 or on stamps identifying such mail.",acronym,,,[none],,[none],,,
O.Pip,,abbreviation,,observation post,,,,[none],,[none],,,WW1
oak,,noun,,"an early name applied to various New Zealand trees thought to resemble the English oak either in appearance or in the quality of their timber; (espec <i>Vitex lucens</i>, PURIRI)",,,,[none],,[none],,,obs.
oak,,noun,2,pohutukawa,,,,[none],,[none],,,
oak,,noun,3,"titoki, NZ ash.",,,,[none],,[none],,,
oak,,noun,4,"mapau, lemonwood",,,,[none],,[none],,,1915 HEC. (Andersen)
oak,,noun,5,,,,,[none],,[none],,,
oak,,noun,6,,,,,[none],,[none],,,
oak,,noun,7,? kahikatea ? miro ? birch,,,,[none],,[none],,,
oak-weed,,noun,,,,,,[none],,[none],,,
Oamarooster,,noun,,,[none],,,[none],,[none],,,
Oamaru pudding,,noun,,,[none],,,[none],,[none],,,
Oamaru stone,,noun,,a white building stone formerly much used. [from Oamaru in the South Island],[none],,,[none],,[none],,,
Oamaru stone,,noun,,,[none],,,[none],,[none],,,
Oamaruite,,noun,,resident of oamaru,,,,[none],,[none],,,
oancake,,noun,2,,,,,[none],,[none],,,"I gather these are fried in a pan like pancakes, except with a thicker batter (like pikelets); no method with recipe"
oar-weed,,noun,,"paddle-weed, octopus-weed",,,,[none],,[none],,,
oarfish,,noun,,<i>Regalecus</i> sp.,,,,[none],,[none],,,
oarfish,,noun,2,,,,,[none],,[none],,,
oarfish,,noun,2,,,,,[none],,[none],,,
oat,,noun,,,,,,[none],,[none],,,
oat races,,noun,,,[none],,,[none],,[none],,,
oat tussock,,noun,,,[none],,,[none],,[none],,,
oath,,exclamation,,,,,,[none],,[none],,,
oatmeal water,,noun,,"brose, a refreshment for shearers or outdoor workers, a mixture of water, sugar and oatmeal.",[none],,,[none],,[none],,,
oats meeting,,noun,,a Maori race meeting,[none],,,[none],,[none],,,North Island
oats track,,noun,,,[none],,,[none],,[none],oats meeting,,
OBE,,abbreviation,,Other Bastards' Effort,[none],,,[none],,[none],,,"WW2 cf DCM, Don't Come Monday"
OBERAC,,abbreviation,,operating balance excluding revaluations and accounting changes.,acronym,,,[none],,[none],,,
obesogenic,,adjective,,,,,,[none],,[none],,,
obverse or reverse,,exclamation,,a two-up cry,[none],,,[none],,[none],,,
oca,,noun,,"Oxalis sp, Yam [OEDS2]",,,,[none],,[none],,,
occy,,noun,,an octopus,abbreviation,,,[none],,[none],,,
ocean trout,,noun,,kahawai,[none],,,[none],,[none],trout,,
Oceania,,noun,,"Australia, New Zealand and the Pacific Islands",[none],,,[none],,[none],,,
ochre,,noun,,,,,,[none],,[none],,,
ochre,,noun,,,,,,[none],,[none],,,
ochre,,noun,2,,,,,[none],,[none],,,
ocker,,adjective,,Australian,[none],,,[none],,[none],,,
ocker,,noun,,Australian,[none],,,[none],,[none],,,
Ocker shocker,,noun,,,[none],,,[none],,[none],,,also used in Australia
ockerdom,,noun,,the Australian people,[none],informal,,[none],,[none],,,
OCR,,abbreviation,,Official Cash Rate,acronym,,,[none],,[none],,,
OCR,,abbreviation,,Old Coach Road (Wellington),[none],,,[none],,[none],,,
"Octagon, the",,noun,,"the central open space in Dunedin city, so shaped.",[none],,,[none],,[none],,,
