Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
Q-ing,"Dec 22, 2001",Listener (New Zealand Listener),,26,,"Barbecuing - or
""Q-ing"" as they
called it as the Big
Boys Toys exhibition
- is hotter than
ever.",
QCE,1864,Songs of the War,THATCHER,13,,"[Auckland] [Title]
`The Q.C.E, in the
Guard Room' A simple
private till we see,
/ Although he keeps
the Q.C.E. /.../ Pay
up the ten pound
exemption fee, / And
remember the little
Q.C.E./ [to arrest
the Q.C.E.]",
QMAP,2005,Geology of the Waikato Area,Edbrooke,1,,"The geological map
of the Waikato area
(Fig.1) is part of a
new national series
known as QMAP
(Quarter-million
Map; Nathan 1993),
produced by the
Institute of
Geological and
Nuclear Sciences Ltd
(GNS). ... For the
AMAP series, rock
units are shown
primarily in terms
of their age of
deposition, eruption
or intrusion. ...
The QMAP series uses
computer methods to
store, mannipulate
and present
topographic and
geological
information.","IGNS publication Geology of the Waikato Area, compiled by S.W.Edbrooke."
QMS,"Jun 26, 2004",Dominion Post,,E 2,,"The Quota Management
system (QMS) was the
government's answer
to ensure
sustainability of
fishing stock.",
QMS,"Jul 1, 2005",Dominion Post,,B5,,"Quite rightly the
QMS is not only
about sustainibility
of fish stocks but
also the effects on
the marine
environment.",
QMS,"Sep 11, 2004",Dominion Post,,E3,,"Sustainability? Not
a problem in his
view, thanks to the
quota management
system, (QMS)...
Meanwhile, the
ministry has been
preoccupied since
1986 with the
immense amount of
work involved in
bringing almost all
species into the QMS
- letting work slide
on wider
environmental goals.",
QPEC,"Apr 2, 2005",Listener (New Zealand Listener),,33,,"Education lobby
group Quality Public
Education Coalition
(QPEC) has a
database of 450
parents and teachers
of special children
worried enough about
their children's
education to do the
draughty-school-after-work-meeting
routine.",
QPEC,"May 15, 2002",Norwester,,,,"Parents, educators,
and members of
Quality Public
Education Coalition
and the Human Rights
Commissioner met
last week in
Wellington... ""It's
felt like a war of
attrition.."" said
QPEC
vice-chairperson
John Minto.",
QSM,1982,Collins Concise English Dictionary,,930,,"Q.S.M. (in New
Zealand) abbrev. for
Queen's Service
Medal.",
QSO,1982,Collins Concise English Dictionary,,930,,"Q.S.O. (in New
Zealand) abbrev. for
Queen's Service
Order.",
quackerbird,"Dec 5, 1772","Resolution Journal of J.R. Forster, The",FORSTER,2/189,,"We saw some
<i>Quackerbirds</i>
which we had never
seen before ... [ed.
fn] More likely the
Light-Mantled Sooty
Albatross
<i>Phoebetria
palpebrata</i>
(Forster, 1785) than
the Sooty Albatross
<i>Phoebetria
fusca.</i>.",
quacko,"Nov 14, 1999",Sunday Star Times,,D3,,"The people who
belong aren't just
wackos or quackos.",
quad,"Nov 15, 1983",NZ Journal of Agriculture,,21,,"Quad Area on short
head and yard
courses - 20 metres
by 5 metres - from
where a competitor
casts his dog. The
dog, in turn, must
pull the sheep into
the quad. They must
come in the front
door - the front
line of the quad,
facing the pull...",
quad,Mar 1984,NZ Journal of Agriculture,,31,,"The bloke was
standing in the
quad, with a can of
beer in his hand,
working his dog.",
quad,1991,Constitution of NZ Dog Trial Assoc,,28,,"Any competitor
moving outside the
'quad', 'ring' or
defined drives while
working his dog ...",
quad,1998,Three Sheep and a Dog,GORDON,144,,"Officially, there's
a 20-metre-square
quad at the foot of
the hill in which
the triallist has to
be at the start, at
the end and in
between times ..
From a yard and
release set-up, to
the rear or round
the side of the
quad, three sheep
are walked towards a
common area or
reference point.",
quad bike,"Jan 9, 2002",Dominion,,11,,"About as close as
Martinborough and
greater Wairarapa
get to high octane
adventure tourism is
riding a quad bike
through a paddock.",
quad bike,"Oct 27, 1999",Capital Times,,13,,"They can ride quad
bikes if they're
feeling particularly
adventurous.",
quad bike,Nov 1999,AA Directions,,31,,"But you're safe
hiring a quad bike.
Blast along desolate
beach, over rock
outcrops and up
giant sandhills at
Tauroa Point.",
