Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
Ra,1778,Observations Made During a Voyage,FORSTER,284,,AComparativeTableoftheVariousLanguagesintheIslesoftheSouth-Sea...[English]TheSun...[New-Zeeland]hera[a-macrongrave][????],
Ra,1840,Manners & Customs of the NZers,POLACK,1/244,,"Thetraditionalinventionsrelativetothesun(Ra[acute])andmoon(Morama[a1-acute])areinnumerable;Ronaisthe`man[245]inthemoon,'whoselodgingsonearthhavebeenvacatedprevioustothedeceaseofMawi[a-acute].",
Ra,1908,Shingle-Short,BAUGHAN,46,,Ra(Rah):TheSun,
Ra,1949,"Coming of the Maori, The",BUCK,"2/205, 4/441",,,
ra ra room,Mar 2003,NZ Geographic,,62/92,,"Shearersandshedhandsmoveintotheroomnextdoor-the""rara""room,Hughcallsit-eachwiththeirrationofbeerforthenight.",
ra-ras,"Jan 15, 2006",Sunday Star Times,,B9,,"..as[they]pointedout,statehouserugbyhasalwaysbeenlookedatwithdisdainbythera-ras.",
rabbit,"Oct 24, 1883",Tuapeka Times,,3,,"Thenextrunhadn'tbeenproperlyrabbited,andhisrunwassoroughthatanInspectorcouldn'tdoanymorehimself;evenadogcouldhardlyrunamongstthescrub.",
rabbit,1929,Whitcombe's Etym. Dict. Aust-NZ Suppl.,,9,,rabbitv.t.torenderanareafreefromrabbits.,
rabbit,"Nov 18, 1933","Press, The",McCASKILL,15,,"Rabbit.-Tokillrs.,tobeemployedasarabbiter.(C.)Hemaybeapermanentoratemporaryhand,ormaytakeablockfortheskins.Hemayusedog,gun,andspade,poison,ortraps.([1898MorrisAustral-English])",Acland Glossary
rabbit,1969,Molesworth,McCASKILL,128,,Leightonsaid:`...ToattempttorabbitMolesworth[astation]withunemployedwouldinvolvethepresenceofanambulance.',
rabbit block,1959,Tall Tussock,McLEOD,27,,"Attheendofthe[mustering]seasontheytookarabbitblocktogether,andhadquiteagoodwinter.<i>Ibid.,</i>124~:Acontracttocatchrabbitsonacertainpieceofcountry,eitherforwagesorfortheskins.",
Rabbit Board,"Oct 4, 1887",Evening Post,,2,,"AtameetingoftheAwatereRabbitBoard,theChairmanreadaletterfromMr.Beaumont,arunholder,whohasmadevariousexperimentsingettingridoftherabbitpestonhisproperty.",
Rabbit Board,"Jun 4, 1881",Otago Witness,,13,,"MrHuddlestone,theclerkandinspectortotheRabbitBoard,statesthathesawakeaattackingarabbit.",
Rabbit Board,"May 5, 1908",Hawera & Normanby Star,,7,,"SpeakingatameetingoftheRabbitBoard,theChairman(MrT.Crosse)drewattentiontotheproposaltoerectarabbitcanningfactoryatWaikato,anddeclaredthatanyattempttousetherabbitcommerciallywouldseriouslyhandicaptheeffortstocopewiththepest.",
Rabbit Board,1971,Our Open Country,HENDERSON,242,,ThechapsworkingfortheRabbitBoardwerecomingtotakeawayourolddraughthorses.,
Rabbit Board,"Mar 25, 1943",NZ Farmers' Weekly,,34,,OurlocalRabbitBoardhasnotemployedarabbiterforthelastsixmonths.,
Rabbit Board,"Sep 11, 1880",Otago Witness,,16,,"TUTURAURABBITBOARD.NoticetoLandownersintheTuturauRabbitDistrict.TheTrusteesoftheaboveRabbitDistricthavethisdayleviedaRATEof1/4dperacre,intermsofClause9oftheRabbitNuisanceOrdinance.",
Rabbit Board,"Aug 6, 1881",Otago Witness,,21,,"AtpresentrabbitdistrictscanonlybeconstitutedbytheGovernoronpetition,andrabbitsmustbefoundingreatnumbersbeforethesettlerswilltakeonthemselvestheadditionalburdenandtaxationwhichtheexistenceofarabbitboardimplies.",
Rabbit Board,"Aug 14, 1890",Evening Post,,2,,TheWairarapaNorthRabbitBoardhaveofferedasubsidyof10sperpairofferretsturnedoutbyratepayersinthedistrict.,
Rabbit Board,"Sep 3, 1879",Southland Times,,2,,"Holding,then,theseviewsitwaswithsatisfactionthatweobservedthattheWallaceCountyCouncil,atitslastmeeting,showedthatit,atleast,hasotherideasbesidesthemakingofroadsandbridges,bytakingactionastotheamalgamationofrabbitboardswithcountrycouncils,astep,aswethink,intherightdirection,andonewhichwecommendtotheattentionofsuchlocalbodiesandParliamentaryconstituenciesasmaybeinterestedtherein.",
Rabbit Board,"Mar 28, 1925",NZ Truth,,6,,"Whytherabbit-poisonsuppliedbytheGovernmentis-intheopinionoftheRabbitBoards-sopoorinquality,andwhethersomeofthedopewithwhichMinisterstrytochloroformthepeoplewouldnotbemuchmoreeffectiveiftriedontherabbits?",
Rabbit Board,1971,Catching Up,ARMFELT,67,,KanePotts...helpedTerenceontheRabbitBoard.,
Rabbit Board,1984,"Knapdale Run, The",KERSE,195,,"However,aboutthe1950s,anewconceptofrabbitcontrolwasemerging.Thiswas`RabbitBoard'control.Withinadefinedarea,thefarmers,asrate-payers,electedthemembersoftheBoardwhosetaskwastodestroytherabbitswithinthatarea.ButbynomeansdidtheOtamaRabbitBoardhaveagentleandsmoothpassagetolife.",
Rabbit Board,1985,G'day Country,McGILL,121,,"WhenhewasatBlenheimschoolheusedtohitchhisway,wherehisbrotherwasontheRabbitBoard.",
Rabbit Board,"Sep 20, 1932",Otautau Standard & Wallace County Chronicle,,4,,"Tohisminditwasadangerousschemetostartasabigproportionofthefarmersdidnotneedthisassistanceandifthe""RabbitBoard""wasformed,extraexpensewouldbeputonallfarmers.",
Rabbit Board,2008,NZ Geographic,,94/93,,Intheirhey-day(1960)therewere210RabbitBoards.,
rabbit camp,"Oct 8, 1896",Otago Witness,,50,,"Theworkingmenareseennomoreinhutorrabbitcamp,/Thestockwhipneverwillbeheardabouttheriverswamp,/Nomorethemightyfleecescrownthebinslikedriftedsnow,/Nomoreprincelyramsgodown,thewonderoftheshow...",
rabbit camp,"May 6, 1926",NZ Truth,,7,,"Headdedthathewouldtakehertoarabbit-campwithhim,thoughthegirldidnotknowwhatarabbitcampwas.",
rabbit camp,"Aug 8, 1884",Hawke's Bay Herald,,4,,"Thehillsanddownsshowedonelargerabbitcamp,andquantitiesofdeadrabbits.",
rabbit camp,1897,Station Ballads,McKEE WRIGHT,44,,,
rabbit camp,1897,Station Ballads,WRIGHT,44,,Rabbitcamp.,
rabbit camp,1969,Molesworth,MCCASKILL,116,,HethensetoutovertheRobinsonSaddlefortherabbitcampontheshoreofLakeMcRae.,
rabbit cart,"Apr 19, 1900",Otago Witness,,4,,"Onenoticestherabbitcartgoingtheroundsofthedistrictnow,andbyallappearancestherabbitersarehavingagoodopening.",
rabbit cart,"Mar 3, 1900",Mataura Ensign,,3,,"FORSALE,CHEAP.SECOND-HANDThorough-braceCoach,suitableforHeavyRabbitCart,uptotwotons.",
rabbit cart,"Jun 19, 1917",Otautau Standard & Wallace County Chronicle,,2,,"FORSALE.AlsoLightSpringCart,suitableforMilkCartorRabbitcart.Thoroughlyoverhauledandpainted.",
rabbit cart,"Feb 23, 1899",Otago Witness,,34,,TherabbitcartisnotgoingtorununtilMarch1.,
rabbit cart,"Jun 8, 1912",NZ Truth,,2,,"Lugeon,theoldrabbitcarthorse,madeastarshowingatWingatui.",
rabbit cart,"Jul 15, 1898",Clutha Leader,,6,,"Therabbitcartstillpliesontheroads,conveyingpoorbunniestothepackingdepot.",
Rabbit Club,"Apr 27, 1876",Daily Southern Cross,,2,,"AclubhasbeenformedatMasterton,Wellingtonprovince,havingforitsobjectthedestructionofrabbits.Itistobecalledthe""RabbitClub,""andordershavebeensenttoMelbourneforanumberofgreyhounds.",
Rabbit Club,"Aug 30, 1905",Otago Witness,,7,,"""IhavebeforemeacopyoftheCanterburyRabbitClub'srules,printedatthePressofficein1875.The30gentlemenwhoformedtheclub,underapresident,otherofficers,andcommittee,andagamekeeper(toprotectrabbitsfrompoachers),hadundertookthepreservingofrabbitsonTemplar'sIsland...""",
Rabbit Club,"Jun 11, 1874","Star, The",,2,,"Coster,ranger,undertheProtectionofAnimalsAct,saidhesawtheaccusedontheRabbitClubsreserveonMessrsFordandNewton'srun,withdogsandguns,twice.",
Rabbit Commissioner,"Jul 8, 1876",Otago Witness,,19,,"TheRabbitCommissioner'sreportwascharacterisedascalculatedtoinjureSouthland,andtoretardsettlement.",
Rabbit Committee,"Jun 19, 1875",Otago Witness,,7,,THERABBITCOMMITTEE..ThefollowingresolutionshowsthattheRabbitCommitteewerefartoomuchinearnesttobeverychoiceintheirlanguage.,
rabbit country,1892,Letter,ACTON-ADAMS,153,,Iencloseacopyofmyincome-taxreturnstoprovetoyouhowunprofitablethisrabbitcountryis.,in McCaskill (1969) Molesworth
rabbit district,"Aug 6, 1881",Otago Witness,,21,,"AtpresentrabbitdistrictscanonlybeconstitutedbytheGovernoronpetition,andrabbitsmustbefoundingreatnumbersbeforethesettlerswilltakeonthemselvestheadditionalburdenandtaxationwhichtheexistenceofarabbitboardimplies.",
rabbit dog,"Apr 1, 1882",Otago Witness,,22,,"-Afterdiscussion,onthemotionofCrDUNCAN,secondedbyCrORBELL,itwasresolved-""ThattheclerkofthisCouncilreplytotheratepayersinWaihemowithregardtothepetitioninreferencetorabbit-dogs,informingthemthattherabbitinspectoristhepersontomaketheapplicationto.""",
rabbit dog,"Feb 3, 1876",Southland Times,,3,,"WANTED12RabbitDogs,from6monthsto3yearsofage.Terriersandcolliespreferred.",
rabbit dog,"Nov 18, 1933","Press, The",,15,,"Rabbitdogs.-Thosespokenofsuchincludegreyhounds,lurchers,spaniels,andnondescriptterriers;sometimesretrievers.Theywerecalledther.packandinthe`ninetiessomestationr.ps.hadasmanyas30dogsinthem.Ifoneofthemretrievedhewascalledacarrierandsometimesrabbiterspointoutadogasagreatnester(smelleroutofr.nests).(C.)",Acland Glossary
rabbit dog,"Feb 8, 1894","Star, The",,3,,"Itwasresolvedthatthedogtaxfortheensuingyearshouldbeasfollow:-Sheepandrabbitdogs2s6deach,allotherdogs5seach,andthepolicewereappointedcollectorsofthetax.",
rabbit dog,"Aug 2, 1921",Ashburton Guardian,,1,,WANTEDtoSell-GoodRabbitDog.,
rabbit dog,Dec 1912,NZ Journal of Agriculture,,605,,Thislatergangshouldbeprovidedwithafewquiet-workingrabbitdogsto'hole'anyrabbitsthatmaybeinthegrassorscrub.,
rabbit dog,"Nov 18, 1993","Press, The  (Acland Glossary)",,15,,"Rabbitdogs.-Thosespokenofsuchincludegreyhounds,lurchers,spaniels,andnon-descriptterriers;sometimesretrievers.",
rabbit dog,1996,Tales of a Tussock Jumper,STACEY,117,,"Mybrother-in-lawwasridingdowntheUreRiver,byBoarGully,withhisrabbitdogs..",
rabbit dog,"Mar 13, 1906",Wanganui Herald,,7,,"Afox-terrier,amemberofateamofrabbitdogs,ranintoathicketofmanukascrub,anddidnotcomeoutagain.",
rabbit,1935,Adventuring in Maoriland in the Seventies,MEREDITH,59,,"He[asixfootseveninchplayer]waschasingthesmallestmemberofthe[football]club,whowasrunningwiththeball;whencloseuptohisquarry,thelittlefellow`rabbited'him.Thegiantwentsprawlingandthelittlefellowjumpedupandcontinuedhisrunamidroarsoflaughterfromthespectators.",c1870's
rabbit,1947,Big Game,GASKELL,8,,Offsideamile.Rabbiting.Youhandleditontheground.'`Free-kickbedamned...Itwasagoodforward'stry.Rightoutthebook.',
rabbit,1977,Listener Short Stories,,6,,`Offsideamile.Rabbiting.Youhandleditontheground.'`Free-kickbedamned...Itwasagoodforward'stry...,1944 Gaskell in 1977 N.Z. Listener Short Stories 6
rabbit,1978,All Part of the Game,GASKELL,33,,`Offsideamile.Rabbiting.Youhandleditontheground....',1944 Gaskell `Big Game' in 1978 All Part of the Game 33
rabbit,"Sep 6, 1973",Dominion,,16/7,,"...thebigJeremyJaniondecidedtogoonhisown,onlytobepickedupinatackleofthecoveringDougan.Janionthenwriggledhiswayoverthelinebutrightlywaspenalisedforrabbiting.",
rabbit,1988,"Dictionary of Kiwi Slang, A",McGILL,91,,rabbitingillegalcarryingofgroundedrugbyballovertryline.NZA.,
rabbit,1948,History of NZ Rugby Football,SWAN,70,,"MembersoftheCityClubsheldameetingtomodifytheLawsoftheGame...Thismeeting,onJune19,decidedthat:-""Slinging,RabbitingandButtingbeaddedtoRule57.""",From 1877
rabbit,"Jul 4, 1930",Northern Advocate,SWAN,7,,"After""rabbiting""forawhile,Abbottallbutscoredasaresultofsuchamovement.",
rabbit,1978,Men of God,GLOVER,10,,"OnthewayoutatthegateJoe[anex-convict]hesitatedthensaidtohimself,No,itwouldn'tbefairtorabbittheoldcodger'sletterbox.",
rabbit,"Mar 25, 1988",Dominion Post,,1,,"ThecourtwastoldthatKennedywasa`rabbit'orjuniorassociate,oftheRastafariansandactedontheinstructionsoftwoseniormembers.",
rabbit factory,"Sep 18, 1889",Tuapeka Times,,2,,ThereissometalkofarabbitfactorybeingstartedatHeriot.,
rabbit factory,"Jan 8, 1890",Tuapeka Times,,2,,IntheMarlboroughdistrictthelandownerswerebeingruinedandtheirpropertydevastateduntiltheestablishmentoftherabbitfactoryinthecentreoftheinfesteddistrict.,
rabbit factory,"Jan 17, 1906",Otago Witness,,61,,"TheMountIdaChronicleisinformedthattheoldrabbitfactoryatWaipiataisbeingfittedupasasanitorium,underthesupervisionofDrMartin,ofDunedin.",
rabbit factory,"Aug 24, 1915",Evening Post,,8,,"AmannamedCossgrove,whohadbeenemployedatSpainandCompany'srabbitfactoryatAlexandra,wasfounddeadatthefootofacliffyesterday.",
rabbit factory,"Nov 24, 1885",Marlborough Express,,3,,"ClaimforGBP5,balanceofGBP10drawnfromtheRabbitFactoryonaccountofScottandLaurieandWalsheandTaafe,whohadbeenrabbitingtogetheratMeadowBank.",
rabbit factory,"Apr 21, 1931",Otautau Standard & Wallace County Chronicle,,1,,"TherewerepicturesoftheCoalandCopperMines,theRabbitfactory,theCatholicChurchwithgrasslikevelvetandalatticedfencesmotheredwithpink,redandwhiterosesoverlookingtheHeatherHill.",
rabbit factory,1980,"Land of Munros, The",NEAVE,40,,[caption]TakingaloadofrabbitcarcasestotheKurowRabbitFactoryestablishedbyThompsonandFinlaysonin1891.,
rabbit fence,"Jun 15, 1883",North Otago Times,,2,,"Thefurrypestisnotyetintheprovince,buthasspreadtotherabbitfenceonthesouthernboundary...",
rabbit fence,"Jul 23, 1906",Wanganui Herald,,5,,"ThebodyofAngusHart,arabbitfencekeeper,ofBalmoralhasbeenfoundintheDoveRiver.",
rabbit fence,"Apr 9, 1913",Evening Post,,3,,"Enroute,thetravellercroses[sic]theHawkesBayboundary,andalsopassesthroughtherabbitfence,whichrunsfromthePahiatuasiderightthroughtotheseaatAkitio.",
rabbit fence,"Feb 7, 1901",Letter,ACTON-ADAMS,,,Byanagreement...dated25July1899theyagreedthat`thesaidWActon-Adamsmightdepasturecattle...northward...oftherabbitfencewhichrunsalongtheClarenceandoverMaling'sPass.',1901 Feb 7 Acton-Adams Letter in 1969 McCaskill Molesworth 85
rabbit fence,1902,"Settler's Handbook of NZ, The",,216,,"[RabbitNuisanceAct]Rabbit-proofFencing.[heading]RabbitFences.-Inrespectofrabbitfencing,thedifferentlegalrabbit-prooffencesare:-...",
rabbit fence,1938,High Country,BURDON,163,,"Thoughrabbitfencesarestillusedbyindividuals,noattempthassincebeenmadetoprotectawholeprovince,asin1887.",
rabbit fence,1987,Candles and Canvas,CHRISTIE,121,,Thelocalcountycouncilemployedafull-timerabbitinspectortovisitfarmersandensurethatactivestepsweretakentoeradicatethepestandtoenforcetheerectionofrabbitfencesontheperimeterofthosefarmsborderingthewasteland.,
rabbit fence,"Sep 5, 1881",Hawke's Bay Herald,,3,,TendersarenowinvitedbythetrusteesforsplittingandhaulingoftimberfortheerectionofsixmilesofrabbitfencetobeerectedonAkitiorun.,
rabbit fence,"Jun 11, 1889",Waipawa Mail,,2,,"Therabbitfence,ithadbeenshown,hasbeencarriedwithinsevenmilesofthejunctionoftheTiraumeaandtheManawatu.",
rabbit fence,1902,"Settler's Handbook of NZ, The",,217,,AllrabbitfencesmaybedeclaredsufficientundertheFencingAct,
rabbit fence,1952,High Country Journey,NEWTON,179,,"Beyondtherabbitfence,atthemouthofSteyningCreek,wesidleddownsomenarrowfaces.Theserabbitfencesareafeatureofthispartofthecountry.",
rabbit fence,1973,Boot in the Stirrup,SINCLAIR,75,,"HeputthemthroughtherabbitfenceintoFisher'sHope,thenrodebacktothehut.",
rabbit fence,1973,Boot in the Stirrup,SINCLAIR,76,,"Forthebenefitofthosewho'venotseenarabbitfence,theyhavewirenettingfromaboutthesecondtopwire,downtoeighteeninchesdeepintheground.",
rabbit fence,2000,"Southern Hawke's Bay Rabbit , The",POULTON,xi.,,IfirstbecameawareoftheRabbitFenceasachildinthe1930s.RabbitfenceseparatingHawke'sBayandWellingtonProvinceswas52milesstretchingfromcoasttoWoodvillein1884.,
rabbit fence,Feb 2002,Historic Places,,84 / 33,,"ArabbitfenceseparatesBirchHillfromGlentanner,thenextstationdowntheTasmanRiver.",
rabbit fence,"Mar 24, 1891","Star, The",,3,,"TheRoyalCommissionersappointedbyParliamenttoexamineandreportupontheefficiencyofthetworabbitfencesinCanterbury,andtostatewhetherintheiropinionthemoneythesehavecosthasbeenjudiciouslyexpended,havejustbeenengagedinanexhaustiveinspectionoftheSouthCanterburyrabbitfence.",
rabbit gate,1990,"Bryans, The: At Home on the Farm",BENNETT,33,,OntheTaranakiendofthebridgeameshgatewasinstalled.ItwascalledtherabbitgateandwasdesignedtostoptherabbitscomingfromAucklandprovinceintoTaranaki.,
rabbit gate,2000,"Southern Hawke's Bay Rabbit , The",POULTON,xi,,Therabbitgatewasinasaddleat1780ftontopoftheWaewaepaRange.,
rabbit gate,"Jan 10, 2001",Taranaki Daily News,,2,,MokauresidentIanWhittakersaida10-minuteceremonyattheSouthernendofthebridgeat8pmonSaturdaywouldre-enacthistorywiththesymbolicclosingofareplicaoftheold'rabbitgate.',
rabbit gate,2001,NZ Memories,,June/July 63,,"Bylaw,motoristsstillhadtocontendwitha'rabbitgate'stationedateachendofthebridge.",
rabbit inspector,"May 15, 1880",Tuapeka Times,,2,,Mr.Bamford(RabbitInspector)furnishedtheCouncilwithanaccountamountingtoGBP315s3dbeingwagesofmenemployeddestroyingrabbitsontheBengercommonage.,
rabbit inspector,"Apr 8, 1911",Grey River Argus,,3,,"PiripiWaakawasfinedGBP5andcosts9sforfailingtoobeyanorderoftheCourttodestroyrabbitsonhisproperty.ThechargewaspreferredagainstthenativebyL.C.Webb,rabbitinspector,whostatedthataccusedstoppedworkbeforethepestwassatisfactorilydealtwith.",
rabbit inspector,"Jun 15, 1895",Evening Post,,4,,"NearlyeveryRabbitInspectorintheAustralasianColoniesswearsbyit,andyetwhen,in1884-1886,wesuppressedtherabbitinSouthWairarapa-over1,500,000acresofland-rabbit-fencingwasaviodedasaremedy.",
rabbit inspector,"Mar 22, 1879",Otago Witness,,11,,"AletterwasreceivedfromMr.D.Mackellar,Tapanui,pointingoutthatagreatdealofdestructionwasoccasionedbythewholesalecuttingofbushinthatdistrict,andsuggestingtheappointmentofMr.Bamford,rabbitinspector,tohaveanoversightofthebushinthatlocality.",
rabbit inspector,"Jun 14, 1921",Otautau Standard & Wallace County Chronicle,,3,,TheClerkwasinstructedtodirectthelesseeoftheDomaintoclearrabbitstothesatisfactionoftheRabbitInspector.,
rabbit inspector,"Apr 8, 1897",Otago Witness,,15,,"Itistobehoped,withouractsofParliamentandrabbitinspectors,thatwewillmakeanendofbunnythistime;butrabbitingisnotthegoldmineofyearsgoneby.",
rabbit inspector,1889,TrNZI,,21/429,,...areferencetoMr.Bayley's(theChiefRabbitInspectorofthecolony)annualreportfor1888willshowthattheGovernmentandeveryRabbitInspectorarewillinglyallowingtheuseoftraps,
rabbit inspector,"Jan 1, 1893",Letter,ACTON-ADAMS,,,"IherebysurrendertotheCrownmylicenceoftheTarndalebackcountry.IfinditimpossibletocomplywiththerequirementsofthepresentRabbitInspector.<i>Ibid.,</i>93[Seequot.RABBITINGvbl.n.]",1893 Jan 1 Acton-Adams letter to Commissioner of Crown Lands in 1969 McCaskill Molesworth 78
rabbit inspector,Dec 1950,NZ Journal of Agriculture,,517/2,,"->[includethefamousstoryofrabbitinspector]-->nfOED,W3",
rabbit inspector,1987,Candles and Canvas,CHRISTIE,121,,Thelocalcountycouncilemployedafull-timerabbitinspectortovisitfarmersandensurethatactivestepsweretakentoeradicatethepestandtoenforcetheerectionofrabbitfencesontheperimeterofthosefarmsborderingthewasteland.,
rabbit inspector,"Apr 8, 1930",Otautau Standard & Wallace County Chronicle,,4,,TherabbitInspectornotifiedtheBoardtofumigaterabbitsinembankmentsandcloseuprabbitholes.,
rabbit inspector,Dec 1950,NZ Journal of Agriculture,,517,,TherabbitinspectoratAshburtonwassufficientlyalarmedbythediscoveryofacolonyofrabbitsintheUpperRangitatatorecommendthebuildingofarabbit-prooffencefromtheupperreachesoftherivertothesea.,
rabbit net,"Aug 28, 1890",Southland Times,,3,,"I,CharlesG.Thurston,doagreetotransferallmyrightinperpetualleasesections5,6,7,and8,block2,Wendonsidedistrict,andtobuildasix-roomedhouse,plant1000foresttreesand500fruitandrabbitnetthemin;also,putupawindmillandfixsametopumptoliftwaterfordomesticuse...",
