Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
Ra,,noun,,the Sun God,,,,[none],,[none],,,
ra ra room,,noun,,recreation room,[none],,,[none],,[none],,,
ra-ras,,noun,,,[none],,,[none],,[none],,,?the upper classes; ?the rugby fraternity
rabbit,1,verb,2,,[none],,,[none],,[none],,,to kill rabbits / free land of rabbits
rabbit block,,noun,,,[none],,,[none],,[none],,,
Rabbit Board,,noun,,,[none],,,[none],,[none],,,
rabbit camp,,noun,1,a makeshift shelter or hut for rabbiters and rabbit skins.,[none],,,Rural,Farm Words,[none],rabbiters' camp,,also rabbiters' camp
rabbit cart,,noun,,a collection vehicle for rabbit carcasses.,[none],,,Environment,,[none],,,Also attrib
Rabbit Club,,noun,,,[none],,,[none],,[none],,,
Rabbit Commissioner,,noun,,,[none],,,[none],,[none],,,
Rabbit Committee,,noun,,,[none],,,[none],,[none],,,
rabbit country,,noun,1,"land where rabbits flourish, to the detriment of farm stock.",[none],,,Rural,Farm Words,[none],,,
rabbit district,,noun,,,[none],,,[none],,[none],,,
rabbit dog,,noun,,a rabbiter's dog trained to catch and kill rabbits.,[none],,,Rural,Farm Words,[none],,,aka rabbit-dog
rabbit,2,verb,,to run and dodge like a rabbit,,,,[none],,[none],,,(rugby union)
rabbit,2,verb,2,"to collar an opponent from behind by grabbing by the back of the neck and by the trousers, lifting him and pushing him forward on his face.",,,,[none],,[none],,,(? obs -->[?d]? 1941 St Patrick's (Silverstream) -->cf P: (B 1942) 2. `collar opponent by ankles' C.20
rabbit,,verb,,(esp. as rabbiting verbal noun) (in rugby) carry a grounded ball illegally over the try line,[none],,,[none],,[none],,,does this come from an early cit ?1905 ?1910] Johnny Johnson saw what I did ... that Williams had rabbited the ball across the goalline.
rabbit,3,verb,,"to steal surreptitiously (esp. potatoes by digging out potato tubers, leaving the tops still growing; BANDICOOT; MILK) (cf RABBIT n. for poss. derivation; phs f. general idea of rabbits' burrowing for tubes or perhaps from a stock answer to enquiry `Where's my potatoes?', `The rabbits have got them.' But rabbits would usually eat tops and leave tubers.)",,,,[none],,[none],,,ca1930 Nelson potatoes -->ca1952 Wellington potatoes
rabbit,1,noun,,an article made for private use with official materials in official time,,,,[none],,[none],,,"-->@n1 (Naval Dockyards, Auckland) -->a FOREIGNER;. -->ca1940 at least in Naval Dockyards, Auckland. (J.P.M. Cornwall) `perhaps Australian' -->cf P: 5 Property stolen from the Royal Dockyards, most frequently used in Devonp ort: naval: 20c: Bowen. 10 (ex5.) Any `scrounged' article: Naval: since ca1920; AND v borrow, stal B1943; ?Rastafarian argot"
rabbit,2,noun,,?Rastafarian argot,,,,[none],,[none],,,
rabbit factory,,noun,,,[none],,,[none],,[none],,,
rabbit fence,,noun,1,"a rabbit proof fence, with weirs and gates, that ran for extensive lengths between stations and provinces.",[none],,,Rural,Farm Words,[none],rabbit-line,,
rabbit gate,,noun,1,a gate formed of rabbit netting across a bridge to prevent rabbits from entering a province or station.,[none],,,Rural,Farm Words,[none],,,
rabbit inspector,,noun,,,[none],,,[none],,[none],,,[Check Act or Regulations for appointment.]
rabbit net,,verb,,,[none],,,[none],,[none],,,
rabbit pack,,noun,1,a team of dogs used by rabbiters to locate and kill rabbits.,[none],,,Rural,Farm Words,[none],,,
rabbit proof gate,,noun,,,[none],,,[none],,[none],,,
rabbit sick,,adjective,1,[of land and vegetation] ruined by rabbits.,[none],,,Rural,Farm Words,[none],,,
rabbit-cart,,noun,,,,,,[none],,[none],,,
rabbit-fencing,,noun,,,,,,[none],,[none],,,
rabbit-hole,,noun,,,,,,[none],,[none],,,"(WW1, Gallipoli)"
rabbit-killer,,noun,,a rabbit-punch,,,,[none],,[none],,,"ca1935 Havelock P: only Rabbit's punch, [check OEDS]"
rabbit-line,,noun,1,a rabbit-proof fence.,[none],,,Rural,Farm Words,[none],,,
rabbit-net,,verb,,,,,,[none],,[none],,,
rabbit-netted,,adjective,,,[none],,,[none],,[none],,,
rabbit-netting,,noun,,,,,,[none],,[none],,,
rabbit-poisoner,,noun,,,,,,[none],,[none],,,
rabbit-proof,,adjective,,,,,,[none],,[none],,,
rabbit-proof fence,,noun,,,[none],,,[none],,[none],,,
rabbit-proof fencing,,noun,,,[none],,,[none],,[none],,,
rabbit-sick,,adjective,,"of land, driven to infertility by overstocking by rabbits",,,,[none],,[none],,,"(cf CATTLE-, SHEEP-, STOCK-SICK)"
rabbit-skinner,,noun,,a nickname for a slow shearer.,,,,[none],,[none],,,(shearers')
rabbit-sucker,,noun,,,,,,[none],,[none],sucker,,
rabbit-trapping,,noun,,,[none],,,[none],,[none],,,
rabbiter,,noun,1,"a person employed either by a runholder, farmer, a local authority or Rabbit Board, to kill rabbits.",[none],,,Rural,Farm Words,[none],,,
rabbiters' breakfast,,noun,,,[none],,,[none],,[none],,,
rabbiters' camp,,noun,,,[none],,,[none],,[none],rabbit camp,,aka rabbit camp
rabbiters' hut,,noun,,,[none],,,[none],,[none],,,
"Rabbiters, the",,noun,,an exclusive gang of rural blue-blooded Hawke's Bay workers who were remittance men with some form of British title.,[none],,,Rural,Farm Words,[none],,,
rabbiting,,noun,,the occupation or activity of destroying rabbits,[none],,,[none],,[none],,,some citations below are of the verb to rabbit (v. 1)
rabbiting block,,noun,1,a contracted area of land to be cleared of rabbits.,[none],,,Rural,Farm Words,[none],,,
Rabbiting Commission,,noun,,,[none],,,[none],,[none],,,
rabbiting dog,,noun,,,[none],,,[none],,[none],,,
rabbiting gang,,noun,1,"a team of rabbiters and their dogs, contracted to kill rabbits on a station or block.",[none],,,Rural,Farm Words,[none],,,
rabbito,,noun,,,,,,[none],,[none],,,
rabbity,,adjective,,,,,,[none],,[none],,,
rabid,,adjective,,,,,,[none],,[none],,,
race,,noun,1,"[stockyards] a passage through which stock pass single file in drafting, or into dips or showers, or the passage through which dairy cows pass entering or leaving a cowshed.",[none],,,Rural,Farm Words,[none],,,
race call,,noun,,,[none],,,[none],,[none],,,
race,,noun,,,,,,[none],,[none],,,
race holder,,noun,,,[none],,,[none],,[none],,,
Race Relations Commissioner,,noun,,,[none],,,[none],,[none],,,Is it 'commissioner' or 'conciliator'???
Race Relations Conciliator,,noun,,,[none],,,[none],,[none],,,
race shed,,noun,,,[none],,,[none],,[none],,,Dairy farming; aka race milking shed
race-bail,,noun,,,,,,[none],,[none],,,
race-caller,,noun,,,[none],,,[none],,[none],,,
race-caller,,noun,,,,,,[none],,[none],,,cf caller
race-calling,,noun,,,[none],,,[none],,[none],,,
race-gate,,noun,1,"the swing-gate or drafting gate in a race, through which sheep pass in single-file.",[none],,,Rural,Farm Words,[none],,,
racebook,,noun,,a racecard,[none],,,[none],,[none],-,,
racecourse beer,,noun,,"any weak, unpalatable beer (from the bad reputation of beer sold at temporary bars at racecourses)",[none],,,[none],,[none],,,ca1945 (derogatory)
raced,,adjective,1,"[of land] through which a lane is created [along which stock are conveyed between paddocks or to a shed for milking, shearing etc. ]",[none],,,Rural,Farm Words,[none],,,
raceday,,noun,,,,,,[none],,[none],,,
raceful,,noun,,,,,,[none],,[none],,,(station)
racehorse,1,noun,,a thinly-rolled cigarette,,,,[none],,[none],cf greyhound,,"ca1939 Havelock children's. ca1952 Heard in Wellington (R. Mason) P: long, slim cigarette: Aus. since ca1930 (1953 quot.)"
raceman,,noun,,,,,,[none],,[none],,,
raceway,,noun,,,,,,[none],,[none],,,=RACE @n1
raceway,,noun,1,a fenced laneway through farm land.,[none],,,Rural,Farm Words,[none],laneway,,
racing,,noun,1,"a system of farm stock thoroughfares, lanes or races.",[none],,,Rural,Farm Words,[none],,,
racing axe,,noun,,,[none],,,[none],,[none],,,
racing knife,,noun,,,[none],,,[none],,[none],,,"ca1951 May 17 Feilding Freezing Works terms p.c. Colin Gordon -->a term for one's best or most handy knife, often jocular Racing Knife:e.g. men will say `can't do any good today - haven't got my racing-knife here'."
racing saw,,noun,,,[none],,,[none],,[none],,,
racing skids,,noun,,,[none],,,[none],,[none],,,
rack feeding,,noun,1,the provision of stock feed in racks.,[none],,,Rural,Farm Words,[none],,,
rack off,,verb,,go away,[none],,,[none],,[none],,,From <i>N.Z. English to U.S. English Dictionary</i> at http://nz.com/NZ/Culture/NZDic.html. Not known to DEH
rack on,,verb,,to rabbit on (pejorative),[none],,,[none],,[none],-,,
rack-a-rock,,noun,,an explosive (? trade name ca1900),,,,[none],,[none],,,
racy,,adjective,,racegoing,,,,[none],,[none],,,
raddle,,verb,,to rob (esp. be raddled),[none],,,[none],,[none],,,
raddle,,noun,,,,,,[none],,[none],,,
raddle,,verb,1,to mark sheep with a raddle stick for identification purposes.,[none],,,Rural,Farm Words,[none],,,
raddle money,,noun,1,a deduction made to a shearer's pay for sheep that are cut during shearing [such sheep being marked with raddle.],[none],,,Rural,Farm Words,[none],,,
raddle money,,noun,,,[none],,,[none],,[none],,,(shearers')
raddling,,noun,,,[none],,,[none],,[none],,,(obs.)
raddling,,adjective,,,,,,[none],,[none],,,
