Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
Sa,Dec 1996,Mana,,No. 11 : 67,,"InAuckland,forexample,youcantakeonelookatsomeoneandsaytoyourself:Ohyeah,she'saSa,he'saRaro,he'saToke.",
SAB,"Nov 21, 2005",Dominion Post,,A1,,"The""SABs""(SouthofAucklandandBeyond)havemanagedfor12straightyearstocomeupwithwackyandcreativeideas.",
sabretooth,"Jul 23, 1986",Codes for Species in NZ Waters,,,,sabretooth..[scientificname]<i>Evermanellaindica</i>..[othername(s)]--,
sabu,1944,Troop Target,FULLARTON,38,,"TherearethreewordsintheMiddleEastsoldiers'vocabularydescribingthenormalmaladministrationofanArmy.A<i>Tabu,anacrosticword,is`typicalArmyball-up',a<i>Sabu</i>is'self-adjustableball-up',a<i>Nabu</i>isa`non-adjustableball-up'egbeonthereceivingendofatabu.",
sacaline,1969,Standard Common Names for Weeds,,66,,<i>sacaline[=]giantknotweed</i>[s],
sack,"May 9, 1986",TV1,,,,"They're,whatistermed,sackingthehorse...",NZ Rodeo
sack-bashing,1958,Tararua Tramper,,30 (b)/2,,...-swimmingforthekeenonesandsack-bashingfortherest.,
sack-bashing,Jul 1959,Tararua Tramper,,1,,Anothersack-bashingpartythatarrivedonSundaygaveup.Butat11o'clockwejudgeditsafetostart.,
sacks on the mill,"Jul 30, 1930",Northern Advocate,,6,,"Therewere""sacks-on-the-mill""foratime",
sacrifice paddock,"Aug 14, 1958",Christchurch Star-Sun,,13,,"Thefarmingtechniqueknownasthe`sacrifice'paddock,inwhichonepaddockonafarmisheavilystockedduringthewintertosavepastureselsewhereonthefarmforusebycattleaftercalvingwascriticisedbytheSocietyforthePreventionofCrueltytoAnimalsinthePalmerstonNorthMagistrates'Courttoday....inDalefield'scaseithadbeenthestockratherthanthepaddockwhichhadbeen`sacrificed'",
sacrifice paddock,1982,Collins Concise English Dictionary,,1015,,"<i>sacrificepaddockn.N.Z.</i>agrassedfieldwhichisallowedtobegrazedcompletely,sothatitcanbecultivatedandresownlater.",[nf. 1986 NZPOD; 1985 Collins NZ Compact Dict. 428]
sacrifice paddock,"Sep 9, 2004",Dominion Post,,C7,,"Hispracticeofputtinghisherdina""sacrifice""paddockiscommonamongdairyfarmers.Ratherthandamageallhisfarmmovinghisherdaroundinthemud,heoptstosacrificepoorlyperformingpaddocksandlatercultivateandresowthemwithacropfollowedbynewgrasswhentheweatherimproves.",
sacrifice paddock,"Jun 10, 1958",NZ Dairy Exporter,,29,,"Wefed118cowsforafullmonthonthiscrop,supplementedbya'sacrifice'paddockadjoining..Inwetweatherweleftthecowsinthesacrificepaddockandfedhayouttothem.",
sacrifice paddock,1960,Grass to Milk,MCMEEKAN,187,,The'sacrificepaddock'systemofwinteringwouldbeemployedforthefeeding-outofhayandsilageduringwinter.,
sacrifice paddock,"Sep 10, 1970",NZ Farmer,,61,,"Iusedtothinksacrificepaddockswereboundtobeveryfertilethenextyearandtheheavierthestocking,thericherthey'dbe.",
sacrifice paddock,Sep 1973,NZ Journal of Agriculture,,61,,"Fortunately,theherdhadtowalksomedistancefroma'sacrifice'paddocktothebarnthroughashinglebottomedstream,whichisafirst-classindicatoroffounder,oroverheatingofthefeet.",
sacrifice paddock,"Sep 27, 1973",NZ Farmer,,7,,Sacrificepaddockswithfeedingracksonplatformsontherace-sidebordermaybeworthconsidering.,
sacrifice paddock,Jul 1983,NZ Journal of Agriculture,,69,,"Iintendtothrowawaythebackingwire,reverttotheold1950spracticeofa'sacrificepaddock'onthebadgrubareasandreallytramplehelloutofthem.",
sacrifice paddock,"Aug 1, 1996",NZ Farmer,,4,,MAFisencouragingfarmerstowatchtheirimageaftercomplaintsfromtowniesandtouristsovercattlebeingheldinmuddysacrificepaddocks.,
SADD,Sep 2003,AA Directions,,No. 57/11,,"SADD(StudentsAgainstDrivingDrunk)isanorganisationrunbystudentsforstudents,toeliminatedrinkinganddrivingthrougheducationandpositivepeerinfluence....IwassurprisedathowmuchSADDaffectedme.",
SADD,Apr 2004,AA Directions,,No. 59/31,,"WhenIwasatschool,IworkedforSADD(StudentsAgainstDrunkDriving).",
SADD,"Nov 30, 2003",Sunday Star Times,,A15,,"Thefutureofanti-drinkgroupSaddisuncertaindespitelast-minutefundingwhichhasthrownthestudentlobbygroupasix-monthlifeline.StudentsAgainstDrivingDrunk,whichhasoperatedinNewZealandschoolsfor17years,received$75,000fromtheRoadSafetyTrustonThursday....Saddoperatesinmorethan80%ofKiwihighschoolsandisrunmostlybystudents.Itaimstoraiseawarenessaboutthedangersofdrinkinganddriving.",
saddle,1979,SANZ Glossary Building Terminology,,96,,"<i>Saddle</i>-U-shapedcleatforsecuringlightingconduit,orpiping.",
saddle piece,1979,SANZ Glossary Building Terminology,,96,,<i>Saddlepiece</i>-Shapedearthenwareconnectionfittedoveracircularopeningmadeinalargedrainorsewer.Thismethodisadoptedtoavoiddisturbingadraintoinsertajunction.,
saddle pole,1986,Glossary of Building Terminology,SALMOND,233,,<i>Saddlepoles</i>.straighttreebrancheslashedtogetheratoneendandplacedovertheridgeofarooftopreventthatchorbarkcoveringsfromblowingaway.,
saddle rifle,1970,Grasslands of NZ,LEVY,240,,Firstcamethetentandthenthewhare-theforerunnerofsomanyhomesofthehills-withitssingleroomcontainingbunksofsacking-onastayatthefarendwouldbethesaddlerifle.,
saddle slide,1983,Stockman Country,FOSTER & WRIGHT,12,,Themincingcomesfromslightsaddleslide.,
saddle track,"Sep 22, 1868",Evening Post,,2,,"Ourfirstweek'sprospectingwasnorthoftheGovernmentsaddletrack,withoutobtainingasinglecolorforourtrouble.",
saddle track,"Aug 17, 1872",West Coast Times,,2,,ThereportoftheCommitteeontheHurunuisaddletrackwasadopted.,
saddle track,"Nov 24, 1892",Colonist (Nelson),,3,,"MrA.Thomsonmoved,andMrBeukeseconded,thattheMinesDepartmentbeappliedtoforGBP40foreachofthefollowing-Chandler'stoWangapekasaddletrack,TableLandtrack,DoverivertoBatonsaddletrack.",
saddle track,"Nov 25, 1907",Poverty Bay Herald,,5,,"HemusthavecrossedtherebymeansofasaddletrackfromSeacliffe,adistanceof40miles,inasoutherlydirection.",
saddle track,1982,Master of Big Jingles,MARSHALL,35,,"`Lettyhasfordaysnowbeen...sneakingoff.She'sbeengettingridesongraveltrucks,...'`TheGolightlyshappenedtoseehertodayonthesaddletrack,andbroughtherhome....'",
saddle with,1877,TrNZI,,9/579,,"...showingthatthesouthernbranchsaddleswiththeKarangama[?],atapointtotheMountwestwardofSefton.",(S.H.Cox)
saddle with,1957,In Highest Nepal,HARDIE,57,,...thepassatitsheadactuallysaddledwithwhatappearedtobeatributaryoftheHongutothewest....[?p]...IwantedtoexaminetheHongutributariestoconfirmthesuggestionthattheIswasaddledwiththeHongu.,
saddle with,1958,Tararua,,13/47,,,[get quot]
saddle-hack,1969,NZ School Journal,[James K Baxter],II 1 21,,"ThenHokitikaBill/Hecalledforhispay,/Climbedonhissaddle-hack/Androdeaway.",
saddle-shed,1978,Mimiwhangata Station,KEENE,21,,"Weenteredtheporchwhichononesideledintoa
saddle-shed-cum-toolshed.[harness-room,saddle-room]",
saddleback,Jan 2002,NZ Geographic,,No. 55/16,,Oliverrecordedthesaddlebackashavingapeculiarassociationwithwhitehead;howtwoormoresaddlebacksfollowedaflockofwhiteheadsandactedasguardianstoit.,
saddleback,"Jul 15, 1871",Otago Witness,,17,,"Apairofthoserarebirds,theSaddleback(<i>Creadioncinereus</i>),wereseenatwork,busilyseekingforgrubsinthecracksandopeningsinthebarkofthetree.",
saddleback,"Jul 10, 1982",Listener (New Zealand Listener),,12,,"HewroteofsaddlebacksongbeingdubbedintoaprogrammeonLakeWaikaremoana,wherethebirdisnolongerfound.",
saddleback,Feb 1999,North & South,,68,,InthosedaystheflittyandfragileNorthIslandsaddlebackwasconfinedtoasinglehabitat.,
saddleback,1898,Merriam-Webster Third International,,2030,,"
<i>Sad&#769;.dle-back&#769;.</i>
(s&abreve.d&#769;.d'l-b&abreve.k),<i>n..us:2.(Zoo.l.)[Add.](d)</i>ApasserinebirdofNewZealand<i>(Creadioncarunculatus)</i>,resemblingthestarling;-socalledfromthechestnut-colouredbandoffeathersonitsbackandwings.",
saddleback,"Aug 30, 1905",Otago Witness,,13,,Thebirdsandanimalstobeprotectedareasfollow..saddleback(tieke-Creadioncarunculatus)...,
saddleback,"Apr 27, 1922",Auckland Weekly News,,15,,Hetheremadehisfirstacquaintancewithasaddleback,
saddleback,"May 12, 1984",Listener (New Zealand Listener),,23,,"Fourteenpairsofsaddlebacks,groundfeeders,werereleasedinFebruaryandatlastreportwerethriving.",
saddleback,"Jan 2, 2003",Capital Times,,5,,"ThismakesthemthefirstNorthIslandsaddlebacktobehatchedandsuccessfullyfledgedinthewild,onthemainland,inover100years.",
saddleback,2000,Directions,,Summer 2000 No. 46 : 29,,DrivingfromStratfordtoTaumaranuiisanunforgettablejourneyoversaddlebacksandthroughpristinebush.,
