Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
T and G,1905,Where the White Man Treads,BAUCKE,214,,"... cleanliness of person are consonant with lean, mat-covered, earthen floors, but that T. and G. flooring kept clean is nicer and healthier; ...",
T house,"Oct 21, 1934",Nelson Examiner,,4,,"There are one and two storey weather-boarded houses, square and bell-shaped tents, T houses and V huts.",
T-shaped shed,1874,Notes on Sheepfarming in NZ,CAIRD,23,,"The most generally adopted, and probably, the most useful form of shed, is what was commonly called the T-shaped shed.",
t-tub,"Nov 20, 1989",Listener (New Zealand Listener),,8,,"Despite the Maori history of this area, the mock-medieval ceremony contains not a single nod to the t-tubs - as one of our leading politicians once cheerfully designated the tangata whenua - but we'll let that pass.",
T.A.B.,"Jul 10, 1919",Quick March,,33,,"Sa-eeda Ahmed, Akers, arrak,/ Bints, Bomonti. backsheech, barrak;/ Centipedes and Cleopatra,/ Dust and desert, djinns and Fatima;/ `Eggs-cook, ana miskeen,'/ Fever, flies, and felaheen;/ Gehenam, Galabeyah, gods,/ Harems, hooshters, heat and hods;/ `Igri wallah, imshi Y'allah.'/ Jackos, jackals, `gala gala';/ Khamseen, kan kan, tala hena,/ Lice and locusts, love and Lena;/ Mirage, Mahomet, mosquistoe,/ Niggers, T.A.B. and C2;/ Olives oranges, askarie./ Peanuts, pyramids, and gharry;/ `Queens' and `Quacks' and `k'weis kateer,'/ Ruins, rum, and Gyppo beer;/ Scorpion, sand, sun, sin, and Scarab,/ Tibbin, taube, and tricky Arab;/ Whizz-bangs, wadis, `yin-al-deenak,'/ Yids, and yesterday, yeh meenak;/ Kestrels, kingfishers, and kites,/ Torrid days and sleepless nights;/ Mosques and minarets--maleesh;/ `O'ariglak,' `feluce--mafeesh'--/ Bookra, badein, ack-ack-emma,/ The soldier's farewell--ma-es salemma;",
T.C.,1953,Unorganized Games,SUTTON-SMITH,1/404,,"The most widely known game with insects is a game named variously by T.C. students as Butcher Boys (Gisborne, New Plymouth, Kaponga, [405] Te Pohu, Newall, Sth. Wellington), Butcher Bats (Ohau, Takaka), Penny Doctor Beetles (Tauranga, Pipiriki, Rotorua), or Fishing (Morunui). It is a game in which straws which have been suitably moistened with spittle are placed in an insects [sic] hole and are flicked out when the insect bites the end of the straw. Most of the reports of this practice come from the North Island, though it was known in the South as early as 1900 (Waikouaiti).",
T.E.P.,Feb 1981,Avondale College Slang Words in Use,,,,T.E.P.,(Goldie Brown Collection)
T.H. Lowry,Oct 1999,NZWords,,2(2) : 2,,There are many examples of rhyming slang in use at Paparua:.. <i>T.H. Lowry</i> for Maori.,
T2,"Apr 12, 2006",Northern Courier,,5,,"The letter began by acknowledging the letter sent by the association, but stated that the appropriate time to address any changes to the operating conditions of the T2 lanes is when the formal review takes place.",
T2,"Apr 26, 2006",Capital Times,,11,,When the T2 transit lanes are not in operation motorists are encouraged to use the right-hand lane.,
T2,"Sep 11, 2006",Dominion Post,,A2,,The T2 lanes are restricted to vehicles carrying two or more people at peak times and are designed to improve traffic flows.,
T2,"Feb 15, 2006",Porirua City News,,1,,"The kerbside lanes are T2 lanes, which means only vehicles carrying two or more people during these operating hours can use them.",
T2,"May 2, 2006",Kapi-Mana news,,1,,"Transit is listening to the concerns Paremata residents have about T2 lanes ... Like Wellington's bus lanes, the start of and parts of the T2 lanes will be painted green.",
T2,"Feb 15, 2006",Porirua City News,,1,,Mrs Osvald says motorists who break the rule and use the T2 lanes outside the transit hours are proving to be dangerous ...,
T2,"Jan 15, 2006",Porirua City News,,1,,.. Transit is going to install additional T2 markings on the road inside the kerbside lanes.,
T2,"Jul 13, 2007",Dominion Post,,A6,,"While Transport Safety Minister Harry Duynhoven was observing traffic, two trucks went down the closed T2.",
