Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
T and G,,abbreviation,,tongue and groove(d),[none],,,[none],,[none],,,
T house,,noun,,,[none],,,[none],,[none],,,
T-shaped shed,,noun,,"an early design of woolshed, where a shearing board is located on the perpendicular and wool handling is done at one end.",[none],,,[none],,[none],,,
t-tub,,noun,,a member of the tangata whenua,[none],,,[none],,[none],,,
T.A.B.,1,noun,,,,,,[none],,[none],,,
T.C.,,abbreviation,,(Teachers) Training College,,,,[none],,[none],,,
T.E.P.,,noun,,,,,,[none],,[none],,,
T.H. Lowry,,noun,,Maori,[none],,,[none],,[none],,,
T2,,noun,,a traffic lane restricted to vehicles carrying at least two people at peak times.,[none],,,[none],,[none],,,
ta moko,,noun,,,[none],,,[none],,[none],moko,,-
TAAC,,abbreviation,,Total Allowable Commercial Catch [of fish],[none],,,[none],,[none],,,
taapini,,noun,,,,,,[none],,[none],,,
TAB,,noun,,the Totalisator Agency Board set up in 1952; any one of its local betting agencies,acronym,,,[none],,[none],,,also attrib. below
tab,3,noun,,,,,,[none],,[none],,,
tab,3,noun,2,,,,,[none],,[none],,,
tab-a-tab,,noun,,,[none],,,[none],,[none],tapu,,
Tabby,,noun,,the TAB,[none],,,[none],,[none],,,"1990 p.c. Desmond Hurley Used in the South Taranaki in the 80s for the TAB, eg I'm off to the Tabby"
tabby-tab,,noun,,,[none],,,[none],,[none],tapu,,
tabernacle,,noun,,the TAB (Totalisator Agency Board),[none],,,[none],,[none],,,
table,2,noun,,,,,,[none],,[none],,,
table,1,noun,,"to out-drink, to make drunk (occas. be under the table, to be drunk, `under the weather')",,,,[none],,[none],,,
table,,noun,3,a wool table,,,,[none],,[none],,,
table,2,noun,2,,,,,[none],,[none],,,
table-drain,,noun,,a shallow drain,,,,[none],,[none],,,
table-hand,,noun,,,[none],,,[none],,[none],,,
table-hand,,noun,,an employee who works on a wool table or as assistant wool classer.,[none],,,Rural,Farm Words,[none],,,
tableman,,noun,,"an employee who works on a wool table, skirting and rolling fleeces.",[none],,,Rural,Farm Words,[none],table-hand; wool roller,,
tablet,,noun,,,,,,[none],,[none],,,
tablet porter,,noun,,,[none],,,[none],,[none],,,
tablet station,,noun,,,[none],,,[none],,[none],,,
taboo,,verb,,,[none],,,[none],,[none],,,
taboo,,adjective,,,[none],,,[none],,[none],,,also tabu
taboo,,verb,,,[none],,,[none],,[none],-,,
taboo,,noun,,,[none],,,[none],,[none],tapu,,cf tapu
tabooed,,adjective,,,[none],,,[none],,[none],,,see also tapued
tabu,,noun,,typical Army ball(s)-up,[none],,,[none],,[none],,,"(cf NABU, SABU, P: TCCFU: typical coastal command fuck up; ca1941-44 TABU: Army: mostly officers': N. Africa: 1940-45"
tabu,1,adjective,,,[none],,,[none],,[none],tapu,,
TACC,,abbreviation,,Total Allowable Commercial Catch,,,,[none],,[none],,,
tacco,,noun,,tactical coordinator,,,,[none],,[none],,,
tack,,noun,,,,,,[none],,[none],,,
tack up,,verb,,,,,,[none],,[none],,,
tackle on,,verb,,"to begin to eat; to fall on, start on (food) [??omit]",,,,[none],,[none],,,
taeakeake,,noun,,,,,,[none],,[none],,,
taepo,,noun,,,,,,[none],,[none],taipo,,
taerarua,,noun,,a bisexual,Maori,,,[none],,[none],,,
taewa,,noun,,,,,,[none],,[none],also tiver,,
taewa,,noun,,an early variety of Maori potato.,Maori,,,Rural,Farm Words,[none],,,
TAF,,noun,,"[acronym for] trading among farmers, a scheme where farmer shareholders of Fonterra shares can trade shares.",acronym,,,Rural,,[none],,,
tag,,noun,,a graffiti painter's signature,[none],,,[none],,[none],,,
