Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
U-bath,1958,"Sheep.  Part 1, Sheep husbandry",STEVENS,86,,"AmodificationofthestraightswimistheU-bath,whichisineffectastraightswimdipturnedbackonitselfwiththetwobathsseparatedbyanarrowconcretewall.",
U-board,"Apr 24, 1980",NZ Farmer,,36,,"Variationsincludecentre-board,side-port,across-the-board,U-board,raisedboardandreturnrace.",
u-ie,"Jun 1, 1993",Dominion,,8,,HewasforcedtodoaU-ieandcatchhisreturnflighthomewhenhegotlostandranoutoftime.,
u-ie,"Oct 6, 2001",Dominion Weekend Magazine,,6,,"WhileIthinkthetagofbistroisabitofanmisnomerfortheRoxburgh'sstyleoffoodandservice,hecouldhardlydoa""U-ie""andbrandhisnewbabywiththesamebistrosticker.",
u-ie,"Jun 7, 1997",Listener (New Zealand Listener),,12,,"Heplantedhisfoot,didaU-ieandtookoff.",
u-ie,1999,Ta Matou Mangai (Our Own Voice),Hone Kouka (ed),61,,"Hey,he'sdoingaU-ee",
U.P.,1974,Undiscovered Country,GORDON,10,,IshouldhaverealiseditwasallU.P.thismorningwhenshedidn'tgetupforbreakfast.,1921 Mansfield A Bad Idea in 1974 Gordon Undiscovered Country
UE,"Mar 3, 1963",Evening Post,,17,,"Hisniecesandnephewshereweretalkingabouttaking""U.E.""-itwas""matric""whenheleft.",
UE,1971,Bullshit and Jellybeans,SHADBOLT,30,,`YouknowthesedaysShadboltSchoolCertdoesn'tmeanverymuch....WhatyouneedinlifeisUE.,
UE,1980,"Personal Kiwi-Yankee Dictionary, A",LELAND,107,,"U.E.orsitU.E.:ThisistheUNIVERSITYENTRANCEcertificate,whichentitlesthose6thformers(around17yearsold)togotoUniversity.",
UE,1988,"Fools on the Hill, The",LAY,47,,"`Gottogetyew-weefirst,'saidHelen...",
UE,1988,Short Stories from NZ,,53,,Thesonshadthesameproblem.Twoyearstogettheyou-wee.,
UEBS,"Dec 9, 2004",Dominion Post,,B7,,"ItwasgoodenoughforastudenttohavepassedanythreesubjectsintheUniversitiesEntrance,BursariesandScholarship(UEBS)examinations.",
UFB,2010,Internet - see Notes,,,,"TheTCFestablishedtheTCFUFBWorkingPartyinJanuary2010tosupporttheGovernment'sUFBinitiativewithitsaim,workinginconjunctionwithCFH,topreparestandardsonproduct,technical,andoperationalmatterswhereacombinedindustry-developedsolutionisdesirable.",tcf.org.nz
UFB,"Oct 1, 2010",Otago Daily Times,,,Internet,TelecomyesterdaylaiddownachallengetotheGovernmenttoinvolvethecompanyintheultra-fastbroadbandprojectandavoidunnecessaryduplication.BothchairmanWayneBoydandchiefexecutivePaulReynoldsmadeitclearTelecomwantedtobeattheheartofthemuch-talked-aboutUFBprojectandwaspreparedtoworkhardforitsinvolvement.,
Ugg-booted,"Jul 3, 2005",Sunday Star Times,,30,,"""IthinkalotofmylookrightnowcomesfrommyWestAucklandupbringing,""HeathermaryJacksonsayswithoutatraceofUgg-bootedsarcasm.",
ugh boot/ug boot/ugg boot,"Oct 17, 2003",Dominion Post,,A3,,[Hdg]StarsputUggsonmap.ActressGwynnethPaltrow'sfetishforKiwiUggbootshasledtoaminijobsboominChristchurch.,
ugh boot/ug boot/ugg boot,"Jun 29, 2002",Listener (New Zealand Listener),,58,,Ugbootshavetrodtheirwaybackontoinnocentfeet.,
ugh boot/ug boot/ugg boot,"Feb 29, 2004",Sunday (Sunday Star Times Magazine),,9,,Itusedtobethatthewholepointofuggbootswastheirugliness-that'swhytherewerenoattemptstomakethemanythingbutsheep-coloured.,
ugh boot/ug boot/ugg boot,"Mar 22, 2003",Dominion Post,,F3,,"""Youshouldneverthrowoutyourgumbootsoryourugboots,though-thatisjustasmuchpartofNewZealandasgoingdowntotheViaductforanoverpricedcoffee.""",
ugh boot/ug boot/ugg boot,"Jul 24, 2003",Dominion Post,,D2,,[Hdg]Snugugs.Ugbootshavehadarenaissancethiswinter.,
ugh boot/ug boot/ugg boot,"Jul 22, 2001",Sunday Star Times,,D2,,"Kiwicouture'spiecederesistance,theuggboot,isbeingslappedintoAustralianChanelstores,thismonth,causingsquealsofdelightfromglamour-trashBondibabesandsuburbanOckerhousewives.",
ugh boot/ug boot/ugg boot,"Nov 15, 2003",Dominion Post,,C2,,[Hdg]Oprah'sboostforUggbotts...CanterburyLeatherInternationalwastoldnearlyamonthagoitsbabypinkandpowderblueUS$165(NZ$260)Uggbootswouldfeatureonthetalkshowairedin109countriesandwatchedby21millionpeopleeveryweekintheUnitedStatesalone.Uggboots-originallydesignedtowarmthetootsiesofchillyAustraliansurfers-areexperiencingarenaissanceafterbeingseenonsomeoftheworld'smostfamousfeet.,
ugh boot/ug boot/ugg boot,"Nov 16, 2003",Sunday Star Times,,7,,Iwassatinthearmchairwithmyfeetuponastoolandatowelwassnuglywrappedugg-bootstylearoundonefootwhiletheotherwasmassaged-andImeanmassaged.,
