Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
U-bath,,noun,1,a type of swim dip used for ridding sheep of keds and lice.,[none],,,Rural,Farm Words,[none],,,
U-board,,noun,,a design of woolshed with a U-shaped board that is either level with the floor or raised as in a raised-board shed.,[none],,,[none],,[none],,,
u-ie,,noun,,"a U-turn, an about turn",,,,[none],,[none],,,
U.P.,,abbreviation,,up,[none],,,[none],,[none],,,
UE,,abbreviation,,"University Entrance (former school qualification, by exam or accrediting)",[none],,,[none],,[none],,,ca1954 Oct R. Mason Used by Christchurch parents who were discussing their son's exams. ca1957 Wellington Would seem now to be general
UEBS,,abbreviation,,"Universities Entrance, Bursaries and Scholarships",,,,[none],,[none],,,
UFB,,abbreviation,,ultrafast broadband,acronym,,,[none],,[none],,,
UG,,abbreviation,,"as derogatory, could this be from abbrev or shortening of Ungraded `UG' in old AA manuals for establishments with no `star' rating.",[none],,,[none],,[none],,,
Ugg-booted,,adjective,,of Ugg boot culture,[none],,,[none],,[none],,,
ugh boot/ug boot/ugg boot,,noun,,Macquarie : a fleecy-lined boot with an untanned upper. AOD: Aust. a boot made of sheepskin with the wool on the inside,[none],trademark,,[none],,[none],,,"Australian origin, now worldwide (e.g. seen in Private Eye 1155 31.3.2006)"
ugly pills,,noun,,"HAVE YOU HAD YOUR UGLY PILLS TODAY, said (often? humorously) to an ugly person, but especially of a third person: eg. `That bird has taken her ugly pills, eh?'",[none],,,[none],,[none],,,ca1957 Hawkes Bay and Waikato p.c. Jack Sutherland 1983
uianui,,noun,,,,,,[none],,[none],,,check spelling uianui or uanui
uku,,noun,,a white clay used as soap,Maori,,,[none],,[none],,,
ultimate,,noun,,"ultimate (frisbee) is a non-contact sport played by two seven player teams. The disc may only be moved by passing as the thrower is not allowed to take any steps. Any time a pass is incomplete, intercepted, knocked-down, or contacts an out-of-bounds area, a turnover occurs, resulting in an immediate change of possession of the disc. A goal is scored when a player successfully passes the disc to a teammate in the endzone which that team is attacking.",[none],,,[none],,[none],,,definition from Ultilingo.com (http://mypage.direct.ca/r/rulegal/all.html)
ultra-provincial,,adjective,,,,,,[none],,[none],,,
ultra-provincial,,noun,,,[none],,,[none],,[none],,,
ultra-provincialism,,noun,,,,,,[none],,[none],,,hist.
ultra-provincialist,,noun,,,[none],,,[none],,[none],,,also adjective (1855 cit.)
uma rapiti,,verb,,to escape,,,,[none],,[none],,,
umbles,,noun,,,,,,[none],,[none],,,
umbrella fern,,noun,,"<i>Gleichenia</i> spp. (or <i>G. dicarpa (=circinata), G. microphylla</i>; and<i> Sticherus</i> (formerly <i>Gleichenia) cunninghamii</i> and <i>S. flabellatus</i>), a fern of swampy places. Compare umbrella plant. [OED2 10 b. denoting `shaped like, resembling an umbrella'. Both cits NZ] [JD notes: Brownsey 1989 follows some botanists elsewhere in splitting <i>Gleichenia</i> into three divisions (1) <i>Gleichenia</i> for <i>G. dicarpa (=circinata)</i> and <i>G. microphylla</i> called `tangleferns'; (2) <i>Sticherus cunninghamii</i> and <i>S. flabellatus</i> called `umbrella ferns'; and (3) <i>Dicranopteris linearis</i> for which he gives no common name. `Umbrella ferns' could be taken to refer to all of them.] Umbrella fern takes numerous descriptive sub-epithets alpine, bog, bush, climbing, fan(-like), forest, forked, mountain, scrambling, swamp",[none],,,[none],,[none],,,
umbrella fern,,noun,,"<i>Gleichenia</i> spp. (or <i>G. dicarpa (=circinata), G. microphylla</i>; and<i> Sticherus</i> (formerly <i>Gleichenia) cunninghamii</i> and <i>S. flabellatus</i>), a fern of swampy places. Compare umbrella plant. [OED2 10 b. denoting `shaped like, resembling an umbrella'. Both cits NZ] [JD notes: Brownsey 1989 follows some botanists elsewhere in splitting <i>Gleichenia</i> into three divisions (1) <i>Gleichenia</i> for <i>G. dicarpa (=circinata)</i> and <i>G. microphylla</i> called `tangleferns'; (2) <i>Sticherus cunninghamii</i> and <i>S. flabellatus</i> called `umbrella ferns'; and (3) <i>Dicranopteris linearis</i> for which he gives no common name. `Umbrella ferns' could be taken to refer to all of them.] Umbrella fern takes numerous descriptive sub-epithets alpine, bog, bush, climbing, fan(-like), forest, forked, mountain, scrambling, swamp",[none],,,[none],,[none],,,
umbrella moss,,noun,,,[none],,,[none],,[none],,,
umbrella plant,,noun,,<i>Gleichenia semi-vestita </i>,[none],,,[none],,[none],,,
umbrella tree,,noun,,"the juvenile form of lancewood. [from the long, downward-pointed leaves resembling the spines of an umbrella. Pseudopanax crassifolium, =LANCEWOOD",[none],,,[none],,[none],,,
UMF,,abbreviation,,unique manuka factor,initialism,,,[none],,[none],,,
umu,,noun,,Maori oven,,,,[none],,[none],,,
umukai,,noun,,,,,,[none],,[none],,,
un-Kiwilike,,adjective,,,[none],,,[none],,[none],,,
un-Maori,,adjective,,not in conformity with Maori ways,[none],,,[none],,[none],,,
un-New Zealandness,,noun,,a feature that is unlike the New Zealand culture or character,[none],,,[none],,[none],,,
unalienated,,adjective,,,,,,[none],,[none],,,
unbracketed,,adjective,,,,,,[none],,[none],,,
unbroken,,adjective,1,[of land] undeveloped.,[none],,,Rural,Farm Words,[none],,,
unbroken country,,noun,,,[none],,,[none],,[none],,,
unbroken,,adjective,,,,,,[none],,[none],,,
unbuggering,,noun,,the undoing of work not done well.,[none],,,[none],,[none],,,
unbutton the mutton,,adjective,,urinate,,,,[none],,[none],,,
uncinia,,noun,,,[none],,,[none],,[none],,,
uncinia,,noun,,,[none],,,[none],,[none],,,
uncinia,,noun,,,[none],,,[none],,[none],,,UNCINIA BROAD-LEAVED UNCINIA Uncinia uncinata -->1908 Cockayne Botanical Survey Tongariro National Park
uncinia,,noun,2,,[none],,,[none],,[none],,,
uncinia,,noun,,,[none],,,[none],,[none],,,
uncinia,,noun,,,[none],,,[none],,[none],,,
uncinia,,noun,,,[none],,,[none],,[none],,,
uncinia,,noun,,,[none],,,[none],,[none],,,
uncinia,,noun,,,[none],,,[none],,[none],,,
Uncle Mo,,noun,,the Ministry of Works,[none],,,[none],,[none],,,
Uncle MOW,,noun,,the Ministry of Works,[none],,,[none],,[none],,,
Uncle Ned,,noun,,head,[none],,,[none],,[none],,,rhyming slang
Uncle Scrim,,noun,,"Colin Scrimgeour, 1930s private radio pioneer",[none],,,[none],,[none],,,
Uncle Willy,,noun,,(a) silly (person),rhyming slang,,,[none],,[none],,,
unclean,,adjective,,(of grazing country) infected with scab,[none],,,[none],,[none],clean,,1912 Booth Five Years in NZ 28 (cited in DNZE at clean)
unco,,adjective,,"awkward; clumsy, inept",[none],informal,,[none],,[none],,,also as noun; an abbreviation of uncoordinated; 1984 14 F E126 Wgton Girls C. 1 UNC [a silly person] -->1984 16 F E29 Pakuranga Coll. 1 UNCO [F16-17 7] -->1984 16 F E29 Pakuranga Coll. 7 UNCO [something not good] -->1984 16 F E29 Pakuranga Coll. 10 UNCO [useless person/thing F3] -->1984 16 F E30 Pakuranga Coll. 2 UNCO [a mad person] -->1984 14 F E127 Wgton Girls C. 10 UNCO (UNCO-ORDINATED) -->1984 14 F E137 Wgton Girls C. 1 UNCO (UNCOORDINATED) MOLE [F 2]
unconformable,,adjective,,,,,,[none],,[none],,,
uncovenant,,verb,1,to free land from a protective covenant.,[none],,,Rural,Farm Words,[none],,,
uncrowdedness,,noun,,lack of people,,,,[none],,[none],,,
Uncrowned King of NZ,,phrase,,"James Roberts (1881- ) -->Mr James (`Big Jim') Roberts, when he was President of the Labour Party, and also President of the Federation of Labour",,,,[none],,[none],,,"James Roberts, ""The Uncrowned King of New Zealand"" lived 1881-1967"
uncrutched,,adjective,1,[of sheep] with unshorn rear ends or bellies.,[none],,,Rural,Farm Words,[none],,,
undagged,,adjective,,,[none],,,[none],,[none],,,
Undaria,,noun,,"The invasive Japanese seaweed, <i>Undaria</i> sp.; should be possible to get earlier cites from 1987.",,,,[none],,[none],,,"Dr Cameron Hay and Dr Penny Luckens (the last, from memory discovered it first in Wellington Harbour in a routine survey), came to me in some excitement about it when it was first discovered here."
under,,noun,,,,,,[none],,[none],,,
under and over,,noun,,a gambling game,[none],,,[none],,[none],,,
under below,,exclamation,,a warning call on the wharves when working cargo,,,,[none],,[none],,,
under below,,exclamation,2,a bushman's warning call (? Northland) `timber'. bushmen's call (? Northland) in bushfelling - usually as a warning of beginning of a drive,,,,[none],,[none],,,
under command,,phrase,,"of sheepdogs, obedient",,,,[none],,[none],,,(station)
under crop,,phrase,,being cropped,,,,[none],,[none],,,
under the hook,,phrase,,working on the wharf,[none],,,[none],,[none],,,
under the lap,,noun,,"privately, on the sly.",,,,[none],,[none],,,ca1941-45 Prison RC. e.g. Prisoners speak of getting information or forbidden luxuries `under the lap'; and also attrib get under-the-lap information -->P: from B 1842
under the Southern Cross,,phrase,,,,,,[none],,[none],,,
under the top,,phrase,1,[mustering] a position or beat taken by the second beat man.,[none],,,Rural,Farm Words,[none],,,
under water,,phrase,1,[of farmland] irrigated.,[none],,,Rural,Farm Words,[none],,,
under-boss,,noun,,a warder other than the chief warder,,,,[none],,[none],,,"(borstal obs) cf BOSS as a name for masters in boarding schools, e.g. St Patrick's College, Silverstream)"
under-run,,noun,1,"a tomo or underground tunnel, a hazard to stock.",[none],,,Rural,Farm Words,[none],under-runner,,also underrun
