Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
V,1953,"Story of the Kauri, The",REED,157,,Onemethodusedonleaningtreeswastocutthecentreofthescarvesdeeperthanthesides-to`V'themasitwascalled.,
V,"Mar 13, 1944",NZEF Times,,III/142 : 7,,"Givemethefragrant,yetmuchdespised""V"",StandingforVictoryandissuedout-Free.",
V,"Jul 24, 1944",NZEF Times,,IV/161 : 5,,I'vesmokedafewthousandV'sinmytime.,
V,1990,NZ Green,YSKA,44,,"Accordingtooneveteranthe""V""cigaretteswerecoarse,low-gradetobaccorolledinIndiabut""someoneallegedthey'dfoundsomeIndianhempseedsinthem.""",
V,1946,Johnny Enzed in the Middle East,,45,,SavethemtoswapforV's.,
V,"Sep 10, 1945",NZEF Times,,IV/220:2,,MoreandmorepeopleagreethatV'sweresomuchbetter.,
V's,1938,"Godwits Fly, The",HYDE,114,1970,"Onthefarsideofthewharfanoticesays,`Danger!TwelveFeetDeep'.Boyswithdarkgoldbodies,wearingonlyV's,jumponthestanchions,...thenplungedownlikegannets.",
V-Force,"Jul 2, 1965",Dominion,,1,,"V-Forcetoleavethismonth,saysMrHolyoake.ANewZealandartillerybatterywouldleaveforSouthVietnaminthelatterpartofthismonth...",
V-Force,1984,Red Coat to Jungle Green,BARBER,after 96,,HELPFULHINTSNO6ESPECIALLYFORV-FORCE,1965 Nov Action vol 1 in 1984 Barber Red Coat to Jungle Green
V-house,"Apr 5, 1851",Lyttelton Times,,1,,"SUBSTANTIALVHOUSETOBESOLDBYAUCTION...astrongandwell-builtVHOUSEsituateonSection55,inthetownofLyttelton.",
V-house,"Jun 28, 1851",Lyttelton Times,,4,,V.Houseforsale.hereandthere;...,
V-hut,1853,"Spring in the Canterbury Settlement, A",PAUL,13,,"..thericketysheds(Vhutstheyarecalledhere,frombeingintheshapeofaninvertedV)inwhichtheysoughtshelter...",
V-hut,1860,In Fifteen Minutes,,65,,"IamnowgoingtoputupaVhutonthecountrythatItookupontheRangitata,meaningtohibernatethere...",in BUTLER First Year (1863)
V-hut,1874,Notes on Sheepfarming in NZ,CAIRD,13,,"Here,onthebanksofasmallriver,wasasortofpermanentcamp,consistingofasmallhut,commonlycalledaV-hut,asitisshapedlikeaVturnedupsidedown.",
