Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
W,1916,"Aloe, The",MANSFIELD,31,(1982 O'Sullivan),"`You've only got one
w. at your place,'
said Miriam
scornfully. `We've
got two at ours. One
for men and one for
ladies. The one for
men hasn't got a
seat.'",
WAAC,"Dec 20, 1943",NZEF Times,,III/130 : 7,,"Let me hearken back
to that Christmas
Eve of 1941 when
""WAAC's"" were only
""Wassies.""",
WAAC,1918,New Zealand At the Front,,33,,"<i>W.A.A.C.S</i>. -
Ah! Now you're
asking!",
WAAC,1986,"WAAC Story, The",LATHAM,28,,"Changes in Unit
Designation did not
necessarily
correspond with
similar changes in
New Zealand so that
it was near the end
of 1942 before the
Club girls became
NZWAAC (Welfare
Division) in company
with the VAs who
were then NZWAAC
(Medical Division).
The next year, in
September 1943, they
changed to NZWAAC
(General Division).",
WAAC,1807,New Zealand (various authors/titles),SAVAGE,52,,"The men, whether
dressed or in their
ordinary clothing,
carry a waddy,
suspended by a thong
from the wrist. The
waddy is in figure
somewhat resembling
a large battledore,
and is usually
formed of hard black
stone, but some are
made of bone taken
from the head of the
whale. This
instrument is the
sword of New Zealand
...",
WACC,"Sep 6, 2003",Listener (New Zealand Listener),,36,,"In practice,
business uses the
""weighted average
cost of capital""
(WACC, pronounced
""whack"") as their
internal discount
rate.",
wack-job loner,"Oct 6, 2001",Listener (New Zealand Listener),,62,,"...she finds herself
swiftly cast as a
""wack-job loner"" by
the bitchy women in
her lodgings.",
wackied out,"Aug 21, 1999",Listener (New Zealand Listener),,64,,"After
<i>Outwaves</i> the
lesbians had half an
hour to themselves,
but by then I was
wackied out and went
to the Lava Bar.",
wad,1929,Whitcombe's Etym. Dict. Aust-NZ Suppl.,,12,,"<i>wad n.</i> sl. a
drink of spirits,
esp. whisky; a roll
of banknotes.",
waddy,1960,,,,,"MASTERS Back Country
Tales 38 The dogs,
seeing me with the
waddy, and thinking
probably I intended
using it on them,
let the pig go.",
waddy,1964,,,,,"NZ Farmer Dec 31. 14
.. the length and
weight of the
blood-stained,
butt-end and
lead-loaded 'fall'
of an old stockwhip
.. 'Do you belt the
bull with that?' I
asked, jerking my
thumb at the said
waddy.",
waddy,1966,,,,,"SHARPE Fiordland
Muster 75 It was a
cudgel, a waddy,
call it what you
like ...",
waddy,"Mar 22, 1911",Hawera & Normanby Star,,2,,"HOCKEY Members of
clubs are polishing
up their waddies,
getting out
shin-guards and
gloves for the fray
of the coming
season.",
waddy,"Apr 19, 1924",Hawera & Normanby Star,,4,,"This has always been
a popular form of
sport in Hawera, and
records will show
what fine teams have
played here in the
years since first it
was initiated, when,
it may be added, the
fine spring sticks
available now were
unobtainable, and
many of the first
players used
home-made ""waddies""
from the bush.",
waddy,1837,Description of a View of the Bay of Islands,,10,,"The waddy, or patoo
patoo.",
waddy,1868,Punch or the Wellington Charivari,,58,,"The Hau Hau Chief
has sent into
Napier, demanding
... the right thigh
bone of Mr. Colenso,
for a waddy.",
waddy,"Sep 26, 1868",Marlborough Express,,6,,"[quoting Wellington
Punch] The Hauhau
chief has sent in to
Napier, demanding
... the right
thighbone of Mr.
Colenso for a Waddy.",
waddy,"Nov 22, 1913",Observer (Auckland),,2,,"THE remote
forefathers of the
Auckland luxury
lovers, who struck
while they were
earning ten times
more wages than
their immediate
forefathers, wore
suits of blue paint
and carried waddies
torn from trees or
laboriously
fashioned from
chunks of rock.",
waddy,1929,Whitcombe's Etym. Dict. Aust-NZ Suppl.,,12,,"<i>waddy, waddie
n.</i> a native
wooden club or
walking-sticks;
-v.t. to stike with
a waddy. [Abor.]",
waddy,1898,Merriam-Webster Third International,,2033,,"<i>Wad.dy</i>
(w&obreve.d.d&ybreve.),
<i>n.; pl.</i>
WADDIES
(-d&ibreve.z).
[Aboriginal. Thought
by some to be a
corruption of Eng.
<i>wood</i>.] 1. An
aboriginal war club.
<i>R. Brough Smyth.
</i> 2. A piece of
wood; a stick; a
peg. <i>Vogan. </i>",
waddy,1875,Adventuring in Maoriland in the Seventies,MEREDITH,138,1935,"[The horse] was
given a mile, at
full speed ..., with
a Maori boy on his
back armed with a
stout supple-jack
waddy, which was
vigorously applied
from the jump.",
waddy,1914,"Diggers' Story, The",PFAFF,113,,"We saw where they
buried [the murdered
man], so we got good
waddies, and every
man we met that day
we took to be
Burgess or Sullivan
[the murderers].",
waddy,1924,Me and Gus,,53,1977,"`Take that waddy,
Mark, and if they
don't start off
together fetch the
slowest [horse] a
good clip.'",c1924 Anthony Me and Gus (1977 Gus Tomlins ed. Sturm) 53
waddy,1928,BP Bishop Memoirs,,Vol. IX No. 5 pp. 343-382) 364,,"The [Moriori] men to
do the [bird]
killing, killing
waddy - a short club
18 inches long and 2
inches in diameter -
strapped to the
waist, and an
inflated kelp bag
lashed beneath the
chin, leap into the
sea ...",1928 Baucke Manuscript in Skinner and Baucke The Morioris (Bishop Museum Memoirs
waddy,1929,Whitcombe's Etym. Dict. Aust-NZ Suppl.,,12,,"<i> waddy, waddie
n.</i> a native
wooden club or
walking-sticks;
-v.t. to stike with
a waddy. [Abor.]",
waddy,1939,Pioneering the Pumice,VAILE,299,,"[glossary] <i>Waddy
</i>Short, heavy
stick: a small club.",
