Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
W,,abbreviation,,"a WC, a toilet",,,,[none],,[none],,,"ca1940 at least traditional children's rhyme version of Old King Cole Old King Cole was a merry old soul/ And a merry old soul was he;/ He called for a light in the middle of the night/ To go to the W.C../ The wind blew round the W. door/ The candle had a fit;/ Old King Cole fell down the hole/ And came up covered in [shit] sweet violets; violets for ladies: Covered all over from head to toe, Covered all over with/ Sweet violets."
WAAC,,abbreviation,,Women's Auxiliary Army Corps,[none],,,[none],,[none],,,
WAAF,,abbreviation,,Women's Auxiliary Air Force,[none],,,[none],,[none],,,
WACC,,abbreviation,,weighted average cost of capital,[none],,,[none],,[none],,,
wack-job loner,,phrase,,??,[none],,,[none],,[none],,,
wackied out,,adjective,,,[none],,,[none],,[none],,,
wacko,,exclamation,,,[none],,,[none],,[none],whacko,,
wad,,noun,,,,,,[none],,[none],,,
waddy,,noun,1,"a switch or whip used to move reluctant stock or to protect oneself against a threatening animal [made of supplejack, leather, a thin branch or, recently, a length of alkathene pipe.]",,,,[none],Farm Words,[none],"flogger, supplejack",,
waddy,,noun,,,[none],,,[none],,[none],,,
waddy,,noun,,,[none],,,[none],,[none],,,"a patu, or carved mere - bone, stone, wood"
waddy,,verb,,,,,,[none],,[none],,,
waddy,,noun,2,(informal) a club or bludgeon,,,,[none],,[none],,,
waddy,,noun,2,,,,,[none],,[none],,,
waddy,,noun,2,a small club; a baton,,,,[none],,[none],,,
waddy,,noun,2,,,,,[none],,[none],,,
waddy,,noun,2,a fisherman's stick or club for stunning fish,[none],,,[none],,[none],,,"incl battering of birds (penguins), eels, seals"
Wadestown wadical,,noun,,,[none],,,[none],,[none],,,
wadie,,noun,,,[none],,,[none],,[none],,,
wading stick,,noun,,,[none],,,[none],,[none],,,
wae,,noun,,,,,,[none],,[none],whai,,
waekahu,,noun,,,,,,[none],,[none],,,
waekura,,noun,,,,,,[none],,[none],,,
waerenga,,noun,,a clearing for cultivation,[none],,,[none],,[none],,,"aka wairenga, wailenga"
waeroa,,noun,,a mosquito,,,,[none],,[none],,,
