Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
Y-cutter,1975,"Log of a Superfluous Son, The",HENDERSON,42,,y-cutters(Upbothsides-Spearcut).,
Y-cutter,1975,"Log of a Superfluous Son, The",HENDERSON,42,,Y-CUTTERS(Upbothsides-Spearcut).,
YA,1953,Breakfast at Six,SCOTT,162,,IcanseeyoubecomingtheAuntSusanoftheY.A.'s.,
YA,"Apr 10, 1950",North & South,,1,,"ThenewarrangementwillboosttheYCstothestatusoffullalternativestotheYAs,withthesamecoverage.",
YA,"May 22, 1947",NZ Woman's Weekly: The First 60 Years,,8,,"TheYAannouncerstands-orsits-infrontofthismicrophoneandtellsinfrozen,mincingaccents,thatweareprivileged..tobelisteningto1YA.",
YA,"Aug 31, 2002",Listener (New Zealand Listener),,60,,"OnehasnoticedinsomereviewsofYoungAdultFictionpublishedinyourweekly,atendencyforotherwiseexcellentcriticstotut-tutoverthefactthatsomeprotagonistsmaybepersonswithproblems...OnehasevenreadaccusationsinanotherpublicationthatwritersofYAfictionwhopresentsuchporotagonistsaresomewhowguiltyofdeprivingourchildrenoftheirchildhood""...Buttoimplythatallsuchre-creationsoftheworldshouldbefrowneduponinYAbooks...dareonewhsiperthewords""doublestandard""?",
ya ma-ness,"Oct 4, 2006",Capital Times,,4,,"Yama-nessisatermderivedfromtheSamoan""uama"",whichisaphraseusedwhensomeonewasashamedorembarrassed..TheNZ-bornSamoankidswouldcalleachotherma-nessiftheystuffedup.",
YA station,"Mar 15, 1933",NZ Tablet,,4,,"ThereisnodoubttheBstationswereextremelypopularamongthelisteners,manyofwhompreferredtheirprogrammestotheaveragebroadcastfromtheYAstations.",
YA station,"Jun 3, 1938",Evening Post,,00,,[Hdg]Broadcasting.NewYAStations.,
yaba,"Apr 5, 2003",Dominion Post,,F1,,"YaBa(yaba,yaabaa):Thaitermmeaningcrazymedicine.Commonlyreferstomethamphetamineintabletform.",
yabber,1929,Whitcombe's Etym. Dict. Aust-NZ Suppl.,,12,,"yabber,n.thebrokenEnglishoftheaborigines;-v.i.[Abor.]",
yabber,1968,NZ Contemp. Dict. Suppl. (Collins),,22,,"yabber...n.abo.talk;v.i.talk,gabble[Abo.]",
yabber,1986,NZ Pocket Oxford Dictionary,,892,,"yabberNZ&Austral.colloq.1n.talk.2v.i.talk,chatter.[Abor.]",
yabber,1966,NZ Contemp. Dict. Suppl. (Whitcombe's),,62,,"yabber,n.aboriginaltalk;",
yabber,1982,Collins Concise English Dictionary,,,,"yabberNZ&Austral.colloq.1n.talk.2v.i.talk,chatter.[Abor.]",
