Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
Y-cutter,,noun,,freezing worker,,,,[none],,[none],,,
YA,,noun,,a non-commercial radio station of the public broadcasting network,[none],,,[none],,[none],,,
YA,,abbreviation,2,Young Adult,[none],,,[none],,[none],,,
ya ma-ness,,noun,,"shame, embarrassment?",[none],,,[none],,[none],,,Samoan ua ma = Maori whakama?
YA station,,noun,,,[none],,,[none],,[none],,,
Yaapie,,noun,,,,,,[none],,[none],,,
yaba,,noun,,methamphetamine in tablet form,[none],,,[none],,[none],,,
yabber,,verb,,"to talk, gabble",Aboriginal,,,[none],,[none],,,
yabber,,noun,,[AND 1855] jabbering talk,[none],,,[none],,[none],,,ca1940 Les Cleveland
yacca,,noun,,see cit. (variant of yakka as in hard yakka),[none],,,[none],,[none],,,
yachterati,,noun,,people from luxury yachts,[none],,,[none],,[none],,,
yachtie,,noun,,,,,,[none],,[none],,,
yack/yak,,verb,,to chatter,[none],,,[none],,[none],,,
yack/yak,,noun,,"idle noisy talk, chatter [DNZE]",[none],,,[none],,[none],,,Austral.
yacker,,noun,,"talk, chatter, natter",[none],,,[none],,[none],,,
yacker/yakker,,noun,,"hard work, hard graft (see also hard yacker/hard yakker)",[none],,,[none],,[none],,,also spelt yakka
yacker/yakker,,verb,,to chatter (away),[none],,,[none],,[none],,,
yacketing,,noun,,,[none],,,[none],,[none],,,
yackety-yak,,noun,,,[none],,,[none],,[none],,,
yah yah,,noun,,an Englishman with an exaggerated accent.,[none],,,[none],,[none],,,
yahoo,,verb,,"barrack, harass noisily",[none],,,[none],,[none],,,
yahoo about/around,,verb,,(see Leland for yahoo around),[none],,,[none],,[none],,,
yahoo,,noun,2,,[none],,,[none],,[none],,,hooligan or a country fellow with unsophisticated manners
yahooing,,noun,,,[none],,,[none],,[none],,,verbal noun
yahooism,,noun,,,,,,[none],,[none],,,
yakka,,noun,,,[none],,,[none],,[none],yacker/yacker,,
yakker,,noun,,a person who yaks,[none],,,[none],,[none],,,
yam,,noun,,,[none],,,[none],,[none],,,"general, unspecified"
yam,,noun,2,,[none],,,[none],,[none],,,historic and unspecified; see also Bigges's enquiry: McNab Hist recs
yam,,noun,3,Oxalis crenatathe usual present NZ yam =OCA,[none],,,[none],,[none],,,now (2012) known as <i> Oxalis tuberosa</i>
yam-creeper,,noun,,<i>Rhipogonum scandens </i>,,,,[none],,[none],,,1915 TrNZI (And) 47
yammer,,noun,,"?set speech, lecture",[none],,,[none],,[none],,,
Yank tank,,noun,,a large American car,[none],,,[none],,[none],,,
yanked,,adjective,,drunk,[none],,,[none],,[none],,,? cf Part. Sup.2 yankee particular. A glass of spirits: Aust: ca. 1820-80.
Yankee,,adjective,,,[none],,,[none],,[none],,,"general, mixed, atrib use"
Yankee axe,,noun,,,[none],,,[none],,[none],American axe,,
Yankee clock,,noun,,,[none],,,[none],,[none],,,
Yankee grab,,noun,,,[none],,,[none],,[none],,,gambling game played with dice; includes figurative usages
Yankee shout,,noun,,a meal etc. where each person pays for their share; a Dutch treat.,[none],,,[none],,[none],"also Dutch shout, Parnell shout",,AND 1945; >ca1930 N.C.C.Small Palmerston North p.c.
Yankee start,,noun,,an unfair start or advantage; decamping without paying,[none],,,[none],,[none],,,"ca1938 Jane Morison, Havelock Used in the sense of getting in slyly ahead of a competitor (for a bargain, etc.) by underhand means."
Yankee start,,noun,,(children's) funking at ring marbles by trying to shoot illegally from within (rather than outside of) the ring ca1940 Havelock,[none],,,[none],,[none],,,(children's) funking at ring marbles by trying to shoot illegally from within (rather than outside of) the ring ca1940 Havelock
Yankee sweat,,noun,,a dice game,[none],,,[none],,[none],,,
Yankee tomahawk,,noun,,,[none],,,[none],,[none],,,
Yankee tournament,,noun,,a tournament in which each entry plays everyone else,[none],,,[none],,[none],,,1938 Partridge: coll. since ca1930
Yankee wagon,,noun,,,[none],,,[none],,[none],,,
Yankee weed,,noun,,Anacharis canadensis (Elodea canadensis),[none],,,[none],,[none],,,-->ca1953 Christchurch fide P. Fry (R. Mason)
YAQ,,noun,1,a grade of beef; young average quality.,[none],,,Rural,Farm Words,[none],,,
yard,,verb,1,"to drive sheep or cattle into yards for a variety of purposes such as docking, drenching, drafting.",[none],,,Rural,Farm Words,[none],,,
yard boy,,noun,1,"a person who fills pens and yards with stock at stockyards, saleyards or freezing works.",[none],,,Rural,Farm Words,[none],,,
yard dog,,noun,1,a dog trained to work in sheep yards.,[none],,,Rural,Farm Words,[none],,,
yard dog,,noun,,a garrulous person.,[none],,,Rural,Farm Words,[none],,,
yard dog,,noun,,,[none],,,[none],,[none],,,
yard,,verb,,to present stock for sale.,[none],,,Rural,Farm Words,[none],,,
yard,,noun,,"(often in plural) an enclosure in which sheep, cattle, etc. are confined for a particular purpose; a stockyard.",[none],,,[none],,[none],"yards, receiving yards, saleyards",,
yard,,noun,2,,[none],,,[none],,[none],,,(prison)
yard hand,,noun,,,[none],,,[none],,[none],,,"internet search Jan 2006: Australianism; also used in NZ, N Amer., Can, Uk"
yard job,,noun,1,"a task with stock, such as drafting, treatment of mouths or feet etc carried out in yards or pens.",[none],,,Rural,Farm Words,[none],,,
yard sheep,,noun,1,a sheep that is kept at yards to lead or encourage others.,[none],,,Rural,Farm Words,[none],"decoy, Judas sheep, leader, pet",,
yard shepherd,,noun,1,"a shepherd at freezing works or sale yards who is responsible for moving sheep in, out and between various yards.",[none],,,Rural,Farm Words,[none],,,
yard up,,verb,,"to put stock into a yard for drafting, sale or stock management purposes.",[none],,,Rural,Farm Words,[none],,,
yard up,,verb,,,,,,[none],,[none],,,
yard work,,noun,1,"a task, such as docking, drafting, sorting and inspection of stock in yards or pens.",[none],,,Rural,Farm Words,[none],,,
yard-arm,,noun,,a winch,,,,[none],,[none],,,watersiders'; c1926 Henry Kirk Transport Workers' Song Book [?????check]
yarded,,adjective,1,[of farm stock] placed in yards.,[none],,,Rural,Farm Words,[none],,,
yarder,,noun,1,"a yard shepherd, or one who fills yards with stock.",[none],,,Rural,Farm Words,[none],,,
yarder-up,,noun,1,a worker who drives stock into sheep or cattle yards.,[none],,,Rural,Farm Words,[none],penner-up,,
yarder-up,,noun,,,,,,[none],,[none],,,
yarding,,verb,,,[none],,,[none],,[none],,,
yarding,,noun,1,[stock sales] a total line or group of stock in a sale.,[none],,,Rural,Farm Words,[none],,,
yarding,,noun,,the placing of stock in yards for drafting or other work.,[none],,,Rural,Farm Words,[none],,,
yarding,,noun,,,[none],,,[none],,[none],,,
yarding-up,,noun,,,[none],,,[none],,[none],,,
yardman,,noun,,,[none],,,[none],,[none],,,"yard-man, yard man"
yards,,noun,,stockyards,[none],,,[none],,[none],,,
yarn,,noun,,"a talk, a chat",[none],,,[none],,[none],,,[AND a chat 1852]
yarn,,verb,,"to pass the time in amicable chat, to gossip",[none],,,[none],,[none],,,
yarr,,noun,,spurrey (Spergula arvensis),[none],,,[none],,[none],,,
YB,,abbreviation,,"yes, but ...",,,,[none],,[none],,,
YC,,noun,,a non-commercial radio station of the public broadcasting network (forerunner of the Concert Programme),[none],,,[none],,[none],,,
YC station,,noun,,,[none],,,[none],,[none],YC,,
Ydub,,noun,,the YWCA,abbreviation,,,[none],,[none],,,
"yeah, right",,exclamation,,an expression of healthy scepticism - a phrase in occasional general use recently re-popularised by a series of beer ads,[none],,,[none],,[none],,,
yeah-na syndrome,,noun,,saying 'yes-no...',[none],informal,,[none],,[none],,,
yearling,,noun,,,,,,[none],,[none],,,farmers'
yearling,,noun,2,,,,,[none],,[none],,,1951 15 F 9 Marlborough C. 25 YEARLINGS
yearling sales,,noun,,,[none],,,[none],,[none],,,
yearly man,,noun,1,a worker employed on an annual basis on a station or farm.,[none],,,Rural,Farm Words,[none],six-monthly man,,
yeast pikelet,,noun,,"muffins, dropped on a hot girdle",[none],,,[none],,[none],,,
yeast plant,,noun,,"STINKWEED ([Navarettia] squarrosa),",[none],,,[none],,[none],,,
yellow admiral,,noun,,"a butterfly, <i>Bassaris itea</i>, aka kahukowhai",[none],,,[none],,[none],,,
yellow akeake,,noun,,"Olearia paniculata; aka golden akeake, ahiraho",[none],,,[none],,[none],,,"[1919 July 29] Ver.(WB). = Vernacular names used by settlers supplied by W.Best, Otaki (And) Olearia Forsteri yellow akeake"
yellow birch,,noun,,<i>Nothofagus solandri</i>,[none],,,[none],,[none],,,
yellow boarfish,,noun,,,[none],,,[none],,[none],,,
yellow card,,noun,,,[none],,,[none],,[none],,,transferred parliamentary use
yellow cod,,noun,,"<i>Parapercis gilliesi</i>, fam Mugiloididae (occas. listed <i>Parapercidae </i> or <i>Pinguipedidae</i>. Also called yellow weever, an uncommon sea fish of deepish waters.",[none],,,[none],,[none],,,
yellow fever,,noun,,gold fever,[none],,,[none],,[none],,,
yellow flag,,noun,,<i>Iris</i> spp.,[none],,,Environment,,[none],,,Botany.
yellow flax,,noun,,,[none],,,[none],,[none],,,
yellow flounder,,noun,,Rhombosolea leporina,[none],,,[none],,[none],,,
yellow headed penguin,,noun,,,[none],,,[none],,[none],,,aka yellow-headed penguin
yellow jacket,,noun,,,[none],,,[none],,[none],,,
yellow kowhai,,noun,,,[none],,,[none],,[none],,,
yellow line,,noun,,,[none],,,[none],,[none],,,"Jim writes: in BritE a <i>yellow line</i> is one at the edge of a road and indicates parking restrictions. It may be single or double (NSOD and Collins). In NZ the corresponding line is always a broken line, and the primary denotation of yellow line is one painted along the middle of a road immediately to the left of the centreline, indicating that crossing the centreline is prohibited."
yellow lucerne,,noun,,melilot (Melilotus spp.),[none],,,[none],,[none],,,
yellow mistletoe,,noun,1,<i>Alepis flavida</i>,[none],,,[none],,[none],,,
yellow moray,,noun,,,[none],,,[none],,[none],,,
yellow mountain lily,,noun,,Ranunculus Godleyanus .,[none],,,[none],,[none],,,
yellow peril,,noun,,"a former derogatory reference to the prospect of incoming Asian people, specifically Chinese",[none],,,[none],,[none],,,general English
yellow pine,,noun,1,"[S.I.] straw, used in areas with little wood for fuel.",[none],,,Rural,Farm Words,[none],,,"a1919 W. Best Otaki Vernac. (And.) -->[1919 July 29] Ver.(WB). = Vernacular names used by settlers supplied by W.Best, Otaki (And) (v) (jocular local, obs) straw for firewood"
