Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
A & P,Apr 2002,NZ Memories,,35/62,,"[Hdg] A & P Shows... Photographs from the Gore A & P Shows 1892-1910... It was also an opportunity for the newspaper reporter to exhibit his best stock of florid prose, as these excerpts from the early years of the Gore A & P Show demonstrate.",
A & P,2000,Kokopu Dreams,BAKER,59,,Now it was fenced and grazed and smoke rose from a kitchen built onto a hall once used for A&P shows.,
A & P,Feb 2001,Growing Today,,66,,"These days a lot of kids grow up not even knowing what the A & P stands for - it's Agricultural and Pastoral - and think the Easter Show is just about dodgems, ferris wheels and candyfloss.",
A & P,"Jun 7, 1932",Oamaru Mail,,8,,It was resolved to suggest to the A. and P. Association that a shelter belt of trees be planted on the south side of the showgrounds.,
A & P,1889,Canterbury (NZ): its resources and progress,,10,,THE CANTERBURY A. & P.ASSOCIATION This Association was founded in the year 1863 ...,
A & P,1943,Pure Gold,HISLOP,33,,Mr. -- had won with his cattle and horses in various A and P. Shows in the South Island.,
A & P,1948,"Cunninghams, The",BALLANTYNE,68,,He ... mentioned the little girl who was lost at the A & P show one year and was found dead in a swamp; ...,
A & P,1948,"Run, Estate and Farm",SCOTTER,25,,... from the first show of the A. & P. Association in 1863 he was a member of the committee and gained prizes in both merino and long wool classes.,
A & P,1951,Canterbury Tales,CRESSWELL,82,,"Although this report lessened public dissatisfaction, the A.& P. Associations seemed determined to have the school under their management, ...",
A & P,1962,Country Occasions,SHARPE,92,,To a country worker ... the A. & P. show is always a little bewildering.,
A & P,1966,"Encyclopaedia of New Zealand, An",,I : 17,,An annual conference of A. and P. Associations ... is held under the auspices of the Royal Agricultural Society.,
A & P,1968,Remembered Trails,TOMLINSON,33,,My cousin Arthur took me to parties [in Gisborne c1909] and the A. & P. Show.,
A & P,1972,"Half-Gallon Quarter-Acre Pavlova Paradise, The",MITCHELL,44,,"Voluntary activity runs all, from church groups to those high points of the year, the races and the A. and P. shows.",
A & P,1980,"Personal Kiwi-Yankee Dictionary, A",LELAND,7,,A & P Show: The Agricultural and Pastoral Show. Local equivalent of a STATE FAIR. The major event in every region and nearly all businesses ... etc. close down for `Show Day'.,
A & P,1986,"Matriarch, The",IHIMAERA,42,,You took us to the A and P Show at the Showgrounds.,
A & P,1966,"Encyclopaedia of New Zealand, An",,I:16,,"The Auckland Agricultural and Pastoral Association, founded in 1843, was the first to be organised; ...",
A & P,1989,Awekotuku Tahuri,,103,,A and P Show: Agricultural and Pastoral Show b. Agricultural and Pastoral.,
A & P,1976,How to Get Lost & Found in NZ,McDERMOTT,108,,"... we were just in time to see what we would call a County Fair, the Hawkes Bay Agricultural and Pastoral Show.",
A & P,1981,Straight from the Shoulder,KENNERDY,33,,"New Zealand's 100 Agricultural and Pastoral (A&P) shows, beginning with Whakatane in October and ending in Auckland over Easter, have been under increasing pressure ...",
A & P,1951,Canterbury Tales,CRESSWELL,117,,Job Osborne was one of three brothers who arrived in the Province in the late fifties and the family have long been good supporters of the `A. & P.',
A & P,"Feb 10, 1986",National Business Review,,32,,[headline] A & Ps in crisis : Doldrums or profitable razzmatazz? In the face of mounting losses the Hawke's Bay Agricultural and Pastoral Society changed its attitude ... other A&P societies are doing likewise.,
A & P,1987,Oracles and Miracles,ELDRED-GRIGG,71,,... I must of looked like something from a sideshow at the A & P.,
A and P Association,1948,"Run, Estate and Farm",SCOTTER,25,,From the first show of the A & P Association in 1863 he was a member of the committee.,
A and P Association,1987,Showtime 100,ADSETT,100/9,,Showtime 100 was a splendid climax to a century of endeavour by the Manawatu and West Coast A & P Association.,
A and P show,"Aug 12, 1888",Egmont Star,,7,,A & P show: ladies' horses' leaping match.,
A and P show,"Nov 1, 1953",NZ Farmer,,19,,Perfect weather favoured the opening day of the Manawatu A & P spring show at Palmerston North ...,
A and P show,1962,Country Occasions,SHARPE,94,,The A & P show is an illustration of what can be attained when farmers do get together.,
A and P show,1976,Mostly a Farmer,WATERS,62,,On this occasion a County Chairman had been invited to open the A & P Show.,
