Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
B Ech.,,abbreviation,,B-Echelon cf Lotus Eaters,[none],,,[none],,[none],,,WW2
b/couta,,noun,,a shorthand form of barracouta.,[none],,,[none],,[none],,,commercial fishermen's
B&B,,abbreviation,,"brace and bit, a hypodermic syringe and needle",acronym,,,[none],,[none],,,
b-bows,,noun,,handshears,[none],,,[none],,[none],,,
B-listers,,noun,,people on list 'B',,,,[none],,[none],,,list in terms of need
B-train,,noun,,articulated truck and trailer unit,,,,[none],,[none],,,
B.A.,,abbreviation,,Bloody Awful; something disliked,acronym,,,[none],,[none],,,1953 15-17 M A29 Thames DHS 3 B.A. [BLOODY AWFUL] [M5]
B.B.,,abbreviation,,big boy(s) =school shark.,[none],,,[none],,[none],,,commercial fishermen's
B.Ball,,noun,,basketball,abbreviation,,,[none],,[none],,,secondary schools. 1984 17 F E51 Pakuranga Coll. 21 B.BALL -->1984 16 F E10 Pakuranga Coll. 21 B-BALL [F1M2]
B.D.,,abbreviation,,boiling down,[none],,,[none],,[none],,,farming hist
B.M.,,abbreviation,,board measure,,,,[none],,[none],,,
babaco,,noun,,"A hybrid papaya, <i>Carica pentagona,</i> originating in Ecuador; with large yellow-skinned fruit up to 30 cm long and 10-12 in cross-section, with rather acid, almost white and distinctly fragrant flesh.",,,,[none],,[none],,,
babaco,,noun,,,[none],,,[none],,[none],,,
babbler,,noun,,,[none],,,[none],,[none],,,
babbler,,noun,1,a station or shearing gang cook.,[none],,,Rural,Farm Words,[none],,,
babbling brook,,noun,,a station or shearing gang cook.,rhyming slang,,,Rural,Farm Words,[none],,,
Babe Ruth,,noun,,the truth,[none],,,[none],,[none],,,
baby,,noun,,"[nf P8] in collocation, a junior; an (innocent) new chum or new pupil",[none],,,[none],,[none],,,1984 16 F E15 Pakuranga Coll. 25 BABIES [F2M3] 1984 14 F E137Wgton Girls C. 25 BABIES [F2]
baby All Black,,noun,,,[none],,,[none],,[none],,,
baby beef,,noun,1,a young cattle beast fattened for the beef trade.,[none],,,Rural,Farm Words,[none],beefy,,
Baby Blacks,,noun,,an All Black team that played in 1986 without any of the experienced players who were part of the rebel Cavaliers team that went to South Africa and who were suspended.,[none],,,[none],,[none],,,cf young or inexperienced team
Baby Blacks,,noun,,"a young or inexperienced All Black team, or the junior New Zealand international men's rugby union team (from 2008 an under-20 team)",[none],,,[none],,[none],,,cf the particular touring All Blacks team of 1996
baby blipper,,noun,,,[none],,,[none],,[none],,,
Baby Bliss,,noun,,,[none],,,[none],,[none],,,
baby farm,,noun,,,[none],,,[none],,[none],,,
baby farmer,,noun,,,[none],,,[none],,[none],,,
baby farming,,noun,,,[none],,,[none],,[none],,,
baby kiwifruit,,noun,,the small hairless <i>Actinidia arguta</i>,[none],,,[none],,[none],,,
baby ox,,noun,1,a cattle beast of 12-15 months bred for beef.,[none],,,Rural,Farm Words,[none],,,
baby powerco,,noun,,,[none],,,[none],,[none],,,also baby ECNZ
bach,,[none],,,[none],,,[none],,[none],,,
bach boy,,noun,,,[none],,,[none],,[none],,,
bach,,noun,,small holiday home,,,,[none],,[none],crib,,
bach,,verb,1,to live and cook for oneself [as a young male farm worker].,[none],,,Rural,Farm Words,[none],,,verb.
bach,,verb,,to survive as a motherless lamb.,[none],,,Rural,Farm Words,[none],,,
bach-holder,,noun,,,,,,[none],,[none],,,
bachelor,2,noun,,"single v. married men looked upon as distinct, esp. in contests. [1881]",,,,[none],,[none],,,
bachelor,1,noun,,a young seal,,,,[none],,[none],,,
bachelor's buttons,,noun,2,(recipe),[none],,,[none],,[none],,,
bachelor's buttons,,noun,1,(plant),[none],,,[none],,[none],,,
bachelorise,,verb,,,[none],,,[none],,[none],,,
bachelorise,,verb,,"to live alone as a bachelor, to `do' for oneself (often in the temporary absence of a spouse); to share living quarters, domestic chores and expenses, usu. with a person of the same sex. Often bachelorise with.",,,,[none],,[none],also bach,,also bach Hence bachelorising ppl. aj. and vbl. n.
bachelorising,,noun,,living independently.,[none],,,[none],,[none],baching,,
bachelors' ball,,noun,1,"a ball or dance, often held in a wool-shed or country hall.",[none],,,Rural,Farm Words,[none],,,
bacher,,noun,,,[none],,,[none],,[none],,,
bachie,,noun,,a bach-dweller or owner.,[none],,,[none],,[none],,,
bachiness,,noun,,,,,,[none],,[none],,,
baching,,noun,,,[none],,,[none],,[none],,,some citations below belong with bach v. TD
bachophile,,noun,,,,,,[none],,[none],,,
bachville,,noun,,,[none],,,[none],,[none],,,
bachy,,adjective,,,[none],,,[none],,[none],,,"being like a bach: small, modest, residential - of buildings"
back,,verb,1,[backing dog or woolwalker] to scamper along the backs of sheep to unblock bottlenecks in races etc.,[none],,,Rural,Farm Words,[none],,,
back bush,,noun,1,bushland furthest away from a farm dwelling or homestead [as in back paddock or back block.],[none],,,Rural,Farm Words,[none],,,
back bush,,noun,,bushland in an isolated area.,[none],,,Rural,Farm Words,[none],,,
back carting,,noun,,the carrying of return loads or loads on a return journey,[none],,,[none],,[none],-,,
back country,,noun,1,a part of a property that is the most remote from the homestead; the back paddocks.,[none],,,Rural,Farm Words,[none],,,
back country,,noun,,"the high country beyond S.I. river gorges, as opposed to front down and plains land in front of the gorges and ranges.",[none],,,Rural,Farm Words,[none],backblocks,,
back country,,noun,,remote country.,[none],,,Rural,Farm Words,[none],backblocks,,
back country,,noun,,,[none],,,[none],,[none],,,attributive uses below
back country,,noun,,"[The hinterland of settled districts: US 1746 (OED), AND 1802; of a part 1849; of a settled dist. or station 1887.] The remoter parts of a farm or other area, away from the sea or other means of access. Also called backblocks. Compare front country. a. Usu. with def art., a hinterland, beyond settlements, or sparsely settled, remote from coastal or other means of access, often regarded from the point of view of its farming use or potential. In Canterbury, country towards the Southern Alps (cf front country). In later use, backblocks.",[none],,,[none],,[none],"up-country, cf. front country",-,"a hinterland, beyond settlements, or sparsely settled, remote from coastal or other means of access, often regarded from the point of view of its farming use or potential. In Canterbury, country towards the Southern Alps (cf front country)."
back country man,,noun,1,a farmer or musterer who has had long experience in working isolated hill country area/s.,[none],,,Rural,Farm Words,[none],,,
back country run,,noun,1,a pastoral property located behind the river gorges or in a remote area.,[none],,,Rural,Farm Words,[none],,,
back country station,,noun,1,"a large, isolated farm property.",[none],,,Rural,Farm Words,[none],,,
back delivery,,noun,,a tilter or harvesting machine [used since the 1860s] which `delivers' its grain at the rear rather than at the side.,[none],,,Rural,Farm Words,[none],,,
back,,adjective,,remote,,,,[none],,[none],,,
back hut,,noun,1,an outstation or mustering hut.,[none],,,Rural,Farm Words,[none],,,
back of beyond,,phrase,,a remote area; an isolated hill-country farm or farm settlement.,[none],,,[none],,[none],cf. boohai,,
back of creation,,phrase,,orig. in fig. use for a remote (`godforsaken') place (heard Marlborough ca1940); henceas an intensifier in comparisons.,,,,[none],,[none],,,
back paddock,,noun,1,"a paddock far from the homestead where grazing animals, such as wethers, receive little attention.",[none],,,Rural,Farm Words,[none],,,
back paddock,,noun,,"a paddock remote from the farm homestead, or the main access route.",[none],,,[none],,[none],,,
back porch,,noun,,,[none],,,[none],,[none],,,
back ranges,,noun,,mountain ranges a distance from the coast.,[none],,,[none],,[none],,,
back road,,noun,1,[sp.use] an alternative route giving access to remote or back areas of a property or district.,[none],,,Rural,Farm Words,[none],,,
back round,,verb,,"of a bush fire, grass-line, etc. to change direction relative to the direction of the wind. To burn against the wind (of a bushfire). ??Orig. naut. of wind to shift in counter-clockwise direction;",[none],,,[none],,[none],cf. back-burning,,
back run,,noun,1,"an isolated grazing station, usually behind several hills.",[none],,,Rural,Farm Words,[none],,,
back section,,noun,,,[none],,,[none],,[none],,,
back settler,,noun,1,a farmer settling in an isolated area.,[none],,,Rural,Farm Words,[none],,,
back station,,noun,1,an isolated station property.,[none],,,Rural,Farm Words,[none],,,
back station,,noun,,,[none],,,[none],,[none],out-station,,
back to back,,phrase,,,[none],,,[none],,[none],cf. backs,,
back to the mat,,phrase,,"in phrases: return/go back to the mat, get back on/to the mat: of a Europeanised Maori, to figuratively resume Maori dress; to return to Maori customs and way of life; to go native (cf. go back to the bush, bush)",[none],,,[none],,[none],mat,,-
back to the pa,,noun,,referring to a Europeanised Maori's return to Maori ways,[none],,,[none],,[none],,,
back tray,,noun,1,a platform on the back of a tractor that can be used to transport stock or implements.,[none],,,Rural,Farm Words,[none],tractor tray,,
back up,,verb,1,[rams] to draw back before charging a rival.,[none],,,Rural,Farm Words,[none],,,
back up,,verb,1,[of rams establishing territory and status] draw back to charge another.,[none],,,Rural,Farm Words,[none],,,
back up,3,verb,,"to repeat, reoffend; back up on (a- person), to gang up on (for retaliation).",,,,[none],,[none],,,
back up,1,verb,,,,,,[none],,[none],,,
back up,2,verb,,"of a tree being felled, to put in a back-cut with a saw; or, to open up a back-cut with a wedge, or with a second wedge driven in on the back of the first already in place.",[none],,,[none],,[none],"back-cut, back-scarf",,
back whare,,noun,1,an out-station or isolated hut far from a homestead.,[none],,,Rural,Farm Words,[none],,,
back yard,,noun,,an enclosure at the back of a house which may include a vegetable garden or lawn,[none],,,[none],,[none],cf. back,,
back-blading,,noun,1,[land-contouring] the using of a back-blade on a tractor or bulldozer.,[none],,,Rural,Farm Words,[none],,,
back-blocksy,,adjective,,,[none],,,[none],,[none],,,
back-box,,verb,1,[mustering] to mix mobs intentionally.,[none],,,Rural,Farm Words,[none],,,
back-burn,,verb,,,[none],,,[none],,[none],,,
back-burner,,verb,,,,,,[none],,[none],,,
back-chain,,noun,1,a chain used to hold a cow in position during milking.,[none],,,Rural,Farm Words,[none],backing chain.,,
back-country,,adjective,1,[of land and people behind South Island river gorges or in remote areas] isolated.,[none],,,Rural,Farm Words,[none],,,
back-cut,,noun,,,,,,[none],,[none],back-scarf,,
back-end,,adjective,,(of home detention) granted near the end of a sentence,[none],,,[none],,[none],,,"cf. front-end home detention, which is open to anyone sentenced to less than two years in prison... Supporters say front end home detention, which accounts for more than 90 per cent of the sentences, can be a valuable wake-up call for first and minor offenders."
back-end loader,,noun,,,[none],,,[none],,[none],,,
back-fence,,noun,1,a fence erected behind stock as they move forward in block-grazing.,[none],,,Rural,Farm Words,[none],,,
back-fence,,verb,,to erect a fence behind stock as they graze.,[none],,,Rural,Farm Words,[none],,,
back-fencing,,noun,1,"the process in block-grazing where stock are fenced from behind to protect the recently-grazed area, encouraging them to move forward.",[none],,,Rural,Farm Words,[none],,,
back-gifting,,noun,,,[none],,,[none],,[none],,,
back-graze,,verb,1,to re-graze on crop or pasture previously grazed by the same stock.,[none],,,Rural,Farm Words,[none],,,
back-land,,noun,1,"an out-lying area of a station, possibly supporting an out-station.",[none],,,Rural,Farm Words,[none],,,
back-land,,noun,,of a port rather than back-country;,,,,[none],,[none],,,
back-legs,,noun,,,,,,[none],,[none],,,
back-load,,verb,,to carry on a return or `back' trip.,,,,[none],,[none],,,
back-load,,noun,,a load or freight carried on the return journey from carrying a main load.,,,,[none],,[none],,,
back-out,,noun,1,"an early design of cowshed, in which a cow must back out after milking [rather than walk out the front as in a walk-through.]",[none],,,Rural,Farm Words,[none],,,
back-scarf,,verb,,to scarf a tree on the side opposite the direction of intended fall.,[none],,,[none],,[none],cf. scarf v.,,
back-scarf,,noun,,a scarf or cut so made,,,,[none],,[none],also back-cut,,
back-set,,noun,1,"a stock carcass, arranged in a particular manner for display purposes.",[none],,,Rural,Farm Words,[none],,,
back-shunt,,verb,,,,,,[none],,[none],,,
back-slack,,verb,,"to answer back, to cheek, to back-chat",[none],,,[none],,[none],-,,
back-slappy,,adjective,,hearty mannered,[none],,,[none],,[none],,,
back-up,,noun,,"retaliation, revenge.",,,,[none],,[none],,,
back-up colony,,noun,,a tool of animal population conservation,[none],,,[none],,[none],,,
backblock,,noun,2,"In jocular use, the farther suburbs of a city",,,,[none],,[none],,,
backblock,,noun,1,"a section of a farm or station, far from the homestead.",[none],,,Rural,Farm Words,[none],,,
