Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
C and A Act,"Feb 3, 1908",Letter,,,,[Letter from Fowlds to J. Leggett] [There] is growing unrest amongst the Labour people who in recent years ... pinned their faith to the ... C & A Act and have now come to the conclusion that it has not greatly improved their economic condition.,"1908 Feb 3 in 1980 Rogers The Fowlds Papers - Politics 8 1908, 3rd Feb -"
C and A Act,"Oct 20, 1911",Maoriland Worker,,33/17/1,,"I want to belong to something that has grit and can fight boldly for its rights, not a Lab-Lib., Lib-Lab., half-and-half concern that allows itself to be tied up bound hand and foot by the employers' C. and A. Act.",
c'mon,"May 24, 1986",Listener (New Zealand Listener),,21,,"But the dog will say, 'C'<i>mon</i>, let's go.",
c'mon,"Apr 19, 1986",Listener (New Zealand Listener),,28,,"...they are no more culturally us than jogging or ""C'mon, Kiwi. c'mon"" (remember the name of that Auckland lass?",
C-lister,"Dec 5, 2004",Sunday Star Times,,C2,,"No A-list applicants were housed in Mangere last month - the average waiting time for Mangere B-listers is 86 days, and for C-listers 364.",
C-oner,"Apr 29, 1925",NZ Tit-Bits,,6,,,[see quot jigga jig]
C.C.,"Oct 19, 1862",Journal and Letters (Walker),Walker,,,There is to be a ball in C.C. tomorrow night and an Agricultural Show on Wednesday.,
C.C.,"Oct 19, 1862",Journal and Letters (Walker),WALKER,,,"... we took advantage of a lift into C.C. The cart was driven by a cooley, [20] we could not understand him and he could not understand",
C.F.A.,1966,"Encyclopaedia of New Zealand, An",McLINTOCK,3/235,,"The ewes, which are bred on the farm, pass into the breeding flock, where they remain for four or five years. They then leave the farm in the autumn and appear in the ewe fairs to be bought by fat-lamb breeders as `cast for age ` (or `C.F.A.') ewes.",
C.F.A.,1974,NZ Journal of Agriculture,,59,,"The products from this type of farm are wool, some store lambs, a few fat wether lambs, some culled hoggets, store cattle, varying numbers of store or fat wethers, and a draft of `cast-for-age' (c.f.a.) ewes.",
C.O.,1919,Armageddon or Calvary,HOLLAND,,,'The C.O.'s' [a poem],1917 July 26 in 1919 Holland`Armageddon or Calvary
C2,"Jul 10, 1919",Quick March,,33,,"Sa-eeda Ahmed, Akers, arrak,/ Bints, Bomonti. backsheech, barrak;/ Centipedes and Cleopatra,/ Dust and desert, djinns and Fatima;/ `Eggs-cook, ana miskeen,'/ Fever, flies, and felaheen;/ Gehenam, Galabeyah, gods,/ Harems, hooshters, heat and hods;/ `Igri wallah, imshi Y'allah.'/ Jackos, jackals, `gala gala';/ Khamseen, kan kan, tala hena,/ Lice and locusts, love and Lena;/ Mirage, Mahomet, mosquistoe,/ Niggers, T.A.B. and C2;/ Olives oranges, askarie./",
CAB,1974,Sugarbag Years,SIMPSON,55,,"... there was a great deal of shame [during the Depression] in the minds of working men ... who had to go with an order from the Charitable Aid Board for groceries up to the local Self Help. If I remember rightly, my parents used to spell out C.A.B. so that I wouldn't know what it meant ... I knew that we were going with a C.A.B. chit to get groceries ...",[c1931]
cab,"Feb 26, 1997",Norwester,,14,,"Mourvedre was initially used to add colour and a spine to non-descript blends; later, when Cabs and Chardonnay became fashionable, it was downgraded.",
cab sav,"Sep 11, 1999",Listener (New Zealand Listener),,30,,"Distinguished maker of fine tawny tales, teaching us how words are best baked together... a mighty Cab Sav.",
