Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
C and A Act,,noun,,,[none],,,[none],,[none],,,
c'mon,,exclamation,,come on,[none],,,[none],,[none],,,
C-Force,,noun,,"the CIVIL EMERGENCY CORPS formed in April 1951 during the Wharf lockout (after J-FORCE (Japan occupation), K-FORCE (volunteers for the Korean War).",,,,[none],,[none],,,
C-lister,,noun,,one on list 'C' for housing allocation,[none],,,[none],,[none],,,list in terms of need
C-oner,,noun,,a medical grading,,,,[none],,[none],,,
C.C.,,abbreviation,,Christchurch,,,,[none],,[none],,,
C.F.A.,,abbreviation,,"cast-for-age, esp. of ewes",acronym,,,[none],,[none],,,
C.O.,,abbreviation,,"conscientious objector, conchie",,,,[none],,[none],,,(<i>C.O</i>. was the usual word among conscientious objectors; <i>conchie</i> among the public.)
C2,,abbreviation,,,,,,[none],,[none],,,
CAB,,abbreviation,,Charitable Aid Board,[none],,,[none],,[none],,,
cab,,noun,,a cabernet wine,abbreviation,,,[none],,[none],,,
cab sav,,noun,,cabernet sauvignon wine,[none],informal,,[none],,[none],,,
cabbage,,noun,,low-grade cannabis leaf,[none],,,[none],,[none],,,
cabbage boat,,noun,,,[none],,,[none],,[none],,,
cabbage course,,noun,,an easy NCEA option,[none],,,[none],,[none],,,
cabbage,1,noun,,"usu. with epithet Maori, native, wild; the European cabbage growing wild.",,,,[none],,[none],,,
cabbage hat,,noun,,cabbage-tree hat,[none],,,[none],,[none],,,
cabbage out,,verb,,chill out,[none],,,[none],,[none],,,
cabbage palm,,noun,,"(formerly <i>Areca sapida) areca </i> spp, nikau",,,,[none],,[none],,,
cabbage palm,,noun,,cabbage tree,[none],,,[none],,[none],-,,
cabbage palm tree,,noun,,,[none],,,[none],,[none],,,
cabbage plant,,noun,,,[none],,,[none],,[none],,,Prob. check that this is not a Scholefield mistranscription for palm: JCR uses cabbage palm at 79
Cabbage Train,,noun,,,[none],,,[none],,[none],,,
