Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
D,,noun,,a detective,abbreviation,,,[none],,[none],also Dee,,
D & B,,abbreviation,,ditch and bank.,,,,[none],,[none],,,
D & D,,abbreviation,,drunk and disorderly,,,,[none],,[none],,,
D Block,,noun,,security block in Paremoremo prison,[none],,,[none],,[none],,,
D,,abbreviation,,defence (rugby),[none],,,[none],,[none],,,
D-Day Dodger,,noun,,,[none],,,[none],,[none],,,(WW2)
D-up,,verb,,,,,,[none],,[none],,,
D.C. Day,,noun,,Decimal Currency Day,,,,[none],,[none],,,
dab,1,noun,,sand flounder (formerly any flounder),[none],,,[none],,[none],,,
dab,,verb,,to daub with clay,[none],,,[none],,[none],wattle and daub,,
dab,2,noun,,a short darting run.,,,,[none],,[none],,,(rugby)
dab,,noun,,"a try, attempt",[none],,,[none],,[none],,,
dabchick,,noun,,"<i>Podiceps</i>, a small grebe found mainly in the NI; see also diver, grebe, totokipio, weweia. totokipio.",,,,[none],,[none],,,
dabchick,,noun,2,,,,,[none],,[none],,,
dabchick,,noun,2,,,,,[none],,[none],,,
dabchick,,noun,2,<i>Podiceps rufipectus</i>,,,,[none],,[none],,,
dack,,noun,,a silly person.,[none],,,[none],,[none],,,1984 16 M E91 Pakuranga Coll. 1 DACK {a silly person] [M2]
dactylanthus,,noun,,wood rose,[none],,,[none],,[none],,,
dad-pop,,noun,,popular music of a recently past era,,,,[none],,[none],,,
daffodil,,noun,,a member of the Air Force,[none],,,[none],,[none],,,(WW2 army sl.) ca1941 (Professor R. Clarke) `beautiful but yellow'.
Daffodil Hill,,noun,,= Bludgers' Hill.,[none],,,[none],,[none],,,(WW2)
dag,1,noun,,,,,,[none],,[none],,,
dag cutting,,noun,,,[none],,,[none],,[none],,,
dag,,exclamation,,,[none],,,[none],,[none],,,
dag,3,noun,,,,,,[none],,[none],,,"[Baker Australian Language 1942 suggests derivation (by confusion) with dab, be a dab at; see W3 dags; EDD reference at n1. might apply here; also OED2 sb&sup5..], to be extremely good at."
dag,,verb,2,(transf.) To shorten trousers (etc.) roughly by cutting off excess length.,[none],,,[none],,[none],,,
dag,,verb,,to remove dags (from a sheep's hindquarters).,[none],,,[none],,[none],,,(farmers')
dag,1,noun,,A clot of matted wool and excrement hanging from (or cut from) the hindquarters of a sheep. Such daggy wool removed from a sheep; see also sheep-dag.,,,,[none],,[none],,,
dag,,noun,3,,,,,[none],,[none],,,
dag,,noun,1,[joc.] a hard-case character.,[none],,,Rural,Farm Words,[none],,,
dag,,verb,,to cut encrusted dirty wool from around a sheep's rear end.,[none],,,Rural,Farm Words,[none],,,
dag,2,noun,,"a funny person, a comedian; one who plays the wag, is amusingly mischievous.",,,,[none],,[none],,,
dag,1,noun,,,[none],,,[none],,[none],,,
dag,1,noun,2,"to get moving, to hurry along.",,,,[none],,[none],,,"ca1979 July 10 (Doug Edwards) ... heard a young girl using it early 1979. 1986 a U.S. food-writer's written remarks: p.c. Tui Flower NZ Woman's Weekly (14 Jan 1987) If someone tells you to get cracking or rattle your dags, they want you to hurry up."
dag,1,noun,3,,,,,[none],,[none],,,
dag,2,noun,,"an extraordinary person, a character; a `hard case'. Compare doer @n.",,,,[none],,[none],,,1953 15 M A24 Thames DHS 1 DAGS [a silly person] -->1953 16 M A34 Thames DHS 24 DAGS [names for authorities] 1984 16-17 F E3 Pakuranga Coll. 34 [something amusing] (A) DAG [F4M2] -->1984 14 F E138Wgton Girls C. 34 DAG [F6]
dag,2,noun,,,,,,[none],,[none],,,ca1938 Havelock
dag,2,noun,,,,,,[none],,[none],,,
dag,2,noun,2,an extraordinary situation or occurrence; esp. what a dag!.,,,,[none],,[none],,,"1960 18C M B11 Nelson Boys C. 8 DAG, WHAT A DAG (=HOW FUNNY)"
dag one's trousers,,phrase,1,to remove the cuffs from a pair of musterer's new work trousers [so that they do not become tangled in small prickly plants and other impediments.],[none],,,Rural,Farm Words,[none],,,
dag pickers' ball,,noun,1,the sorting of dags from cleaner wool [usually carried out under the woolshed catching pens in wet weather.],[none],,,Rural,Farm Words,[none],,,
dag picking,,noun,1,sorting of wool from dags.,[none],,,Rural,Farm Words,[none],,,
dag room,,noun,1,an area beneath a woolshed where dags consolidate.,[none],,,Rural,Farm Words,[none],,,
dag score,,noun,1,the extent to which a sheep produces dags or dungy wool in relation to weight gain.,[none],,,Rural,Farm Words,[none],,,
dag score,,verb,,make an assessment of encrusted faeces on a sheep rear end.,[none],,,Rural,Farm Words,[none],,,
dag-boy,,noun,,A young dag-picker q.v.,,,,[none],,[none],,,
dag-classing,,noun,1,the sorting of wool from dags.,[none],,,Rural,Farm Words,[none],dag-picking,,
dag-crusher,,noun,,a machine to crush dags to enable the removal of wool.,[none],,,[none],,[none],,,
dag-crusher,,noun,2,"a person who operates a dag-crusher, or dag-crushing plant.",[none],,,[none],,[none],,,
dag-crushing,,noun,,the crushing of dags preparatory to removing the wool.,[none],,,[none],,[none],,,1988 Feb 14 On a shed in Central Otago (past Lawrence)
dag-cutter,,noun,,,,,,[none],,[none],,,
dag-picker,,noun,,a shedhand who removes wool from dags; see also dag-boy.,,,,[none],,[none],,,
dag-rattler,,noun,,"a best example, a molre sensational event",,,,[none],,[none],,,
dag-rattling,,adjective,,,[none],,,[none],,[none],,,(identical citations from two different sources with the same date and page number; one must be an error)
dag-stink,,noun,,,,,,[none],,[none],,,
dagger,,noun,,one who dags sheep.,,,,[none],,[none],,,
dagger,,noun,1,a person employed to remove dags from sheep.,[none],,,Rural,Farm Words,[none],,,
dagger fish,,noun,,<i>Machaerope latispinis</i>,[none],,,[none],,[none],,,
daggers,,noun,,dagging handshears.,,,,[none],,[none],,,n pl
daggiest,,adjective,,most daggy,[none],,,[none],,[none],,,of people or situations rather than sheep
dagginess,,noun,,,,,,[none],,[none],,,
dagginess,,noun,1,the carrying of encrusted faeces in the rear end wool of lambs and sheep.,[none],,,Rural,Farm Words,[none],,,
