Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
e hoa ma,,exclamation,,my friend (as form of address),Maori,,,[none],,[none],ehoa,,-
e-to-ki,,noun,,,,,,[none],,[none],toki,,
e-tootoo,,noun,,,,,,[none],,[none],tutu,,
EA,,abbreviation,,Expatriate Assignment,[none],,,[none],,[none],,,
EAB,,abbreviation,,External Assessments Bureau,[none],,,[none],,[none],,,
eagle,,noun,,,[none],,,[none],,[none],,,
eagle,,noun,,"The company paying employees. The eagle shits (tomorrow), it's payday (tomorrow).",[none],,,[none],,[none],,,
eagle ray,,noun,,,[none],,,[none],,[none],ray,,
eaglewist,,noun,,edelweiss,[none],,,[none],,[none],,,(musterers')
ear shell,,noun,,= paua (shell),[none],obsolete,,[none],,[none],sea-ear,,-
ear-piece,,noun,,The detached scalp of a sheep including the ears.,,,,[none],,[none],,,(freezing works)
earbash,,verb,,To talk long and hard at; to bore with words; to nag; talk in ordinately to someone,,,,[none],,[none],,,
earbashing,,noun,,a lengthy talking-to; a talking at length.,[none],,,[none],,[none],,,1951 16+ M 26 Wellington H.S. 23 (in UK dictionaries with no regional label TD)
earina,,noun,,"orchid q.v., esp. Easter orchid.",[none],,,[none],,[none],,,
early,,adjective,,used of the pioneering period of Pakeha settlement in NZ; esp. early settler etc. [More cits needed.],[none],,,[none],,[none],,,
early bird,,noun,,a scab,[none],,,[none],,[none],,,
Early Childhood Centre,,noun,,,[none],,,[none],,[none],,,
Early Childhood Council,,noun,,,[none],,,[none],,[none],ECC,,
early closing,,noun,1,an early shutting up of a paddock for hay.,[none],,,Rural,Farm Words,[none],,,
early country,,noun,1,land on which spring growth is early and fast.,[none],,,Rural,Farm Words,[none],,,
early cup,,noun,,early morning tea,[none],,,[none],,[none],,,
early lamber,,noun,1,a ewe that lambs early in a season.,[none],,,Rural,Farm Words,[none],,,
early morning tea,,noun,,"a former tradition in country life, or in hotels, of waking a person to a cup of tea.",[none],,,[none],,[none],,,
early opener,,noun,,a hotel which opens its bars earlier than the usual time of between 9.00 and 11.00 a.m.,[none],,,[none],,[none],,,
early settler,,noun,,,[none],,,[none],,[none],,,
early shearing,,noun,1,the shearing of sheep in which fleecewool yolk has not risen.,[none],,,Rural,Farm Words,[none],sticky shearing,,
early shower,,noun,,"Often in collocations, take, be sent for an early shower. a. In mainly team sports' (esp. rugby), to be sent off the field of play as a penalty.",[none],,,[none],,[none],,,
early shower,,noun,,a premature departure or dismissal,[none],,,[none],,[none],,,
earmarker,,noun,1,an instrument used to cut a mark into the ears of lambs and calves.,[none],,,Rural,Farm Words,[none],,,
earn,,noun,,"deal, sale, profit",,,,[none],,[none],,,
ears laid back,,phrase,,,[none],,,[none],,[none],,,
eartag,,verb,2,[Transf. f. farming use of distinguishing beasts by attaching tags to their ears.],,,,[none],,[none],,,
eartag,,verb,1,to place eartags on animals for identification purposes.,[none],,,Rural,Farm Words,[none],,,
earth oven,,noun,,hangi,[none],,,[none],,[none],,,"Compare Maori oven, native oven"
earth-crowder,,noun,1,a horse-drawn implement to prepare head-ditches.,[none],,,Rural,Farm Words,[none],,,
earth-hungry,,adjective,1,[of settlers] keen to obtain land.,[none],,,Rural,Farm Words,[none],,,
earth-star,,noun,,,,,,[none],,[none],,,
earthflow,,noun,,,[none],,,[none],,[none],,,also used N Amer.
earthquake,,noun,,"In various attrib., local, uses and collocations (see cits.): earthquake lake, earthquake mud (or clay)",[none],,,[none],,[none],,,
Earthquake Commission,,noun,,,[none],,,[none],,[none],,,
earthquake weather,,noun,,"Still, warm, humid oppressive weather, thought to forebode an earthquake. ContrastWanganella weather.",[none],,,[none],,[none],,,ca1942-3 St Patrick's Silverstream (Hutt Valley). The term was often used in these years of severe earthquakes in Hutt Valley and the Wairarapa.
earwagging,,noun,,,[none],,,[none],,[none],,,Is this a mishearing and confusion of senses of earwigging? + earbash and/or chinwag. Not recorded elsewhere: McGill (verb not noun below) prob. from Leland.
earwig,,noun,,The native earwig <i>Anisolabis </i> sp.,,,,[none],,[none],,,
ease off,,verb,,vomit,,,,[none],,[none],,,"1981 Auckland Secondary Teachers College (Goldie Brown Collection) ease off: to be sick, to vomit"
easer,,noun,,,,,,[none],,[none],,,(miners')
easies,,noun,,,,,,[none],,[none],,,
East Cape groundsel,,noun,,,,,,[none],,[none],groundsel,,
East Coast,,noun,,"Usu. constr. with the, the eastern NI from Tikirau (Cape Runaway) to Te Toka-a-Taiau (the northern bank of the Turanganui River) at Gisborne.",[none],,,[none],,[none],Coast,,Coast ca1988 Nov 10 p.c. Hori Ngata : East Coast - probably a translation of original Maori name for the coastal area Te Tairawhiti `the seasons of the sunrise'.
East Coast,,adjective,,,[none],,,[none],,[none],,,>[?dateline] 9 Casks of Prime East Coast Pork.
East Coast leggings,,noun,1,green oilskin leggings favoured by East Coast shepherds.,[none],,,Rural,Farm Words,[none],,,
East Coast strum,,noun,,,[none],,,[none],,[none],Maori strum,,
East Coaster,,noun,,"a person (usu. a Maori, usu. Ngati Porou) born or resident on the East Coast. See also Coaster.",[none],,,[none],,[none],,,
easterly buster,,noun,,,[none],,,[none],,[none],,,
eastern falcon,,noun,,"an endangered indigenous bird of prey, the most common and largest of the three forms of the karearea.",[none],,,[none],,[none],,,
eastern kiwi,1,noun,2,,Maori,,,Environment,,[none],,,Eastern.
eastern knot,,noun,,bird,[none],,,[none],,[none],,,
Eastland,,noun,,The East Coast of the North Island,,,,[none],,[none],,,
easy,,adjective,1,[of land] managed easily with horses and wheel-driven vehicles.,[none],,,Rural,Farm Words,[none],,,
easy as putty,,phrase,,"very easy (to accomplish, fight, etc.)",[none],,,[none],,[none],,,"1952 St Patrick's College, Silverstream (W.J.Orsman) ; Taranaki 1940s (DEH)"
easy country,,noun,1,land over which a tractor can be driven and which can usually be cultivated,[none],,,Rural,Farm Words,[none],,,
easy country,,noun,,"land over which a horse can be ridden during a muster, as opposed to walking country.",[none],,,Rural,Farm Words,[none],,,
easy mutton,,noun,,"a var. of 'easy meat', a sitting target.",[none],,,[none],,[none],,,
easy-lambing,,adjective,1,[of ewes] able to lamb without assistance from a shepherd.,[none],,,Rural,Farm Words,[none],,,
easybeat,,noun,,,[none],,,[none],,[none],,,
eat,,verb,2,smoke many quickly.,,,,[none],,[none],,,"ca1956, 1986 still extant"
eat (one's) tutu,,phrase,,[immigrants] to be dissatisfied or inexperienced with their new situation.,[none],,,Rural,Farm Words,[none],,,
eat (one's) tutu/toot,,phrase,,,[none],,,[none],,[none],tutu,,
eat down,,verb,,to graze hard with stock.,[none],,,Rural,Farm Words,[none],,,
eat,,verb,3,to consume (a glass of beer) slowly; dawdle over (etc).,,,,[none],,[none],,,"ca1949 Okaramio Hotel, Marlborough. He's eating the bloody stuff - get him a straw with the next glass."
eat,,verb,4,"eat out of tins/out of a frying pan, said of people who do not bother to cook a wholesome meal from laziness or ignorance; cf tin-opener wife",,,,[none],,[none],,,ca1940 at least We have been eating out of tins for a week while the wife's away.
eat,,verb,6,"eat somebody without salt (and pepper), to be able to overcome easily; to `gobble up'; to have for breakfast",,,,[none],,[none],,,
eat out,,verb,,to completely consume a pasture [often to stimulate regrowth as part of a rotational grazing or mob-stocking programme.],[none],,,Rural,Farm Words,[none],,,
eat sausage,,phrase,,to engage in fellatio with a male.,[none],,,[none],,[none],,,"(women's slang),"
eat sheet,,noun,,a menu,[none],,,[none],,[none],,,Google search Feb 2006: no citations found with same meaning.
eat the leek,,phrase,,,[none],,,[none],,[none],,,
eater-of-stars,,noun,,,[none],,,[none],,[none],,,
eating-off,,noun,1,the grazing of pasture or crop.,[none],,,Rural,Farm Words,[none],,,
eau de cologne,,noun,,telephone,rhyming slang,,,[none],,[none],,,
eau dear,,noun,,bottled water,[none],,,[none],,[none],,,
EBA,,abbreviation,,Excess Breath Alcohol,[none],,,[none],,[none],,,
EBV,,abbreviation,1,"estimated breeding value, a measure of animal breeding criteria.",[none],,,Rural,Farm Words,[none],,,
ECA,,abbreviation,,Employment Contracts Act - replaced by Employment Relations Act (ERA),[none],,,[none],,[none],,,
ECC,,abbreviation,,Early Childhood Council,acronym,,,[none],,[none],,,
eccentric as a rabbit on skates,,phrase,,,[none],,,[none],,[none],,,
ECE,,abbreviation,,Early Childhood Education,,,,[none],,[none],,,
Ech,,noun,,"echelon, esp. as a suffix in compound. See B-Ech; First Ech.",abbreviation,,,[none],,[none],,,
echelon,,noun,,"In the NZ Army, a contingent or specific part of an expeditionary force. OEDS2 1c. NZ (See) B 1941, 1947 C.V. Smith in Reid's Kiwi Laughs NZ; W3.] Used in WWII for a contingent of the Second New Zealand Expeditionary Force [French echelon[e1-acute] rung of a ladder].",,,,[none],,[none],,,[Spec. use of echelon--> @a formation of troops'.]
echelon,,noun,2,,,,,[none],,[none],,,
echo,,noun,,(children's game,[none],,,[none],,[none],,,
eckie,,noun,,Ecstasy,,,,[none],,[none],,,
ECNZ,,abbreviation,,Electricity Corporation of New Zealand,[none],,,[none],,[none],,,
Eco Bach/Eco Inn,,noun,,holiday accommodation run on renewable energy,[none],,,[none],,[none],-,,
eco-country estate,,noun,,land farmed with a sensitivity to the environment.,[none],,,Rural,Farm Words,[none],,,
eco-farmer,,noun,1,a farmer who is aware of the significance of the environment in his/her farming activities.,[none],,,Rural,Farm Words,[none],,,
eco-loo,,noun,,an eco-friendly composting toilet,[none],,,[none],,[none],,,
eco-sourced,,adjective,,,[none],,,Environment,,[none],,,
eco-trooper,,noun,,an activist member of the Greens and eco-movement,[none],,,[none],,[none],,,
eco-whare,,noun,,a tourist display of a home and land in a natural environment.,blend,,,Environment,,[none],,,
eco-whinger,,noun,,,,,,[none],,[none],,,
economic unit,,noun,1,a farm property from which sufficient income is generated in relation to the investment of labour and costs.,[none],,,Rural,Farm Words,[none],,,
economiser,,noun,,,,,,[none],,[none],,,
ECW,,abbreviation,,extreme cold weather gear,[none],,,[none],,[none],,,
eddoes,,noun,,"In early NZ, the taro.",,,,[none],,[none],,,obs
edelweiss,,noun,,"[Spec. use of eidelweiss, a European alpine plant with white, woolly, star-shaped flowers.",,,,[none],,[none],,,
edelweiss,,noun,2,<i>Helichrysum bellidioides.</i>,,,,[none],,[none],,,
edelweiss,,noun,2,<i>Leucogenes grandiceps. </i>,,,,[none],,[none],,,"1885 MHG, 1917 DDD (Andersen, 7 entries)"
edelweiss,,noun,2,<i>Leucogenes Leontopodium</i>,,,,[none],,[none],,,
edelweiss,,noun,2,<i>Leucogenes grandiceps </i>,,,,[none],,[none],,,
Eden of the Southern Sea,,phrase,,,,,,[none],,[none],,,
Eden Park syndrome,,phrase,,fear of being unable to urinate in a public lavatory,,,,[none],,[none],,,
Eden Parker,,noun,,,[none],,,Sport,,[none],,,
edger,,noun,,,,,,[none],,[none],,,
Edinburgh of the South,,phrase,,Dunedin.,,,,[none],,[none],,,
Edmonds,,adjective,,made from a recipe from Edmonds `Sure to Rise' cookbook.,[none],,,[none],,[none],,,
Edmonds Cookbook,,noun,,well-known and long-lived NZ cookery book,[none],,,[none],,[none],,,
Edmund Hillary,,noun,,a $5 note,[none],,,[none],,[none],,,
educarer,,noun,,,[none],,,[none],,[none],,,"Also N Amer., UK, S Africa"
Education Board,,noun,,a statutory board elected to manage the administration of primary education in its district,[none],,,[none],,[none],,,[? when established WRITE Educ. Dept].
EECA,,abbreviation,,Energy and Efficiency Conservation Authority,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel basket,,noun,,a hinaki (q.v.),[none],,,[none],,[none],-,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,An eel whose dorsal and ventral fins are the same length; one of two kinds of fresh-water eels in NZ. Compare long-finned eel.,,,,[none],,[none],,,
eel,,noun,2,"silver-belly, tuwa.",,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,[none],,,[none],,[none],also silverbelly,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,?moray.,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,,Spec. use of <i>eel</i> for native salt- and fresh-water spp,[none],,,[none],,[none],"ngoiro, tuna",,"goiro, tuna [dateline missing] 498 ...the eel is much larger than the English,..."
eel,,noun,,,,,,[none],,[none],,,
eel,,noun,,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,"a large eel, found esp. along rocky coastlines",,,,[none],,[none],,,1770 see sole
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,silver eel.,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,longfinned eel.,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel,,noun,2,,,,,[none],,[none],,,
eel grass,,noun,,? grass-wrack on the mudflats of the seashore,[none],,,[none],,[none],,,
eel trap,,noun,,a hinaki (q.v.),[none],,,[none],,[none],,,
eel trout,,noun,,,[none],,,[none],,[none],-,,
eel-bob,,noun,,,,,,[none],,[none],,,
eel-bobbing,,noun,,,[none],,,[none],,[none],,,
eel-hawk,,noun,,,,,,[none],,[none],,,
eel-pa,,noun,,,,,,[none],,[none],,,
eel-station,,noun,,,,,,[none],,[none],,,
eel-weir,,noun,,,,,,[none],,[none],,,
eels' blanket,,noun,,<i>Ruppia spiralis</i>,,,,[none],,[none],,,
EEZ,,noun,,??Extra-territorial Economic Zone; dateline missing,,,,[none],,[none],,,"?chk NZ declared its EEZ in 1978, but there was no commercial interest in roughy till the joint venture Wesermunde in 1979 made large catches north of the Chathams."
effluent station,,noun,1,a depot for effluent from stock truck tanks.,[none],,,Rural,Farm Words,[none],,,
EFTS,,abbreviation,,equivalent full-time students,acronym,,,[none],,[none],,,
egg,2,noun,,"a fool (also eggroll), a stupid, incompetent person.",,,,[none],,[none],,,1981 Feb Avondale College (Auckland) Slang Words in Use (Goldie Brown Collection) egg
egg cap,,noun,,,[none],,,[none],,[none],,,
egg,1,noun,,a softie,,,,[none],,[none],,,
egg,3,noun,,a new business needing fostering,,,,[none],,[none],,,
egg fart,,noun,,,[none],,,[none],,[none],,,children's
egg floor,,noun,,"(formerly) a place where eggs were graded and packed under Egg Marketing Regulations; the licensed marketing agent appointed by the Poultry Board in all egg marketing areas, to receive, grade and distribute eggs to retailing outlets.",[none],historical,,[none],,[none],,,194? Blenheim and other towns
egg out,,verb,,,[none],,,[none],,[none],,,
egg-in-the-hat,,noun,,a children's game,[none],,,[none],,[none],,,
egg-laying skink,,noun,,"a skink unique in New Zealand for laying eggs rather than live young, and for its unusual habit of foraging under water.",[none],,,Environment,,[none],"Suter's skink, Diving skink",,"<i>Oligosoma suteri</i> aka Suter's skink, and aka Diving skink"
egg-shell blonde,,noun,,a bald man,[none],,,[none],,[none],,,ca1949 Havelock slang
eggbird,,noun,,(sooty) tern,[none],,,[none],,[none],,,
eggie,,noun,,,,,,[none],,[none],,,child marble players
eggroll,,noun,,,,,,[none],,[none],egg,,
Egmont cake,,noun,,,[none],,,[none],,[none],,,
Egmont cheese,,noun,,,[none],,,[none],,[none],,,
Egmont fern,,noun,,<i>Polystichum cystostegium</i>,[none],,,[none],,[none],,,(Contrast Taranaki fern.[get cit. JD ?]
Egna Brit,,noun,,shit,rhyming slang,,,[none],,[none],,,
egret,,noun,,"Various spp. of <i>Egretta</i>, usu. with distinguishing epithet esp. occas. white egret the white heron.",,,,[none],,[none],also heron,,
eh,,exclamation,2,"Modern uses of eh, usu. in Eng. contexts",,,,[none],,[none],,,
