Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
G,Feb 1981,Avondale College Slang Words in Use,,,,G's: inexperienced workers,
G truck,1940,"Man & His Wife, A",SARGESON,,1944,? A horse float; lorry or railway wagon for carrying (race-) horses (?f. GG-truck).,
G truck,1946,That Summer,SARGESON,32,,We'd go in a G truck with the horses.,`Pair of Socks'
G truck,1964,Collected Stories,SARGESON,300,,G truck: railway truck for transporting horses.,Pearson Glossary
g'way,1981,Loughnan Glossary,LOUGHNAN,38,,G'way: initial command to set a dog on its run.,
G.A.,"Jul 22, 1854",Richmond-Atkinson Papers,,1/150,1960,I see you are a very prominent figure in the G.A. I expect to see the intense provincialism of you Aucklanders a good deal softened down.,"(C.W.Richmond) [to T.S.Forsaith, Auckland]"
G.B.,1966,"English Language in Aust. & NZ, The",,120,,"A steep hill on the bush track to the Wellington student's tramping club hut is (or used to be) known as the G. B. or guts buster, and the name is used for other hills by trampers.",
G.G.,"Feb 21, 1933",Na To Hoa Aroha,,3/64,,The G.G. is visiting Samoa and some of the islands of the Cook group ...,Ngata
G.G.,1941,NZ Slang,BAKER,62,,The terms His Ex. or the G.G. for our Governor-Generals have long since passed into colloquial speech.,
G.G.,1968,NZ Contemp. Dict. Suppl. (Collins),,9,,"G.G., the n. the Governor General. See also His Ex.",
G.G.,"Dec 14, 1985",Evening Post,,4,,[Hdg] Samoan loses plea to G-G to stay here,
G.G.,"Jun 27, 2002",Evening Post,,17,,"G-G fears for SA [headline] The Governor-General, Sir Paul Reeves, fears that the opportunities for a negotiated ... settlement of the tension in South Africa are disappearing.",
G.G.,"Oct 13, 1986",Evening Post,,2,,[Hdg] G-G will repeat Maori sleep-in,
G.G.,"Dec 14, 1986",Dominion,,8,,The Governor-General ... has stated that `New Zealanders must study the Treaty of Waitangi ...' ... Is the G-G not outside his brief in telling me I `must' do something?,
G.G.,1988,Through the Looking Glass,DUDER,37,,"It was the twilight of deb balls, that female rite of passage ... no longer to the G-G at G-H, but to the the Bishop of Auckland ...",
G.G.,2009,NZ Memories,,77/25,,Someone had got the timings wrong - so what on earth was I to do with the GG?,
GABA,"Dec 15, 2005",Internet - see Notes,,,,Welcome to Gaba The Gay Auckland Business Association was started in 1984 as an organisation of gay men and lesbian women in business and the professions.,http://www.gaba.org.nz/
GABA,2008,Internet - see Notes,,,,<b>GABA</b> The Gay Auckland Business Association was started in 1984 as an organisation of gay men and lesbian women in business and the professions. It's [sic] basic aims are: to promote and strengthen the business and professional interests of our members; to build a gay and lesbian business community; to provide opportunities for interaction amongst gay men and women in the professions and in business; and to provide funding and assistance to the gay community through requests [sic] to the GABA Charitable Trust. For further information visit www.gaba.co.nz,http://www.heroicgardens.org.nz/sponsors.php
GABA,"Nov 16, 2005",Express (Gay & Lesbian Express),,24,,"One of the main events of the GABA and the Auckland Gay and Lesbian community year is set to go as we prepare for the Fantastic, Fabulous and Full of Fun Xmas Auction.",
GABA,"May 21, 2008",Express (Gay & Lesbian Express),,9,,Don't forget that we are on the hunt for old gaba photos that we can put on the new website (which is just weeks away).,
gaff,"Sep 11, 1890",Otago Witness,,28,,"In some parts the eels were ""bobbed"" or ""gaffed"" out by the hundredweight.",
gaff,"Sep 11, 1890",Otago Witness,,28,,"In some parts the eels were ""bobbed"" or ""gaffed"" out by the hundredweight.",
gaff,"Jul 21, 1906",NZ Truth,,57/1/7,,"Hasty Mr Hastie, a new `Tabernacle' parson, of Dunedin, has been saying things about Dunedin's notorious drunkenness and some Dunedinites wince under the gaff.",
gaff,"Jun 21, 2003",Dominion Post,,F6,,"Now, I do remember, as kids, some brazen Hawke's Bay brats at the creek armed with such an instrument and a gaff - a nasty-looking stick with a big fish-hook bound to it.",
gaffer,1958,I'll Soldier No More,JOSEPH,237,,,get cit.
gaffer-taped,"Dec 5, 2004",Sunday (Sunday Star Times Magazine),,p23,,"Or this: a sneering bad boy from a good home in a shredded Sex Pistols T-shirt, pants cut from a sheet of black polyurethane, then gaffer-taped around his legs.",
gaffing,"Sep 11, 1890",Otago Witness,,28,,"I went ""gaffing"" in a small stream which ran into the Wanaka, and got 14.",
gaffing joint,"Oct 13, 1906",NZ Truth,,69/1/5,,"He sampled a gaffing joint en route, but was fired into the night as being too drunk, and day had broken ere he reached a haven ..",
gafu,1951,Brave Company,WILSON,48,,"`I remember that as fast as I got a squad on its feet to move, it was shot down again.' ... `What a gafu!' exclaims Corry. <i>Ibid.</i> 146 A bloody gafu again; silent night advance ... hell!",
gafu,1988,"Dictionary of Kiwi Slang, A",McGILL,48,,"GAFU God Almighty fuck-up; the WWII NZ Second Expeditionary Force variation of the RAF's SNAFU (Situation Normal All Fucked Up), usually a reference to decisions that landed fighting men in impossible situations. [Jim Henderson]",WWII
"gag, the",1981,History of Children's Play,SUTTON-SMITH,231,,"There are games recorded in this period for which there is no record before 1900 though they may well have existed under other names. ... Canterbury: Poor Old Tom, Rats and Rabbits and Rips, Steps, Skin the Snake, Steal a Peg, Toodle-em-Buck, The Gag.",
gaga,1988,Point of Departure,DEVANNY,7,,"Most delectable of these was the gaga or kie kie, the flower of a tough great vine.",Quoted from c1900
gahnia,1969,Standard Common Names for Weeds,,28,,<i>gahnia [s] Gahnia </i>,
gahnia,1981,Weeds of Roadsides,TAYLOR,59,,GAHNIA (<i>Gahnia</i> spp.) Native perennial resembling toetoe but drooping more. Widespread in forest and on steeps roadside.,
gahnia,1982,Stewart Island Plants,WILSON,368,,<i>Gahnia procera</i> GAHNIA ... Large green tussocks up to 1 m tall.,
gahnia,1996,Hunting for DOC,,16,,"I entered a world of.. gahnia, that most despised of razor-sharp weeds.",
gahnia,1919,NZ Plants & Their Story,COCKAYNE,,,<i>Gahnia xanthocarpa </i>,
gahnia,1909,AJHR,COCKAYNE,,,<i>Gahnia procera. </i>,Report on a Botanical Survey of Stewart Island
gain the bottom wire of the fence,1981,Sunrise on Hikurangi,SUTHERLAND & TAYLOR,58,,'You ought to grab her. That way you'd gain the bottom wire of the fence.''How do you mean? 'She's the boss's daughter and he's taken quite a shine to himself ...',
gain the bottom wire of the fence,"Nov 3, 2002",Dominion,,C6,,"If a whare boy (single shepherd) is lucky, he might gain the bottom wire of the fence (marry the farmer's daughter).",??Dominion Nov 33 C6
gaiting,1976,From the Beginning: chronicles of a county,KERR,292,,"Out of the tanks, a machine feeds the retted straw...on to the drying paddocks. There it half-dries, when it is ready for 'gaiting,' the wet underside becoming the outside of the 'gait.' They are these small wigwams one sees in rows in the drying fields, and are another stage of drying.",
Gal Blacks,Aug 1998,Mana,,28,,"She plays on the wing for the Black Ferns, as the New Zealand women's rugby team is now called after rejecting labels like Gal Blacks, Elle Blacks and She Bs.",
Gal Blacks,Jun 1999,Metro,,89,,"The New Zealand Women's Team, or ""the Gal Blacks"" as the media referred to them, were indeed very scary in Amsterdam.",
