Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
H-bug,"Mar 28, 1957",Hawke's Bay Herald,,6,,[Hdg] Forced ventilation to check H-Bug suggested... it was a particularly virulent breed of staphylococcus that was developing the most marked resistance to antibiotics.,
H.B.,"May 14, 1906",Chudleigh Diary,,432,1950,"A large number of sheep in for sale 15000 i am told. ... 382 withdrawn at 13/6 best lot of H.Bs. <i>ibid.</i> 437. 79 Romney Rams, 33 Merino Vermont, and H.B. Rams.",
H.P.R.,1981,Station Years,CRAWFORD,,,"Although many runholders came to regard the land they leased as their own, their occupancy was intended to be only a temporary using of waste land until it was required for closer settlement. Anyone - the runholder included - could buy the freehold of all or any part of a run at any time to establish a farm. However, some protection for runholders was essential, for they could not be expected to improve their runs if the land and improvements were in danger of being freeholded without warning by an outside buyer. Runholders were able to register with the Provincial Council improvements such as buildings, plantations, fencing, and yards, for which they were granted [246] an improvement pre-emptive right (i.P.R.) covering fifty acres of land surrounding the improvement. A homestead pre-emptive right (H.P.R.), which afforded protection for 250 acres, could also be registered. ... One H.P.R. could be taken out for each property and it was only businesslike that each runholder should use this right to secure 250 acres around his homestead against purchase by an outsider. An H.P.R. was initially intended to cover the owner's or manager's home, but, in the case of runs of over 5,000 acres, could be extended to cover an outstation.",[ca1878]
H.P.R.,"May 4, 1907",NZ Truth,,98/2/3,,"The term `hack' as understood in this country is not at all to be conflicted with the same term as applied elsewhere to horse racing under that category. A hack in New Zealand is a horse that has not won a certain amount of moneys [sic], and so it is quite possible for the Derby favorite of the year, or the New Zealand Cup favorite to be a hack.",(hist.)
H.R.,1989,NZ English Newsletter,,3/25,,H.R.: Head Rousie.,(Wallace Shearing Glossary)
H1,"Oct 1, 2008",Dominion Post,,B4,,"More recently i got drunk in Wellington with political people. One of them referred in a hushed and reverential voice to H1. ""Who"" i said. ""H1,"" he said. ""Helen. As opposed to H2."" ""H2?"" i said. ""Heather he said. ""Heather Simpson. Her political adviser.""",
H2,"Aug 20, 2008",Dominion Post,,B5,,"""She does not trust those outside the small circle in Labour and her chief of staff, Heather Simpson, is known as the second most powerful person in New Zealand (known as H2).""",
H2,"Nov 12, 2008",NZ Herald,,A5,,"H2 likely to follow her leader out of Parliament.(hdg). Asked if she would carry on with him, new Labour leader Phil Goff said he believed the outgoing Prime Minister's chief-of-staff, known as ""H2"", ""will have things she wishes to do"".",
H2,"Oct 1, 2008",Dominion Post,,B4,,"More recently i got drunk in Wellington with political people. One of them referred in a hushed and reverential voice to H1. ""Who?"" i said. ""H1,"" he said. ""Helen. As opposed to H2."" ""H2?"" i said. ""Heather,"" he said. ""Heather Simpson. Her political adviser.""",
H2,"Oct 25, 2009",Sunday Star Times,,A5,,"Heather Simpson, the long-term assistant of former prime minister Helen Clarke who was once known as H2, has returned from New York to marry her partner, Sue Veart, in Wellington.",
H2,"Sep 25, 2009",Sunday Star Times,,A5,,"HEATHER SiMPSON, the long-term assistent of former prime minister Helen Clark who was once known as H2, has returned from New York to marry her partner, Sue Veart, in Wellington.",
Haast kiwi,"Aug 7, 1999",Listener (New Zealand Listener),,24,,Little is yet known about the Haast kiwi and the first research into that species is now under way.,
Haast kiwi,1897,TrNZi,,29/203,,"<i>Apteryx haasti,</i> Potts. (Haast's Kiwi.)",(Buller)
Haast schist,Jul 1967,Geological Society of NZ Newsletter,,23/8,,"Of considerable general interest is the plotting of the mineral-bearing lodes in the Haast Schist Group, although it is disconcerting to find in the legend that effectively identical symbols are used for quartz reefs and igneous dikes.",
Haast schist,Nov 1968,Geological Society of NZ Newsletter,,Vol 26,,"in contrast to the Torlesse Group the Haast Schist is represented with considerable structural detail, mainly derived from Grindley (1963).",No page numbers in Newsletter 26
Haast tokoeka,Jan 2000,NZ Geographic,,No. 45/92,,"The Haast tokoeka is our only alpine kiwi, and numbers no more than 250 birds.",
Haast's buttercup,Nov 2002,Forest & Bird,,306/2,,Haast's buttercup grows on screes from the Kaikoura Ranges south.,
Haast's eagle,"Jan 6, 2005",Dominion Post,,A6,,"DNA research has shed fascinating light on New Zealand's enormous Haast's eagle, which once stalked the giant moa through the forests.",
Haast's eagle,"Oct 18, 2005",Listener (New Zealand Listener),,70,,"[The documentary] then bounced back and forward between Gondwanaland (anonymous footage of lava flows and volcanic eruptions), the New Zealand of 80 million years ago (CGi dinosaurs, Haaast's eagle, native bush) and early polynesians.",
Haast's eagle,"Sep 4, 1992",Dominion,,1,,"The now extinct bird - known as haast's eagle and to the Maoris pouakai, or old glutton - was on show at Wellington Zoo yesterday.",
haastia,1906,Plants of NZ,LAiNG & BLACKWELL,,,(And),
habilitation centre,Jan 1999,NZWords,,2,,"Another old word - habilitation - was dusted off a few years ago and is used in the compound habilitation centre, a residential centre operating programmes tor offenders. This may be a distinctively New Zealand term.",
habitual,1980,While We Have Prisons,MacKENZiE,10,,"in fact most habitual criminals were very well behaved in prison, precisely because they were habituals and knew the ropes.",
Habitual Criminal,1945,in Prison,BURTON,133,,"This is an indeterminate sentence, and can only be given to a man who has been declared an Habitual Criminal. ... Unless the `Act' is lifted from him by a judge of the Supreme Court it will continue in force for the rest of his life. Among convicts this particular sentence is is known as the `dog collar' for obvious reasons.",
Habitual Criminal,Nov 1950,Here & Now,,14,,"GLOSSARY OF TECHNiCAL TERMS: A boobhead is a prisoner; a screw is a warder; a topper is a toady or an informer. The Act or the Collar - The Habitual Criminals Act, under which persons declared habitual criminals can have their sentences increased by the Prisons Board for offences against prison discipline during their incarceration.",(ian Hamilton `NZd's Last Flogging')
Habitual Criminal,1980,While We Have Prisons,MacKENZiE,9,,"in 1953 i made a study ... of New Zealand's habitual criminals. These 520 people ... had received the accolade of New Zealand criminality ... in prison language they had been given the `collar', the `key', the Kathleen Mavourneen sentence - `it may be for years and it may be for ever'. ... The unfortunate recipients of the new title `Habitual Criminal' would serve a head sentence of Hard Labour to be followed by an unspecified period of imprisonment which could last until death.",
habuka,1987,Fishes: A Bibliography,PAUL et al.,,,[index to common names 283-293] habuka 1281,
hack,1964,Practical Guide to Handling Dogs and Stock,MiLLS ET AL,105,,"These men educate cattle as they work them, and they will also train a raw hack to become a good cutting-out horse.",
