Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
H-bug,,noun,,,,,,[none],,[none],,,
H.B.,,abbreviation,,,[none],,,[none],,[none],,,
H.P.R.,,abbreviation,,homestead pre-emptive right,,,,[none],,[none],,,(hist.)
H.R.,,abbreviation,,Head Rousie.,,,,[none],,[none],,,
H1,,noun,,"Helen Clark, New Zealand Prime Minister",[none],informal,,Politics,,[none],,,
H2,,noun,,"Heather Simpson, powerful political adviser to Prime Minister Helen Clark.",[none],informal,,Politics,,[none],,,
haahow,,noun,,,,,,[none],,[none],kakahu n1..,,
Haast kiwi,1,noun,2,,[none],,,Environment,,[none],great grey kiwi,,
Haast schist,,noun,,Geol. classification,[none],,,[none],Geology,[none],,,
Haast tokoeka,,noun,,,[none],,,[none],,[none],,,
Haast's buttercup,,noun,,Haast's buttercup,[none],,,[none],,[none],,,
Haast's eagle,,noun,,,[none],,,[none],,[none],eagle,,
haastia,,noun,,<i>Haastia pulvinaris.</i>,,,,[none],,[none],,,
habilitation centre,,noun,,a residential centre for offenders which operates programmes intended to discover and address the cause of their offending.,[none],,,[none],,[none],,,Jim Cameron writes : Introduced by the Criminal Justice Amendment Act 1993
habitual,,noun,,ellipt. for habitual criminal.,,,,[none],,[none],,,
Habitual Criminal,,noun,,,[none],,,[none],,[none],,,
Habitual Criminals Act,,noun,,,[none],,,[none],,[none],,,This 1906 Act was absorbed into the 1908 Revision of the Crimes Act
habuka,,noun,,,,,,[none],,[none],hapuku.,,This 1906 Act was absorbed into the 1908 Revision of the Crimes Act
hack,,noun,1,[sp. use] a utilitarian saddle horse used for shepherding or mustering.,[none],,,Rural,Farm Words,[none],,,
hack and hunter,,noun,,a punter,rhyming slang,,,[none],,[none],,,(prison slang)
hack,,noun,,a cheese factory labourer.,[none],,,Rural,Farm Words,[none],,,
hack,1,noun,,,,,,[none],,[none],,,
hack,2,noun,,"prison officer. USA, from the 1920s.",,,,[none],,[none],,,(prison slang)
hack-it bracket,,phrase,,,,,,[none],,[none],,,
hackamore,,noun,,,,,,[none],,[none],,,
hacksaw,,noun,,Boy/girlfriend.,[none],,,[none],,[none],,,1951 14 M 10 Wellington H.S. 28 HACK-SAW
haddit,,adjective,,,,,,[none],,[none],,,(?Maori English.)
haddock,,noun,,"In early use applied to NZ fishes thought to resemble northern haddock, esp. <i>Gadus australis</i>.",,,,[none],,[none],,,[Paul bibliog. gives only haddock].
haddock,,noun,,,,,,[none],,[none],,,
haddock,,noun,2,"(hokoa), hoka red cod.",,,,[none],,[none],,,
haddock,,noun,2,"red cod, yellow tail.",,,,[none],,[none],,,
haddock,,noun,3,,,,,[none],,[none],,,
haddock,,noun,4,"hake, whiting.",,,,[none],,[none],,,
haddock,,noun,4,hake,,,,[none],,[none],,,
haddowai,,noun,,,,,,[none],,[none],fernroot.,,
hade,,noun,,the dip of a vein or fault.,,,,[none],,[none],,,
haehae,,noun,,a cut,Maori,,,[none],,[none],,,
haekaro,,noun,,<i>Pittosporum umbellatum.</i>,,,,[none],,[none],,,
haere,,verb,,"a punning use, for `hurry' (in departure), haere ra.",,,,[none],,[none],,,c1826-1827 list of Maori words in c1835 Boultbee Journal (1986) 112 go - ia|ree [haere]
haere mai,,exclamation,,,[none],,,[none],,[none],,,
haere ra,,exclamation,,"Farewell (to one departing) [Maori haere r&amacr.(phs popularised as the title of a well-known Maori song) (Williams: haere v. come; go, depart: ra av. there, yonder; or a particle denoting distance from the speaker), said to a person leaving, goodbye, farewell.",[none],,,[none],,[none],,,
hag,1,noun,,"<i>Eptatretus cirrhatus</i>, ?ellipt. for hagfish.",,,,[none],,[none],,,
hag,2,noun,,teacher,,,,[none],,[none],,,1951 14 M 10 Wellington H.S. 24B HAG -->1951 14 M 10 Wellington H.S. 28 HAG
hag taper,,noun,,mullein,,,,[none],,[none],,,
hagfish,,noun,,"blind eel, tuere",,,,[none],,[none],blind eel,,
haggard continent,,noun,,Australia,[none],,,[none],,[none],,,(?nonce)
