Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
I'll go he,,exclamation,,expression of surprise etc.,[none],,,[none],,[none],,,
I'll see you right,,phrase,,,,,,[none],,[none],,,
I'm not having any,,phrase,,"A catchphrase, expressing a refusal (to agree to do what was asked, etc.",,,,[none],,[none],,,Nf P.
I've got a carbunkle on me pollywonkle,,phrase,,,,,,[none],,[none],,,
IA,,abbreviation,,Infrastructure Auckland,[none],,,[none],,[none],,,
IB,,abbreviation,,invalid's benefit,,,,[none],,[none],,,
IC and A,,noun,,Industrial Conciliation and Arbitration Act,abbreviation,,,[none],,[none],,,
ICANZ,,abbreviation,,Inter-Country Adoption New Zealand,[none],,,[none],,[none],,,
ice,2,noun,,a drug,,,,[none],,[none],,,
ice block,,noun,,"A sweet, frozen, flavoured confection.",[none],,,[none],,[none],,,"Jim Cameron writes: DNZE says ""known from at least mid 1950s"". I can recall them in the late 1930s."
ice cave,,noun,,,[none],,,[none],,[none],,,See also snow cave
ice,1,noun,,diamonds,,,,[none],,[none],,,
ice training,,noun,,,[none],,,Geology,,[none],,,
"Ice, the",,noun,,the Antarctic,[none],,,[none],,[none],,,
ice-bird,,noun,,,,,,[none],,[none],,,
ice-plant,,noun,,"A flowering plant with white-grey fleshy leaves, widely naturalised in warm regions; also called pig's faces, horokaka and (erroneously) wild portulaca.",,,,[none],,[none],,,"a name common to other countries: eg. Australia (Morris) a <i> Tetragonia </i>, genus related to the <i> Mesembryanthemum </i> genus, being of the same family <i> Aizoaceae </i> - cf New Zealand Spinach); pig's faces, horokaka: also New Zealand ice-plant."
ice-plant,,noun,2,,,,,[none],,[none],,,
ice-plant,,noun,,,[none],,,[none],,[none],,,
ice-plant,,noun,4,,,,,[none],,[none],,,
ice-plant,,noun,4,,,,,[none],,[none],,,
ice-plant,,noun,4,D. australe.,,,,[none],,[none],,,
ice-rafted,,adjective,,caused by ice moving like a raft,[none],,,[none],,[none],,,
iceberg,,noun,,,,,,[none],,[none],,,
icecream tree,,noun,,,[none],,,[none],,[none],,,
Icehouse,,noun,,a business incubator based at Auckland University.,[none],,,[none],,[none],,,
ickem,,noun,,,,,,[none],,[none],,,
icon species,,noun,,,[none],,,[none],,[none],-,,
idea,,noun,,"that's an idea, I agree with your suggestion,",,,,[none],,[none],,,ca1941-48 a catchphrase very popular among schoolboys and University students.
identity,,noun,,"old identity, a resident of long standing in a particular place; a character associated with a place, locality, district, profession, occupation (see substantial entry at old identity).",[none],,,[none],,[none],,,
identity,,noun,,,[none],,,[none],,[none],,,
"identity, the",,noun,,(collective) a later shortened form of OLD IDENTITY,[none],,,[none],,[none],,,
Idlealong,,noun,,a class of yacht,[none],,,[none],,[none],,,
idler-pulley,,noun,,,,,,[none],,[none],,,
ids,,noun,,"A children's nursery var. of wids, itself a var. of widdle @v and noun: urine; from wee (pee) piddle pee; wee (-wees).",,,,[none],,[none],,,ca1930 Havelock eg Do ids.
if he was well fed he'd shit,,phrase,,"said of a complacent, dull and unambitious person; an automaton.",[none],,,[none],,[none],,,-->ca1942 Wellington.
if your brains was barbed wire...,,phrase,,(phrase cont. in cit.) you are stupid,[none],,,[none],,[none],,,
IFINZ,,abbreviation,,Institute of Finance Professionals of New Zealand,,,,[none],,[none],,,
ifoga,,noun,,forgiveness,,,,[none],,[none],,,
iggery,,noun,,=iggri?,[none],,,[none],,[none],,,
iggri,,adverb,,quickly,[none],,,[none],,[none],,,
iggri,,noun,,hurry-up,[none],,,[none],,[none],,,
iggry,,verb,,,[none],,,[none],,[none],,,
ignimbrite,,noun,,,[none],,,[none],Geology,[none],,,
ignimbrite,,noun,,,[none],,,[none],Geology,[none],,,
ignoral,,noun,,,[none],,,[none],,[none],,,"http://www.worldwidewords.org/articles/exceedance.htm Another example is <i>ignoral</i>, the quality or state of being ignored. This was championed by the British writer Richard Boston in the 1970s on the grounds that nothing similar existed; this is rare, and often used facetiously when it does appear."
ignorant as Paddy's pig,,phrase,,very ignorant,[none],,,[none],,[none],,,
ignore,,noun,,,[none],,,[none],,[none],,,"usually in the phrase ""treat with ignore"". Not in OED as noun. Both Jim Cameron and I know this from childhood. Jim writes: It is not in any NZ dictionary but is in Macquarie 1981. Collins tags it as <i>Austral.</i>"
IGNS,,abbreviation,,Institute of Geological and Nuclear Sciences,[none],,,[none],,[none],GNS,,www.gns.cri.nz
IH,,abbreviation,,intellectually handicapped,[none],,,[none],,[none],,,
IH Society,,noun,,Intellectually Handicapped Society,[none],,,[none],,[none],,,
IHC,,abbreviation,,the New Zealand Society for the Intellectually Handicapped. [acronym of its former name Intellectually Handicapped Children's Society],acronym,,,[none],,[none],,,
ihe,,noun,,garfish,,,,[none],,[none],,,
ihi,,noun,2,authority,,,,[none],,[none],,,
ihi,,noun,,stitch-bird,,,,[none],,[none],hihi,,
ika,,noun,,fish,,,,[none],,[none],,,
ikey,,adjective,,Conceited; `snooty' (cf hikey aj).,,,,[none],,[none],,,
iki,,verb,,kill,[none],,,[none],,[none],"also iki-kill, iki-spike",,-
iki spiking,,noun,,,[none],,,[none],,[none],,,appears to be international but iki is unclear (but it's not Maori)
iki-kill,,noun,,,[none],,,[none],,[none],,,attrib. use in citation
iki-kill,,verb,,,[none],,,[none],,[none],,,
iki-spike,,verb,,,[none],,,[none],,[none],,,
Ilam Hardy,,noun,,"a NZ variety of potato, ? derived from earlier Sutton's Supreme",[none],,,[none],,[none],,,
ill-thrift,,noun,,,,,,[none],,[none],,,
ill-thrift,,noun,1,an animal condition in which growth is arrested.,[none],,,Rural,Farm Words,[none],hogget ill-thrift,,
ill-thrifty,,adjective,1,[of farm stock] unproductive or failing to thrive.,[none],,,Rural,Farm Words,[none],,,
illegal tegel,,noun,,"any native or protected bird taken illegally for food. Cf. bush rabbit, mountain goat.",[none],,,[none],,[none],,,"ca1981 W.J. Orsman, heard from Marlborough Catchment Board Workers for illegally shot native wood pigeons."
immersion,,noun,,,,,,[none],,[none],Maori immersion,,
immigrant,,noun,,,[none],,,[none],,[none],,,
immigrant barracks,,noun,,,[none],,,[none],,[none],,,
immigrant,,noun,,,[none],,,[none],,[none],,,"(In very early Colonial days the popular term was emigrant that is, from the point of view of leaving the mother-country.) Later (c1842) immigrant is chiefly used (from the point of view of established `old' colonist), and later replaces `emigrant' in Colonial literature completely, concretising its meaning to something like the modern `assisted immigrant'. For example, 1845 EJ Wakefield Adventure NZ, with ref. to ca1841-2 uses immigrant rather more often than emigrant (eg 2/437). For a fanciful, rhyming var., see Jimmygrant. cf also 189? Hutchinson's Australian Encyclopedia 158 The term immigrant is generally applied in Australasia to persons whose passages have been inwhole or part paid by the state. cf. also OED 1809 Kendall Travels Immigrant is perhaps the only new word, of which the circumstances of the U.S. has in any degree"
immigrant,,noun,2,,,,,[none],,[none],,,
immigrant ship,,noun,,,[none],,,[none],,[none],,,
immigration,,noun,,,[none],,,[none],,[none],,,
immigration agent,,noun,,,[none],,,[none],,[none],,,
immigration barracks,,noun,,,[none],,,[none],,[none],,,(Cant. hist) [AND immigrant barracks 1842.] [AND barrack n1 1b. temporary accom of immigrants 1841 (3 cits).]
immigration commissioner,,noun,,,[none],,,[none],,[none],,,
immigration,,noun,,,[none],,,[none],,[none],,,elliptical for Immigration Office
immigration,,noun,,,[none],,,[none],,[none],,,
immigration officer,,noun,,,[none],,,[none],,[none],,,[See Immigration Dept file.]
immigration scheme,,noun,,,[none],,,[none],,[none],,,
IMNZ,,abbreviation,,Independent Music New Zealand,[none],,,[none],,[none],,,
imperata,,noun,,,,,,[none],,[none],,,
Imperial Force,,noun,,,[none],,,[none],,[none],,,
implement shed,,noun,1,"a large shed on a station or farm housing implements such as discs, ploughs, monkeys.",[none],,,Rural,Farm Words,[none],,,
impo,,noun,,imposition,abbreviation,,,[none],,[none],,,"pron. [|impou, |impos]. -->196? Partridge DS p. Aust and NZ variant of schoolboys' (ca 1890) abbreviation: 20c coll. -->1953 15 M A29 Thames DHS 23 IMPOS [3 occurrences] -->1953 14 M A2 Thames DHS 23 IMPOSITIONS -->1953 14 M A16 Thames DHS 23 IMPOSITIONS (IMPISETIONS)"
improv,,noun,,improvisation,,,,[none],,[none],,,
improve,,verb,,Sc. land.,,,,[none],,[none],,,
improve,,noun,,Phr.: on the improve.,[none],,,[none],,[none],,,
improved,,adjective,,Of land,[none],,,[none],,[none],,,
Improved Farm Settlement Scheme,,noun,,,,,,[none],,[none],,,
improvement,,noun,,,,,,[none],,[none],,,usu. pl.
improvements,,noun,1,"[land valuation and rural real estate] buildings, fences, pastures or water supply that add value to land.",[none],,,Rural,Farm Words,[none],,,
imputation,,noun,,,,,,[none],,[none],,,
imshi,,verb,,,[none],,,[none],,[none],,,
imshi,,exclamation,,clear off!,,,,[none],,[none],,,1953 16 M A32 Thames DHS 6 IMSHI
in,,adverb,,(of a school) with classes in progress,[none],,,[none],,[none],,,"Sc. and NZ 1812, 1895 Sc 1940 NZ Sarg. I vi 40.]"
in (the) big t,,phrase,,in big trouble (said often ironically),[none],,,[none],,[none],,,"1979 Wellington slang`You'll be in for the Big T when you get home.'[EMO notes I have only heard `You'll be in Big T', without `the'.]"
in a box,,phrase,,"in a state of confusion, a confused state of mind",[none],,,[none],,[none],-,,
in a gig,,phrase,,?in a moment; ?in a hurry.,[none],,,[none],,[none],,,
in behind,,phrase,,(of a working dog) at heel,[none],,,[none],,[none],get in behind,,-
in,,adverb,,in milk,[none],,,[none],,[none],,,ca1900 Havelock (W.H.B. Orsman) The cow will soon be in.
in frame,,phrase,,,,,,[none],,[none],,,(cf frame-house)
in front,,phrase,,in the front country,[none],,,[none],,[none],,,
in hand,,phrase,1,[farm stock] gathered close together under tight control of shepherd/musterer and dogs.,[none],,,Rural,Farm Words,[none],,,
in hand,,phrase,,,[none],,,[none],,[none],,,
in Moscow,,phrase,,"in pawn, in hock",[none],,,[none],,[none],,,
in one foul swoop,,phrase,,an (appropriate?) alteration of `in one fell swoop',[none],,,[none],,[none],,,
in paddock,,phrase,1,[stock sales] on the farm.,[none],,,Rural,Farm Words,[none],,,
in pod,,noun,,pregnant (also poddy adj.),[none],,,[none],,[none],,,
in profit,,phrase,,(of cows) in milk,[none],,,[none],,[none],,,
in shitter's ditch,,phrase,,in trouble,[none],,,[none],,[none],,,
in smoke,,phrase,,in hiding,[none],,,[none],,[none],,,
in soak,,phrase,,"in pawn, common ca 1900-1920",[none],informal,dated,[none],,[none],,,
in stack,,phrase,1,[of a crop] stooked and stacked.,[none],,,Rural,Farm Words,[none],,,
in the air,,phrase,,,,,,[none],,[none],,,
in the blue,,phrase,,,[none],,,[none],,[none],,,
in the blue,,phrase,,on strike,[none],,,[none],,[none],,,
in the boob,,phrase,,,[none],,,[none],,[none],,,
in the box,,phrase,,"in the bag, settled, `wrapped up'.",[none],,,[none],,[none],,,ca1945
in the box,,phrase,1,[of a bitch on heat] kept in a kennel away from other dogs.,[none],,,Rural,Farm Words,[none],,,
in the box,,phrase,2,carrying out the role of dog trial judge.,[none],,,Rural,Farm Words,[none],,,
in the box seat,,phrase,,"on top of the situation, in a favourable position; having the upper hand; sitting pretty",[none],,,[none],,[none],,,also on the box seat (in... now the usual form?)
in the cactus,,phrase,,"in trouble, in difficulties, in an awkward situation",[none],,,[none],,[none],,,"1951 16+ M 32 St Mary's, Wgton 30B CACTUS, IN THE CACTUS -(phs influenced by the phrs in the cack, in the poop, of similar meaning: cf cack-handed `awkward'). Cactus was the code name of Guadalcanal which was a very rough and remote place to be during most of the war; therefore `up in the Cactus' had a particular aptness'. (?Were the code names given by US or British authorities.) (Cf cactus stove, and compare North African equivalent Benghasi burner.) There was some contact between men in the Islands and men in North Africa (cf coconut bombers). If `in the cactus' was revived (or even recoined) in the sense `remote place, boohai, could it not become associated with the other sense (2), and a similar sense of <i>boohai</i> `up the shoot ; awry ; askew ; in the shit'."
in the cart,,phrase,,,,,,[none],,[none],,,
in the chair,,phrase,,at one's turn to shout drinks,[none],,,[none],,[none],,,
in the clag,,phrase,,"in trouble, in the cart (?= in the shit).",[none],,,[none],,[none],clag,,ca1940 J.B. Weir (Wellington)
in the dogbox,,phrase,,in trouble or excommunicated.,[none],informal,,Rural,Farm Words,[none],,,
in the grease,,phrase,1,[fleece-wool] unwashed.,[none],,,Rural,Farm Words,[none],,,
in the gun,,phrase,,"out of favour, in line for punishment.",[none],,,[none],,[none],,,ca1930 W.H.B. Orsman `He's in the gun all right. He'll get it.'
in the hand,,phrase,,,[none],,,[none],,[none],,,"1933 cit. in the hand, of a project or suggestion etc., already done."
in the hands of,,phrase,,"mortgaged to, tied to, owing money to (Stock and Station agents) [ie. one's wool business has to go through the firm which holds the mortgage].",[none],,,[none],,[none],,,
in the leather,,phrase,1,horseback riding with a saddle.,[none],,,Rural,Farm Words,[none],,,
in the lurch,,phrase,,'in the lurch & behindhand (at)': backward (at).,[none],,,[none],,[none],,,"(? obs) Nf OED, P: [OEDS-OED check"
in the north,,phrase,,,,,,[none],,[none],,,
in the nuddy,,phrase,,in the nude,[none],,,[none],,[none],,,
in the pigskin,,phrase,1,riding on horseback with a saddle.,[none],,,Rural,Farm Words,[none],,,
in the poo/pooh,,phrase,,,[none],,,[none],,[none],,,
in the rats,,phrase,,in the dingbats; drunk,[none],,,[none],,[none],,,
in the shingle,,phrase,1,[high country mustering] on the high rocky tops.,[none],,,Rural,Farm Words,[none],,,
in the spud queue,,phrase,,pregnant,[none],,,[none],,[none],,,"nf. P -->ca1944 Navy, mainly ships of the Chatham Division (L. Cleveland) -"
in the squat,,phrase,,"[hill workers] in a sheltered, shaded resting place [from the posture adopted by rabbits].",[none],,,Rural,Farm Words,[none],,,
in the wool,,phrase,1,[sheep] full-woolled or unshorn.,[none],,,Rural,Farm Words,[none],,,
in to the Cobb,,phrase,,,[none],,,[none],,[none],,,(Contrast out (of).)
in tow with,,phrase,,in a relationship with,[none],,,[none],,[none],,,
in-back,,adverb,,,,,,[none],,[none],,,
in-shed,,adverb,,[of meetings or sales] in a woolshed.,[none],,,Rural,Farm Words,[none],,,adjectival use also in citation below
ina-ina,,noun,,,[none],,,[none],,[none],hinahina.,,
inacke,,noun,,a prison (cf modn use of hinaki for prison).,,,,[none],,[none],,,
inaka,,noun,,"Southern spg inanga, form and commonest spg of <i>inanga</i> n2.. Dracophyllum spp., the usual South Island (Kai Tahu); the grass-tree.",,,,[none],,[none],,,
inaka,,noun,,,[none],,,[none],,[none],,,
inaka,,noun,2,,,,,[none],,[none],,,
inanga,,noun,,"<i>Galaxias maculatus</i>, a kind of whitebait",[none],,,[none],,[none],,,
inanga,,noun,,"1. <i>Whitebait</i>, the adult of the minnow, <i> Galaxias attenuatus </i> (also the fry), and the fry of the smelt, <i> Retropinna retropinna.</i> <i> Galaxias </i>.: a freshwater fish whose young are netted as whitebait [Maori]; usu. applied to small freshwater fish of <i> Galaxias </i> spp. or <i> Retropinna richardsoni </i> (smelt) the fry of which comprise New Zealand whitebait. [Give English pron: rhyming with hanger, anger, or hunger cf. Inanangahua.]",[none],,,[none],,[none],,,"(In the SI Ma. dial. often spelled <i>Inaka</i>, pronounced [i:naka].) *Ma. <i>I[i]nanga, inanga</i>, W.77 I[i]nanga, inanga. *... Maoris distinguish between inanga papa, a variety of smelt, <i> Retropinna </i>, and <i> inanga tu[u]tuna </i>, a spotted variety of minnow."
inanga,,noun,2,whitebait,Maori,,,[none],,[none],,,"also inaka, enaki"
inanga,,noun,3,"a whitish variety of greenstone, jade, or nephrite.",[none],,,[none],,[none],,,incl attrib
inanga tutuna,,noun,,,[none],,,[none],,[none],,,re whitebait
inau,,noun,,,,,,[none],,[none],,,"If this is whitey-wood =mahoe, inau is prob. a mistake or mishearing or local misuse of hinahina; but the word is phs confused with hinau [check whether hinau is a bucket of water wood. Whitey-wood certainly burns. There is (Williams) a Ma. inaho glossed merely as `a shrub'. I think RH has got this well mixed up as she has with marae."
inbred half bred,,noun,1,a New Zealand-bred cross of Merino with other breeds [to enhance both wool and meat production in the one breed.],[none],,,Rural,Farm Words,[none],,,
inbred halfbred,,adjective,,,[none],,,[none],,[none],halfbred,,
incendiary,,noun,,,[none],,,[none],,[none],,,"rare, obsolete"
incense-plant,,noun,,,,,,[none],,[none],,,
incentivisation,,noun,,,,,,[none],,[none],,,
incentivise,,verb,,,,,,[none],,[none],,,
inch and pinch,,noun,,the Gallipoli Peninsula,[none],,,[none],,[none],,,[OEDS.] ?Reversed from gen. Eng.; or fancifully from `Pen-inch-chula'.
incident car,,noun,,,[none],,,[none],,[none],,,Internet search Jan 2006: NZ 15 hits. Australia (1 hit); used also UK.
incline,,noun,,A slanting shaft.,,,,[none],,[none],,,
incorporated society,,noun,,"a legal entity consisting of an association of at least 15 persons not associated for gain, and registered.",[none],,,[none],,[none],,,"Jim Cameron writes : See Incorporated Societies Act 1908. The name of such a society ends in ""Incorporated"" or ""Inc."""
incorporation,,noun,,the consolidation of customary titles to Maori freehold land,,,,[none],,[none],,,"Jim Cameron writes : The definition in DNZE seems defective (cf my comment on <i>Maori land</i>). It refers to 'the consolidation of customary titles of the Maori owners"" but as the citation from the Native Land Act shows what was (and is) consolidated are titles to <i>Maori freehold land</i>. The incoporation originated with the Native Land Court Act 1894, and according to Smith, <i>Maori Land Corporations </i> (1962) its original purpose was to facilitate the alienation of Maori land. Also <i>Maori incorporation</i>, a variant I could not find in DNZE."
incubator,,noun,,a conglomeration of related industries,,,,[none],,[none],,,
inculturation,,noun,,,,,,[none],,[none],,,
independent,,adjective,,self-sufficient,,,,[none],,[none],,,Independent.-Caring little whether the boss is pleased or not
Independent Crown Entity,,noun,,,[none],,,[none],,[none],,,
Independent Mounted Rifles,,noun,1,"a wartime surveillance service [formed of owners and managers of large farms and stations, particularly those located on the sea coast.]",[none],,,Rural,Farm Words,[none],,,
indexation,,noun,,,,,,[none],,[none],,,
Indian,,adjective,,Maori,[none],,,[none],,[none],,,hist.
Indian corn,,noun,,,[none],,,[none],,[none],,,Among NZ vegetables
Indian,,noun,,an 18th century English name for a Maori.,[none],historical,,[none],,[none],,,
Indian hemp,,noun,,,[none],,,[none],,[none],,,Cf hemp-bush.
Indian knotweed,,noun,,,[none],,,[none],,[none],,,
Indian path,,noun,,a Maori track,[none],historical,,[none],,[none],,,
Indian salicornia,,noun,,Salicornia australis.,[none],,,[none],,[none],,,
Indian shot,,noun,,canna,[none],,,[none],,[none],,,
Indian strawberry,,noun,,,[none],,,[none],,[none],,,
indicator,,noun,,an attachment to a fishing line to show where the line is,,,,[none],,[none],,,
indigenised,,adjective,,more like the indigenous people,,,,[none],,[none],,,
indigenous,,adjective,,(of flora etc.) native,[none],,,[none],,[none],cf. native,,
indigenous cringe,,noun,,,[none],,,[none],,[none],,,
indigenous,,adjective,,native to New Zealand,[none],,,[none],,[none],,,
indigenous whaling,,noun,,whaling by indigenous peoples,[none],,,[none],,[none],,,
indigo,,noun,,the Darling pea,,,,[none],,[none],,,
industrial school,,noun,,,[none],,,[none],,[none],,,
infant school,,noun,,,[none],,,[none],,[none],,,
infill,,adjective,,,[none],,,[none],,[none],,,
infill house,,noun,,,[none],,,[none],,[none],,,
infill housing,,noun,,,[none],,,[none],,[none],,,Probably not a solely NZ term except possibly in the sense of building a second house on an existing section.
inflatable,,noun,,a rubber inflatable boat,,,,[none],,[none],,,
inflation,,noun,1,an inflation tube on a milking machine.,[none],,,Rural,Farm Words,[none],,,
inflation,,noun,,"the moulded rubber insert used in a milking machine ""cup""",[none],,,[none],,[none],,,
influence in the right quarter,,phrase,,,,,,[none],,[none],,,
informal,,adjective,,,,,,[none],,[none],,,
informal vote,,noun,,a spoilt voting paper; an invalid or irregular vote,[none],,,[none],,[none],,,cf. Davin gloss
informality,,noun,,informal voting,[none],,,[none],,[none],,,
information hui/information-sharing hui,,noun,,a meeting to inform stakeholders of news or changes in policy,[none],,,[none],,[none],,,refer to hui
infringement notice,,noun,,notice of an infringement requiring the offender to pay an <i>infringement fee</i> or go to court.,[none],,,[none],,[none],,,"Jim Cameron writes : The scheme now applies eg to minor traffic, litter, liquor, and resource management offences."
infringement offence,,noun,,"a minor offence which carries an ""instant fine"" procedure, with the right to challenge the fine in court.",[none],,,[none],,[none],,,"Jim Cameron writes : The concept originated in a special procedure (1957) for minor traffic offences. The scheme now applies eg to minor traffic, litter, liquor, and resource management offences."
ingleside,,noun,,"a dance with a band, less formal than a ball, to which a woman might wear a long skirt and blouse as opposed to a ball gown, There might be country dancing.",,,,[none],,[none],,,Heather Murray says not met with outside Marlborough
ini-ini,,noun,,whitey wood,,,,[none],,[none],hinahina,,
inini,,noun,1,"[Ma] a native NZ tree hinahina or mahoe, Melicytus ramiflorus.",[none],,,Rural,Farm Words,[none],,,
ink,,noun,,drink,,,,[none],,[none],good ink,,
ink cap,,noun,,,[none],,,[none],,[none],,,
ink cap fungus,,noun,,,[none],,,[none],,[none],,,
ink fungi,,noun,,,[none],,,[none],,[none],ink cap fungus,,
ink spot,,noun,,,[none],,,[none],,[none],,,(opossum fur trade)
ink-plant,,noun,,"Coriaria [Sarmentosa] , tutu.",,,,[none],,[none],,,
ink-plant,,noun,2,,,,,[none],,[none],,,
inkberry,,noun,,"(obs) <i>Coriaria sarmentosa</i>, tutu (see ink-plant for discussion).",,,,[none],,[none],,,
inked (up),,adjective,,drunk,[none],informal,,[none],,[none],,,
inkspot,,noun,,a dark patch of fur on a possum skin.,[none],,,Rural,Farm Words,[none],,,
inkspots,,noun,,measles,,,,[none],,[none],,,1951 14 M 10 Wellington H.S. 31 INK SPOTS (=MEASLES IS)
inkweed,,noun,,,,,,[none],,[none],,,
inkweed,,noun,1,"a poisonous weed, <i>Phytolacca octandra</i>.",[none],,,Rural,Farm Words,[none],,,
INL,,abbreviation,,Independent Newspapers Ltd,[none],,,[none],,[none],,,
inland,,adjective,,,,,,[none],,[none],,,
Inland Patea blight,,noun,,,[none],,,[none],,[none],,,
inland port,,noun,,an inland container-gathering point,[none],,,[none],,[none],,,
Inland Revenue,,noun,,,[none],,,[none],,[none],,,
inland tern,,noun,,,[none],,,Environment,,[none],,,
