Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
J class,Jun 2004,North & South,,84,,J class locomotives were lighter weight and less coal hungry than the powerful Ks and could run on lighter regional lines.,
J-Force,"May 7, 1947",NZ Observer,,9,,New Zealand's J-Force is to be cut from 4200 to 2400 men.,
J-Force,1984,Red Coat to Jungle Green,BARBER,127,,"[Freyberg] recommended that the New Zealand Jayforce should be basically voluntary in composition but with the gaps filled by concripts... Jayforce was reduced to 4000 all ranks - to be mainly military, with an artillery, engineer, medical, ordinance, signals and provost support.",
J-Force,"Dec 2, 1953",NZ Truth,,19,,[Hdg] Kayforce & Jayforce.,
J-Force,"Oct 9, 1945",Documents Relating to the Second World War,,2/445,,"Jayforce is coming into being on or about 15 October and it will be built up and organised in the course of two months. ... In view of your desire for leave to England for Jayforce personnel, we are arranging to send ... .",1945 Oct 9 Freyberg to Prime Minister in 1951 Documents
J-Force,Mar 1951,Here & Now,,9,,"The New Zealand contingent in Korea is not large. It was spoken of as a `token' force. And if it were mainly serving, as J-Force did, as occupation and police troops, it would not matter much to us ...",
J-Force,1984,Red Coat to Jungle Green,BARBER,126,,Before the close of August 1945 the New Zealand Government to contribute to the Commonwealth [occupation] force ... This was to be Jayforce.,
J-Force,1986,"WAAC Story, The",LATHAM,44,,Thirty six WAAC posted to 6GH went to Japan with `J' Force on 15 December 1945 as part of the Occupational Force there. <i>Ibid.</i> 188 Some of the Sisters and Nurses from there came on with us to Florence where Jay Force was formed.,
J-Force,"Jun 20, 1947",Dominion,,8,,The 2 NZEF Association in his town had stated that it would accept J-Force soldiers as members because the R.S.A. would not.,
J-Force,"Jun 20, 1947",Dominion,,8,,J-Force.. suffered from an inferiority complex because its members felt they did not have the backing they should.,
J-Force,"Jun 20, 1947",Dominion,,8,,The 2 NZEF Association in his town had stated that it would accept J-Force soldiers as members because the R.S.A. would not.,
jabarama,"Oct 22, 2005",Dominion Post,,A1,,[heading] Jabaramas to get teens vaccinated,
jabber and jaw,1984,Blackball 08,BEARDSLEY,244,,jabber and jaw chatter and idle talk,Glossary
jabber yabber,1916,"Wowser, The",THORNTON,39,,I can't stand any more of this jabber yabber.,
jabberjockey,"Jan 25, 1993",Dominion,,8,,"This follows partly from the elevation of the jabberjockeys to the status of ""personalities"", who must woo, then massage their publics.",
jack,"Dec 13, 2003",Dominion Post,,E10,,"I cast a small dry fly to it and it took hungrily before tracing a week arc through the pool and stopped at my feet, a dark slabby jack, all jaw and head, with a skinny tapering body. A fish at death's door, spent with the trials of spawning.",
Jack and Jill,1946,There Was Gold,MILLER,31,,... and he never up went the hill. It was always up the Jack and Jill.,[ca1932]
Jack and Jill,1982,"Big Huey, The",NEWBOLD,249,,JACK AND JILLS (n) Pills.,glossary
jack diver,"Sep 3, 1910",Otago Daily Times,,14,,"The seabirds known to the keepers as ""jack divers"" is [sic] a little black-plumaged bird, with remarkable powers of diving.",
jack,1988,Tales of Pioneer Women,,211,,The joint was hung on a jack and was kept turning while the fat was caught in a pan below.,Writing of 1940
jack,1974,Australian & NZ English [TS],SYDER & HODGETTS,584,(1962-63),"[? not used in New Zealand] To be aware of the `snags' or hidden pitfalls. .in 4;`The gears slip, out it didn't worry me. After I'd driven it a while I was jack to that.'",
jack,1982,MAF Agricultural Glossary,,48,,Stag (or Jack): Adult male turkey.,
jack,"Oct 7, 1963",Evening Post,,14/1-3,,"These two well-fleshed brown trout, male (jack) on the right and female (hen) on the left, could not have been paying attention to the hazards of the Hutt River. OED sb'30; W3 4a (4) a young male fish) .",
jack,"Oct 17, 1972",NZ Truth,,7/1,,"Look at your divorces, most of which are the result of the woman getting involved with some other guy, or the jack gets sick of fishing in the same pond.",
jack,1977,NZ Short Stories,,192,,"He re-fed the barrels and marched, jaunty with the big jack's long, black-tipped ears trailing behind him ... He felt the weight of the big jack as he walked. ... [193] Roy laid down the gun and the big jack hare, ...",Mincher (Lazy Sunday)
jack,1937,Dictionary of Slang,PARTRIDGE,432,,"Jacks, the. Military police: Australian and New Zealand military, 1914-18. (Very rare in singular.) See Jack, n., c. senses. -2. Hence, in New Zealand c. (- 1932), the police.",
jack,1949,Dictionary of the Underworld,PARTRIDGE,359,1961,"The police: New Zealand: since ca. 1910 Nelson Baylis, private letter of 1932. Cf. John, 6. -->P8:606 JACK ... a policeman (ca1865 Br) f. gen Aus s. ca1910[??]",
jack,"Apr 2, 1938","Press, The",,18,,"[In local criminal slang]. . . `the jacks' are policemen, ...",McNab NZ Slang
jack,1964,Collected Stories,SARGESON,301,,"jacks, johns: police.",1964 Pearson Glossary to 1964 Sargeson Collected Stories 1935-1963
jack,1946,That Summer,SARGESON,102,,A crowd of jacks in plain clothes.,
jack,1974,Maori Woman,HILLIARD,35,,You take presents from anyone else and it'll be your neck that gets screwed ... Especially from jacks.,
jack,1982,"Big Huey, The",NEWBOLD,249,,JACK (n) 1. Detective.,
jack,1926,Transport Workers' Song Book,,30,,"Quick, on with your coats - here's the `John'.",
jack,2001,Huia 4: Contemp. Maori Fiction,,125,,"Yeah, Mum says when she sees the cars up here she's gotta come up and have a jack.",
jack,1976,Loosehead Len's Bumper Thump Book,GIFFORD,7,,...the Bok fullback Buchler takes a jack at the pill ...,
jack,1984,Outside In,BEATON,74,,GINNY: Look who's talkin'. Yous should have a jack at her diary. ibid. Glossary 110 have a jack at: to take a look at.,
jack,1988,"Dictionary of Kiwi Slang, A",McGILL,62,,"jack a look; eg `Let's take a jack at this new bowler, eh?' - to organise or prepare; eg `I'll leave you to jack this crew, Jill, and I'll take the rest.' - jack of rid of or weary of; eg `Would I like to be jack of those little twerps!' c. 1890. NZA. - jack up to fix or renovate; eg `Can you jack up billets?' - to prop up; from a car jack; eg `If we can jack up this fence it might last a few more years.' NZA. - to raise, as in prices and wages; eg `I see this bloody government's jacked up taxes again.' NZA. - to be framed or put in trouble or deceived; from double-headed penny known as a `jack' in the game of two-up; eg `It's pretty obvious it's a jack up between the two leaders.'",
jack,1999,Shooting from the Lip,HUGHES,26,,"The term 'jack' had many applications in army-speak. The most all-encompassing definition of the word is that it described 'mild treachery'. One could 'go jack' on someone by refusing to agree to a reasonable request, or a person could 'be jack' just by being untrustworthy or selfish.",
jack,Dec 1998,Medjugorge News (NZ),,11,,We eventually made our respective ways back to St James' church.. and we walked about [Mejugorge] more or less sight-seeing and just being 'jack' (nosy).,
jack,Feb 2003,NZ Memories,,No. 40/8,,The Standard Jack lifted metal fence standards out of the ground in a quarter of the usual time.,
jack,1884,Rambles on the Golden Coast,REID,29,,This was not so ... with a more attractive little bird - `a crow' or a `jack'.,
jack,1982,"Big Huey, The",NEWBOLD,249,,JACK (n) ... 2. Prisoners' home brew.,Glossary
jack,1907,Plants of NZ,LAING & BLACKWELL,63,1940 p. 64,"The [kauri] logs are hoisted on to this road by means of `jacks,' or dragged by a team of [64] bullocks, anyhow, over and through the bush, breaking down the thick undergrowth as they pass.",
jack,1974,Australian & NZ English [TS],SYDER & HODGETTS,285,,">to be completely disgusted with a person or situation and break the connection. .in 4;`I was jack of that. Heat and flies all the time and expected to work with about half the tools you should have. I was there a month, then I gave notice.'",
Jack,1922,"NZ Wars, The",COWAN,1/209,,"A good-natured soldier ... hearing him moaning something which sounded like `wai' (water), was trying to make him drink ... saying, `Here, Jack, here's wai for you.' The soldiers always addressed the Maoris as `Jack', and the Maoris the soldiers as `Tiaki' also.",
Jack,1957,Strip Jack Naked,WILSON,15,,"'..can't stand a joke,' he said. `Can't stand a bit o' fun at all, you Limey Jacks can't.'",
jack,1901,NZ Illustrated Magazine,,V/374,,A track has to be formed over which logs can be jacked or dragged.,
Jack Johnson,"Jul 9, 1910",NZ Truth,,263/4/4,,"Now, however, that the pony craze is very much off in the Dominion, now that the bookmaker looks as if he is going to be `Jack Johnsoned' out of existence, the exodus from this country of criminals is alarming - according to the police of the Australian States.",
Jack Johnson,"May 12, 1915",New Zealander's Diary,WILLIAMS,116,,"One day whilst we were working on the beach, we had our first experience of a `Jack Johnson'. ... Suddenly, as with a whirr of wings ..., the thing dropped from the cliff behind us. Then came a deafening crash, a tree of yellow-black smoke ...",1915 May 12-19 Williams New Zealander's Diary (c1922) 116
jack jumper,"Mar 16, 1922",Auckland Weekly News,,15,,When he was a boy his mates and he knew members of that beetle's [sc. a native elator] family as Jack Jumpers.,
jack mackerel,"Aug 18, 2002",Sunday Star Times,,B8,,"Probably the most useful bait fish is the jack mackerel, also called yellowtail, or koheru although koheru are a different but similar looking fish.",
jack mackerel,1982,Collins Guide,AYLING,217,1984,"<i>JACK MACKEREL </i>(Horse mackerel) <i>Trachurus declivis ... </i>The other New Zealand mackerel <i>Trachurus novaezelandiae </i>which is indistinguishable from the jack mackerel unless examined closely, has been reported from south-east Asia and Japan as well.",
jack mackerel,1970,Nomenclature of NZ Fish,SORENSON,34,,"<i>MACKEREL</i> (two species) (a) Scientific name: (i) <i>Scomber australasicus </i>(ii) <i>Trachurus declivis</i>. (b) Suggested commercial name[s]: (i) Blue Mackerel (ii) Jack mackerel. (c) Other common names: (i) Common Mackerel, Frigate mackerel, English mackerel (ii) Horse Mackerel. (d) Principal localities where taken: (both) Gisborne, Nelson, Picton ...",
jack mackerel,1982,Two Hundred Years of NZ Food & Cookery,BURTON,77,,"Several species of jack mackerel are common all around the New Zealand coast, except in the south during winter months.",
jack mackerel,"Jul 23, 1986",Codes for Species in NZ Waters,,,,"[species name] jack mackerel .. [scientific name]<i> Trachurus declivis</i> t. NZ. .. [other name(s)] horse mackerel, horsies, mackerel scads",
jack mackerel,1986,NZ Fishes: An Identification Guide,PAUL,90,,"Jack mackerels <i>Trachurus novaezelandiae, T. declivis</i> ... Commonly called horse mackerel. The name jack mackerel is more appropriate and is applied to a number of related species of <i>Trachurus</i> throughout the world.",
Jack Maori,1864,Letters & Journals,ASHWELL,IV/487,,The Soldiers said well Jack Maori how do you do.,(obs. military)
Jack Nohi,2001,Stonedogs,MARRINER,55,,"'Dunno, bro. But I'm sure as hell gonna take a Jack Nohi.'",
Jack Nohi,2003,Huia 5: Contemp. Maori Fiction,,249,,"Mum said, 'Working?' first. You have to say that just in case somebody on the party line might be talking. If you don't say that and people are talking, they'll think you're listening in and they'll tell you off for being a Jack Nohi.",SS by Fay Williams called Uncle's Coming Home
Jack Nohi,"Feb 24, 2001","Press, The",,B19,,"Working white male New Zealand [sic] leans into the breeze for a jack nohi at two Maori wearing threadbare, black fisherman's-knit jerseys, Dirty Dog wraparounds, eruptions of sun-bleached hair, Beagle Boy patches over their shoulders.",
Jack Nohi,1988,"Dictionary of Kiwi Slang, A",McGILL,76,,"nohi nosey person, often Jack nohi; from Maori `kanohi', the face; eg `You bloody nohi, why don't you get on with your own work and leave me to do mine in peace and quiet.'",
Jack penguin,1957,Mr Explorer Douglas,PASCOE,286,,"There two varieties of this pre-adamite looking bird, the king or crested penguin which is the largest, and the jack which is much smaller and for more numerous. ... The jacks are captured in hundreds by the sealers who salt them down. [1957 f.n.] Crested Penguin (<i>Eudyptes pachyrhyncus</i>). The name `King Penguin' is not correctly used here. `Jack Penguin' = Blue Penguin (<i>Eudyptula minor</i>)",ca 1899 C Douglas Birds of Sth Westland in 1957 Pascoe MED
jack rations,1999,Shooting from the Lip,HUGHES,25,,"As a safety precaution, the army permitted soldiers to carry their own food to add to the ration packs. These were colloquially known as 'jack rations.'",
jack stud/jack rafter,1979,SANZ Glossary Building Terminology,,65,,Jack stud or rafter- A stud or rafter shorter than full length,
jack test/Talobre jack test,Dec 1964,Geological Society of NZ Newsletter,,15/4,,"About 9 rock-jacking tests have so far been made at Benmore. ... He expressed the opinion that Talobre jack tests, or the equivalent tests, will certainly become compulsory on major hydroelectric sites.",
jack up,"Apr 19, 1943",NZEF Times,,II/95 : 6,,They did a national service in jacking this racing up.,
jack up,"May 10, 1943",NZEF Times,,II/98 : 5,,"The footballer excells [sic] at the cake counter on Friday nights when a very fair scrum is often, in Army language, ""jacked up.""",
jack up,"Apr 19, 1943",NZEF Times,,II/95 : 6,,They did a national service in jacking this racing up.,
jack up,"May 10, 1943",NZEF Times,,II/98 : 5,,"The footballer excells [sic] at the cake counter on Friday nights when a very fair scrum is often, in Army language, ""jacked up.""",
jack up,"Oct 18, 1943",NZEF Times,,III/121 : 11,,"The customer takes his place, the handle inserted [in the seat] and Lofty literally ""jacks up trade.""",
jack up,"Sep 25, 1944",NZEF Times,,IV/170 : 10,,I jacked up a bit of a party.,
jack up,"Jul 16, 1942",NZEF Times,,II/55 : 6,,It's the heads... Why couldn't they jack it up to see if it was secure.,
jack up,"Dec 28, 1942",NZEF Times,,II/79 : 6,,"""Now what about a nice cup of tea? I'll jack it up for you."" ""No jacking up"", I said.",
jack up,"Aug 13, 1945",NZEF Times,,IV/216 : 5,,[Caption] 'Bout time you jokers jacked your ideas up.,
jack up,"Oct 12, 1942",NZEF Times,,II/68 : 6,,"Jack-up: a term meaning to achieve the apparently impossible or to bring order out of chaos; to arrange, inveigle, wangle or bolster up (a) Any transport (b) any alibi (c) leave (d) ED pay - usually without the prior knowledge or consent of authority.",
jack up,"Nov 12, 1942",NZEF Times,,II/71 : 5,,"They jacked him up a fence of TNT, garnished with gelignite.",
Jack's-come-home,1929,Bonzer Jones,SMYTH,41,,"The `tucker' was a bit rough, and I classed [the hotel] as a `Jack's-come-home'.",
Jack's-come-home,1937,Vintage Murder,MARSH,,,,
jack-hand,1924,That Gibbie Galoot,Gibson,66,,"...his fellow axemen, the dexterity of his fellow jack-hands.",
