Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
J class,,noun,,a generally used class of NZ steam locomotive,[none],,,[none],,[none],,,
J-Force,,noun,,,,,,[none],,[none],,,See Stevens Problems of 2NZEF. -->? 194?
jabarama,,noun,,a vaccination campaign,[none],,,[none],,[none],,,Google search Mar 2006: only NZ citations found(4).
jabber and jaw,,phrase,,,,,,[none],,[none],,,
jabber yabber,,noun,,"Irritating meaningless talk, cf yacker @n.",[none],,,[none],,[none],,,Reduplication and rhyme on jabber @v (OED 1
jabberjockey,,noun,,a radio talkback host,,,,[none],,[none],,,
jack,,noun,,a spent male fish,[none],,,[none],,[none],,,
Jack and Jill,,noun,,a (small) hill,[none],,,[none],,[none],,,rhyming slang
Jack and Jill,,noun,2,"(prison rhyming slang) Mainly pl, pills",[none],,,[none],,[none],,,
jack diver,,noun,,,[none],,,[none],,[none],,,
jack,,noun,4,,,,,[none],,[none],,,
jack,,adjective,,"to be jack, to be aware (this is purely Aust.: check and prob. delete).",,,,[none],,[none],,,
jack,,noun,3,,,,,[none],,[none],,,(cf US tom-turkey).
jack,,noun,,,,,,[none],,[none],,,
jack,,noun,,,,,,[none],,[none],,,
jack,,noun,2,"[EDD 6 Police officer or detective in plain clothes. War. Part. : Jack : cant ca 1865, becoming genl. Austr. sl. ca 1910 pl. Jacks 1. Milit Police Austr and NZ Military 1914-1918 (very rare in sg) 2. hence in NZ cant `the police' - 1932.] W Ramson: phs. in Aust, I think : usual word John, applied to institutional inspectorial officials, esp. if uniformed.",[none],,,[none],,[none],,,"Usu. the jacks (pl.), not freq. and often humorous, = police (man) (cf John)."
jack,,noun,,a tram inspector,[none],,,[none],,[none],,,ca1950 Wellington F.M. O Brien
jack,,noun,3,"A look: `have a jack at this'; have a jack at, to have a look at, cf jack nohi.",[none],,,[none],,[none],,,"(?mainly prisoners') (informal) ->1981 Feb Avondale College (Auckland) Slang Words in Use (Goldie Brown Collection) give us a jack: ?perve =?look (?or = masturbate) ca1985 Auckland Tui O'Sullivan Adolescents, particularly young Maoris, occasionally say jocularly have a haki."
jack,,noun,,,[none],,,[none],,[none],,,
jack,,adjective,,nosy,[none],,,[none],,[none],,,
jack,,noun,,,[none],,,[none],,[none],,,
jack,,noun,,"(? West Coast) (native) crow (usu. saddleback, cf jackbird).",,,,[none],,[none],,,
jack,,noun,6,,,,,[none],,[none],,,(prison slang)
jack,,noun,,,[none],,,[none],,[none],"also timber-jack, screw-jack",,
jack,,adjective,,,[none],,,[none],,[none],,,[AND (1889) Jack of 1892] this may be purely Aust: if so delete (also at X-ref jack off).]
Jack,,noun,,"In address or ref. (nickname). a. (hist, between combatants in NZ Wars) Cf WW1 and WW2 George, Jack Maori, and use of Jacky.",[none],,,[none],,[none],,,
Jack,,noun,,,[none],,,[none],,[none],,,
jack,,verb,,,[none],,,[none],,[none],,,(bushmen's)
Jack Johnson,,verb,,,,,,[none],,[none],,,
Jack Johnson,,noun,2,,,,,[none],,[none],,,(WW1 Gallipoli)
jack jumper,,noun,,,[none],,,[none],,[none],,,
jack mackerel,,noun,,,[none],,,[none],,[none],,,
Jack Maori,,noun,,,[none],,,[none],,[none],also Jack,,
Jack Nohi,,noun,,"A nosey parker; a look-round, a squiz ?jack a look + nohi nosy (rhymes boy or nor he); see also nohi.",[none],,,[none],,[none],also jack,,"ca1987 p.c. Peter Janssen, Heinemann: heard at Huntly (among other North Island places) Known also to P. Ranby, Auckland. What are you doing. I'm having a Jack nohi (meaning: I'm having a look, a poke round; being nosey). What's that over there. Let's go and have a Jack nohi. ca1940's-1950's North Auckland (p.c. Barry Mitcalfe 1951) A regular (Jack) Nohi."
Jack penguin,,noun,,"the blue penguin, Eudyptula minor.",[none],,,[none],,[none],,,
jack rations,,noun,,,[none],,,[none],,[none],,,
jack stud/jack rafter,,noun,,,[none],,,[none],,[none],-,,"1989 Charles Ransom notes: Jack stud or rafter - While these terms were not found elsewhere, OED notes use of jack ""as denoting things that are smaller or lighter than the real ones"" and there are several such constructions."
jack test/Talobre jack test,,noun,,geol. test type,[none],,,[none],Geology,[none],,,
jack up,,verb,,"to arrange, engineer, wangle (cf. jack-up n.); to rebuild, fix up, reorganise, etc.",[none],,,[none],,[none],,,
Jack's-come-home,,noun,,a rough hotel or boarding house,[none],,,[none],,[none],also Jacks,,(theatrical)
jack-hand,,noun,,a jacker,[none],,,[none],,[none],,,(sawmilling)
jack-spear,,noun,,the spear of a timber-jack or screw-jack,[none],,,[none],,[none],,,(sawmilling)
jack-up,,noun,,"a trick, a wangle, an underhand deal.",[none],,,[none],,[none],jack up v.,,-
jack-up parade,,noun,,a smartening up parade.,[none],,,[none],,[none],,,
jackass bird,,noun,,"?=jack--> n2., jack penguin.",[none],,,[none],,[none],,,(sailors')
jackass fish,,noun,,,[none],,,[none],,[none],,,
jackberko,,noun,,,[none],,,[none],,[none],,,Central Otago
jackbird,,noun,,,,,,[none],,[none],,,
jackboard,,noun,,,,,,[none],,[none],,,
jacked-up,,adjective,,"arranged (surreptitiously), wangled; contrived, (cf. jack up).",[none],,,[none],,[none],,,
jacker,,noun,,,,,,[none],,[none],,,(sawmilling)
jacker,,noun,2,Boyfriend,,,,[none],,[none],,,1953 14 M A14 Thames DHS 28 JACKER
jackeroo/jackaroo,,noun,,,[none],,,[none],,[none],,,
jacket,,noun,,,,,,[none],,[none],coat,,
jacketting,,noun,,,[none],,,[none],,[none],,,
jackfish,,noun,,,,,,[none],,[none],,,Cf also <i>jack</i> n1..
Jackie Howe,,noun,,,[none],,,[none],,[none],,,"(shearers') also (below) Jacky Howe, Jackey Howe"
jacking-up,,noun,,"arranging, wangling",[none],,,[none],,[none],,,1953 Wellington There seem to be far too many jackings-up going on for the thing [election] to be fair.
jacking-up,,noun,2,"a fixing-up, a rark-up?",[none],,,[none],,[none],,,cf. jack up v.
jackknife,,noun,,the game stagknife,[none],,,[none],,[none],,,
Jacko,,noun,,"a Turk(ish soldier), Turkish soldiers collectively",[none],,,[none],,[none],,,WWI (from Johnny Turk)(cf. Jacky)
Jacko,,noun,,a German,[none],,,[none],,[none],,,
jacko,,noun,1,"a possum, Trichosurus vulpecula.",[none],,,Rural,Farm Words,[none],,,
jackrats,,noun,,unofficial rations,[none],,,[none],,[none],cf. jack rations,,
jackroll,,verb,,,[none],,,[none],,[none],,,
Jacks,,noun,,= Jack's-come-home (used as sg).,[none],,,[none],,[none],,,
jackson,,noun,,behind,,,,[none],,[none],,,
Jacksonville,,noun,,Seatoun/Miramar,[none],,,[none],,[none],,,
jacky,,noun,,"buttocks, jacksy.",[none],,,[none],,[none],-,,
Jacky,,noun,2,a Boer (cf. Jack (Maori)); poss. influenced by rhyme with Jacky Raw; and also common use of jack : Jack tar; =police etc.,[none],,,[none],,[none],,,
jacky,,noun,4,red-billed gull,[none],,,[none],,[none],,,(Chatham Islands)
Jacky,,noun,,= Jacko q.v.,[none],,,[none],,[none],,,(?WW1 Gallipoli)
jacobaea,,noun,,,[none],,,[none],,[none],,,
jade,,noun,,"Either of two types of hard, usually green, fine-grained minerals, used as an ornamental stone or in jewellery; in New Zealand formerly, now occasionally, applied to greenstone; =greenstone.",,,,[none],,[none],also jadeite,,
Jade,,noun,,"short for Jade Stadium, the former Lancaster Park sports stadium in Christchurch (to 2006? only)",[none],,,[none],,[none],,,"also Jade Stade, National Radio discussion, 23/06/2005"
jadeite,,noun,,Occas. used for greenstone (but is not greenstone check).,,,,[none],,[none],,,
Jafa,,noun,,an Aucklander (acronym of Just another f***ing Aucklander),acronym,informal,derogatory,[none],,[none],,,cf. jaffa (Jaffa spelling is found)
Jafa City,,noun,,Auckland,[none],informal,,[none],,[none],Jafa,,
Jafa-bashing,,noun,,criticism of Aucklanders,[none],informal,,[none],,[none],,,
Jafadom,,noun,,,,,,[none],,[none],,,
Jafaland,,noun,,Auckland,[none],,,[none],,[none],,,
Jafanese,,adjective,,of or from Auckland,[none],,,[none],,[none],Jafa,,
Jafaphobia,,noun,,dislike of Aucklanders,[none],,,[none],,[none],,,
Jafastani,,noun,,an Aucklander,[none],,,[none],,[none],,,slang
jaffa,1,noun,,an orange-coloured candy ball with a centre of chocolate,,,,[none],,[none],,,
jaffa,2,noun,,a slow ball,,,,[none],,[none],,,
jaffa-rolling,,noun,,,[none],,,[none],,[none],,,
Jaffaphobe,,noun,,person who dislikes Aucklanders,[none],,,[none],,[none],,,note double f in spelling (cf. Jafa and Jafaphobia); 'triangle' in citation is what?
Jaffaville,,noun,,Auckland,[none],,,[none],,[none],,,
jag,,noun,,"party, esp. booze-party, =booze session [not drug], see also on the (drunk).",,,,[none],,[none],,,
jag,,verb,,,[none],,,[none],,[none],,,-->[OEDS2 - [Sc. North Eng and US dial.] sense nf S/1.] [P8: (610) Jag v. 3. To depress; get on the nerves: NZ: 19C - earlier 20C. GB Lancaster Sons O' Men 1904.] -->1957 Frame Owls Do Cry 17
jagged,,adjective,,Exhausted.,[none],,,[none],,[none],,,"ca1945 (R. Mason) esp. trampers' (? rhyme on fagged, shagged, + on the jag)"
jagging,,noun,,,[none],,,[none],,[none],,,
jaipay/Jay Pay,,noun,,a JP,[none],,,[none],,[none],,,
jake,,adjective,2,"The usual expression in NZ: be jake, chiefly constr: she's jake, she'll be jake, etc. -->(? 1918) 1933 Acland All right, comfortably placed (since 1918?)",,,,[none],,[none],,,1981 Auckland Secondary Teachers College(Goldie Brown Collection) she'll be jake
