Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
K engine,"May 4, 1938",Auckland Weekly News,,10,,it is a pity you did not have a K engine.,
K,"Jan 14, 1899",Sydney Bulletin,,(Red Page),,"(Letter from<i> Loafer</i>, Tauranga) [Bill Pearson] Following are other local money-names ... 5s. piece - <i>caser K</i> or <i>bull ... </i>",
K Gorge,1996,NZ Whitewater,,pp 174,,"With its huge boulders mid river, K' Gorge is unlike many waterways in the north, providing not only interesting whitewater, but also a playground for practising eddy turns and other stuff!",Karangahake Gorge is located south of Auckland and about 10 minutes before you reach Waihi. K Gorge has some of the North Island's best rock climbing...(from the net)
K Road,"Jun 1, 2002",Listener (New Zealand Listener),,56,,"Auckland's K Rd Friday night-life wandered into St Kevin's Arcade - the venue for <i>Polished Up!</i> - not to tarnish performance, but to add dimension.","also as K-Road/Rd, K'Road/Rd"
K Road,"Jun 22, 2002",Listener (New Zealand Listener),,47,,Alcohol - the effects thereof - is something of a theme on the K Rd Sunday walk.,
K Road,"Dec 16, 2000",Listener (New Zealand Listener),,57,,"They had stumbled, in their droves, right out of the nightclubs of K'Rd and the city.",
K Road,"Jan 22, 2000",Listener (New Zealand Listener),,44,,"There's a soft amber glow wafting out of Alleluya cafe, tucked away and out of sight on Auckland's seedy strip, 'K' Road.",
K Road,"Jun 3, 1986",Campus News,,20,,"Breaking more than sleep/ it came yellow, not gold/ slim as a K Road walker's skinny legs/ equally discomforting/ to us who lie alive/ in peace.","(Deborah Stone) (?K Road walker, a prostitute.)"
K Road,May 1987,Metro,,88,,You can buy both bat and ball from Samoa House in K Road ...,
K Road,1987,Metro Fiction,,88,,They were different from the usual K Road people.,
K Road,Nov 2005,North & South,,108,,"K Road's heyday was in the Victorian era when it was a major transport artery and terminus and <i>the place</i> to shop, backed by boom times and the spending power of the people in the new villa suburbs of Grey Lynn, Kingsland, Sandringham and Mount Eden.",
