Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
K,2,abbreviation,,,,,,[none],,[none],Kath(leen Mavourneen),,
K engine,,noun,,,[none],,,[none],,[none],,,
K,3,noun,,five shilling piece ?[kei].,[none],,,[none],,[none],,,
K,1,abbreviation,,the drug ketamine,,,,[none],,[none],,,Heard on radio NZ 24/09/02
K Gorge,,noun,,Karangahake Gorge,[none],,,[none],,[none],,,Karangahake Gorge is located south of Auckland and about 10 minutes before you reach Waihi. K Gorge has some of the North Island's best rock climbing...(from the net)
K Road,,noun,,short for Karangahape Road in Auckland,abbreviation,informal,,[none],,[none],,,"also as K-Road/Rd, K'Road/Rd"
K surface,,noun,,"key surface, geol",[none],,,[none],Geology,[none],,,
k'noath,,exclamation,,,[none],,,[none],,[none],,,1984 14 F E143Wgton Girls C. 35C FUCKEN OATH
K-Force,,noun,,,,,,[none],,[none],,,
KA,,abbreviation,,the largest steam locomotive used in NZ,,,,[none],,[none],,,
Ka Awatea,,noun,,1991 Government plan for Maori development,Maori,,,[none],,[none],,,
ka kite/ka kite ano,,exclamation,,see you later,Maori,,,[none],,[none],,,
"Ka Mate, Ka mate",,phrase,,(opening of) the traditional Maori haka,Maori,,,[none],,[none],,,
ka nui te pai,,exclamation,,"a rare elaboration of kapai, very good",[none],,,[none],,[none],,,
kaakaa,,noun,,???,[none],,,[none],,[none],,,
kaanga,,noun,,coloured corn,,,,[none],,[none],,,
kaanga wai,,noun,,= kanga pirau,Maori,,,[none],,[none],,,
kack-handed,,adjective,,,,,,[none],,[none],cack-handed,,
kackahow,,noun,,,[none],,,[none],,[none],kakahu,,
kadi,,noun,,,,,,[none],,[none],cady,,
kadoodie,,noun,,,,,,[none],,[none],,,
kaeaea,,noun,,,,,,[none],,[none],kaiaia,,
kaeio,,noun,,,,,,[none],,[none],kea,,
kaeo,,noun,,,,,,[none],,[none],,,
kaffir lily,,noun,,(introduced),[none],,,[none],,[none],,,
kaftan  brigade,,noun,,,[none],,,[none],,[none],,,
Kag-mag,,noun,1,"a very poor or potter sheep, worth slaughtering only for its by-products.",[none],,,Rural,Farm Words,[none],,,
kaha,1,noun,,strength,,,,[none],,[none],,,
kaha,2,noun,,= keha q.v.,[none],,,[none],,[none],,,
kahakaha,,noun,,,,,,[none],,[none],,,
kahawai,,noun,,"an Australasian marine food fish, Arripis trutta, resembling salmon (also called (native or sea) salmon, sea trout).",Maori,,,[none],,[none],,,
kahawai bird,,noun,,"a tern with forked tail and white breast, also called white fronted tern, sea swallow, tara",[none],,,[none],,[none],,,
kahawai hook,,noun,,,,,,[none],,[none],,,
kahawhai,,noun,,,,,,[none],,[none],kahawai,,
kahawhiti,,noun,,,,,,[none],,[none],,,
kaheru,,noun,,,,,,[none],,[none],,,
kahika,,noun,,a tree,,,,[none],,[none],,,
kahikatea,,adjective,,,[none],,,[none],,[none],,,attrib. <i>Dacrycarpus dacrydioides</i>
kahikatea,,[none],,,[none],,,[none],,[none],,,
kahikatea,,noun,1,an indigenous pine characterised by tall form and swampy habitat.,[none],,,[none],,[none],,,"<i>Dacrycarpus dacrydioides, </i> aka white pine, kaik, kike, kahika, koroi ..."
kahikatea pine,,noun,,,[none],,,[none],,[none],,,<i>Dacrycarpus dacrydioides</i>
kahikatoa,,noun,,"<i>Leptospermum scoparium</i>, manuka, tea-tree, katoa.",,,,[none],,[none],manuka,,
kahikatoa,,noun,2,??black oak,,,,[none],,[none],,,
kahikatoa,,noun,2,,,,,[none],,[none],,,
kahikatoa,,noun,,,[none],,,[none],,[none],,,
Kahili ginger,,noun,,,[none],,,[none],,[none],,,
kaho,,noun,,a shrub,,,,[none],,[none],,,
kahoho,,noun,,,,,,[none],,[none],,,
kahore,,noun,,no,,,,[none],,[none],,,
Kahoroa ash,,noun,,geological classification,[none],,,[none],Geology,[none],,,
kahotea,,noun,,a greenstone,,,,[none],,[none],,,
kahu,1,noun,,"a large harrier hawk of Australasia and the South Pacific [Maori kahu[a-macron]]. harrier (hawk), falcon, New Zealand.",,,,[none],,[none],,,
kahu,2,noun,,kingfish,,,,[none],,[none],,,
kahu,,noun,3,,,,,[none],,[none],,,
kahu,,noun,,a New Zealand-bred cultivar of Timothy grass (Phleum pratense).,Maori,,,Rural,Farm Words,[none],,,
kahu huruhuru,,noun,,a feather cloak,[none],,,[none],,[none],,,kahu = area; cloak; layer. huruhuru = bristles; feather; fleece; fur; furry; hair; wool. http://translator.kedri.info/index.html
kahui ariki,,noun,,,Maori,,,[none],,[none],,,kahui = flock (P.M. Ryan Dict. Modern Maori (1995) 69)
kahuna,,noun,,,,,,[none],,[none],,,Has recently crept into NZ use
kahurangi,,noun,,a rare translucent grade of greenstone,,,,[none],,[none],,,
kahuriruhi,,noun,,,,,,[none],,[none],,,
kai,,noun,,"food, a meal",[none],,,[none],,[none],also kaikai,,
kai cart/kai kart,,noun,,pie cart or food caravan,[none],,,[none],,[none],also kai wagon,,
kai corn,,noun,,,[none],,,[none],,[none],,,
kai,,noun,2,a meal; `eats'. (Popular with NZ soldiers WW1: contrast WW2 mango.),,,,[none],,[none],,,1953 14 M A7 Thames DHS 22B KAI [food] -->1953 16 M A31 Thames DHS 22B KAI -->1953 16 M A33 Thames DHS 22B KAI -->1953 17 M A35 Thames DHS 22B KAI ---->1960 16C F B5 Wellington Girls C. 22 KAI -->1960 17C M B7 Hamilton H.S. 22B KAI --->1984 16 F E7 Pakuranga Coll. 22B KAI -->1984 16 F E10 Pakuranga Coll. 22B KAI -->1984 16 M E71 Pakuranga Coll. 22B K(A)I -->1984 16 M E.ho;1984 Pakuranga Coll. 22B KAI
kai,,verb,,[of farm stock] to eat.,Maori,,,Rural,Farm Words,[none],also kaikai,,
kai hakari,,noun,,a feast; see hakari,Maori,,,[none],,[none],,,
kai kapata,,noun,,food in the cupboard,Maori,,,[none],,[none],,,
kai moana,,noun,,,,,,[none],,[none],,,
kai Pakeha,,noun,,(a variety of sweet potato),Maori,,,[none],,[none],,,
Kai Tahu,,noun,,Si form of Ngai Tahu,Maori,,,[none],,[none],,,
kai tangata,,noun,,a human for eating,[none],,,[none],,[none],,,
Kai Tiaki,,noun,2,name of magazine of the Registered Nurses,,,,[none],,[none],,,
kai time,,noun,,,[none],,,[none],,[none],,,
kai to compost,,phrase,,a waste-reduction programme,[none],,,[none],,[none],,,
kai wagon,,noun,,= kai cart,[none],,,[none],,[none],,,
kai-colder,,adjective,,,,,,[none],,[none],,,
kai-oh,,exclamation,,,[none],,,[none],,[none],,,
kai-weta,,noun,,,,,,[none],,[none],,,
kaiaia,,noun,,"karearea, sparrow hawk",,,,[none],,[none],,,
kaiako,,noun,,teacher,Maori,,,[none],,[none],,,[Ma. <b>kaiako</b> teacher] cf. P.M. Ryan Dict. Modern Maori (1995) 70.
Kaiapoi,,noun,,"The Kaiapoi is the local for the Kaiapoi Woollen Mills, or is it merely a pub-name.",,,,[none],,[none],,,
kaiarahi matua,,noun,,portfolio leader,Maori,,,[none],,[none],,,"kaiarahi =leader; matua = principal, foremost, head (P.M. Ryan Dict. Modern Maori 1995)"
kaiarihi,,noun,,a guide,Maori,,,[none],,[none],,,kaiarahi? (so Ryan)
Kaiatan,,adjective,,Geol. classification,[none],,,[none],Geology,[none],,,
kaiatawhai,,noun,,support person,Maori,,,[none],,[none],,,
kaiawhina,,noun,,assistant; helper; support worker,[none],,,[none],,[none],,,http://translator.kedri.info/translate.php
kaibabs,,noun,,?slippers,,,,[none],,[none],,,
kaiehau,,noun,,,,,,[none],,[none],,,
Kaiharoa Tephra,,noun,,Geol. definition,[none],,,[none],Geology,[none],,,
kaihautu,,noun,,"leader, canoe steersman",Maori,,,[none],,[none],,,"[Ma. <b>kaihautu</b> leader, representative, contrller, steersman] cf. P.M. Ryan Dict. Modern Maori (1995) 71."
kaihautu-marautanga,,noun,,,Maori,,,[none],,[none],,,kaihautu = leader (P.M. Ryan Dict. Modern Maori (1995) 71)
Kaihikuan,,adjective,,Geol. classification,[none],,,[none],Geology,[none],,,
kaihoe,,noun,,a waka paddler,Maori,,,[none],,[none],,,
kaihua,,noun,,"Parsonsia capsularis, <i> a climbing plant.: Parsonsia </i> spp.",Maori,,,Environment,,[none],kaihu,,kaihu also kaihu
kaihua,,noun,2,"Maori jasmine, Parsonia heterophylla .",[none],,,[none],,[none],,,
kaihuka,,noun,,,,,,[none],,[none],,,
kaik,1,noun,2,,,,,[none],,[none],,,
kaik,1,noun,,,[none],,,[none],,[none],,,
kaik,,noun,,nick name for kahikatea,[none],,,[none],,[none],,,<i>Dacrycarpus dacrydioides</i>
kaika,2,noun,,<i>Parsonsia albiflora</i>,,,,[none],,[none],,,
kaika,1,noun,,,,,,[none],,[none],,,"South Island Maori form of ""kainga"""
kaika,1,noun,2,,,,,[none],,[none],,,
