Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
L&P,,abbreviation,,Lemon and Paeroa,[none],,,[none],,[none],Lemon and Paeroa,,
L.O.B.,,abbreviation,,Left out of battle,acronym,,,[none],,[none],,,
la(la),,noun,,toilet,[none],informal,,[none],,[none],,,short for lavatory
la-la,,noun,,,,,,[none],,[none],,,
La-Z-Boy,,noun,,a proprietary brand of armchair,[none],,,[none],,[none],,,also as lazy boy?
Labor,,noun,,,[none],,,[none],,[none],,,
Labor,,noun,,,[none],,,[none],,[none],,,"AND has LABOR, short for Australian Labor Party 1911.] The Labour Party, a political party of NZ: `she voted for Labour last election.'; LABOR in early names of political or Union organisations:"
Labour,,noun,2,,[none],,,[none],,[none],,,
Labour Day,,noun,,,[none],,,[none],,[none],,,1899 Act made it a public holiday on the 2nd Wednesday in Oct; until 1910 when the Public Holidays Act changed it to the 4th Monday in October.
Labour Day,,noun,,,[none],,,[none],,[none],,,
Labour Day sports,,noun,,,[none],,,[none],,[none],,,
Labour Day weekend,,noun,,,[none],,,[none],,[none],,,
Labour Holiday,,noun,,,[none],,,[none],,[none],,,
Labour Weekend,,noun,,,[none],,,[none],,[none],,,
Labour Weekend,,noun,,,[none],,,[none],,[none],,,
labouring emigrant,,noun,,,[none],,,[none],,[none],,,
Labourite,,noun,,"One who supports the Labour Party, or its policies in or out of the House.",[none],,,[none],,[none],,,
laburnum,,noun,,"Sophoraspp., =kowhai.",,,,[none],,[none],,,
laburnum,,noun,2,,,,,[none],,[none],,,"1860 <i> New Zealand laburnum</i> BGN, 1909 HW (Andersen 5 entries)"
lace,,verb,,,,,,[none],,[none],,,"HNZD1? and 2 lace into a person, job etc. ?NZ"
lace fern,,noun,,,[none],,,[none],,[none],,,
lace-wood,,noun,,,,,,[none],,[none],lacebark.,,rare
lace-wood,,noun,2,,,,,[none],,[none],,,
lacebark,,noun,2,"mountain ribbonwood, wild cherry.",,,,[none],,[none],,,sub-alpine SI
lacebark,,noun,3,,,,,[none],,[none],,,
lacebark,,noun,,"1. See houhere. 2. any of various unrelated NZ trees having many-layered inner bark; spp. of the genera Hoheriaand <i> Plagianthus</i> of the family Malvaceae: Moore and Irwin <i> The Oxford Book of New Zealand Plants</i> (1978) 74 [get gen. quot.]; =ribbonwood, =thousand-jacket. 1. a. (esp. or chiefly NI) Spg also <i> lace bark, lace-bark. Houheria</i> spp., esp. <i> H. populnea</i>, =houhere.",,,,[none],,[none],,,
lacebark tree,,noun,,,[none],,,[none],,[none],,,
lacebark tree,,noun,,Plagianthus spp. esp. P. lyallii,[none],,,[none],,[none],,,
lacewood,,noun,4,,[none],,,[none],,[none],,,
lacey-bark,,noun,,,,,,[none],,[none],,,
lactated,,adjective,,,[none],,,[none],,[none],,,"An international sports term? Roger Robinson says yes, but this may still be the first recorded use."
lactoferrin,,noun,,,,,,[none],,[none],,,
ladder,,noun,,,[none],,,[none],,[none],,,(dredging)
ladder fern,,noun,,<i>Dryopteris cordifolia</i>,[none],,,[none],,[none],,,[JD notes: Don't know what this would apply to in this case. Brownsey gives ladder ferns for spp. of <i>Nephrolepis</i>.]
laddy-da,,noun,,variant of la-di-da,[none],,,[none],,[none],,,
ladies a basket,,phrase,,,[none],,,[none],,[none],,,
ladies a plate,,phrase,,"request for women to bring a plate of food, to a party etc.",[none],,,[none],,[none],plate (bring a plate),,[AND 1961: OED(S b 18h.] to provide food as (part of) an admission fee to a function.
Ladies and Escorts,,phrase,,,,,,[none],,[none],,,
ladies' smock,,noun,,"<i>Cardamine depressa</i>, Hook. f.",[none],,,[none],,[none],,,
Lady Hamilton,,noun,,A name for No. 222 on a tramcar,[none],,,[none],,[none],,,(tramwaymen's) ca1951 F.O'Brien (Wellington tramwaymen's) (? origin: ? housey)
Lady Jane,,noun,,said to a (?younger) person thought stuck up or above herself (cf. Lady Muck).,[none],,,[none],,[none],,,
lady moth,,noun,,,[none],,,[none],,[none],,,??Is this a real word or a trope.
Lady Muck,,noun,,,[none],,,[none],,[none],,,Cf also Lady Jane
Lady of October,,noun,,clematis,[none],,,[none],,[none],,,
lady of the house,,noun,,"The usual term (constr. with the) used by door-to-door salesmen, etc, in the almost standard enquiries `Is the lady of the house at home? May I speak to ...'",[none],,,[none],,[none],,,
Lady Titans,,noun,,a Waikato women's netball team,[none],,,[none],,[none],,,
lady's bedstraw,,noun,,cleavers,[none],,,[none],,[none],,,
lady's locket,,noun,,Medicago lupulina.,[none],,,[none],,[none],,,"[Nf OED, EDD, W3.] ca1953 Dec: R. Mason reporting Edna Roberts of Bluff Station, Clarence Valley, Marlborough"
lady's smock,,noun,,"<i>Cardamine depressa</i>, bitter cress.",[none],,,[none],,[none],,,
lady's thumb,,noun,,redshank,[none],,,[none],,[none],,,
lady's waist,,noun,,a small (7 or 5 oz) slenderbeer-glass with brim wider than the base; the drink (usu. beer) contained therein.,[none],,,[none],,[none],,,AND 1934.
Laery's parlour,,noun,,Auckland prison,[none],,,[none],,[none],,,[ca1860s]
lafo,,noun,,,Samoan,,,[none],,[none],,,
lafonga,,noun,,donation,[none],,,[none],,[none],,,Samoan?
lag,,noun,,type of physical punishment,,,,[none],,[none],,,
lag it,,verb,,to loiter; to do a lag.,[none],,,[none],,[none],,,Nf OED; P.
lagarosiphon,,noun,,<i>Lagarosiphon major</i>,,,,[none],,[none],,,
lagenophora,,noun,,<i>Lagenophora pumila</i>,,,,[none],,[none],,,
lagger,,noun,,,,,,[none],,[none],,,"Newbold says (p. 250) LAGGING/LAG (n) Prison sentence. From laggings (leggings), the leg-irons in use last century to secure prisoners on convict ships or in outside working parties, or those undergoing punishment."
lagging,,noun,,A prison sentence.,,,,[none],,[none],,,
lagging,,noun,2,,,,,[none],,[none],,,
lagoon,,noun,,"This common word has wide contextual usage in NZ - essentially a smallish, shallowish body of water - not necessarily or usually salt: indeed it can have salt (see x) or fresh (see y), muddy, or mineral, or clear; frozen or cold ( ) or boiling. It can be deep enough to drown in, or shallow enough to be merely an overloaded swamp ( ), or `sheet of water', or can even have no water ( ). It can be of some square miles (see Lake Grassmere) or small as a pond; early NZ uses follow this standard sense: get geog. as well as temporal coverage.",,,,[none],,[none],,,"-->[ 1873; AND cf US and DAE freshwater usually still 1797, 1801.]"
lagoon,,noun,4,,,,,[none],,[none],,,?orig. a SI use
lagoon washing,,noun,,,[none],,,[none],,[none],,,
lahar,,noun,,a flood of mud and water,,,,[none],,[none],,,
lahar,,noun,2,,,,,[none],,[none],,,
lahtah,,noun,,,[none],,,[none],,[none],rata,,
lair up,,verb,,to dress in a vulgar exhibitionist style,,,,[none],,[none],,,X-ref only at lare
lairy,,adjective,,,,,,[none],,[none],,,
lake country,,noun,,,[none],,,[none],,[none],,,
Lake District,,noun,2,,[none],,,[none],,[none],,,also Lakes District
Lake District,,noun,1,,[none],,,[none],,[none],,,
Lakeland,,noun,,,[none],,,[none],,[none],,,
lamb,,noun,,"A lamb carcass comes from a sheep under 12 months of age, and ceases to be classed as a lamb for meat purposes after September 30 in the year following that in which it was born.",,,,[none],,[none],,,
lamb break,,noun,1,an escape by a lamb from a mob of ewes and lambs [often causing a mass escape.],[none],,,Rural,Farm Words,[none],break,,
lamb down,,verb,2,to spend all one's wages on alcohol.,[none],,,Rural,Farm Words,[none],,,
lamb down,,verb,1,to shepherd at lambing time.,[none],,,Rural,Farm Words,[none],,,
lamb down,2,verb,,,[none],,,[none],,[none],,,
lamb drafter,,noun,1,fat lamb buyer [also farmer or person employed to sort fat lambs for sale to freezing works.],[none],,,Rural,Farm Words,[none],drafter,,
lamb drop,,noun,1,a total number of lambs born to a ewe flock in a single season.,[none],,,Rural,Farm Words,[none],,,
lamb,,verb,2,,[none],,,[none],,[none],,,"Heard in October 2000 on Radio NZ farming programme in a remark like ""farmers are lambing late this year""."
lamb,,noun,1,a station or farm cadet from Britain [mainly S.I.],[none],,,Rural,Farm Words,[none],,,
lamb kill,,noun,,the number of lambs killed,[none],,,[none],,[none],,,
lamb pick,,noun,1,a selection of prime lambs for slaughter.,[none],,,Rural,Farm Words,[none],,,
lamb picker,,noun,1,a fat lamb buyer or drafter.,[none],,,Rural,Farm Words,[none],picker,,
lamb sheet,,noun,1,a length of scrim or netting used for gathering in lambs for docking/tailing.,[none],,,Rural,Farm Words,[none],,,
lamb's fry,,noun,,sheep's liver eaten as a (fried) food,[none],,,[none],,[none],fry,,
lamb's lettuce,,noun,,,[none],,,[none],,[none],,,
lamb's quarters,,noun,,,[none],,,[none],,[none],fathen,,1770 Banks 2/8 [see FATHEN] [cf Beaglehole's note or OED.]
lamb's tongue,,noun,,,[none],,,[none],,[none],"broad-leaved plantain, hoary plantain.",,
lamb's wool,,noun,,,[none],,,[none],,[none],,,
lamb-catcher,,noun,,,,,,[none],,[none],,,AND 1882.
lamb-fattener,,noun,1,a farmer who breeds and fattens lambs for the export market.,[none],,,Rural,Farm Words,[none],,,
lamb-killing,,adjective,,,[none],,,[none],,[none],,,
lamb-mark,,verb,1,to dock or tail lambs.,[none],,,Rural,Farm Words,[none],,,
lamb-marker,,noun,,,,,,[none],,[none],,,AND 1891.
lamb-marking,,noun,,"earmarking, castration and tailing or docking of the tails of lambs [mainly S.I.].",[none],,,Rural,Farm Words,[none],,,
lamb-marking,,noun,,,[none],,,[none],,[none],marking n.,,AND 1882 (?earmarking); 1948 (tailing and castrating).
lamb-raiser,,noun,1,a breeder of prime lambs for slaughter.,[none],,,Rural,Farm Words,[none],,,
lamber,,noun,,,,,,[none],,[none],,,
lamber-down,,noun,,,,,,[none],,[none],,,obsolete [AND 1880.
lambie,,noun,,,,,,[none],,[none],lammie.,,
lambing,,noun,,,[none],,,[none],,[none],,,
lambing beat,,noun,1,an inspection round of ewes by shepherds at lambing time.,[none],,,Rural,Farm Words,[none],,,
lambing block,,noun,1,a large station grazing area for lambing ewes.,[none],,,Rural,Farm Words,[none],,,
lambing country,,noun,1,grazing land for lambing ewes.,[none],,,Rural,Farm Words,[none],,,
lambing dog,,noun,1,a gentle sheep-dog that moves quietly around lambing ewes and lambs.,[none],,,Rural,Farm Words,[none],,,
lambing down,,noun,,see lamb down v.2,[none],,,[none],,[none],,,[AND as ppl aj 2.a. the process of spending one's earnings on liquor 1870 b. inveigling the spending ... 1886.] (Cf. do down; land-shark n2..)
lambing farmer,,noun,1,a shepherd responsible for ewes at lambing time.,[none],,,Rural,Farm Words,[none],,,
lambing house,,noun,1,a shelter where orphan lambs are mothered on to ewes.,[none],,,Rural,Farm Words,[none],,,
lambing motel,,noun,1,a dry and secure covered pen for new lambs.,[none],,,Rural,Farm Words,[none],,,
lambing paddock,,noun,1,a fenced area where ewes can have shelter or be observed during lambing [located close to a homestead.],[none],,,Rural,Farm Words,[none],,,
lambing percentage,,noun,1,a number of lambs born and survived per one hundred ewes.,[none],,,Rural,Farm Words,[none],,,
lambing shepherd,,noun,1,a temporary shepherd hired for the lambing season.,[none],,,Rural,Farm Words,[none],,,
lambing sickness,,noun,1,a form of milk-fever in lambing ewes.,[none],,,Rural,Farm Words,[none],,,
lambing tally,,noun,1,a total number of lambs born to a flock of ewes in a season.,[none],,,Rural,Farm Words,[none],,,
lambing time,,noun,,,[none],,,[none],,[none],,,
lamburger,,noun,,,,,,[none],,[none],,,
lamia,,noun,,"Round-finned whaler, <i>Carcharinus lamia</i>",,,,[none],,[none],,,
lamington,,noun,,a sponge square covered with chocolate icing and coconut; later occas. with jelly and coconut; possibly earlier used of the sponge itself,[none],,,[none],,[none],also lamington cake,,"prob. f. Baron Lamington, Governor of Queensland (1895-1901); also (misspelt) le(m)minton, leamington"
lamington cake,,noun,,(in early use) lamington,[none],,,[none],,[none],,,"also le(m)mington cake, leamington cake"
lamkins,,noun,,(mishearing of larrikins?),[none],,,[none],,[none],,,
lammie,,noun,,a lamb,[none],informal,,[none],,[none],,,
lammie,,noun,,Mainly West Coast: a waterproof flannel coat worn for work in the open.,,,,[none],,[none],,,"cf Part: `ineligible - mainly nautical term F. and H.; sup. 3. A blanket :c.: from ca1885 : B and L: ex the nautical S.E. sense. Farmer and Henley Lammy. A blanket: originally a thick quilted frock, or short jumper made of flannel or blanket cloth, worn by sailors as an outside garment in cold weather. (Gentlemen's Magazine 1866) W3 Lammie, -y; lambie, -y. [Nf OEDS?; EDD [The Ll-spelling might be back-formation from llama (OED b. The wool of the llama or a material made from this - 1882); c. llama - stuff 1851, llama-cloth 1871 HWO]"
lammie,,noun,1,"a shapeless raincoat, usually sleeveless and ideal for active outdoor work.",[none],,,Rural,Farm Words,[none],,,
lamp,,verb,,to see,,,,[none],,[none],,,prison slang
lamp post,,noun,,a sweet,,,,[none],,[none],,,
lamp-fish,,noun,,,,,,[none],,[none],,,
lamprey,,noun,,,,,,[none],,[none],also blind eel.,,
lamprey eel,,noun,,,[none],,,[none],,[none],,,
LAMS,,abbreviation,1,"Livestock Auction Management System, an information technology stock sales system.",[none],,,Rural,Farm Words,[none],,,
lance,,noun,,,,,,[none],,[none],,,
lance fern,,noun,,,[none],,,[none],,[none],,,
lance leafed whitewood,,noun,,,[none],,,[none],,[none],,,
lance line,,noun,,line for a whaler's lance,[none],,,[none],,[none],,,
lance shell,,noun,,<i>Resania</i> spp.,[none],,,[none],,[none],,,
lancejack,,noun,,,,,,[none],,[none],,,? Southland
lancelet,,noun,,<i>Branchiostoma lanceolatum</i>,,,,[none],,[none],,,
lancetfish,,noun,,,,,,[none],,[none],,,
lancewood,,noun,3,"tingahere, cabbage-tree, prob. in error or confusion with grass-tree name or poss. shape.",,,,[none],,[none],,,
lancewood,,noun,,"<i>Pseudopanax crassifolium</i>, a tree noted for its slender trunk and varying leaf forms at different stages of growth; =horoeka, =ivy tree, also grass-tree (juvenile), also called horoeka, umbrella tree.",,,,[none],,[none],,,AND timber trees [f. West Indian wood] 1861. 1872 Tr NZI - 1925 DD2 (Andersen 24 entries)
Lancs,,noun,,a native (coalminer) of Lancashire.,abbreviation,,,[none],,[none],,,cf EDD Lank: a native of Lancashire
Land Act,,noun,,,[none],,,[none],,[none],,,
land agent,,noun,1,"one who seeks to buy Maori land, = (Crown) agent.",[none],historical,,[none],,[none],,,
land agent,,noun,2,,[none],,,[none],,[none],,,"OED 12. also agent for the sale of land, or estate agent; W3 precisely the NZ sense."
land bank,,verb,,,[none],,,[none],,[none],,,
land baron,,noun,1,a holder a large landholding.,[none],,,Rural,Farm Words,[none],,,
Land Board,,noun,,,[none],historical,,[none],,[none],,,AND 1827; two cits in DNZE
land boom,,noun,,,[none],,,[none],,[none],,,AND 1827
land boom,,noun,1,inflated land prices due to competitive land-seeking.,[none],,,Rural,Farm Words,[none],,,
land charge,,noun,,,[none],,,[none],,[none],,,
land claim,,noun,,,[none],,,[none],,[none],,,
Land Commissioner,,noun,,,[none],historical,,[none],,[none],,,
land company,,noun,,,[none],,,[none],,[none],,,
land confiscation,,noun,,,[none],,,[none],,[none],,,
Land Corps,,noun,1,See Women's Land Corps.,[none],,,Rural,Farm Words,[none],,,
Land Court,,noun,,,[none],,,[none],,[none],Native Land Court,,
land district,,noun,,,[none],,,[none],,[none],,,
land fever,,noun,,,[none],,,[none],,[none],,,
land girling,,noun,1,the working of women on farms during the Second World War.,[none],,,Rural,Farm Words,[none],,,
land grab,,noun,1,a rush to purchase land.,[none],,,Rural,Farm Words,[none],,,
land grabber,,noun,,a speculator who squatted on and/or purchased large tracts of land [often by spotting or gridironing].,[none],historical,,Rural,Farm Words,[none],,,
land holder,,noun,,,[none],,,[none],,[none],,,
land hunger,,noun,1,a desire to obtain and farm land [particularly late 1800s-early1900s].,[none],,,Rural,Farm Words,[none],,,
land incorporation,,noun,,,[none],,,[none],,[none],,,
land jobbing,,noun,1,a corrupt gaining of land by early European settlers.,[none],,,Rural,Farm Words,[none],,,
land law,,noun,,,[none],,,[none],,[none],,,
land league,,noun,,,[none],historical,,[none],,[none],,,
land maggot,,noun,,sheep,[none],,,[none],,[none],,,"used also in limited use in Aust., USA, UK"
land march,,noun,,,[none],,,[none],,[none],,,
land marcher,,noun,,,[none],,,[none],,[none],,,
land o'cakes,,noun,,Scotland,[none],,,[none],,[none],,,A common usage in early NZ.
land of ferns,,noun,,New Zealand,[none],,,[none],,[none],Fernland,,
Land of Sacks,,noun,,New Zealand,[none],,,[none],,[none],,,Used by Dalmatian immigrants
Land of the Great White Cloud,,noun,,,[none],,,[none],,[none],Land of the Long White Cloud,,
land of the kangaroo,,noun,,,[none],,,[none],,[none],,,
Land of the Long Black Cloud,,noun,,,[none],,,[none],,[none],,,
Land of the Long Pink Cloud,,noun,,,[none],,,[none],,[none],,,
Land of the Long White Cardigan,,noun,,,[none],,,[none],,[none],,,
land of the long white chord,,noun,,,[none],,,[none],,[none],Land of the Long White Cloud,,
Land of the Long White Cloud,,noun,,New Zealand,[none],,,[none],,[none],,,
Land of the Long White Football,,noun,,,[none],,,[none],,[none],Land of the Long White Cloud,,
Land of the Long White Shroud,,noun,,,[none],,,[none],,[none],Land of the Long White Cloud,,
Land of the Long White Western Tradition,,noun,,,[none],,,[none],,[none],Land of the Long White Cloud,,
Land of the Lost,,noun,,,[none],,,[none],,[none],,,
Land of the Wrong White Crowd,,noun,,,[none],,,[none],,[none],Land of the Long White Cloud,,
Land of Three S's,,noun,,"WWI : Egypt (sc. sergeants, scabies and syphilis)",[none],,,[none],,[none],,,
Land Office,,noun,,"In most colonies there are land-offices, in which the sales of new land are registered, and warrants issued for the location of land, and other business respecting unsettled land is transacted.",[none],,,[none],,[none],,,
Land Purchase Commissioner,,noun,,,[none],,,[none],,[none],,,
land question,,noun,,,[none],historical,,[none],,[none],,,
land rail,,noun,,,[none],,,[none],,[none],,,"aka mohopatatai; moho-pereru; banded rail; usually but not exclusively <i>Rallus philippensis assimilis</i>, or <i>Rallus assimilis</i>"
land rights,,noun,,,[none],,,[none],,[none],,,
land ring,,noun,,,[none],,,[none],,[none],,,
land ring,,noun,1,a group of early land speculators.,[none],,,Rural,Farm Words,[none],,,
land sales,,noun,,with reference to the Land Sales Act of WW2.,[none],historical,,[none],,[none],,,
land scrip,,noun,1,a document providing land rights to settlers arriving with the NZ Company prior to 1850.,[none],,,Rural,Farm Words,[none],,,
land seller,,noun,,,[none],,,[none],,[none],,,
land settlement,,noun,,,[none],,,[none],,[none],,,
Land Settlement Scheme,,noun,,an 1890s scheme to induce people to break in bushland,[none],historical,,[none],,[none],,,
land shark,,noun,1,[used elsewhere but sign.in NZ] a person who exploited others in the rush to claim land [mid-late 1800s.],[none],,,Rural,Farm Words,[none],,,
land shark,,noun,,"an unscrupulous publican (here, connotes kg. `a shark who lives on land' rather than n1. `a shark which swallows land voraciously'); unscrupulous business person, money-grubber (?the orig. of the main NZ use",[none],,,[none],,[none],,,[AND 1836 or ? n1..]
land shell,,noun,,,[none],,,[none],,[none],,,
land snail,,noun,,,[none],,,[none],,[none],,,
land the mustard,,phrase,,,,,,[none],,[none],,,
Land Transfer Office,,noun,,,[none],,,[none],,[none],,,
