Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
M-Day,1980,"Personal Kiwi-Yankee Dictionary, A",LELAND,64,,"<i>metrication:</i> the process of shifting from measuring in imperial units ... to metric units... New Zealand built up to this slowly, but M-day came it was drastic.",
m.a.,"Mar 9, 2000",Taranaki Daily News,,,,17 m.a.ewes $15-$27.50,
maania,Nov 2003,NZ Geographic,,No. 66/40,,"Maori names for tussock varied from region to region. In one southern dialect, <i>wi</i> was used for silver tussock (furher north the same word was applied to rushes) and <i>patiti</i> seemed to be a general term for tall tussocks, with <i>maania</i> an alternative or the word for red tussock in particular. The Maniatoto (<i>maania</i> = blood, <i>toto</i> = plain) was formerly covered in red tussock.",
MAANZ,"Jun 26, 2001",Contact (Wgtn),,5,,"MAANZ, the Maritime Archaeological Association of New Zealand, will be showing off its brand new conservation laboratory... On Saturday the conservation lab will have an exhibition of the work of MAANZ volunteers.",
Mabel Island lily,1919,NZ Plants & Their Story,COCKAYNE,,,<i>Arthropodium cirratum</i> Mabel Island lily,(And)
Mabel Island lily,1954,Personal Communication,R MASON,,,"<i>Mabel Island lily (Arthropodium cirrhatum).</i> Name used sometimes in Wellington and Marlborough. The plant grows on Mabel Island near Picton but is not known to grow elsewhere near Picton. It is the <i>renga-lily, rock lily </i>etc. of Auckland. [cf ? 1830 <i>Lycopodium ramulosum </i>T. Kirk]",
Mabel Island lily,"Dec 3, 1885",Marlborough Express,,2,,"Mr H.G. Clarke's Chatham Island Lily, of only five month's growth - and Mrs Fildes' Mabel Island Lily (which belongs, we believe, to the orchid family), were much remarked upon.",
Mabel Island lily,"Dec 5, 1884",Marlborough Express,,2,,"A lobelia, growing snugly in the trunk of a tree fern; an orchid in flower, better known as ""The Mabel Island Lily,"" but greatly improved by domestication; and a new Zealand fuchsia were all horticultural gems.",
Mabel Island lily,"Jan 12, 1899",Otago Witness,,31,,"On it [Mabel Island] I found over 20 species of native flora, the chief of which is the celebrated lily, best known as the Mabel Island lily; but let the botanist go there and see for himself.",
mac/macca,"Oct 23, 2010",Wairarapa Times-Age,,17,,"Dry Macca, this years [sic] burning. $75m3, or $260 4m3 truck load.",
MACCAH,"Aug 17, 2002",Listener (New Zealand Listener),,36,,"Two years ago, at the instigation of the Greens, Health Minister Annette King announced the establishment of a Ministerial Advisory Committee on Complementary and Alternative Health (acronym: Maccah).",
Maccas,"Sep 28, 2004",Independent Herald (Wellington),,13,,I refer to the current television ad where a car with fogged windows pulls up at Maccas.,
Maccas,"Oct 5, 1998",Salient,,7,,A night at the Opera with a candlelit dinner on the harbour is just as likely to turn someone off as suggesting a combo at Mackers.,
Maccas,"Nov 14, 1999",Sunday Star Times,,C10,,"Then I wanted him to have a coffee with me, or maybe go get some Macca's [sic], because he loved cheeseburgers.",
Maccas,"Mar 31, 2003",Salient,,No. 5/54,,Like when someone spills a thickshake in Macca's.,
Maccas,"Mar 26, 1997",Evening Post,,1,,I told Phil I felt like some Mackers [McDonald's] and he said he would try and get me out by 10 pm before they closed.,
Maccas,"May 19, 1997",Salient,,24,,I can't pass by Maccers.,
Maccas,"May 28, 2003",Dominion Post,,C6,,"Stopping in for a ""Macca's"", as Australians like to say, takes on a new meaning when you have to shoulder Mr Bell's responsibilities.",
Maccas,"Jul 8, 2008",Dominion Post,,C1,,Is this the only place you can eat your Maccas inside an old plane?,
macchiato,"Jan 22, 1994",Listener (New Zealand Listener),,57,,"Macchiato... In New Zealand, it is usually a long black with a tiny amount of frothed milk added. In Italy and Melbourne, and sometimes here, it is demitasse-sized.",
machine,"Mar 8, 1908",NZ Truth,,2,,"It was a win for racing clubs in general to know there was a ""scaler"" amongst the bookmakers at Pahiatua, as it will have the effect of driving money into the machine where the punters know they will get paid.",Check whether February or March
machine,1950,Farm & Station Verse,WOODHOUSE,22,,What a lot [of money] you left behind in the`machine',[1889] Reeves in 1950 A.E. Woodhouse Farm and Station Verse 22
machine,1891,Double Harness,WILLIAMS & REEVES,8,,When racing was developed by the aid of the `machine'.,
machine,1900,Colonial Turf,SCOTT,218,,The bookmakers would not pay 30-to-1 as the machine is doing.,
machine,"Aug 15, 1949",Southern Cross (Wgton),,9,,Each paid more than GBP25 on the win machine.,
machine,"Aug 23, 1939",Taranaki Herald,,3,,An electric machine has a tremendous advantage over the old manual totalisator,
machine,1906,Awards etc.,,VII/625,,In sheds where machines are used.. the shearers to pay for combs and cutters at cost price.,
