Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
M-Day,,noun,,Metrication Day,,,,[none],,[none],,,
m.a.,,abbreviation,,[stock sales] mixed age animals.,[none],,,Rural,Farm Words,[none],,,
maania,,noun,,red tussock,,,,[none],,[none],,,
MAANZ,,abbreviation,,Maritime Archaeological Association of New Zealand,[none],,,[none],,[none],,,
Mabel,,noun,,"a nickname for, and often a term for, an effeminate person",[none],,,[none],,[none],,,"ca1952 Waiouru Military Camp, F.M. O'Brien eg He's a real Mabel, fair go. Old Mabel Jones, at it again."
Mabel Island lily,,noun,,"<i>Arthropodium cirratum</i>, a local name for rengarenga",[none],,,[none],,[none],,,
mac/macca,,noun,,macrocarpa firewood,[none],,,[none],,[none],,,see also macrocarpa
macaroni,,noun,,a nickname for clergy,[none],,,[none],,[none],,,1984 17 F E48 Pakuranga Coll. 24D MACARONI (PASTOR)
MACCAH,,abbreviation,,Ministerial Advisory Committee on Complementary and Alternative Health,acronym,,,[none],,[none],,,
Maccas,,noun,,McDonalds Fast Food,abbreviation,informal,,[none],,[none],,,"Mackers, Maccers var. hypocoristics forms"
macchiato,,noun,,,,,,[none],,[none],,,
machine,1,noun,,the mechanical or electric totalisator,,,,[none],,[none],totalisator,,
machine,3,noun,,shearing-machine,,,,[none],,[none],,,
machine,2,noun,,the milking machine,,,,[none],,[none],,,
machine man,,noun,1,a shearer who uses machine-driven combs and cutters to shear sheep.,[none],,,Rural,Farm Words,[none],,,
machine milk,,verb,1,to milk cows by machine.,[none],,,Rural,Farm Words,[none],,,
machine shearer,,noun,1,a shearer who uses machine-driven combs and cutters to shear sheep.,[none],,,Rural,Farm Words,[none],,,
machine shearer,,noun,,,,,,[none],,[none],,,
machine shearing,,noun,,,[none],,,[none],,[none],,,
machine shears,,noun,,,[none],,,[none],,[none],contrast blades,,
machine shed,,noun,,,[none],,,[none],,[none],,,
machine-stripping,,noun,,,[none],,,[none],,[none],,,
Mackenzie Country,,noun,,a region of inland South Canterbury,[none],,,[none],,[none],,,
Mackenzie Country,,noun,,"a large pastoral basin of inland South Canterbury, named after the legendary James Mackenzie, purported to have been caught there with stolen sheep.",[none],,,Rural,Farm Words,[none],,,check spelling of quotes (all cap K?); official name has small k
mackerel,,noun,,"a common name for fishes resembling the northern hemisphere mackerel, esp. <i>Pneumatophorus</i> sp., the southern mackerel; and <i>Trachurus novae-zelandicae,</i> horse mackerel",[none],,,[none],,[none],,,"early spellings mackarel, mackrel, etc."
mackerel gull,,noun,,"= red-billed gull, tarapunga",[none],,,[none],,[none],,,"only in 1873 edition; nf 1888, =RED-BILLED GULL [Buller?]"
mackerel ripple,,noun,,,[none],,,[none],,[none],,,
mackerel scad,,noun,,,[none],,,[none],,[none],,,
mackerel season,,noun,,,[none],,,[none],,[none],,,
mackerel tuna,,noun,,,[none],,,[none],,[none],,,
Maconachie,,noun,,,[none],,,[none],,[none],,,
Macquarie cabbage,,noun,2,an old name for the Chatham Island lily.,[none],,,[none],,[none],,,
Macquarie cabbage,,noun,1,Stilbocarpa polaris,[none],,,[none],,[none],,,more fully Macquarie Island cabbage
Macquarie Island shag,,noun,,,[none],,,Environment,,[none],,,
macrocarpa,,noun,,.,[none],,,[none],,[none],,,as fire wood; aka mac and macca - see also
macrocarpa,,adjective,,,[none],,,[none],,[none],,,attrib
macrocarpa,,noun,,the common name of <i>Cupressus macrocarpa</i>,[none],,,[none],,[none],,,"the tree; Californian, naturalised in NZ where it grows distinctively, is named distinctively (as opposed to US Monterey Cypress), and where there is a variety of cultivars."
macropiper,,noun,,,,,,[none],,[none],,,
Mactown,,noun,,"The US base at McMurdo Sound, Antarctica",,,,[none],,[none],,,
mactra,,noun,,the clam <i>Dosinia mactra</i>,,,,[none],,[none],,,
mad as a cut snake,,phrase,,,[none],,,[none],,[none],,,
mad as a gumdigger's dog,,phrase,,very angry,[none],,,[none],,[none],,,
mad as a maggot,,phrase,,very angry or mad,[none],,,[none],,[none],cf. mad as a meat axe; go maggoty,,ca1935 Havelock
mad as a meat axe,,phrase,,,[none],,,[none],,[none],,,
mad as a snake,,phrase,,,[none],,,[none],,[none],,,
mad as a wet hen,,phrase,,very angry or crazy,[none],,,[none],,[none],,,
Mad Dog,,noun,,nickname for Richard Prebble MP,[none],,,[none],,[none],,,
mad money,,noun,,,[none],,,[none],,[none],,,
mad-dog,,verb,,to pester,[none],,,[none],,[none],,,
Madagascar buddleia,,noun,,,[none],,,[none],,[none],,,
madder,,noun,,,,,,[none],,[none],,,
made hill,,noun,,,[none],,,[none],,[none],,,
Madeira vine,,noun,,,[none],,,[none],,[none],mignonette vine,,
MAdGE,,abbreviation,,Mothers Against Genetic Engineering,[none],,,[none],,[none],,,
mado,,noun,,a small sea-fish found in northern New Zealand and Australian waters. [Australian Aboriginal],,,,[none],,[none],,,
madoo,,noun,,,[none],,,[none],,[none],,,"Maori <i>matu</i>. <i>Reed's Concise matu</i>: fat <i>Williams matu</i>: 1. fat 2. richness 3. gist, kernel"
Madras cake,,noun,,,[none],,,[none],,[none],,,
maehe,,noun,,,[none],,,[none],,[none],,,
Maero,,noun,,,[none],,,[none],,[none],,,
maeroro,,noun,,,,,,[none],,[none],,,
MAF,,abbreviation,,"formerly Ministry of Agriculture & Fisheries, now Ministry of Agriculture and Forestry",acronym,,,[none],,[none],,[maef],
MAF,,abbreviation,,(formerly) Ministry of Agriculture and Fisheries; (now) Ministry of Agriculture and Forestry,acronym,,,Rural,Farm Words,[none],,,
mafeesh,,adjective,,,,,,[none],,[none],,,
mafeesh falouse,,phrase,,,,,,[none],,[none],,,
mag,,verb,,to `fast-talk',,,,[none],,[none],,,
mag,,verb,,,[none],,,[none],,[none],,,
mag,1,noun,,a half-penny,,,,[none],,[none],,,
mag,2,noun,,,,,,[none],,[none],,,
maga,,noun,,,,,,[none],,[none],manga (maka),,
Magellan shag,,noun,,,[none],,,Environment,,[none],,,(Campbell Island)
Magellanic jacket,,noun,,,[none],,,[none],,[none],,,
magenta petrel,,noun,,,[none],,,[none],,[none],,,
maggie,,noun,,"a (young) woman, esp. one in black stockings",[none],,,[none],,[none],cf. crow,,
maggie,1,noun,,a raft (from mokihi),[none],,,[none],,[none],,,
maggie,2,noun,,the ace of hearts in the card-game of FORTY-FIVES.,,,,[none],,[none],,,
maggot,,noun,,,,,,[none],,[none],,,
maggot,,noun,3,,,,,[none],,[none],,,
maggot magnet,,noun,1,a sheep.,[none],,,Rural,Farm Words,[none],,,
maggot taxi,,noun,1,a sheep.,[none],,,Rural,Farm Words,[none],,,
maggoted,,adjective,,drunk,,,,[none],,[none],,,
maggoty,2,adjective,,"angry espec. in go maggoty, to become angry",,,,[none],,[none],,,
maggoty,1,adjective,,"of sheep, infested with maggot, maggoted (?having the FLY)",,,,[none],,[none],,,ca1900 WHB Orsman
maggy,,noun,,,[none],,,[none],,[none],maggie,,
Magic,,noun,,(usu. as the Magic) a Waikato-Bay of Plenty-based netball franchise competing in the National Bank Cup.,[none],,,[none],,[none],,,
magisterial recount,,noun,,,[none],,,[none],,[none],,,
magistrate,,noun,,,,,,[none],,[none],,,
magistrate's court,,noun,,"a local court, with powers to try minor cases (summary jurisdiction), and to hold preliminary inquiries into more serious cases which may go to a higher court. In New Zealand now called a District Court.",[none],,,[none],,[none],,,magistrate's or magistrates'?
magna carta,,noun,,,[none],,,[none],,[none],,,
magnoon,,adjective,,,,,,[none],,[none],,,
magnoon,,adjective,,"crazy, silly",[none],,,[none],,[none],,,"(Arabic, WW1&2)"
magnoon,,adjective,,"go crazy, silly, mad",,,,[none],,[none],,,
Magnum,,noun,,Name of a company,[none],,,[none],,[none],,,
Magogs,,noun,,a gang name,[none],,,[none],,[none],,,
magpie,2,noun,,an acquisitive person; (WW2) one who borrows without permission,,,,[none],,[none],,,
magpie,,noun,3,,,,,[none],,[none],,,
magpie,,noun,4,"pl THE MAGPIES, the Hawkes bay Rugby Union representative team (from their mascot or emblem)",,,,[none],,[none],,,
magpie,,noun,,the Australian magpie,,,,[none],,[none],,,
magpie morwong,,noun,,,[none],,,[none],,[none],,,
magpie moth,,noun,,<i>Nyctemera annulata</i>,[none],,,[none],,[none],,,
magpie ore,,noun,,,[none],,,[none],,[none],,,
Magpies,,noun,,Hawkes Bay rugby team,,,,[none],,[none],,,
mags,,noun,,magnesium wheels,abbreviation,,informal,[none],,[none],,,
maha maka,,noun,,,,,,[none],,[none],makamaka,,
mahau,,noun,,veranda of a meeting house,,,,[none],,[none],,,
mahetau,,noun,,,,,,[none],,[none],,,
mahi,,noun,,work; job,Maori,,,[none],,[none],,,"[Ma. <b>mahi n.</b> job, activity, undertaking, labour] cf. P.M. Ryan Dict. Modern Maori (1995) 121."
mahika kai,,noun,,a food gathering place.,Maori,,,Environment,,[none],mahinga kai,,
mahimahi,,noun,,,Maori,,,[none],,[none],,,plant
mahinahina,,noun,,,,,,[none],,[none],,,
mahinga kai,,noun,,a traditional Maori food-gathering place,Maori,,,[none],,[none],,,http://www.learningmedia.co.nz/nz/online/ngata/m2edictionary
mahitahi,,noun,,adult whitebait,,,,[none],,[none],,,
mahoa,,noun,,,,,,[none],,[none],mahue,,
mahoe,,noun,1,,[none],,,[none],,[none],,,
mahoe berry,,noun,,,[none],,,[none],,[none],,,
mahoe,,noun,2,<i>Hymenanthera chathamica</i>,,,,[none],,[none],,,
mahoe,,noun,2,,,,,[none],,[none],,,
mahoe,,noun,,"a small tree commonly found on the coasts or in second-growth bush [Maori mahoe[a-macron]]; also called hina-hina, whiteywood",[none],,,[none],,[none],,,
Mahoenui giant weta,,noun,,,[none],,,[none],,[none],,,
mahogany pine,,noun,,an old name for totara <i>Podocarpus totara</i>,[none],,,[none],,[none],-,,
mahogany row,,noun,,head office status,[none],,,[none],,[none],,,
Mahogany skink,,noun,,a distinctive but taxonomically indeterminate skink; part of the Cryptic skink species.,[none],,,[none],,[none],,,<i>Oligosoma</i> sp. 'mahogany skink'. [tag name; formal nomenclature pending]
Mahrie,,noun,,,[none],,,[none],,[none],Maori,,
mahue,,noun,,"a bony barely edible flatfish, also called witch, megrim .",,,,[none],,[none],,,
mahuri,,noun,,,,,,[none],,[none],,,
mahuta,,noun,,the last strand of a coal-mining pillar,,,,[none],,[none],,,
mai,,noun,,,[none],,,[none],,[none],,,
mai,,noun,,"<i>Podocarpus spicatus</i>, matai",[none],,,[none],,[none],,,
mai-tao,,noun,,,,,,[none],,[none],,,
maiberry,,noun,,the fruit of the mai (possibly the tree itself),,,,[none],,[none],,,
Maid Marian,,noun,,"a native clematis with small, yellowish, fragrant fowers, <i>Clematis foetida</i>",[none],,,[none],,[none],,,
maiden,,noun,,short for maiden ewe,[none],,,[none],,[none],,,applied to ewes the expression appears I think in 1853 Earp NZ (or in his NZ HBK)
maiden bush,,noun,,,[none],,,[none],,[none],,,
maiden calver,,noun,,a cow calving for the first time,[none],,,[none],,[none],,,
maiden,,adjective,,applied to country; or on West Coast to a beach with gold-bearing BLACK-SAND deposits not yet worked,[none],,,[none],,[none],,,
maiden ewe,,noun,,,[none],,,[none],,[none],,,
maiden heart,,noun,,,[none],,,[none],,[none],,,
maiden pink,,noun,,,[none],,,[none],,[none],,,
maiden's blush,,noun,,,[none],,,[none],,[none],,,
maiden's water,,noun,,,[none],,,[none],,[none],,,
maidenhair fern,,noun,,,[none],,,[none],,[none],,,also as maidenhair
maidenhair tree,,noun,,,[none],,,[none],,[none],,,JD notes ?Ginkgo?? -
maiheru,,noun,,,,,,[none],,[none],,,
maihi,,noun,,carved facing-boards on the gable of a Maori building. [Maori maihi[a-macron]],,,,[none],,[none],,,
maihoi,,noun,,,,,,[none],,[none],,,
