Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
O for awesome,"Apr 9, 2011",Dominion Post,,B1,,,
O for awesome,"Apr 9, 2011",Dominion Post,,B1,,"Asked to choose a vowel, he paused for a moment before asking for an ""O for awesome"".",
O'Briens,1981,Loughnan Glossary,LOUGHNAN,56,,O'Briens: see under Pannells and R and Gs. All are terms for boots.,
O'Briens,"Feb 11, 1977","Press, The",,19,,"""O'Briens and ""Pannells"" also have a place as distinctive boots worn by country folk, and particularly those mustering sheep.",
O'Briens,1994,From Caithness to Southland,SINCLAIR & TROTTER,17,,"I was lucky I was well shod, O'Brien mustering boots on, my saddletweed trousers tied down, so I was dry as could be.",
O'Leary,1981,History of Children's Play,SUTTON-SMITH,231,,"There are games recorded in this period for which there is no record before 1900 though they may well have existed under other names. West Coast: Dunk and Davey, Spang Weazling; Wellington: Who Goes Round My Stone Wall, Beg o' My Neighbor, Bellahonie, Run a Mile, On and Off the Bridge, Here Come Two Nuns, Colours, Isaac and Rebecca. Scrag, Diabolo, Bumble Puppy, Homai, Fives; Auckland: My Fair Young Lady, Rushes and Reeds, Surrender the Tower, Walls, Ball Hopscotch, ball games, Solomon Says; Hawkes Bay: Wolf Wolf Go Home, Homai; Canterbury: Poor Old Tom, Rats and Rabbits and Rips, Steps, Skin the Snake, Steal a Peg, Toodle-em-Buck, The Gag; Golden Bay: Who's That Walking Round My House Tonight, I've Come to See Poor Mary Jane, Steps and Stairs, Creeping, Branding, O'Leary; Otago: Sir Roger de Coverley, Who's That Knocking at My Door. <i>Ibid.</i> 273 Ball-bouncing games have come into their own on the asphalt playgrounds of modern schools and are played in many schools throughout the country. There is no evidence of such games before 1900, but a number of instances between 1900 and 1920 are recorded. The games were known as Fives, Tens, Sevens, and Walls and have been recorded more often since under the names O'Leary or Sevens. Before 1920 there is only one report of the game being played with a rhyme, and this was a rhyme more often used in skipping.",
O.B.,1955,Land of My Children,WILSON,28,,There were good boards among these facecuts which today would be classed as O.B.,
O.M.,1856,McLean Papers,,3/10,,No less than a dozen native letters were received by yesterday's O.M.,J.Webster
O.P. whisky,1960,Back-Country Tales,MASTERS,168,,"Goods would have to be delivered at various places along the route, and often among the goods would be demijohns of O.P. whisky.",
O.P. whisky,1953,Musterer on Molesworth,STRONACH,16,,"Fourteen musterers, two packmen, one cook (old Wattie), two rabbiters, one rouseabout, three gallons of O.P. whisky, one accordion ... [sic] mix well - and the result will surprise you!",
O.P.S.O.,"Jun 9, 1887",Marlborough Express,,3,,"Fold up your form, place it in an envelope, address it to the Registrar of Electors for Wairau, or Picton, as the case may be, at the top of the envelope write, ""O.P.S.O. - Claim to Vote,"" which renders a postage stamp unecessary, and drop the letter into the nearest Post Office box.",
O.P.S.O.,"May 4, 1905",Evening Post,,4,,"It is .. safe to assume that if any of the happy Liberals of this district .. receive from their President the message, ""O.P.S.O. - Memo., urgent - take precedence - Attend without fail at Massey's meeting, and give him the worst turn he ever had"", it will be accompanied by the police reminder that not even the back of the telegram should be used as the vehicle for the questions that are to shatter the reputation of the champion of ""the selfish few"".",
O.P.S.O.,"Nov 18, 1905",Evening Post,,4,,"The Premier himself could hardly have made a better job of that telegram, yet it does not appear to have been sent O.P.S.O. - Memo, Urgent - Take Precedence.""",
O.Pip,1936,Recollections of an Amateur Soldier,TREADWELL,110,,"... the soldiers were using the spire as an O. Pip, or observation post. ... The corporal who had been using this O.P. preceded me up the spire.",
oak,1835,New Zealand (various authors/titles),YATE,,,,get quot.
oak,1840,NZ Journal,,1/11/139,,"Puriri, which has been called the Oak of the Pacific, and the New Zealand Oak.",
oak,1843,Travels in NZ,DIEFFENBACH,1/431,,"<i>Of Vervenaceae</i> (same order as the teak), the Vitex littoralis is the Puriri of the natives and the New Zealand oak of the colonists.",
oak,1867,New Zealand (Hochstetter),HOCHSTETTER,,,<i>Vitex lucens</i>,(list of trees from Taylor 1848)
oak,1889,Forest Flora,KIRK,,,<i>Vitex lucens</i>,
oak,1906,Plants of NZ,LAING & BLACKWELL,,,<i>Vitex lucens</i>,
oak,1892,Frontier Life,BROOKES,174,,The puriri is called the New Zealand oak.,
oak,1907,Plants of NZ,LAING & BLACKWELL,350,1940 p. 372,"<i>Vitex lucens (The Puriri)</i>. A fine tree, from 50ft. to 60ft. in height, often called the New Zealand Oak, on account of the strength and durability of its timber.",
oak,1915,Reminiscences of Earliest Canterbury,HAY,,,<i>Vitex lucens</i>,
oak,1943,"NZ Gardening Dictionary, The",MATTHEWS,128,,"<i>N.Z. Oak (Puriri)</i>, see <i>Vitex lucens</i>",
oak,1898,Merriam-Webster Third International,,2028,,"<i>Oak (&obreve.k), n. (Bot.) [Add.] ... New Zealand oak</i>. See under PURIRI.",
oak,1869,TrNZI,,1/III/43 (,,"The Puriri, or New Zealand Oak, or Teak, (<i>Vitex littoralis</i>,) is a large tree of irregular growth.",Colenso Botany North Isd
