Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
P,,noun,,"the pure form of the drug methamphetamine, aka ice etc.",abbreviation,,,[none],,[none],,,abbreviation of 'pure'
P & T,,abbreviation,,Post & Telegraph,[none],,,[none],,[none],,,
P out,,verb,,to dose heavily on the drug P.,[none],,,[none],,[none],,,
P-class,,noun,,a class of small centreboard yacht (formerly aka Tauranga class),[none],,,[none],,[none],,,
P-head,,noun,,a P-addict,[none],,,[none],,[none],,,
P.B.,2,noun,,Permanent Base,,,,[none],,[none],,,
P.B.,1,abbreviation,,Pale Brandy,,,,[none],,[none],,,
P.H. Helmet,,noun,,,[none],,,[none],,[none],,,
P.P.A.,,abbreviation,,Protestant Political Association,,,,[none],,[none],,,
P.R.,,abbreviation,,a piece of P.R. land,,,,[none],,[none],,,
P.U.,,abbreviation,,,,,,[none],,[none],,,
P.W. Dears,,noun,,"humorous elaboration of <i>P.W.D-ers</i>, Public Works employees.",,,,[none],,[none],,,
PA,,abbreviation,,Probationary Assistant,[none],,,[none],,[none],,,
pa,,noun,1,"a fortified village, a fort; a tribal settlement usually fortified.",Maori,historical,,[none],,[none],hold the pa,,"hold the pa P.S. Ardern: Pah Road, Auckland) (see also compounds PAFUL)"
pa,1,noun,2,a Maori village or settlement,[none],,,[none],,[none],,,"aka: kaik, kainga"
pa,2,noun,,"a type of fish hook, couta stick",[none],,,[none],,[none],,,
pa Maori,,noun,,one who has not been integrated into Pakeha society,[none],,,[none],,[none],,,
Pa Wars,,noun,,an annual one-day inter-marae Maori sports festival organised by Te Runanga o Ngati Porou,[none],,,[none],,[none],,,
pa'anga,,noun,,Tongan monetary unit,Tongan,,,[none],,[none],,,
Paaite,,noun,,persons living on the marae,,,,[none],,[none],,,
pace,,noun,,"to be speedy, fast, to possess speed of movement.",,,,[none],,[none],,,
pace,,noun,,"(of an athlete, footballer, racehorse, to be speedy, fast, to possess speed of movement.",,,,[none],,[none],,,ca1920 at least (Havelock: phs applied first to racehorses)
pace,,noun,,"to be speedy, fast, to possess speed of movement",,,,[none],,[none],,,ca1920 at least (Havelock: phs applied first to racehorses)
PACE,,abbreviation,,Pathways to Arts and Cultural Employment,[none],,,[none],,[none],,,
Pacer,,abbreviation,,Pacific Agreement on Closer Economic Relations,[none],,,[none],,[none],,,
pacework,,verb,,(of a racehorse),[none],,,[none],,[none],,,
Pachycladon,,noun,,<i>Pachycladon novae-zelandiae</i>,,,,[none],,[none],,,
Pachycladon fastigiata,,noun,,a cress,[none],,,[none],,[none],,,typo in second citation?
Pacific azolla,,noun,2,,[none],,,[none],,[none],,,
Pacific bench,,noun,,an apparatus for moving logs in a sawmill,[none],,,[none],,[none],,,
Pacific blue marlin,,noun,,,[none],,,[none],,[none],,,
Pacific blue shark,,noun,,,[none],,,[none],,[none],,,not NZ specific term - one ref
Pacific cricket,,noun,,an attempted commercial naming,,,,[none],,[none],kirikiti,,
Pacific decadal oscillation,,phrase,,a weather pattern,[none],,,[none],,[none],,,
Pacific gecko,,noun,,"a particularly timid gecko, widespread in the North Island especially from Taupo north and west.",[none],,,Environment,,[none],,,<i>Hoplodactylus pacificus</i>
Pacific golden plover,,noun,,,[none],,,[none],,[none],,,
Pacific Islander,,noun,,"a person from the Pacific Islands, especially those with strong New Zealand constitutional connections; early South Sea Islander now (in NZ) ISLANDER 2 q.v.",[none],,,[none],,[none],,,
Pacific mackerel,,noun,,,[none],,,[none],,[none],,,
Pacific oyster,,noun,,,[none],,,[none],,[none],,,
Pacific rat,,noun,,,[none],,,[none],,[none],,,
Pacific Rim,,noun,,the countries bordering on the Pacific Ocean,[none],,,[none],,[none],,,
Pacific Rose,,noun,,a variety of dessert apple,[none],,,[none],,[none],,,
Pacific Slope,,noun,,,[none],,,[none],,[none],,,
Pacific way,,noun,,non-intervention in others' affairs,[none],,,[none],,[none],,,
Pacifican,,noun,,a Pacific Islander in New Zealand,,,,[none],,[none],,,
pack,1,verb,3,,,,,[none],,[none],,,
pack a sad,,phrase,,to be in a bad or depressed mood,[none],,,[none],,[none],,,
pack a sad,,phrase,2,(of a vehicle or machine) to break down,[none],,,[none],,[none],,,
pack and cart horse,,noun,1,a horse used for many purposes; an equine rouseabout.,[none],,,Rural,Farm Words,[none],,,
pack box,,noun,,,[none],,,[none],,[none],,,
pack boy,,noun,,a person responsible for carrying provisions on a packhorse,[none],,,[none],,[none],,,
pack bullock,,noun,1,a bullock used to pack supplies or farm produce [particularly in wet areas too difficult for horses.],[none],,,Rural,Farm Words,[none],,,Also pack-bullock
pack cattle,,noun,,,[none],,,[none],,[none],,,
pack down,,verb,,to pack provisions or belongings on to a pack-horse.,[none],,,Rural,Farm Words,[none],,,
