Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
Q-ing,,noun,,barbecuing,,,,[none],,[none],,,
QCE,,abbreviation,,? Queen City E,[none],,,[none],,[none],,,
QMAP,,abbreviation,,"Quarter-million Map, used by the Institute of Geological and Nuclear Sciences to map New Zealand.",[none],,,[none],,[none],,-,
QMS,,abbreviation,,the fisheries Quota Management System,,,,[none],,[none],,,
QPEC,,abbreviation,,Quality Public Education Coalition.,[none],,,[none],,[none],,,
QSM,,abbreviation,,Queen's Service Medal,acronym,,,[none],,[none],,,
QSO,,abbreviation,,Queen's Service Order,[none],,,[none],,[none],,,
quackerbird,,noun,,,,,,[none],,[none],,,
quacko,,noun,,,,,,[none],,[none],,,
quad,,noun,1,[dog trials] the area from where a contestant sends his heading dog to compete and to where sheep must be brought.,[none],,,Rural,Farm Words,[none],,,
quad bike,,noun,,"a farm motorcycle with four wheels, a farm bike",[none],,,[none],,[none],,,
quad/farm quad,,noun,2,a quad bike (which can be used on hill country),[none],,,Rural,Farm Words,[none],also farm bike; four-wheeler,,
quad-biking,,noun,,,[none],,,[none],,[none],,,
Quadrangular,,noun,,"the annual `quadrangular' rugby union tournament between Nelson College, Wellington College, ....",[none],,,[none],,[none],,,Secondary Schools
Quadrunner,,noun,,brand of farm bike,[none],,,[none],,[none],,,
quail,,noun,,1. any of various related Eurasian ground-dwelling birds. 2. any of a number of similar but unrelated birds elsewhere,[none],,,[none],,[none],also Californian quail,,
quail,,noun,2,a small brown ground-dwelling bird introduced from Australia and naturalised in the North Island.,[none],,,[none],,[none],,,
quail,,noun,,koreke,[none],,,[none],,[none],also New Zealand quail,,
quail hawk,,noun,,,[none],,,[none],,[none],,,also quail-hawk
quail on,,phrase,,,,,,[none],,[none],,,
quake porn,,noun,,,[none],,,[none],,[none],,,salciously wallowing in the horrors of the Canterbury earthquake
quaker bird,,noun,,,[none],,,[none],,[none],,,
Quaky Isles,,noun,,New Zealand,[none],informal,,[none],,[none],,,? Australian journalese
quality number,,noun,,,[none],,,[none],,[none],,,
quangocide,,noun,,,,,,[none],,[none],,,May 1986 re Hon G.Palmer
quardle oodle ardle wardle doodle,,phrase,,refrain to Denis Glover's poem 'The Magpies',[none],,,[none],,[none],,,
quart-pot,,noun,,a tin vessel originally imported as a measure,,,,[none],,[none],,,
quarter,,noun,,,[none],,,[none],,[none],contrast half-loaf,,"also (below) quarter loaf, quarter white"
quarter,,noun,2,,[none],,,[none],,[none],,,half a side?
quarter,,noun,3,,[none],,,[none],,[none],,,
quarter loaf,,noun,,,[none],,,[none],,[none],,,
quarter-acre,,noun,,,[none],,,[none],,[none],,,
quarter-acre act,,noun,,,[none],,,[none],,[none],,,
quarter-acre allotment,,noun,,,[none],,,[none],,[none],,,
quarter-acre,,noun,,,,,,[none],,[none],,,
quarter-acre pavlova paradise,,phrase,,Austin Mitchell's satirical term for middle-class NZ,[none],,,[none],,[none],,,
quarter-acre section,,noun,,,[none],,,[none],,[none],,,? did this concept or practice originate in the Otago Settlement) (1843) 1971 Speeches and Documents 24 quoting
quarter-back,,noun,1,a comeback or offspring of a crossbred ewe and a Merino ram.,[none],,,Rural,Farm Words,[none],quarter-bred; comeback,,
quarter-back,,noun,,sheep,,,,[none],,[none],,,>[AND check: Wallace here an Austr cit:-->1891 Wallace Rural Economy and Agriculture 360 When a pure Merino ram is put to a cross ewe the produce is termed a `come -back' or `quarter-back'.
quarter-bred,,noun,,a sheep,,,,[none],,[none],,,
quarter-bred,,adjective,1,[of wool or progeny] from a sheep comprising three quarters Merino blood and one quarter long wool.,[none],,,Rural,Farm Words,[none],,,
quarter-caste,,noun,,,,,,[none],,[none],,,
quartercut,,adjective,,,[none],,,[none],,[none],,,
quarters,,noun,,"shortened form of ""shearers' quarters""",,,,[none],,[none],,,
quartz mine,,noun,,,[none],,,[none],,[none],,,
quartz-leader,,noun,,,[none],,,[none],,[none],cf. leader,,goldmining
quartz-miner,,noun,,,,,,[none],,[none],,,
quartz-mining,,noun,,,[none],,,[none],,[none],,,
quartz-reefer,,noun,,,,,,[none],,[none],,,
quartz-reefing,,noun,,,[none],,,[none],,[none],,,OED 1861 Austr. (So Morris)
quartzmania,,noun,,,,,,[none],,[none],,,>cf AND Diggers mania: ?where is quartzmania: in Thatcher but NOT in Invercargill Minstrel
quartzy,,adjective,,,,,,[none],,[none],,,
quean,,noun,,,,,,[none],,[none],,,
queen,,noun,2,"in NZ from ca 1920 to c 1960, main sense `effeminate person; male homosexual' (So P: 19-20c. obsolescent); since c.1960's, short for DRAG QUEEN, and applied to (and by) transvestites.",,,,[none],,[none],,,
"Queen Anne at the front, Mary Anne at the back",,phrase,,,[none],,,[none],,[none],,,ca1920's Auckland (R.Mason) for instance the Auckland Museum 192? used of Victoria University's Hunter Building6 nf spec. P;
queen bee,,noun,,a career woman who is not a feminist.,[none],,,[none],,[none],,,ca1981 Wellington women
queen bird,,noun,,,[none],,,[none],,[none],jimmy bird,,
queen cake,,noun,,,[none],,,[none],,[none],,,
queen carnival,,noun,,,[none],,,[none],,[none],,,
Queen City,,noun,,,[none],,,[none],,[none],,,
Queen Elizabeth II Trust,,noun,,,[none],,,[none],,[none],,,also QEII Trust; in full Queen Elizabeth II National Trust
queen,,noun,,,,,,[none],,[none],,,In the Maori context
queen paua,,noun,,"yellow-footed or queen paua, <i>Haliotis australis</i>",[none],,,[none],,[none],,,
queen scallop,,noun,,"a common commercially-harvested bivalve, Pecten novaezelandiae; also a smaller cold water scallop Chlamys delicatula.",[none],,,[none],,[none],,,
Queen Street,,noun,,,[none],,,[none],,[none],,,
Queen Street farmer,,noun,,an absentee owner of farm property.,[none],,,[none],,[none],,,use can be derogatory
Queen Street farmer,,noun,1,a farmer who is not considered to be genuinely interested in stock and farming or a city businessman who owns farmland for tax purposes.,[none],,,Rural,Farm Words,[none],Cashel Street cocky,,
Queen Street lawyer,,noun,,,[none],,,[none],,[none],,,
Queen Street massacre,,noun,,,[none],,,[none],,[none],,,
Queen's chain,,noun,,,[none],,,[none],,[none],,,"1969 Coastal Development. Proceedings of a Symposium held in Auckland on 29th and 30th August, 1969. It is in this, in a paper by J.D. O'Brien, Commissioner of Crown Lands, that the information about Cass decreeing there should be a chain in 1851 is first stated to my knowledge. Haven't tracked down the original proclamation or by-law by Cass]."
queenie,,adjective,,effeminate; soft,[none],,,[none],,[none],,,"->1937 Marsh Vintage Murder 72 [see quot. corker] -->1937 Vintage Murder 145 Including the queenie voice. -->P: (B 1942) effeminate, soft: Austr: since ca 1910 -->?2. [=?] -->1948 ? Ballantyne 261 -->1966 Stead Short Stories 186 -->[nf OEDS']"
queenie,,noun,,,[none],,,[none],,[none],,,
Queenite,,noun,,(? journalists' name for) a North Island Maori loyal to the Queen (Victoria),,,,[none],,[none],,,"a =FRIENDLY (cp KINGITE, from which it was probably formed)"
queenmaker,,noun,,,[none],,,[none],,[none],also kingmaker,,
Queenstown weed,,noun,,,[none],,,[none],,[none],,,
queer as Chloe,,phrase,,,,,,[none],,[none],,,
Quego,,noun,,,[none],,,[none],,[none],,,
quencher,,noun,,ice block,[none],,,[none],,[none],,,From <i>N.Z. English to U.S. English Dictionary</i> at http://nz.com/NZ/Culture/NZDic.html. Not known to DEH.
quenelle,,verb,,make an oval shape with,[none],,,[none],,[none],,,
quick raffle/quickfire raffle,,noun,,,[none],,,[none],,[none],-,,
"Quick, the",,noun,,sanatorium,[none],,,[none],,[none],,,(from Orsman) 1952 Wellington (? informant) (? play on quicksand: you go in to die)
quicks,,noun,,"boxthorn: (i) introduced as `quick' or `quicks' / `quickset?'( on which of O.E.D. and E.D.D. relate especially to boxthorn. (ii) Maori field as kuiki while (iii) the English original seems to have dropped out in the Eastern Bay of Plenty; the Maori persisted, to be revived as anglicised Maori, emerging as `quicks' again with referents conflated to include hawthorn.",[none],,,[none],,[none],,,"6 Nov 1974 Kendrick Smithyman Probable location: mainly Opotiki - Cape Runaway. Secondary area possibly around Kaikoura. In Bay of Plenty, history seems to be"
quidlet,,noun,,,,,,[none],,[none],,,
quiet,,noun,,a quiet drink,[none],,,[none],,[none],,,
quiet cell,,noun,,detention block at Paremoremo,[none],,,[none],,[none],,,prison slang
quillwort,,noun,2,<i>Isoetes Kirkii </i>,,,,[none],,[none],,,1910 Cockayne NZ Plants and Their Story (And)
quimful of cold tea,,phrase,,,[none],,,[none],,[none],-,,nf P8
quince paste,,noun,,,[none],,,[none],,[none],,,
quinella,,noun,,,,,,[none],,[none],,,
quintinia,,noun,,,[none],,,[none],,[none],,,1906 Laing and Blackwell Plants of NZ (And)
quirly,,noun,,cigarette,,,,[none],,[none],,,
