Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
Ra,1778,Observations Made During a Voyage,FORSTER,284,,A Comparative Table of the Various Languages in the Isles of the South-Sea ... [English] The Sun ... [New-Zeeland] he ra [a-macron grave] [????],
Ra,1840,Manners & Customs of the NZers,POLACK,1/244,,"The traditional inventions relative to the sun (Ra[acute]) and moon (Morama[a1-acute]) are innumerable; Rona is the `man [245] in the moon,' whose lodgings on earth have been vacated previous to the decease of Mawi[a-acute].",
Ra,1908,Shingle-Short,BAUGHAN,46,,Ra (Rah): The Sun,
Ra,1949,"Coming of the Maori, The",BUCK,"2/205, 4/441",,,
ra ra room,Mar 2003,NZ Geographic,,62/92,,"Shearers and shedhands move into the room next door - the ""ra ra"" room, Hugh calls it - each with their ration of beer for the night.",
ra-ras,"Jan 15, 2006",Sunday Star Times,,B9,,"..as [they] pointed out, state house rugby has always been looked at with disdain by the ra-ras.",
rabbit,"Oct 24, 1883",Tuapeka Times,,3,,"The next run hadn't been properly rabbited, and his run was so rough that an Inspector couldn't do any more himself; even a dog could hardly run amongst the scrub.",
rabbit,1929,Whitcombe's Etym. Dict. Aust-NZ Suppl.,,9,,rabbit v.t. to render an area free from rabbits.,
rabbit,"Nov 18, 1933","Press, The",McCASKILL,15,,"Rabbit.- To kill rs., to be employed as a rabbiter. (C.) He may be a permanent or a temporary hand, or may take a block for the skins. He may use dog, gun, and spade, poison, or traps. ([1898 Morris Austral-English])",Acland Glossary
rabbit,1969,Molesworth,McCASKILL,128,,Leighton said: ` ... To attempt to rabbit Molesworth [a station] with unemployed would involve the presence of an ambulance.',
rabbit block,1959,Tall Tussock,McLEOD,27,,"At the end of the [mustering] season they took a rabbit block together, and had quite a good winter. <i>Ibid.,</i> 124 ~: A contract to catch rabbits on a certain piece of country, either for wages or for the skins.",
Rabbit Board,"Oct 4, 1887",Evening Post,,2,,"At a meeting of the Awatere Rabbit Board, the Chairman read a letter from Mr. Beaumont, a runholder, who has made various experiments in getting rid of the rabbit pest on his property.",
Rabbit Board,"Jun 4, 1881",Otago Witness,,13,,"Mr Huddlestone, the clerk and inspector to the Rabbit Board, states that he saw a kea attacking a rabbit.",
Rabbit Board,"May 5, 1908",Hawera & Normanby Star,,7,,"Speaking at a meeting of the Rabbit Board, the Chairman (Mr T. Crosse) drew attention to the proposal to erect a rabbit canning factory at Waikato, and declared that any attempt to use the rabbit commercially would seriously handicap the efforts to cope with the pest.",
Rabbit Board,1971,Our Open Country,HENDERSON,242,,The chaps working for the Rabbit Board were coming to take away our old draught horses.,
Rabbit Board,"Mar 25, 1943",NZ Farmers' Weekly,,34,,Our local Rabbit Board has not employed a rabbiter for the last six months.,
Rabbit Board,"Sep 11, 1880",Otago Witness,,16,,"TUTURAU RABBIT BOARD. Notice to Landowners in the Tuturau Rabbit District. The Trustees of the above Rabbit District have this day levied a RATE of 1/4d per acre, in terms of Clause 9 of the Rabbit Nuisance Ordinance.",
Rabbit Board,"Aug 6, 1881",Otago Witness,,21,,"At present rabbit districts can only be constituted by the Governor on petition, and rabbits must be found in great numbers before the settlers will take on themselves the additional burden and taxation which the existence of a rabbit board implies.",
Rabbit Board,"Aug 14, 1890",Evening Post,,2,,The Wairarapa North Rabbit Board have offered a subsidy of 10s per pair of ferrets turned out by ratepayers in the district.,
Rabbit Board,"Sep 3, 1879",Southland Times,,2,,"Holding, then, these views it was with satisfaction that we observed that the Wallace County Council, at its last meeting, showed that it, at least, has other ideas besides the making of roads and bridges, by taking action as to the amalgamation of rabbit boards with country councils, a step, as we think, in the right direction, and one which we commend to the attention of such local bodies and Parliamentary constituencies as may be interested therein.",
Rabbit Board,"Mar 28, 1925",NZ Truth,,6,,"Why the rabbit-poison supplied by the Government is - in the opinion of the Rabbit Boards - so poor in quality, and whether some of the dope with which Ministers try to chloroform the people would not be much more effective if tried on the rabbits?",
Rabbit Board,1971,Catching Up,ARMFELT,67,,Kane Potts ... helped Terence on the Rabbit Board.,
Rabbit Board,1984,"Knapdale Run, The",KERSE,195,,"However, about the 1950s, a new concept of rabbit control was emerging. This was `Rabbit Board' control. Within a defined area, the farmers, as rate-payers, elected the members of the Board whose task was to destroy the rabbits within that area. But by no means did the Otama Rabbit Board have a gentle and smooth passage to life.",
Rabbit Board,1985,G'day Country,McGILL,121,,"When he was at Blenheim school he used to hitch his way, where his brother was on the Rabbit Board.",
Rabbit Board,"Sep 20, 1932",Otautau Standard & Wallace County Chronicle,,4,,"To his mind it was a dangerous scheme to start as a big proportion of the farmers did not need this assistance and if the ""Rabbit Board"" was formed, extra expense would be put on all farmers.",
Rabbit Board,2008,NZ Geographic,,94/93,,In their hey-day (1960) there were 210 Rabbit Boards.,
rabbit camp,"Oct 8, 1896",Otago Witness,,50,,"The working men are seen no more in hut or rabbit camp, / The stockwhip never will be heard about the river swamp, / No more the mighty fleeces crown the bins like drifted snow, / No more princely rams go down, the wonder of the show ...",
rabbit camp,"May 6, 1926",NZ Truth,,7,,"He added that he would take her to a rabbit-camp with him, though the girl did not know what a rabbit camp was.",
rabbit camp,"Aug 8, 1884",Hawke's Bay Herald,,4,,"The hills and downs showed one large rabbit camp, and quantities of dead rabbits.",
rabbit camp,1897,Station Ballads,McKEE WRIGHT,44,,,
rabbit camp,1897,Station Ballads,WRIGHT,44,,Rabbit camp.,
rabbit camp,1969,Molesworth,MCCASKILL,116,,He then set out over the Robinson Saddle for the rabbit camp on the shore of Lake McRae.,
rabbit cart,"Apr 19, 1900",Otago Witness,,4,,"One notices the rabbit cart going the rounds of the district now, and by all appearances the rabbiters are having a good opening.",
rabbit cart,"Mar 3, 1900",Mataura Ensign,,3,,"FOR SALE, CHEAP. SECOND-HAND Thorough-brace Coach, suitable for Heavy Rabbit Cart, up to two tons.",
rabbit cart,"Jun 19, 1917",Otautau Standard & Wallace County Chronicle,,2,,"FOR SALE. Also Light Spring Cart, suitable for Milk Cart or Rabbit cart. Thoroughly overhauled and painted.",
rabbit cart,"Feb 23, 1899",Otago Witness,,34,,The rabbit cart is not going to run until March 1.,
rabbit cart,"Jun 8, 1912",NZ Truth,,2,,"Lugeon, the old rabbit cart horse, made a star showing at Wingatui.",
rabbit cart,"Jul 15, 1898",Clutha Leader,,6,,"The rabbit cart still plies on the roads, conveying poor bunnies to the packing depot.",
Rabbit Club,"Apr 27, 1876",Daily Southern Cross,,2,,"A club has been formed at Masterton, Wellington province, having for its object the destruction of rabbits. It is to be called the ""Rabbit Club,"" and orders have been sent to Melbourne for a number of greyhounds.",
Rabbit Club,"Aug 30, 1905",Otago Witness,,7,,"""I have before me a copy of the Canterbury Rabbit Club's rules, printed at the Press office in 1875. The 30 gentlemen who formed the club, under a president, other officers, and committee, and a gamekeeper (to protect rabbits from poachers), had undertook the preserving of rabbits on Templar's Island ...""",
Rabbit Club,"Jun 11, 1874","Star, The",,2,,"Coster, ranger, under the Protection of Animals Act, said he saw the accused on the Rabbit Clubs reserve on Messrs Ford and Newton's run, with dogs and guns, twice.",
Rabbit Commissioner,"Jul 8, 1876",Otago Witness,,19,,"The Rabbit Commissioner's report was characterised as calculated to injure Southland, and to retard settlement.",
Rabbit Committee,"Jun 19, 1875",Otago Witness,,7,,THE RABBIT COMMITTEE .. The following resolution shows that the Rabbit Committee were far too much in earnest to be very choice in their language.,
rabbit country,1892,Letter,ACTON-ADAMS,153,,I enclose a copy of my income-tax returns to prove to you how unprofitable this rabbit country is.,in McCaskill (1969) Molesworth
rabbit district,"Aug 6, 1881",Otago Witness,,21,,"At present rabbit districts can only be constituted by the Governor on petition, and rabbits must be found in great numbers before the settlers will take on themselves the additional burden and taxation which the existence of a rabbit board implies.",
rabbit dog,"Apr 1, 1882",Otago Witness,,22,,"- After discussion, on the motion of Cr DUNCAN, seconded by Cr ORBELL, it was resolved - ""That the clerk of this Council reply to the ratepayers in Waihemo with regard to the petition in reference to rabbit-dogs, informing them that the rabbit inspector is the person to make the application to.""",
rabbit dog,"Feb 3, 1876",Southland Times,,3,,"WANTED 12 Rabbit Dogs, from 6 months to 3 years of age. Terriers and collies preferred.",
rabbit dog,"Nov 18, 1933","Press, The",,15,,"Rabbit dogs.- Those spoken of such include greyhounds, lurchers, spaniels, and nondescript terriers; sometimes retrievers. They were called the r. pack and in the `nineties some station r.ps. had as many as 30 dogs in them. If one of them retrieved he was called a carrier and sometimes rabbiters point out a dog as a great nester (smeller out of r. nests). (C.)",Acland Glossary
rabbit dog,"Feb 8, 1894","Star, The",,3,,"It was resolved that the dog tax for the ensuing year should be as follow:- Sheep and rabbit dogs 2s 6d each, all other dogs 5s each, and the police were appointed collectors of the tax.",
rabbit dog,"Aug 2, 1921",Ashburton Guardian,,1,,WANTED to Sell - Good Rabbit Dog.,
rabbit dog,Dec 1912,NZ Journal of Agriculture,,605,,This later gang should be provided with a few quiet-working rabbit dogs to 'hole' any rabbits that may be in the grass or scrub.,
rabbit dog,"Nov 18, 1993","Press, The  (Acland Glossary)",,15,,"Rabbit dogs.- Those spoken of such include greyhounds, lurchers, spaniels, and non-descript terriers; sometimes retrievers.",
rabbit dog,1996,Tales of a Tussock Jumper,STACEY,117,,"My brother-in-law was riding down the Ure River, by Boar Gully, with his rabbit dogs..",
rabbit dog,"Mar 13, 1906",Wanganui Herald,,7,,"A fox-terrier, a member of a team of rabbit dogs, ran into a thicket of manuka scrub, and did not come out again.",
rabbit,1935,Adventuring in Maoriland in the Seventies,MEREDITH,59,,"He [a six foot seven inch player] was chasing the smallest member of the [football] club, who was running with the ball; when close up to his quarry, the little fellow `rabbited' him. The giant went sprawling and the little fellow jumped up and continued his run amid roars of laughter from the spectators.",c1870's
rabbit,1947,Big Game,GASKELL,8,,Offside a mile. Rabbiting. You handled it on the ground.' `Free-kick be damned ... It was a good forward's try. Right out the book.',
rabbit,1977,Listener Short Stories,,6,,`Offside a mile. Rabbiting. You handled it on the ground.' `Free-kick be damned ... It was a good forward's try ...,1944 Gaskell in 1977 N.Z. Listener Short Stories 6
rabbit,1978,All Part of the Game,GASKELL,33,,`Offside a mile. Rabbiting. You handled it on the ground. ...',1944 Gaskell `Big Game' in 1978 All Part of the Game 33
rabbit,"Sep 6, 1973",Dominion,,16/7,,"... the big Jeremy Janion decided to go on his own, only to be picked up in a tackle of the covering Dougan. Janion then wriggled his way over the line but rightly was penalised for rabbiting.",
rabbit,1988,"Dictionary of Kiwi Slang, A",McGILL,91,,rabbiting illegal carrying of grounded rugby ball over try line. NZA.,
rabbit,1948,History of NZ Rugby Football,SWAN,70,,"Members of the City Clubs held a meeting to modify the Laws of the Game... This meeting, on June 19, decided that :- ""Slinging, Rabbiting and Butting be added to Rule 57.""",From 1877
rabbit,"Jul 4, 1930",Northern Advocate,SWAN,7,,"After ""rabbiting"" for a while, Abbott all but scored as a result of such a movement.",
rabbit,1978,Men of God,GLOVER,10,,"On the way out at the gate Joe [an ex-convict] hesitated then said to himself, No, it wouldn't be fair to rabbit the old codger's letterbox.",
rabbit,"Mar 25, 1988",Dominion Post,,1,,"The court was told that Kennedy was a `rabbit' or junior associate, of the Rastafarians and acted on the instructions of two senior members.",
rabbit factory,"Sep 18, 1889",Tuapeka Times,,2,,There is some talk of a rabbit factory being started at Heriot.,
rabbit factory,"Jan 8, 1890",Tuapeka Times,,2,,In the Marlborough district the landowners were being ruined and their property devastated until the establishment of the rabbit factory in the centre of the infested district.,
rabbit factory,"Jan 17, 1906",Otago Witness,,61,,"The Mount Ida Chronicle is informed that the old rabbit factory at Waipiata is being fitted up as a sanitorium, under the supervision of Dr Martin, of Dunedin.",
rabbit factory,"Aug 24, 1915",Evening Post,,8,,"A man named Cossgrove , who had been employed at Spain and Company's rabbit factory at Alexandra, was found dead at the foot of a cliff yesterday.",
rabbit factory,"Nov 24, 1885",Marlborough Express,,3,,"Claim for GBP5, balance of GBP10 drawn from the Rabbit Factory on account of Scott and Laurie and Walshe and Taafe, who had been rabbiting together at Meadow Bank.",
rabbit factory,"Apr 21, 1931",Otautau Standard & Wallace County Chronicle,,1,,"There were pictures of the Coal and Copper Mines, the Rabbit factory, the Catholic Church with grass like velvet and a latticed fence smothered with pink, red and white roses overlooking the Heather Hill.",
rabbit factory,1980,"Land of Munros, The",NEAVE,40,,[caption] Taking a load of rabbit carcases to the Kurow Rabbit Factory established by Thompson and Finlayson in 1891.,
rabbit fence,"Jun 15, 1883",North Otago Times,,2,,"The furry pest is not yet in the province, but has spread to the rabbit fence on the southern boundary ...",
rabbit fence,"Jul 23, 1906",Wanganui Herald,,5,,"The body of Angus Hart, a rabbit fence keeper, of Balmoral has been found in the Dove River.",
rabbit fence,"Apr 9, 1913",Evening Post,,3,,"En route, the traveller croses [sic] the Hawkes Bay boundary, and also passes through the rabbit fence, which runs from the Pahiatua side right through to the sea at Akitio.",
rabbit fence,"Feb 7, 1901",Letter,ACTON-ADAMS,,,By an agreement ... dated 25 July 1899 they agreed that `the said WActon-Adams might depasture cattle ... northward ... of the rabbit fence which runs along the Clarence and over Maling's Pass.',1901 Feb 7 Acton-Adams Letter in 1969 McCaskill Molesworth 85
rabbit fence,1902,"Settler's Handbook of NZ, The",,216,,"[Rabbit Nuisance Act] Rabbit-proof Fencing. [heading] Rabbit Fences. - In respect of rabbit fencing, the different legal rabbit-proof fences are:- ...",
rabbit fence,1938,High Country,BURDON,163,,"Though rabbit fences are still used by individuals, no attempt has since been made to protect a whole province, as in 1887.",
rabbit fence,1987,Candles and Canvas,CHRISTIE,121,,The local county council employed a full-time rabbit inspector to visit farmers and ensure that active steps were taken to eradicate the pest and to enforce the erection of rabbit fences on the perimeter of those farms bordering the wasteland.,
rabbit fence,"Sep 5, 1881",Hawke's Bay Herald,,3,,Tenders are now invited by the trustees for splitting and hauling of timber for the erection of six miles of rabbit fence to be erected on Akitio run.,
rabbit fence,"Jun 11, 1889",Waipawa Mail,,2,,"The rabbit fence, it had been shown, has been carried within seven miles of the junction of the Tiraumea and the Manawatu.",
rabbit fence,1902,"Settler's Handbook of NZ, The",,217,,All rabbit fences may be declared sufficient under the Fencing Act,
rabbit fence,1952,High Country Journey,NEWTON,179,,"Beyond the rabbit fence, at the mouth of Steyning Creek, we sidled down some narrow faces. These rabbit fences are a feature of this part of the country.",
rabbit fence,1973,Boot in the Stirrup,SINCLAIR,75,,"He put them through the rabbit fence into Fisher's Hope, then rode back to the hut.",
rabbit fence,1973,Boot in the Stirrup,SINCLAIR,76,,"For the benefit of those who've not seen a rabbit fence, they have wire netting from about the second top wire, down to eighteen inches deep in the ground.",
rabbit fence,2000,"Southern Hawke's Bay Rabbit , The",POULTON,xi.,,I first became aware of the Rabbit Fence as a child in the 1930s. Rabbit fence separating Hawke's Bay and Wellington Provinces was 52 miles stretching from coast to Woodville in 1884.,
rabbit fence,Feb 2002,Historic Places,,84 / 33,,"A rabbit fence separates Birch Hill from Glentanner, the next station down the Tasman River.",
rabbit fence,"Mar 24, 1891","Star, The",,3,,"The Royal Commissioners appointed by Parliament to examine and report upon the efficiency of the two rabbit fences in Canterbury, and to state whether in their opinion the money these have cost has been judiciously expended, have just been engaged in an exhaustive inspection of the South Canterbury rabbit fence.",
rabbit gate,1990,"Bryans, The: At Home on the Farm",BENNETT,33,,On the Taranaki end of the bridge a mesh gate was installed. It was called the rabbit gate and was designed to stop the rabbits coming from Auckland province into Taranaki.,
rabbit gate,2000,"Southern Hawke's Bay Rabbit , The",POULTON,xi,,The rabbit gate was in a saddle at 1780 ft on top of the Waewaepa Range.,
rabbit gate,"Jan 10, 2001",Taranaki Daily News,,2,,Mokau resident Ian Whittaker said a 10-minute ceremony at the Southern end of the bridge at 8pm on Saturday would re-enact history with the symbolic closing of a replica of the old 'rabbit gate.',
rabbit gate,2001,NZ Memories,,June/July 63,,"By law, motorists still had to contend with a 'rabbit gate' stationed at each end of the bridge.",
rabbit inspector,"May 15, 1880",Tuapeka Times,,2,,Mr. Bamford (Rabbit Inspector) furnished the Council with an account amounting to GBP3 15s 3d being wages of men employed destroying rabbits on the Benger commonage.,
rabbit inspector,"Apr 8, 1911",Grey River Argus,,3,,"Piripi Waaka was fined GBP5 and costs 9s for failing to obey an order of the Court to destroy rabbits on his property. The charge was preferred against the native by L.C. Webb, rabbit inspector, who stated that accused stopped work before the pest was satisfactorily dealt with.",
rabbit inspector,"Jun 15, 1895",Evening Post,,4,,"Nearly every Rabbit Inspector in the Australasian Colonies swears by it, and yet when, in 1884 - 1886, we suppressed the rabbit in South Wairarapa - over 1,500,000 acres of land - rabbit-fencing was avioded as a remedy.",
rabbit inspector,"Mar 22, 1879",Otago Witness,,11,,"A letter was received from Mr. D. Mackellar, Tapanui, pointing out that a great deal of destruction was occasioned by the wholesale cutting of bush in that district, and suggesting the appointment of Mr. Bamford, rabbit inspector, to have an oversight of the bush in that locality.",
rabbit inspector,"Jun 14, 1921",Otautau Standard & Wallace County Chronicle,,3,,The Clerk was instructed to direct the lessee of the Domain to clear rabbits to the satisfaction of the Rabbit Inspector.,
rabbit inspector,"Apr 8, 1897",Otago Witness,,15,,"It is to be hoped, with our acts of Parliament and rabbit inspectors, that we will make an end of bunny this time; but rabbiting is not the gold mine of years gone by.",
rabbit inspector,1889,TrNZI,,21/429,,... a reference to Mr. Bayley's (the Chief Rabbit Inspector of the colony) annual report for 1888 will show that the Government and every Rabbit Inspector are willingly allowing the use of traps,
rabbit inspector,"Jan 1, 1893",Letter,ACTON-ADAMS,,,"I hereby surrender to the Crown my licence of the Tarndale back country. I find it impossible to comply with the requirements of the present Rabbit Inspector. <i>Ibid.,</i> 93 [See quot. RABBITING vbl. n.]",1893 Jan 1 Acton-Adams letter to Commissioner of Crown Lands in 1969 McCaskill Molesworth 78
rabbit inspector,Dec 1950,NZ Journal of Agriculture,,517/2,,"->[include the famous story of rabbit inspector] -->nf OED, W3",
rabbit inspector,1987,Candles and Canvas,CHRISTIE,121,,The local county council employed a full-time rabbit inspector to visit farmers and ensure that active steps were taken to eradicate the pest and to enforce the erection of rabbit fences on the perimeter of those farms bordering the wasteland.,
rabbit inspector,"Apr 8, 1930",Otautau Standard & Wallace County Chronicle,,4,,The rabbit Inspector notified the Board to fumigate rabbits in embankments and close up rabbit holes.,
rabbit inspector,Dec 1950,NZ Journal of Agriculture,,517,,The rabbit inspector at Ashburton was sufficiently alarmed by the discovery of a colony of rabbits in the Upper Rangitata to recommend the building of a rabbit-proof fence from the upper reaches of the river to the sea.,
rabbit net,"Aug 28, 1890",Southland Times,,3,,"I, Charles G. Thurston, do agree to transfer all my right in perpetual lease sections 5, 6, 7, and 8, block 2, Wendonside district, and to build a six-roomed house, plant 1000 forest trees and 500 fruit and rabbit net them in; also, put up a windmill and fix same to pump to lift water for domestic use ...",
rabbit pack,"Jun 9, 1910",Grey River Argus,,8,,"Now uncle keeps a rabbit pack, to earn an honest penny, / And in the pack of nondescripts the breeds are mixed and many.",
rabbit pack,"Feb 5, 1902",Otago Witness,,54,,"A rabbit pack belonging to a rabbiter working on the Brothers Range, near Fairlie, captured a splendid specimen of either a kangaroo or a wallaby the other day.",
rabbit pack,"Oct 9, 1890",Otago Witness,,27,,They are supposed to be dogs that originally belonged to rabbit packs.,
rabbit pack,1975,"Silver Tussock, The",EVANS,122,,"The dogs were a mixture of collies, lurchers, spaniles, greyhounds and terriers. It was an excellent rabbit pack.",
rabbit pack,1980,"Dog's Life, A",MCGREGOR,36,,"During the early days some of the stations had their own rabbit packs and kept a special horse which the dogs were in the habit of following. The story is told of a new hand on a Wairarapa station, whose first job was to ride out with the rabbit pack.",
rabbit pack,2000,Rabbiters' Glossary,SCURR,3,,rabbit pack: the dogs in a rabbiter's team.,
rabbit proof gate,"Oct 21, 1924",Otautau Standard & Wallace County Chronicle,,1,,"G. A.F. Wilding, Ohai, applied for permission to erect two rabbit proof gates across the Wairaki settlement road between Sections 75 and 80, and Sections 79 and 91.",
rabbit proof gate,"Oct 16, 1890","Star, The",,4,,"A letter was read from Mr C. R. Campbell, stating that a rabbit proof gate will be erected on the North side of the Lower Hurunui traffic bridge, as requested by the Board.",
rabbit proof gate,"Jul 6, 1895",Marlborough Express,,4,,The Board resolved to further enquire concerning the rabbit proof gate on the Delta flat before taking any action.,
rabbit sick,1969,Molesworth,MCCASKILL,157,,The Commissioner of Lands made a personal inspection and wrote to the Under-Secretary - 'The greater part of the best land is rapidly becoming rabbit sick.',
rabbit-cart,"Feb 10, 1921",Quick March,,45,,"We were struggling home with a big night's catch [of rabbits] - struggling down to the road-line, along which the rabbit-cart would travel next day.",
rabbit-fencing,"May 7, 1886",Otago Witness,,5,,It was suggested that settlers should be empowered to combine and form rabbit-fencing districts.,
rabbit-fencing,"Jun 15, 1895",Evening Post,,4,,"Nearly every Rabbit Inspector in the Australasian colonies swears by it, and yet when, in 1884-1886, we suppressed the rabbit in South Wairarapa - over 1,500,000 acres of land - rabbit-fencing was avoided as a remedy.",
rabbit-fencing,"Sep 29, 1888",Tuapeka Times,,2,,"The tender of Mills and Co., of Wellington, has been accepted for forty-six miles of rabbit-fencing material to complete the fence in South Canterbury, from Lake Pukaki to the Waitaki River.",
