Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
Sa,,noun,,Samoan,[none],,,[none],,[none],,,
SAB,,abbreviation,,(person from) south of Auckland and beyond,acronym,,,[none],,[none],,,
sabretooth,,noun,,"the fish, <i>Evermanella indica </i>",,,,[none],,[none],,,
sabu,,noun,,a self-adjustable balls-up,[none],,,[none],,[none],"cf. safu, tabu",,
sacaline,,noun,,,,,,[none],,[none],,,
sack,,verb,,to put a sack over a horse's head in the bucking chute to quieten it down,,,,[none],,[none],,,
sack up,,verb,,to go to bed,,,,[none],,[none],,,ca1940 Les Cleveland (Also used during WW2).
sack-bashing,,noun,,sleeping,[none],,,[none],,[none],,,
sacks on the mill,,phrase,,variant of stacks on the mill,[none],,,[none],,[none],,,
sacrie,,noun,,<i>Stilbocarpa polaris</i> [AND],,,,[none],,[none],,,
sacrifice paddock,,noun,,,[none],,,[none],,[none],,,
sacrifice paddock,,noun,1,"a fenced area on which a farmer will bring in silage, hay or other feed to stock in very wet weather , causing the sward to be pugged and trampled.",[none],,,Rural,Farm Words,[none],,,
SADD,,abbreviation,,Students Against Driving Drunk,[none],,,[none],,[none],,,
saddle,1,noun,,,,,,[none],,[none],,,
saddle piece,,noun,,,[none],,,[none],,[none],,,
saddle pole,,noun,,,[none],,,[none],,[none],,,
saddle rifle,,noun,1,a hunting rifle.,[none],,,Rural,Farm Words,[none],,,
saddle slide,,noun,1,"a discomfort in a rider through movement in a saddle [especially when riding on steep country or when stirrups are too long, or girth is loosened slightly.]",[none],,,Rural,Farm Words,[none],,,
saddle track,,noun,,a track across the saddle of a hill,[none],,,[none],,[none],,,
saddle with,,verb,,to join by or across a hill-saddle,,,,[none],,[none],,,
saddle-hack,,noun,1,a utilitarian saddle-horse.,[none],,,Rural,Farm Words,[none],,,
saddle-shed,,noun,1,a shed where harness and saddlery are kept [often attached to a stable. ],[none],,,Rural,Farm Words,[none],,,
saddleback,,noun,,"a bird, the tieke",,,,[none],,[none],,,
saddleback,,noun,,a ridge,[none],,,[none],,[none],,,
saddleback ridge,,noun,,,[none],,,[none],,[none],,,
saddleback timbering,,noun,,,[none],,,[none],,[none],,,
saddletweed,,adjective,,[of trousers] made of strong woollen twill fabric [teamed with tartan shirt and hobnailed boots as a high-country worker's 'uniform'].,[none],,,Rural,Farm Words,[none],,,
saddletweeds,,noun,1,trousers made from saddletweed fabric.,[none],,,Rural,Farm Words,[none],,,
saddling paddock,,noun,1,"an area of a station property or sports ground where horses are saddled prior to use, showing or competition.",[none],,,Rural,Farm Words,[none],,,
saddling paddock,,noun,,,[none],,,[none],,[none],,,also saddling enclosure?
saeeda,,exclamation,,,[none],,,[none],,[none],,,
SAFE,,abbreviation,,Save Animals From Exploitation,acronym,,,[none],,[none],,,
safe country,,noun,1,"winter country, i.e. land where sheep can graze for the winter without becoming snow-bound.",[none],,,Rural,Farm Words,[none],winter country,,
safe house,,noun,,,[none],,,Environment,,[none],,,
safe paddock,,noun,1,"a field close to a woolshed, cowshed, stable or homestead where stock can receive ready attention.",[none],,,Rural,Farm Words,[none],,,
safe paddock,,noun,,"a paddock that is low-fertility, free of disease or of conditions that create disease.",[none],,,Rural,Farm Words,[none],,,
safen,,verb,,to make safe,,,,[none],,[none],,,
safety-proof,,verb,,make something safe (the intended meaning at least),[none],,,[none],,[none],,,
Saffa,,noun,,South African,[none],,,[none],,[none],,,
safing,,noun,,"anchoring, belaying",[none],,,[none],,[none],,,
safu,,noun,,a self-adjusting fuck-up (cf. also US TARFU things are really fouled up),[none],,,[none],,[none],cf. sabu,,
sag,,noun,,sausage,[none],,,[none],,[none],,,ca1945-46 D Close Letter May 1951 (used in Auckland Tramping Club)
sage,1,noun,2,,,,,[none],,[none],,,
sage,1,noun,2,,,,,[none],,[none],,,
sage,1,noun,2,,,,,[none],,[none],,,
Sail City,,noun,,Auckland,[none],,,[none],,[none],,,
sailer,,noun,,"a falling tree branch, esp. from a tree being felled (one that sails through the air)",[none],,,[none],,[none],"cf. pigeon, widow-maker",,
sailer,,noun,1,[bush-felling] a loose branch.,[none],,,Rural,Farm Words,[none],,,
sailfish,,noun,,,,,,[none],,[none],,,
sailor-boys,,noun,,,,,,[none],,[none],,,ca1900 R.Mason `Cloud-puffs wind-blown across the face of a hill.'
sailors' lights,,noun,,phosphorescence in sea,[none],,,[none],,[none],,,1933 ?Eaddy
sailors' purse,,noun,,,[none],,,[none],,[none],,,
salad bowl,,noun,,,[none],,,[none],,[none],,,
salad burnet,,noun,,,[none],,,[none],,[none],,,
salading,,noun,,,[none],,,[none],,[none],,,
salami syndrome,,phrase,,,[none],,,[none],,[none],,,
sale,1,noun,2,"spew(usually from a surfeit of liquor) and in various constructions, from ca1940 at least (Les Cleveland) and in various expressions",,,,[none],,[none],,,ca1945 I slipped in a mess of sale outside the pub.
sale crutch,,noun,1,a removal of dirty wool from rear ends of lambs or sheep prior to sale.,[none],,,Rural,Farm Words,[none],,,
sale day,,noun,,a regular day of the week on which a stock sale is held at a particular venue.,[none],,,Rural,Farm Words,[none],,,also saleday
sale day,,noun,,"in country towns, the day on which a farm livestock sale is held",[none],,,[none],,[none],,,also saleday
sale draft,,noun,1,a group of livestock for sale that are separated from a larger group.,[none],,,Rural,Farm Words,[none],,,
sale,,verb,,to vomit (cf. sell out),[none],,,[none],,[none],,,ca1945 I saled on my twentieth beer.
sale muster,,noun,1,the gathering of stock in preparation for drafting or a clearing sale.,[none],,,Rural,Farm Words,[none],,,
sale night,,noun,1,an evening following a stock sale day [usually a social occasion in a rural area.],[none],,,Rural,Farm Words,[none],,,
sale stock,,noun,1,farm livestock to be sold on the hoof.,[none],,,Rural,Farm Words,[none],,,
salesman,,noun,,to be a (good etc.) salesman: to be given to vomiting (after booze),[none],,,[none],,[none],sale,,
saleyard,,noun,,a pen or set of pens where farm livestock is sold,[none],,,[none],,[none],also saleyards,,1946 Peng. N.W. 27/48
saleyard rig,,noun,,"a countryman's best clothes: ?typical saleyard clothes - tweed coats and trousers and hats, or wide- brimmed hats",[none],,,[none],,[none],,,
saleyards,,noun,1,a set of yards and pens used for the purposes of stock auctions [owned either by a local authority or sale agencies.],[none],,,Rural,Farm Words,[none],also saleyard,,
saleyards,,noun,,,,,,[none],,[none],,,
sally up,,verb,,"berate, reprimand",[none],,,[none],,[none],,,also sally-up; ca1900 He sallied him about the way he treated his wife; also as a n or vbl n He gave her a sallying/sally-up.
sally up,,noun,,brisk reprimand,[none],,,[none],,[none],,,also sally-up
sally-bush,,noun,1,matagouri [mainly Central Otago],[none],,,Rural,Farm Words,[none],,,
sallyport,,noun,,,,,,[none],,[none],,,
salmon,1,noun,3,,,,,[none],,[none],,,
salmon,1,noun,2,"chinook salmon, found spawning in South Island rivers",,,,[none],,[none],,,
salmon,1,noun,2,,,,,[none],,[none],,,
salmon,1,noun,2,Gonorynchus gonorynchus =sandfish,,,,[none],,[none],,,
salmon,1,noun,2,,,,,[none],,[none],,,
salmon,1,noun,2,,,,,[none],,[none],,,
salmon,1,noun,,"New Zealand salmon, see KAHAWAI. (obsolesc) usu. with descriptive epithet MAORI, NATIVE, NEW ZEALAND salar, =KAHAWAI [cf AND <i>Arripis trutta </i> 1790 Collins (1798); salmon trout young of A <i> trutta or <i> A esper 1848 Tasmania]",,,,[none],,[none],,,
salmon,1,noun,2,Emmelichthys sp. =ROCKFISH,,,,[none],,[none],,,
salmon,1,noun,2,,,,,[none],,[none],,,
salmon,1,noun,2,,,,,[none],,[none],,,
salmon,1,noun,2,,,,,[none],,[none],,,
salmon,1,noun,2,a local (? Dunedin) name for the introduced brown trout,,,,[none],,[none],,,
salmon,1,noun,2,,,,,[none],,[none],,,
salmon trout,,noun,,kahawai,[none],,,[none],,[none],also sea trout,,
salmon-herring,,noun,,,,,,[none],,[none],,,
salmon-ranching,,noun,,,[none],,,[none],,[none],cf. trout farm,,
saloon,,noun,,>a men's hairdessing establishment,,,,[none],,[none],,,
salp,,noun,,,,,,[none],,[none],,,
salt,1,verb,,to put a stop to,,,,[none],,[none],,,
salt block,,noun,1,a stock lick containing minerals vital to stock growth and health.,[none],,,Rural,Farm Words,[none],,,
salt,2,verb,,? assault,,,,[none],,[none],,,
salt,3,verb,,,,,,[none],,[none],,,
salt lick,,noun,1,a block of mineral salts vital to stock growth and health.,[none],,,Rural,Farm Words,[none],,,
salt mines,,noun,,Paremoremo workshop complex,[none],,,[none],,[none],,,
saltbox roof,,noun,,,[none],,,[none],,[none],,,
saltbush,,noun,,Atriplex sp.,,,,[none],,[none],,,
saltmarsh ribbonwood,,noun,,,[none],,,[none],,[none],,,"<i>Plagianthus divaricatus</i> aka shore ribbonwood, marsh ribbonwood, swamp ribbonwood"
saltwater creek,,noun,,,[none],,,[none],,[none],creek,,
saltwater river,,noun,,,[none],,,[none],,[none],,,
saltwort,,noun,,,,,,[none],,[none],,,
Salty Water,,noun,,a party drug,[none],,,[none],,[none],,,
