Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
V,,verb,,,[none],,,[none],,[none],,,
V,,noun,,a Victory cigarette q.v.,[none],,,[none],,[none],,,see also Veefer
V's,,noun,,"men's ? brief swimming togs, i.e. not neck to knee, or with upper body covered or shoulder straps [reference to early 1920s]",[none],,,[none],,[none],,,
V-Force,,noun,,the NZ detachment serving in the Vietnam War,[none],,,[none],,[none],,,
V-house,,noun,,V-hut,[none],,,[none],,[none],V-hut,,Canterbury hist
V-hut,,noun,,"an early shelter or house, resembling an inverted V shape, with roof and walls in one.",[none],,,Rural,Farm Words,[none],,,aka v hut
V-hut,,noun,,"an antipodean reversal of A-frame -->a hut shaped like an inverted V, built as a (?temporary) house or shelter by the first settlers in Canterbury (?from pre-sawn imported parts) (cf. modern A-FRAME)",[none],,,[none],,[none],,,Canterbury hist
V-pen,,noun,1,a pen that is funnelled toward the release pen on a dog trial course.,,,,[none],Farm Words,[none],,,
V-roof,,noun,,,[none],,,[none],,[none],V-hut,,
V-whare,,noun,,a small hut with roof and walls resembling an inverted V.,[none],,,[none],Farm Words,[none],V-hut,,
V8 gang,,noun,,,[none],,,[none],,[none],,,
V8-head,,noun,,,,,,[none],,[none],,,
Vag,,noun,,,[none],,,[none],,[none],,,"The Vag, a particular newspaper columnist"
vag,,noun,,"a vagrant, specifically one charged under the provisions of the Vagrancy Act (1866)",[none],,,[none],,[none],,,see 'on the vag'
vag,,noun,3,vagrancy under the Vagrancy Act; = CRUST,,,,[none],,[none],,,
vag,,noun,,"the Vagrancy act q.v., esp in phrase (charged)under the vag",[none],,,[none],,[none],,,
vag,,verb,4,,,,,[none],,[none],,,
Vagrancy Act,,noun,,,[none],,,[none],,[none],,,
vaine,,noun,,"woman, cf. Maori wahine",,,,[none],,[none],,,
valance,,noun,,,,,,[none],,[none],,,
valerian,,noun,,"a plant with red or white flowers, a garden escape now a roadside weed in parts of New Zealand.",,,,[none],,[none],,,
valerian,,noun,2,<i>Kentranthus ruber </i>,,,,[none],,[none],,,
valerian,,noun,2,,,,,[none],,[none],,,
valley gutter,,noun,,,[none],,,[none],,[none],,,
Values Party,,noun,,a 1970s political party,[none],,,[none],,[none],,,
VAMP,,abbreviation,,Visitor Asset Management Programme,acronym,,,[none],,[none],,,
vampire light,,noun,,a stand-by light,[none],,,[none],,[none],,,
Van Diemen's Land,,adjective,,,[none],,,[none],,[none],,,
Vandemonian,,adjective,,,[none],,,[none],,[none],,,
Vandemonian,,noun,,,[none],,,[none],,[none],,,"convict from Aus, esp ex Tasmania"
Vandemonish,,adjective,,= Vandemonian,[none],,,[none],,[none],,,
vanelloe,,noun,,,[none],,,[none],,[none],,,also below vanilloe
vanes,,exclamation,,,[none],,,[none],,[none],,,marbles
vanner,,noun,,,,,,[none],,[none],,,(quartzminers')
variable order sharemilker,,noun,1,"a sharemilker who shares profits but does not always own cows, machinery or property.",,,,[none],Farm Words,[none],,,
variable oystercatcher,,noun,,,[none],,,Environment,,[none],oystercatcher,,
Variation 17,,noun,,Wellington waterfront proposal,[none],,,[none],,[none],,,
variegated flax,,noun,,<i>Phormium Colensoii variegata</i>,[none],,,Environment,,[none],,,
varsity,,adjective,,university,[none],,,[none],,[none],,,also Varsity
varsity,,noun,,university,abbreviation,,,[none],,[none],,,varsity in common general use in NZ until recently replaced by uni
VD and Scar,,phrase,,a pun on VC and Bar,[none],,,[none],,[none],,,
VDL,,noun,,,[none],,,[none],,[none],,,aka V.D.L. Van Deimen's Land - ref to timber from Tasmania
VDL,,adjective,,re Van Diemen's Land (Tasmania),acronym,,,[none],,[none],,,aka V.D.L.
vealer,,noun,,"OED veal 3b. vealer, a calf intended or fit for veal. US101 - in American dicts; so W3 -->a young cattle beast, normally not over 12 months old with a carcass not exceeding 160 kg in weight for export, or 163 kg for local consumption (distinct from bobby veal)",,,,[none],,[none],,,
Veefer,,noun,,a Victory cigarette q.v.,[none],,,[none],,[none],also V,,
Vegas,,noun,,short for Rotovegas (Rotorua),[none],,,[none],,[none],,,
vege/veggie,,adjective,,vegetable (esp. in collocation vege garden),[none],,,[none],,[none],,,various spellings
veged out,,adjective,,,[none],,,[none],,[none],,,"(adolescents') -->1. VEGE [vedj], vege around, vege out to waste time spg various vedge 1. as a v -->1984 16 F E40 Pakuranga Coll. 14 VEDGE AROUND [waste time] -->1984 16 M E64 Pakuranga Coll. 14 VEGE -->1984 17 F E49 Pakuranga Coll. 14 VEGE OUT 2. as ppl aj mad, describing a mad person; also TOTALLY VEGED useless -->1984 16 F E40 Pakuranga Coll. 2 VEDGED OUT (?VEGE OUT) [mad] -->1984 16 F E37 Pakuranga Coll. 2 VEGED OUT"
Vegemite,,noun,,,[none],,,[none],,[none],,,
veges/veggies,,noun,,"vegetables, esp. as food at the table",[none],,,[none],,[none],,,various spellings
vegetable,,noun,,,,,,[none],,[none],,,adolescents: 1984 16 F E38 Pakuranga Coll. 10 VEGETABLE [useless person] -->1984 17 M E116Pakuranga Coll.
vegetable boa-constrictor,,noun,,<i>Metrosideros florida</i>,[none],,,[none],,[none],,,
vegetable caterpillar,,noun,,,[none],,,[none],,[none],,,
vegetable hand,,noun,,,[none],,,[none],,[none],,,
vegetable sheep,,noun,2,,[none],,,[none],,[none],,,possibly different from the main entry of Raoul spp vegetable sheep
vegetable sheep,,noun,3,<i>Raoulia eximia </i>,[none],,,[none],,[none],,,
vegetable sheep,,noun,,"<i>RAOULIA EXIMIA, Canterbury vegetable sheep.</i>",[none],,,[none],,[none],,,
vegetable sheep,,noun,,<i>Raoulia eximia</i>,[none],,,[none],,[none],,,
vegetable sheep,,noun,4,<i>Raoulia rubra </i>,[none],,,[none],,[none],,,
vegetable sheep,,noun,,<i>Raoulia bryoides</i>,[none],,,[none],,[none],,,
vegetable sheep,,noun,,<i>Raoulia Goyeni</i>,[none],,,[none],,[none],,,
vegetable sheep,,noun,,a South Island high country plant forming a dense tawny cushion resembling a recumbent sheep. <i>Raoulia</i> and <i>Haastia</i> spp (in the South Island alpine and sub-alpine regions) species of which from a distance resemble reposing sheep,[none],,,[none],,[none],,,
vegetable sheep,,noun,1,"a cushion-like plant Raoulia spp, growing in alpine and subalpine areas [that from a distance looks like a sheep and is a distraction to musterers].",[none],,,[none],Farm Words,[none],mountain-sheep,,incl attrib: vegetable sheep plant
vegetable silk,,noun,,,[none],,,[none],,[none],,,
vegetable wool,,noun,1,"a woolly clump of lichen Sphaerophorus tener, that grows in alpine and subalpine areas.",,,,[none],Farm Words,[none],,,
vegetable wool,,noun,,"The very common woolly white or pale pink epiphytic lichen Sphaerophorus tener, forming densely-branched cushions up to 25 cm in diameter on tree trunks and branches in both moist humid shaded areas and exposed alpine or subalpine grasslands.",[none],,,[none],,[none],,,
vegetating caterpillar,,noun,,an early name for VEGETABLE CATERPILLAR,[none],,,[none],,[none],,,
vegetation,,noun,,the green tissues in the leaf of the NZ flax (Phormium) other than the fibre (communicated by R. Mason),[none],,,[none],,[none],,,includes 'vegetation flax'
vegetation,,noun,2,"dead vegetable matter, leaves, ec., on the bush floor -->ca1940 (R. Mason)`probably older: vegetation apparently used in India in the sense `vegetable matter'.'",,,,[none],,[none],,,
Vegfed,,noun,1,an industry organisation for vegetable and potato growers.,,,,[none],Farm Words,[none],,,
vego,,noun,,vegetarian,,,,[none],,[none],,,
vein,,noun,,,,,,[none],,[none],,,(goldminers') -->sc. gold-vein
veinlet,,noun,,,,,,[none],,[none],,,
veinstone,,noun,,,,,,[none],,[none],,,"geologists', goldminers'"
velvet,,adjective,,,,,,[none],,[none],"fern, grass, mullein",,
velvet earthstar,,noun,,Geastrum velutinum,[none],,,[none],,[none],,,
velvet,,noun,,Verbascum thapsus ;= FLANNEL LEAF =VELVET MULLEIN,,,,[none],,[none],,,
velvet,,verb,1,to collect velvet from a deer.,,,,[none],Farm Words,[none],,,
velvet fern,,noun,,<i>Lastreopsis</i> (formerly <i>Dryopteris) velutina</i>,[none],,,[none],,[none],,,
velveter,,noun,,a person certified to remove deer velvet.,[none],,,[none],,[none],,,also velvet verb in second citation
velveting,,adjective,1,[of deer and deer farming] involved in the cultivation and harvesting of velvet.,[none],,,[none],Farm Words,[none],,,
velveting,,noun,,the growing and removing of velvet from deer.,[none],,,[none],Farm Words,[none],,,
VEN,,abbreviation,,"vague, evasive and non-committal",[none],,,[none],,[none],,,
venero,,noun,,(friendship term),[none],,,[none],,[none],,,1951 15 M 23 Wellington H.S. 29 VENERO] -->1951 15 F 8 Wellington H.S. 29 VENERO
Venus' necklace,,noun,,a seaweed,[none],,,[none],,[none],,,
Venus' shell,,noun,,NEW ZEALAND COCKLE =TUANGI,[none],,,[none],,[none],,,
Venus's ear,,noun,,ear-shell (paua),[none],obsolete,,[none],,[none],,,
verandah,,noun,2,"a street verandah, a roof projecting over public pavements as shelter for pedestrians",[none],,,[none],,[none],,,
verandah,,noun,3,,[none],,,[none],,[none],,,"on the verandah, on the periphery of interest"
verandah,,noun,,,[none],,,[none],,[none],,,Jim Cameron writes: By far the most common spelling in NZ (as in Australia - see MAU p424) is <i>verandah</i> and NZPOD prefers this. English POD gives only <i>veranda</i> and NSOD and Collins prefer that spelling. DEH notes: OED (1989) gives both spellings
