Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
Y-cutter,1975,"Log of a Superfluous Son, The",HENDERSON,42,,y-cutters (Up both sides - Spearcut).,
Y-cutter,1975,"Log of a Superfluous Son, The",HENDERSON,42,,Y-CUTTERS (Up both sides - Spearcut).,
YA,1953,Breakfast at Six,SCOTT,162,,I can see you becoming the Aunt Susan of the Y.A.'s.,
YA,"Apr 10, 1950",North & South,,1,,"The new arrangement will boost the YCs tothe status of full alternatives to theYAs, with the same coverage.",
YA,"May 22, 1947",NZ Woman's Weekly: The First 60 Years,,8,,"The YA announcer stands - or sits - in front of this microphone and tells in frozen, mincing accents, that we are privileged.. to be listening to 1YA.",
YA,"Aug 31, 2002",Listener (New Zealand Listener),,60,,"One has noticed in some reviews of Young Adult Fiction published in your weekly, a tendency for otherwise excellent critics to tut-tut over the fact that some protagonists may be persons with problems... One has even read accusations in another publication that writers of YA fiction who present such porotagonists are somewhow guilty of depriving our children of their childhood""... But to imply that all such re-creations of the world should be frowned upon in YA books ... dare one whsiper the words ""double standard""?",
ya ma-ness,"Oct 4, 2006",Capital Times,,4,,"Ya ma-ness is a term derived from the Samoan ""ua ma"", which is a phrase used when someone was ashamed or embarrassed .. The NZ-born Samoan kids would call each other ma-ness if they stuffed up.",
YA station,"Mar 15, 1933",NZ Tablet,,4,,"There is no doubt the B stations wereextremely popular among the listeners,many of whom preferred their programmesto the average broadcast from the YAstations.",
YA station,"Jun 3, 1938",Evening Post,,00,,[Hdg] Broadcasting. New YA Stations.,
yaba,"Apr 5, 2003",Dominion Post,,F1,,"Ya Ba (yaba, yaa baa): Thai term meaning crazy medicine. Commonly refers to methamphetamine in tablet form.",
yabber,1929,Whitcombe's Etym. Dict. Aust-NZ Suppl.,,12,,"yabber, n.the broken English of the aborigines;-v.i. [Abor.]",
yabber,1968,NZ Contemp. Dict. Suppl. (Collins),,22,,"yabber ... n. abo. talk; v.i. talk, gabble [Abo.]",
yabber,1986,NZ Pocket Oxford Dictionary,,892,,"yabber NZ & Austral. colloq.1 n. talk. 2 v.i. talk, chatter. [Abor.]",
yabber,1966,NZ Contemp. Dict. Suppl. (Whitcombe's),,62,,"yabber, n. aboriginal talk;",
yabber,1982,Collins Concise English Dictionary,,,,"yabber NZ & Austral. colloq. 1 n. talk. 2 v.i. talk, chatter. [Abor.]",
yacca,"Jan 27, 1934","Press, The",,15,,*Yacca.-The pull-back of the shears.,
yachterati,"Oct 6, 2002",Sunday Star Times,,E5,,"As well as the visiting yachterati, Kiwis making a lifestyle switch and returning ex-pats will be the focus of the Bayleys campaign.",
